PPI_1,PPI_2,Prot_1A,Prot_1B,Prot_2A,Prot_2B,distance
ERG27:ACF2,TGL4:ACF2,ERG27,ACF2,TGL4,ACF2,0.0
ERG27:ACF2,SNA3:ACF2,ERG27,ACF2,SNA3,ACF2,0.0
ERG27:ACF2,ERG7:ERG27,ERG27,ACF2,ERG7,ERG27,0.0
ERG27:ACF2,ACF2:SEL1,ERG27,ACF2,ACF2,SEL1,0.0
ERG27:ACF2,YEH1:ERG27,ERG27,ACF2,YEH1,ERG27,0.0
ERG27:ACF2,FAT1:ERG27,ERG27,ACF2,FAT1,ERG27,0.0
ERG27:ACF2,EHT1:ACF2,ERG27,ACF2,EHT1,ACF2,0.0
ERG27:ACF2,ERG7:ACF2,ERG27,ACF2,ERG7,ACF2,0.0
ERG27:ACF2,ERG11:ACF2,ERG27,ACF2,ERG11,ACF2,0.0
ERG27:ACF2,SLC1:ACF2,ERG27,ACF2,SLC1,ACF2,0.0
ERG27:ACF2,FAT1:ACF2,ERG27,ACF2,FAT1,ACF2,0.0
ERG27:ACF2,SNA3:ERG27,ERG27,ACF2,SNA3,ERG27,0.0
ERG27:ACF2,TGL1:ACF2,ERG27,ACF2,TGL1,ACF2,0.0
FMP45:YJU3,RIM1:FMP45,FMP45,YJU3,RIM1,FMP45,0.0
FMP45:YJU3,FMP45:MEP1,FMP45,YJU3,FMP45,MEP1,0.0
FMP45:YJU3,FMP45:MSC3,FMP45,YJU3,FMP45,MSC3,0.0
FMP45:YJU3,FMP45:YLR326W,FMP45,YJU3,FMP45,YLR326W,0.0
FMP45:YJU3,ERG7:YJU3,FMP45,YJU3,ERG7,YJU3,0.0
FMP45:YJU3,FMP45:PST2,FMP45,YJU3,FMP45,PST2,0.0
FMP45:YJU3,YBL029C-A:FMP45,FMP45,YJU3,YBL029C-A,FMP45,0.0
FMP45:YJU3,FMP45:HNM1,FMP45,YJU3,FMP45,HNM1,0.0
FMP45:YJU3,FMP45:WSC2,FMP45,YJU3,FMP45,WSC2,0.0
FMP45:YJU3,FMP45:MDG1,FMP45,YJU3,FMP45,MDG1,0.0
FMP45:YJU3,GPX2:FMP45,FMP45,YJU3,GPX2,FMP45,0.0
FMP45:YJU3,FLC2:FMP45,FMP45,YJU3,FLC2,FMP45,0.0
FMP45:YJU3,FMP45:FLC1,FMP45,YJU3,FMP45,FLC1,0.0
FMP45:YJU3,FMP45:ARF3,FMP45,YJU3,FMP45,ARF3,0.0
FMP45:YJU3,SLC1:YJU3,FMP45,YJU3,SLC1,YJU3,0.0
FMP45:YJU3,FMP45:VHT1,FMP45,YJU3,FMP45,VHT1,0.0
FMP45:YJU3,FAT1:YJU3,FMP45,YJU3,FAT1,YJU3,0.0
FMP45:YJU3,FMP45:FCY2,FMP45,YJU3,FMP45,FCY2,0.0
FMP45:YJU3,FMP45:HXT5,FMP45,YJU3,FMP45,HXT5,0.0
FMP45:YJU3,FMP45:HXT1,FMP45,YJU3,FMP45,HXT1,0.0
FMP45:YJU3,FMP45:HXT2,FMP45,YJU3,FMP45,HXT2,0.0
FMP45:YJU3,FMP45:YGL108C,FMP45,YJU3,FMP45,YGL108C,0.0
FMP45:YJU3,FMP45:PDR12,FMP45,YJU3,FMP45,PDR12,0.0
FMP45:YJU3,FMP45:SNQ2,FMP45,YJU3,FMP45,SNQ2,0.0
FMP45:YJU3,FMP45:MUP1,FMP45,YJU3,FMP45,MUP1,0.0
FMP45:YJU3,FMP45:TCB3,FMP45,YJU3,FMP45,TCB3,0.0
FMP45:YJU3,FMP45:SLM1,FMP45,YJU3,FMP45,SLM1,0.0
FMP45:YJU3,FMP45:TPO3,FMP45,YJU3,FMP45,TPO3,0.0
FMP45:YJU3,HNM1:YJU3,FMP45,YJU3,HNM1,YJU3,0.0
FMP45:YJU3,FMP45:SKG1,FMP45,YJU3,FMP45,SKG1,0.0
FMP45:YJU3,FMP45:DUR3,FMP45,YJU3,FMP45,DUR3,0.0
FMP45:YJU3,FMP45:FTR1,FMP45,YJU3,FMP45,FTR1,0.0
FMP45:YJU3,FMP45:TPO1,FMP45,YJU3,FMP45,TPO1,0.0
FMP45:YJU3,FMP45:SFK1,FMP45,YJU3,FMP45,SFK1,0.0
FMP45:YJU3,RFS1:FMP45,FMP45,YJU3,RFS1,FMP45,0.0
FMP45:YJU3,SNA3:YJU3,FMP45,YJU3,SNA3,YJU3,0.0
FMP45:YJU3,FMP45:YJL016W,FMP45,YJU3,FMP45,YJL016W,0.0
FMP45:YJU3,FMP45:SVL3,FMP45,YJU3,FMP45,SVL3,0.0
FMP45:YJU3,HSP30:FMP45,FMP45,YJU3,HSP30,FMP45,0.0
FMP45:YJU3,FMP45:ITR1,FMP45,YJU3,FMP45,ITR1,0.0
FMP45:YJU3,FMP45:WSC3,FMP45,YJU3,FMP45,WSC3,0.0
FMP45:YJU3,FMP45:YLR454W,FMP45,YJU3,FMP45,YLR454W,0.0
FMP45:YJU3,FMP45:PKH2,FMP45,YJU3,FMP45,PKH2,0.0
FMP45:YJU3,FMP45:MEP3,FMP45,YJU3,FMP45,MEP3,0.0
FMP45:YJU3,FMP45:TPO4,FMP45,YJU3,FMP45,TPO4,0.0
FMP45:YJU3,FMP45:GPA2,FMP45,YJU3,FMP45,GPA2,0.0
