well_position,ppi,N-index,S-index
A1,GTR1:SLM4,N701,S501
A2,SNA4:GTR2,N702,S501
A3,ERG11:HYR1,N703,S501
A4,DHH1:LSM3,N704,S501
A5,MID2:PIN2,N705,S501
A7,SRO9:SGN1,N707,S501
A8,ERV25:EMP47,N708,S501
A9,ERV25:ORM2,N709,S501
B1,HNM1:ERG11,N701,S502
B2,SNA4:VAC8,N702,S502
B3,ERG27:ACF2,N703,S502
B4,HUG1:ADE17,N704,S502
B5,SRO9:DHH1,N705,S502
B7,ALO1:HYR1,N707,S502
B8,SSH1:ERG11,N708,S502
B9,ERV25:ERG5,N709,S502
C1,HNM1:MID2,N701,S503
C2,ERG11:PIS1,N702,S503
C3,RET2:SNA3,N703,S503
C4,HUG1:ALO1,N704,S503
C5,MID2:TPO4,N705,S503
C7,ERV25:UIP4,N707,S503
C8,SSH1:ERV25,N708,S503
C9,ERG11:ACF2,N709,S503
D1,FMP45:HNM1,N701,S504
D2,FMP45:MEP1,N702,S504
D3,RET2:EMP70,N703,S504
D4,HUG1:PGM2,N704,S504
D5,MID2:RSN1,N705,S504
D7,ERG11:ERV25,N707,S504
D8,ALO1:UIP4,N708,S504
D9,SSH1:ORM2,N709,S504
E1,ERG11:MID2,N701,S505
E2,ADE17:GIS2,N702,S505
E3,RET2:EMP47,N703,S505
E4,PMC1:CTR2,N704,S505
E5,SRO9:GIS2,N705,S505
E7,ERV25:PIS1,N707,S505
E8,ERG11:TPO4,N708,S505
E9,SSH1:PIS1,N709,S505
F1,FMP45:MID2,N701,S506
F2,ERG11:ERG5,N702,S506
F3,TPO1:MID2,N703,S506
F4,PMC1:GTR2,N704,S506
F5,HNM1:RBD2,N705,S506
F7,HNM1:MAM33,N707,S506
F8,ERG11:ORM2,N708,S506
G1,PLM2:HNM1,N701,S507
G2,ADE17:HYR1,N702,S507
G3,TPO1:TPO2,N703,S507
G4,ERV25:RBD2,N704,S507
G5,MID2:TPO2,N705,S507
G7,HNM1:TPO1,N707,S507
G8,HNM1:TPO4,N708,S507
H1,PLM2:SNA3,N701,S508
H2,ADE17:PGM2,N702,S508
H3,TPO1:TCB2,N703,S508
H4,MID2:MAM33,N704,S508
H5,MID2:WSC2,N705,S508
H7,HNM1:TPO2,N707,S508
H8,ALO1:ADE17,N708,S508
G9,noPPI:reference,N709,S507
