locus_id,Gene,Gene Name,Gene Description
YCL025C,AGP1,high-Affinity Glutamine Permease,"Broad-specificity, low-affinity amino acid permease; minor serine permease with major contributions from paralog Gnp1p; involved in uptake of asparagine, glutamine, and other amino acids; expression induced by amino acids and regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p)"
YCR082W,AHC2,Ada Histone acetyltransferase complex Component,Component of the ADA histone acetyltransferase complex; Ahc2p and Ahc1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; may tether Ahc1p to the complex
YNR074C,AIF1,Apoptosis-Inducing Factor,"Mitochondrial cell death effector; translocates to the nucleus in response to apoptotic stimuli; triggers apoptosis in cells lacking HXK2; homolog of mammalian Apoptosis-Inducing Factor, putative reductase"
YIL087C,AIM19,Altered Inheritance rate of Mitochondria,Protein of unknown function; mitochondrial protein that physically interacts with Tim23p; null mutant displays reduced respiratory growth
YDR264C,AKR1,AnKyrin Repeat containing,"Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog, AKR2, that arose from the whole genome duplication; any of several human homologs encoding DHHC-type zinc fingers (ZDHHC) can complement temperature sensitivity of yeast akr1 null mutant"
YER073W,ALD5,ALdehyde Dehydrogenase,Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed
YOL062C,APM4,clathrin Adaptor Protein complex Medium chain,"Cargo-binding mu subunit of AP-2; AP-2 is a heterotetrameric endocytic cargo-binding adaptor that facilitates uptake of membrane proteins during clathrin-mediated endocytosis; Apm4p is required for AP-2 function and localization, and binds cell wall stress receptor Mid2p; AP-2 is required for cell polarity responses to pheromone, nutritional status and cell wall damage in S. cerevisiae, and for hyphal growth in C. albicans; AP-2 complex is conserved in mammals"
YLL052C,AQY2,AQuaporin from Yeast,Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains
YIL062C,ARC15,ARp2/3 Complex subunit,Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; has mRNA binding activity
YMR119W,ASI1,Amino acid Sensor-Independent,"Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi2p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p, maintaining the repressed state of gene expression in the absence of inducing amino acids"
YPL078C,ATP4,ATP synthase,"Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase; ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; contributes to the oligomerization of the complex, which in turn determines the shape of inner membrane cristae; phosphorylated"
YOL078W,AVO1,Adheres VOraciously (to TOR2),"Subunit of TORC2, a regulator of plasma membrane (PM) homeostasis; C-terminal PH domain binds to phosphoinositide-(4,5)-bisphosphate (PI(4,5)P2); binds directly to Ypk2p a Tor2p substrate and downstream TORC2 effector through a conserved central CRIM domain; acts with Tsc11p as a scaffold important for the integrity of the TORC2 complex; dispensable for PM localization of TORC2; role in regulating actin organization and growth control; orthologous to human MAPKAP1/SIN1"
YIL088C,AVT7,Amino acid Vacuolar Transport,Vacuolar amino acid transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters
YGR224W,AZR1,Acetic Acid and AZoles Resistance,Plasma membrane transporter of the major facilitator superfamily; involved in resistance to azole drugs such as ketoconazole and fluconazole
YNL233W,BNI4,Bud Neck Involved,"Targeting subunit for Glc7p protein phosphatase; localized to the bud neck, required for localization of chitin synthase III to the bud neck via interaction with the chitin synthase III regulatory subunit Skt5p; phosphorylation by Slt2p and Kss1p involved in regulating Bni4p in septum assembly"
YCR032W,BPH1,Beige Protein Homolog,"Endosomal protein involved in endocytosis and autophagy; homologous to Chediak-Higashi syndrome and Beige proteins, both of which are implicated in disease syndromes in human and mouse, respectively, due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"
YGR246C,BRF1,B-Related Factor,"TFIIIB B-related factor; one of three subunits of RNA polymerase III transcription initiation factor TFIIIB, binds TFIIIC and TBP and recruits RNA pol III to promoters, amino-terminal half is homologous to TFIIB; mutations in human homolog are associated with autosomal recessive cerebellar-facial-dental syndrome"
YDR275W,BSC2,Bypass of Stop Codon,"Protein of unknown function involved in multidrug resistance; inhibits oxidative damage induced by amphotericin B; overexpression increases flocculation, biofilm formation, invasive and pseudohyphal growth; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; null mutant displays increased translation rate and increased readthrough of premature stop codons; BSC2 has a paralog, IRC23, that arose from the whole genome duplication"
YGR188C,BUB1,Budding Uninhibited by Benzimidazole,"Protein kinase involved in the cell cycle checkpoint into anaphase; in complex with Mad1p and Bub3p, prevents progression into anaphase in presence of spindle damage; Cdc28p-mediated phosphorylation at Bub1p-T566 is important for degradation in anaphase and adaptation of checkpoint to prolonged mitotic arrest; associates with centromere DNA via Skp1p; involved in Sgo1p relocalization in response to sister kinetochore tension; paralog MAD3 arose from whole genome duplication"
YCL014W,BUD3,BUD site selection,"Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1, accounting for the first stage of biphasic activation, with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding, resulting in the axial budding pattern in haploids; localizes with septins to the bud neck contractile ring in mitosis"
YGR134W,CAF130,CCR4 Associated Factor,"Subunit of the CCR4-NOT transcriptional regulatory complex; CCR4-NOT complex is evolutionarily-conserved and involved in controlling mRNA initiation, elongation, and degradation"
YGR140W,CBF2,Centromere-Binding Factor,"Essential kinetochore protein; component of the CBF3 multisubunit complex that binds to the CDEIII region of the centromere; Cbf2p also binds to the CDEII region possibly forming a different multimeric complex, ubiquitinated in vivo; sumoylated in an Mms21p-dependent manner; relative distribution to the spindle pole body decreases upon DNA replication stress"
YDR270W,CCC2,Cross-Complements Ca(2+) phenotype of csg1,Cu(+2)-transporting P-type ATPase; required for export of copper from cytosol into extracytosolic compartment; targeted to vacuole via AP-3 pathway; similar to human proteins involved in Menkes and Wilsons diseases; protein abundance increases in response to DNA replication stress; affects TBSV model (+)RNA virus replication by regulating copper metabolism; human homologs ATP7A and ATP7B both complement yeast null mutant
