Human_Gene_name,Description,References
PAX4,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SLC30A8,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
WFS1,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
KCNJ11,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SLC16A11,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SLC16A13,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SFI1,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
ABCC8,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MC4R,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
COBLL1,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PISD,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PAM,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PPIP5K2,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
RAI1,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MAEA,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PIK3C2B,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
WDR13,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MDM4,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
TMCC2,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
ANKRD36C,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SINC3A,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
ZRANB2,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
CDC123,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
TGFB1,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SLC26A3,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
BICD1,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
RNGTT,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SNX9,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PRR14L,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SCN9A,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PTGER3,Extended Data Table 1 Most significant single-variant associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MC4R,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PAM,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SLC30A8,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
IGFBPL1,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
