strain_id,RET2_EMP47_noMTX_noDrug_avg_logratio_Fitness,RET2_EMP47_MTX_noDrug_avg_logratio_Fitness,RET2_EMP47_noMTX_5-FC_avg_logratio_Fitness,RET2_EMP47_MTX_5-FC_avg_logratio_Fitness,RET2_EMP47_noMTX_Fluconazole_avg_logratio_Fitness,RET2_EMP47_MTX_Fluconazole_avg_logratio_Fitness,RET2_EMP47_noMTX_Metformin_avg_logratio_Fitness,RET2_EMP47_MTX_Metformin_avg_logratio_Fitness,RET2_EMP47_noMTX_Trifluoperazine_avg_logratio_Fitness,RET2_EMP47_MTX_Trifluoperazine_avg_logratio_Fitness
1005,-1.9758160077301845,-6.8524035364922256,-1.715107552608839,-5.5689628246224725,-2.4890125670560135,-4.430126145125697,-2.881682883016852,-4.859187966731408,-1.2213732083014661,-6.145725996635077
1007,-3.360392241842738,-6.3524035364922256,-2.4711385294456933,-5.068962824622472,-3.1851712784453934,-3.5616433480425935,-2.616425524667463,-3.587027708619503,-2.788419656095108,-5.853244746274498
1013,-3.0505282824018214,-3.9749597854104914,-3.1479570067530434,-3.3230362764576347,-3.3926900280848153,-3.1376448947651183,-2.818917441974923,-4.56670671637083,-3.1758863782777214,-3.7682822455533422
1016,-4.793241695986942,-7.8524035364922256,-3.393883554917881,-6.276481574261894,-3.1851712784453934,-6.222607395486275,-3.8890062709990536,-6.151669217091986,-4.099884831555197,-7.145725996635077
1018,-1.4320086837513966,0.1525544994988736,-0.6479570067530437,0.9761761038062248,-1.8926900280848156,0.32772377401632447,-0.27873073374291324,-0.6315243565791281,-0.6406917143320223,-0.17008363915159086
1020,-3.849479060616148,-2.1636288016576906,-3.6286803863683468,-1.8768407635009328,-3.9890125670560135,-4.137644894765119,-3.3379514623916826,-2.502065207898347,-3.1406917143320223,-1.2746502395170731
1025,0.2927428242636136,-2.8753053812987877,0.5200358790258972,-0.6581754741540182,-0.9312739583460454,-3.430126145125697,-0.49186465338556806,-4.163029255342028,-1.903726120165816,-2.987019689752642
1027,-4.369243242709468,-5.7674410357710695,-2.4314773031149906,-4.9840003239013155,-0.8542822295594001,-3.476680847321437,-1.9459402532781929,-2.244778621483468,-3.544369175360824,-5.560763495913921
1035,-5.661724493070045,-1.8734897560753536,-3.808921054196725,-0.8965374826509764,-3.8926900280848153,-1.6841995969608594,-3.7077212313066994,-2.2520284063310254,-3.3368504257214022,-1.480827827524726
1038,-5.500760445626364,-3.960086113713465,-3.940438257113622,-3.1620722290139534,-3.9890125670560135,-4.34516364440454,-3.3040437702778975,-5.405742668927149,-3.251887925000246,-4.210543636843375
