strain_id,A_MTX_5-FC.FMP45_MEP1,A_MTX_Fluconazole.FMP45_MEP1,A_MTX_Metformin.FMP45_MEP1,A_MTX_Trifluoperazine.FMP45_MEP1,A_MTX_noDrug.FMP45_MEP1,A_noMTX_5-FC.FMP45_MEP1,A_noMTX_Fluconazole.FMP45_MEP1,A_noMTX_Metformin.FMP45_MEP1,A_noMTX_Trifluoperazine.FMP45_MEP1,A_noMTX_noDrug.FMP45_MEP1,B_MTX_5-FC.FMP45_MEP1,B_MTX_Fluconazole.FMP45_MEP1,B_MTX_Metformin.FMP45_MEP1,B_MTX_Trifluoperazine.FMP45_MEP1,B_MTX_noDrug.FMP45_MEP1,B_noMTX_5-FC.FMP45_MEP1,B_noMTX_Fluconazole.FMP45_MEP1,B_noMTX_Metformin.FMP45_MEP1,B_noMTX_Trifluoperazine.FMP45_MEP1,B_noMTX_noDrug.FMP45_MEP1,T0_noMTX_noDrug.FMP45_MEP1
1005,0.0,0.0,0.0,0.0,1.0,97.0,11.0,90.0,172.0,99.0,1.0,0.0,1.0,1.0,0.0,126.0,31.0,66.0,50.0,58.0,23.0
1007,3.0,7.0,2.0,0.0,0.0,79.0,2.0,65.0,263.0,30.0,0.0,1.0,3.0,1.0,0.0,93.0,9.0,78.0,55.0,70.0,17.0
1013,285.0,8.0,0.0,36.0,42.0,56.0,17.0,2.0,7.0,8.0,226.0,8.0,6.0,109.0,30.0,3.0,80.0,49.0,4.0,5.0,18.0
1016,2.0,0.0,2.0,2.0,0.0,40.0,84.0,71.0,121.0,398.0,0.0,0.0,4.0,2.0,0.0,90.0,309.0,114.0,238.0,346.0,51.0
1018,66.0,64.0,115.0,222.0,96.0,72.0,10.0,31.0,76.0,76.0,63.0,8.0,101.0,104.0,41.0,36.0,16.0,59.0,33.0,53.0,15.0
1020,384.0,2.0,287.0,437.0,129.0,245.0,9.0,514.0,684.0,210.0,395.0,0.0,367.0,548.0,337.0,308.0,29.0,204.0,105.0,154.0,103.0
1025,14.0,26.0,15.0,37.0,5.0,351.0,137.0,548.0,452.0,641.0,17.0,62.0,15.0,20.0,12.0,602.0,280.0,279.0,262.0,454.0,82.0
1027,1.0,37.0,2.0,2.0,0.0,421.0,506.0,454.0,374.0,321.0,21.0,0.0,3.0,1.0,0.0,482.0,467.0,330.0,106.0,261.0,103.0
1035,42.0,43.0,9.0,130.0,22.0,5.0,5.0,6.0,18.0,8.0,16.0,11.0,24.0,46.0,17.0,4.0,4.0,2.0,5.0,2.0,3.0
1038,308.0,0.0,19.0,66.0,45.0,58.0,372.0,86.0,152.0,70.0,88.0,0.0,47.0,62.0,63.0,90.0,140.0,72.0,78.0,123.0,44.0
