strain_id,A_MTX_5-FC.HUG1_ADE17,A_MTX_Fluconazole.HUG1_ADE17,A_MTX_Metformin.HUG1_ADE17,A_MTX_Trifluoperazine.HUG1_ADE17,A_MTX_noDrug.HUG1_ADE17,A_noMTX_5-FC.HUG1_ADE17,A_noMTX_Fluconazole.HUG1_ADE17,A_noMTX_Metformin.HUG1_ADE17,A_noMTX_Trifluoperazine.HUG1_ADE17,A_noMTX_noDrug.HUG1_ADE17,B_MTX_5-FC.HUG1_ADE17,B_MTX_Fluconazole.HUG1_ADE17,B_MTX_Metformin.HUG1_ADE17,B_MTX_Trifluoperazine.HUG1_ADE17,B_MTX_noDrug.HUG1_ADE17,B_noMTX_5-FC.HUG1_ADE17,B_noMTX_Fluconazole.HUG1_ADE17,B_noMTX_Metformin.HUG1_ADE17,B_noMTX_Trifluoperazine.HUG1_ADE17,B_noMTX_noDrug.HUG1_ADE17,T0_noMTX_noDrug.HUG1_ADE17
1005,3.0,0.0,1.0,1.0,7.0,96.0,8.0,24.0,82.0,28.0,2.0,0.0,4.0,1.0,10.0,55.0,8.0,151.0,57.0,187.0,35.0
1007,2.0,6.0,2.0,1.0,2.0,86.0,31.0,24.0,29.0,12.0,4.0,28.0,4.0,3.0,1.0,29.0,28.0,64.0,26.0,46.0,5.0
1013,20.0,1.0,0.0,395.0,671.0,13.0,6.0,3.0,21.0,1.0,67.0,3.0,399.0,75.0,7.0,3.0,10.0,124.0,8.0,73.0,2.0
1016,16.0,2.0,27.0,3.0,3.0,214.0,1252.0,355.0,201.0,125.0,38.0,1.0,179.0,24.0,9.0,145.0,1274.0,1232.0,80.0,489.0,79.0
1018,69.0,47.0,34.0,42.0,167.0,79.0,6.0,18.0,16.0,14.0,87.0,67.0,178.0,130.0,65.0,24.0,10.0,60.0,16.0,34.0,14.0
1020,322.0,5.0,1893.0,2694.0,2764.0,1584.0,368.0,1522.0,1627.0,247.0,1749.0,25.0,13988.0,28047.0,2592.0,679.0,80.0,4361.0,1096.0,2116.0,143.0
1025,10.0,12.0,1.0,6.0,12.0,184.0,43.0,121.0,52.0,53.0,8.0,12.0,15.0,10.0,10.0,109.0,36.0,168.0,57.0,155.0,41.0
1027,1.0,1.0,1.0,2.0,1.0,87.0,34.0,18.0,22.0,6.0,1.0,2.0,7.0,2.0,1.0,17.0,45.0,29.0,22.0,18.0,6.0
1035,61.0,8.0,7.0,65.0,77.0,4.0,16.0,8.0,5.0,2.0,73.0,7.0,37.0,80.0,108.0,0.0,7.0,7.0,4.0,6.0,1.0
1038,19.0,2.0,6.0,174.0,25.0,109.0,9.0,14.0,42.0,17.0,26.0,0.0,27.0,37.0,19.0,14.0,4.0,67.0,26.0,34.0,16.0
1040,17.0,19.0,10.0,4.0,18.0,524.0,168.0,240.0,396.0,148.0,23.0,4.0,43.0,20.0,14.0,176.0,68.0,676.0,204.0,641.0,100.0
1046,0.0,0.0,0.0,3.0,3.0,62.0,5.0,4.0,144.0,9.0,23.0,2.0,11.0,7.0,1.0,29.0,5.0,23.0,52.0,45.0,10.0
1050,5.0,0.0,12.0,6.0,26.0,25.0,1.0,53.0,48.0,14.0,23.0,0.0,60.0,39.0,16.0,13.0,6.0,79.0,26.0,40.0,4.0
1065,7.0,8.0,3.0,8.0,9.0,10.0,17.0,2.0,5.0,2.0,10.0,16.0,9.0,7.0,14.0,4.0,3.0,7.0,6.0,9.0,6.0
1069,3885.0,1548.0,761.0,3419.0,4781.0,1846.0,2198.0,1165.0,1243.0,250.0,4943.0,809.0,5956.0,16965.0,8235.0,774.0,244.0,3748.0,786.0,1463.0,204.0
107,20.0,0.0,0.0,0.0,25.0,732.0,172.0,134.0,176.0,25.0,28.0,0.0,16.0,0.0,2.0,201.0,5.0,1013.0,167.0,217.0,45.0
113,1.0,4.0,0.0,0.0,2.0,3.0,10.0,4.0,1.0,3.0,8.0,21.0,4.0,6.0,33.0,2.0,5.0,3.0,4.0,2.0,0.0
119,3.0,3.0,0.0,0.0,3.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,1.0,4.0,1.0,4.0,1.0
124,174.0,5.0,59.0,125.0,155.0,85.0,65.0,123.0,90.0,28.0,14.0,20.0,107.0,3416.0,212.0,67.0,11.0,168.0,39.0,68.0,23.0
128,10.0,2.0,0.0,6.0,5.0,1102.0,2072.0,1321.0,901.0,352.0,19.0,4.0,3.0,26.0,0.0,849.0,327.0,2223.0,574.0,1635.0,156.0
132,531.0,1.0,4.0,68.0,10.0,1960.0,86.0,3456.0,1590.0,362.0,52.0,0.0,32.0,40.0,574.0,1210.0,41.0,6246.0,1476.0,1938.0,108.0
133,0.0,0.0,0.0,0.0,0.0,9.0,29.0,11.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,10.0,6.0,10.0,1.0
136,1.0,0.0,1.0,1.0,0.0,8.0,1698.0,7.0,13.0,19.0,1.0,0.0,2.0,5.0,11.0,12.0,138.0,74.0,31.0,53.0,27.0
14,309.0,421.0,1502.0,2160.0,507.0,509.0,14.0,2515.0,1041.0,411.0,396.0,202.0,4025.0,1237.0,266.0,592.0,21.0,3372.0,680.0,1944.0,43.0
146,166.0,39.0,363.0,111.0,99.0,819.0,1008.0,2092.0,423.0,224.0,859.0,12.0,1637.0,461.0,259.0,684.0,84.0,2207.0,567.0,1090.0,79.0
15,503.0,5.0,42.0,413.0,423.0,295.0,12485.0,264.0,75.0,83.0,182.0,1.0,390.0,6977.0,577.0,309.0,5.0,391.0,83.0,445.0,83.0
151,4.0,0.0,2.0,3.0,0.0,38.0,5.0,10.0,10.0,2.0,3.0,1.0,8.0,3.0,0.0,9.0,9.0,12.0,8.0,19.0,4.0
153,0.0,0.0,1.0,1.0,2.0,229.0,158.0,136.0,24.0,74.0,2.0,2.0,6.0,0.0,13.0,136.0,46.0,250.0,21.0,212.0,52.0
17,1.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,8.0,1.0,1.0,0.0
171,101.0,0.0,19.0,7.0,27.0,76.0,13.0,38.0,53.0,14.0,114.0,1.0,190.0,59.0,14.0,48.0,16.0,87.0,20.0,75.0,42.0
175,0.0,0.0,0.0,2.0,0.0,165.0,13.0,62.0,47.0,46.0,12.0,0.0,11.0,7.0,2.0,90.0,4.0,203.0,30.0,206.0,33.0
180,0.0,0.0,1.0,0.0,0.0,33.0,6.0,4.0,1.0,6.0,0.0,0.0,1.0,5.0,0.0,15.0,8.0,30.0,5.0,21.0,11.0
180_2,0.0,0.0,3.0,0.0,1.0,146.0,5.0,102.0,32.0,50.0,8.0,0.0,2.0,0.0,81.0,45.0,56.0,201.0,20.0,111.0,27.0
185,0.0,0.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,0.0,11.0,1.0,15.0,14.0,2.0,1.0,2.0,2.0,3.0,8.0,2.0
187,1.0,0.0,1.0,0.0,4.0,283.0,35.0,58.0,137.0,29.0,2.0,0.0,12.0,11.0,1.0,72.0,28.0,379.0,101.0,242.0,31.0
188,15.0,6.0,4.0,1.0,15.0,959.0,1998.0,2239.0,324.0,179.0,3.0,16.0,7.0,4.0,0.0,344.0,1.0,1389.0,233.0,601.0,54.0
192,4.0,8.0,2.0,3.0,8.0,5.0,9.0,13.0,5.0,2.0,11.0,13.0,7.0,8.0,7.0,2.0,10.0,15.0,4.0,9.0,1.0
20,2.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,0.0
209,9.0,1.0,0.0,2.0,1.0,522.0,8532.0,758.0,366.0,175.0,26.0,0.0,15.0,11.0,8.0,189.0,77.0,825.0,266.0,603.0,27.0
210,5.0,0.0,1.0,4.0,6.0,3.0,12.0,11.0,4.0,1.0,11.0,0.0,19.0,11.0,4.0,0.0,7.0,9.0,4.0,10.0,2.0
226,585.0,1.0,133.0,105.0,69.0,199.0,3.0,134.0,115.0,104.0,908.0,0.0,1698.0,332.0,172.0,99.0,9.0,238.0,121.0,209.0,78.0
235,0.0,0.0,21.0,0.0,0.0,75.0,8.0,248.0,91.0,35.0,0.0,0.0,74.0,1.0,1.0,82.0,6.0,337.0,56.0,175.0,9.0
240,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,19.0,4.0,10.0,3.0
248,2.0,0.0,0.0,3.0,5.0,8.0,1.0,7.0,11.0,0.0,7.0,0.0,8.0,3.0,4.0,2.0,9.0,20.0,9.0,6.0,2.0
250,1.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,3.0,6.0,4.0,0.0,0.0,2.0,2.0,8.0,3.0,3.0,0.0
