strain_id,A_MTX_5-FC.PMC1_GTR2,A_MTX_Fluconazole.PMC1_GTR2,A_MTX_Metformin.PMC1_GTR2,A_MTX_Trifluoperazine.PMC1_GTR2,A_MTX_noDrug.PMC1_GTR2,A_noMTX_5-FC.PMC1_GTR2,A_noMTX_Fluconazole.PMC1_GTR2,A_noMTX_Metformin.PMC1_GTR2,A_noMTX_Trifluoperazine.PMC1_GTR2,A_noMTX_noDrug.PMC1_GTR2,B_MTX_5-FC.PMC1_GTR2,B_MTX_Fluconazole.PMC1_GTR2,B_MTX_Metformin.PMC1_GTR2,B_MTX_Trifluoperazine.PMC1_GTR2,B_MTX_noDrug.PMC1_GTR2,B_noMTX_5-FC.PMC1_GTR2,B_noMTX_Fluconazole.PMC1_GTR2,B_noMTX_Metformin.PMC1_GTR2,B_noMTX_Trifluoperazine.PMC1_GTR2,B_noMTX_noDrug.PMC1_GTR2,T0_noMTX_noDrug.PMC1_GTR2
1005,2.0,2.0,1.0,7.0,2.0,161.0,60.0,123.0,67.0,92.0,1.0,0.0,0.0,0.0,2.0,69.0,245.0,71.0,111.0,159.0,23.0
1007,7.0,4.0,5.0,0.0,1.0,295.0,410.0,365.0,681.0,299.0,1.0,7.0,1.0,0.0,0.0,181.0,685.0,248.0,442.0,351.0,60.0
1013,37.0,10.0,0.0,111.0,76.0,21.0,7.0,4.0,3.0,5.0,28.0,491.0,3.0,18.0,2.0,6.0,19.0,2.0,14.0,65.0,2.0
1016,2.0,0.0,5.0,4.0,3.0,235.0,39.0,53.0,191.0,193.0,3.0,3.0,6.0,0.0,0.0,39.0,28.0,65.0,148.0,594.0,77.0
1018,788.0,589.0,870.0,799.0,815.0,228.0,43.0,191.0,256.0,268.0,521.0,19436.0,630.0,1079.0,265.0,306.0,62.0,228.0,237.0,525.0,53.0
1020,1034.0,129.0,2525.0,1177.0,824.0,713.0,58.0,1015.0,735.0,753.0,674.0,3648.0,1654.0,1696.0,532.0,703.0,212.0,846.0,1559.0,1253.0,140.0
1025,25.0,16.0,17.0,11.0,9.0,801.0,563.0,597.0,458.0,773.0,13.0,78.0,14.0,14.0,6.0,526.0,995.0,536.0,796.0,1615.0,149.0
1027,1.0,0.0,1.0,0.0,1.0,63.0,685.0,81.0,37.0,55.0,0.0,3.0,3.0,0.0,1.0,49.0,13.0,62.0,154.0,145.0,16.0
1035,131.0,7.0,18.0,116.0,70.0,5.0,9.0,2.0,4.0,3.0,43.0,26.0,20.0,82.0,47.0,3.0,14.0,1.0,1.0,11.0,1.0
1038,34.0,2.0,57.0,66.0,38.0,61.0,5.0,58.0,167.0,46.0,51.0,11.0,21.0,15.0,44.0,36.0,20.0,23.0,58.0,52.0,20.0
1040,22.0,21.0,11.0,21.0,18.0,434.0,160.0,222.0,322.0,354.0,9.0,39.0,26.0,10.0,5.0,273.0,89.0,194.0,315.0,554.0,69.0
1046,1.0,1.0,1.0,2.0,1.0,32.0,80.0,30.0,18.0,23.0,2.0,16.0,2.0,0.0,2.0,21.0,142.0,13.0,70.0,55.0,4.0
1050,12.0,4.0,17.0,16.0,8.0,23.0,10.0,11.0,34.0,13.0,4.0,16.0,37.0,8.0,2.0,11.0,8.0,6.0,11.0,56.0,1.0
