strain_id,A_MTX_5-FC.ERG11_PIS1,A_MTX_Fluconazole.ERG11_PIS1,A_MTX_Metformin.ERG11_PIS1,A_MTX_Trifluoperazine.ERG11_PIS1,A_MTX_noDrug.ERG11_PIS1,A_noMTX_5-FC.ERG11_PIS1,A_noMTX_Fluconazole.ERG11_PIS1,A_noMTX_Metformin.ERG11_PIS1,A_noMTX_Trifluoperazine.ERG11_PIS1,A_noMTX_noDrug.ERG11_PIS1,B_MTX_5-FC.ERG11_PIS1,B_MTX_Fluconazole.ERG11_PIS1,B_MTX_Metformin.ERG11_PIS1,B_MTX_Trifluoperazine.ERG11_PIS1,B_MTX_noDrug.ERG11_PIS1,B_noMTX_5-FC.ERG11_PIS1,B_noMTX_Fluconazole.ERG11_PIS1,B_noMTX_Metformin.ERG11_PIS1,B_noMTX_Trifluoperazine.ERG11_PIS1,B_noMTX_noDrug.ERG11_PIS1,T0_noMTX_noDrug.ERG11_PIS1
1005,5.0,1.0,7.0,2.0,0.0,119.0,8.0,64.0,31.0,14.0,0.0,1.0,5.0,0.0,0.0,88.0,2.0,88.0,112.0,119.0,24.0
1007,9.0,5.0,32.0,2.0,3.0,228.0,134.0,183.0,385.0,42.0,0.0,357.0,120.0,0.0,1.0,122.0,17.0,55.0,814.0,138.0,46.0
1013,60.0,0.0,2.0,2.0,12.0,5.0,0.0,7.0,1.0,4.0,33.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,69.0,6.0,2.0
1016,3.0,0.0,7.0,2.0,2.0,388.0,18.0,198.0,323.0,94.0,6.0,1.0,29.0,5.0,0.0,380.0,24.0,209.0,637.0,373.0,98.0
1018,517.0,104.0,2152.0,221.0,699.0,232.0,7.0,214.0,179.0,66.0,379.0,20.0,2361.0,192.0,181.0,293.0,21.0,116.0,711.0,420.0,72.0
1020,2082.0,229.0,893.0,698.0,3076.0,528.0,20.0,813.0,499.0,65.0,1386.0,12.0,1030.0,1786.0,349.0,386.0,60.0,427.0,1534.0,742.0,153.0
1025,5.0,384.0,20.0,8.0,18.0,898.0,179.0,400.0,167.0,91.0,4.0,236.0,117.0,13.0,2.0,631.0,158.0,376.0,810.0,870.0,199.0
1027,3.0,5232.0,65.0,3.0,4.0,284.0,64.0,219.0,101.0,30.0,6.0,178.0,177.0,3.0,0.0,245.0,282.0,308.0,283.0,312.0,53.0
1035,19.0,21.0,4.0,18.0,15.0,3.0,1.0,5.0,5.0,2.0,17.0,12.0,33.0,10.0,11.0,3.0,7.0,7.0,17.0,2.0,4.0
1038,358.0,3.0,93.0,242.0,289.0,359.0,11.0,244.0,459.0,47.0,176.0,0.0,138.0,143.0,101.0,247.0,16.0,222.0,509.0,199.0,121.0
1040,35.0,19.0,103.0,30.0,10.0,743.0,14.0,573.0,279.0,84.0,13.0,5.0,193.0,33.0,2.0,325.0,21.0,432.0,921.0,461.0,50.0
1046,0.0,33.0,15.0,0.0,0.0,226.0,5.0,193.0,329.0,29.0,2.0,2.0,41.0,1.0,2.0,175.0,498.0,223.0,406.0,128.0,107.0
