strain_id,A_MTX_5-FC.ADE17_HYR1,A_MTX_Fluconazole.ADE17_HYR1,A_MTX_Metformin.ADE17_HYR1,A_MTX_Trifluoperazine.ADE17_HYR1,A_MTX_noDrug.ADE17_HYR1,A_noMTX_5-FC.ADE17_HYR1,A_noMTX_Fluconazole.ADE17_HYR1,A_noMTX_Metformin.ADE17_HYR1,A_noMTX_Trifluoperazine.ADE17_HYR1,A_noMTX_noDrug.ADE17_HYR1,B_MTX_5-FC.ADE17_HYR1,B_MTX_Fluconazole.ADE17_HYR1,B_MTX_Metformin.ADE17_HYR1,B_MTX_Trifluoperazine.ADE17_HYR1,B_MTX_noDrug.ADE17_HYR1,B_noMTX_5-FC.ADE17_HYR1,B_noMTX_Fluconazole.ADE17_HYR1,B_noMTX_Metformin.ADE17_HYR1,B_noMTX_Trifluoperazine.ADE17_HYR1,B_noMTX_noDrug.ADE17_HYR1,T0_noMTX_noDrug.ADE17_HYR1
1005,1.0,2.0,3.0,0.0,2.0,15.0,15.0,3.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,6.0,4.0,4.0,2.0
1007,0.0,1.0,5.0,3.0,0.0,2500.0,279.0,116.0,258.0,114.0,1.0,1.0,4.0,2.0,2.0,334.0,374.0,180.0,99.0,132.0,272.0
1013,1.0,0.0,3.0,3.0,2.0,287.0,5.0,0.0,28.0,3.0,1.0,0.0,11.0,4.0,0.0,11.0,10.0,16.0,1.0,1.0,45.0
1016,0.0,1.0,0.0,1.0,0.0,22.0,17.0,20.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,9.0,9.0,24.0,8.0
1018,21.0,14.0,24.0,32.0,22.0,1460.0,543.0,91.0,128.0,88.0,20.0,10.0,78.0,68.0,21.0,161.0,1124.0,264.0,38.0,78.0,129.0
1020,32.0,3.0,8.0,40.0,28.0,40.0,20.0,21.0,27.0,14.0,25.0,0.0,54.0,212.0,16.0,16.0,17.0,13.0,9.0,15.0,1.0
1025,5.0,15.0,2.0,6.0,6.0,64.0,127.0,20.0,28.0,32.0,5.0,2.0,13.0,9.0,1.0,25.0,137.0,41.0,23.0,39.0,13.0
1027,1.0,27.0,1.0,0.0,2.0,8609.0,858.0,782.0,1081.0,1212.0,0.0,1.0,3.0,1.0,1.0,1978.0,1981.0,1093.0,67.0,1067.0,430.0
1035,10.0,28.0,4.0,20.0,5.0,19.0,5.0,2.0,13.0,2.0,17.0,1.0,20.0,29.0,7.0,2.0,2.0,6.0,1.0,6.0,4.0
1038,24.0,2.0,12.0,29.0,14.0,2132.0,40.0,204.0,336.0,177.0,31.0,0.0,20.0,35.0,14.0,255.0,117.0,115.0,150.0,297.0,319.0
