strain_id,A_MTX_5-FC.SRO9_DHH1,A_MTX_Fluconazole.SRO9_DHH1,A_MTX_Metformin.SRO9_DHH1,A_MTX_Trifluoperazine.SRO9_DHH1,A_MTX_noDrug.SRO9_DHH1,A_noMTX_5-FC.SRO9_DHH1,A_noMTX_Fluconazole.SRO9_DHH1,A_noMTX_Metformin.SRO9_DHH1,A_noMTX_Trifluoperazine.SRO9_DHH1,A_noMTX_noDrug.SRO9_DHH1,B_MTX_5-FC.SRO9_DHH1,B_MTX_Fluconazole.SRO9_DHH1,B_MTX_Metformin.SRO9_DHH1,B_MTX_Trifluoperazine.SRO9_DHH1,B_MTX_noDrug.SRO9_DHH1,B_noMTX_5-FC.SRO9_DHH1,B_noMTX_Fluconazole.SRO9_DHH1,B_noMTX_Metformin.SRO9_DHH1,B_noMTX_Trifluoperazine.SRO9_DHH1,B_noMTX_noDrug.SRO9_DHH1,T0_noMTX_noDrug.SRO9_DHH1
1005,1.0,0.0,3.0,0.0,1.0,187.0,90.0,419.0,153.0,90.0,3.0,0.0,6.0,2.0,0.0,114.0,10.0,385.0,369.0,315.0,55.0
1007,1.0,9.0,75.0,2.0,0.0,438.0,5162.0,676.0,188.0,223.0,0.0,4.0,23.0,0.0,0.0,285.0,3178.0,545.0,433.0,318.0,57.0
1013,26.0,2.0,0.0,6.0,48.0,4.0,11.0,167.0,15.0,2.0,110.0,7.0,3.0,2.0,1.0,9.0,9.0,149.0,23.0,2.0,2.0
1016,1.0,1.0,9.0,0.0,1.0,150.0,418.0,467.0,187.0,273.0,1.0,0.0,7.0,1.0,2.0,385.0,456.0,421.0,539.0,310.0,83.0
1018,316.0,2437.0,558.0,291.0,28.0,175.0,400.0,1263.0,211.0,168.0,605.0,527.0,445.0,180.0,392.0,365.0,92.0,349.0,384.0,282.0,53.0
1020,645.0,43.0,596.0,932.0,71.0,285.0,394.0,1321.0,479.0,151.0,1420.0,19.0,899.0,625.0,931.0,518.0,58.0,852.0,1065.0,403.0,120.0
1025,7.0,17.0,66.0,12.0,9.0,763.0,419.0,2098.0,383.0,313.0,7.0,4.0,88.0,5.0,17.0,914.0,197.0,1310.0,1239.0,1166.0,189.0
1027,1.0,4.0,26.0,0.0,0.0,197.0,166.0,1213.0,203.0,98.0,1.0,1.0,65.0,0.0,0.0,341.0,245.0,637.0,460.0,225.0,39.0
1035,9.0,21.0,10.0,20.0,9.0,7.0,0.0,12.0,6.0,3.0,37.0,2.0,37.0,32.0,15.0,4.0,3.0,18.0,23.0,0.0,1.0
1038,103.0,0.0,156.0,166.0,5.0,68.0,25.0,151.0,43.0,50.0,176.0,17.0,26.0,62.0,235.0,59.0,121.0,83.0,76.0,109.0,24.0
1040,4.0,19.0,28.0,16.0,1.0,360.0,57.0,676.0,189.0,128.0,7.0,1.0,19.0,8.0,4.0,324.0,122.0,741.0,518.0,209.0,39.0
1046,0.0,2.0,7.0,1.0,2.0,128.0,35.0,417.0,194.0,118.0,0.0,0.0,5.0,0.0,1.0,158.0,384.0,199.0,306.0,198.0,54.0
1050,7.0,3.0,154.0,36.0,7.0,57.0,1.0,365.0,76.0,43.0,11.0,0.0,84.0,20.0,4.0,78.0,55.0,211.0,141.0,89.0,20.0
1065,88.0,178.0,31.0,66.0,1.0,53.0,68.0,334.0,66.0,35.0,37.0,54.0,66.0,25.0,75.0,53.0,3.0,230.0,160.0,47.0,22.0
1069,439.0,2860.0,222.0,902.0,102.0,203.0,504.0,734.0,215.0,128.0,1119.0,1387.0,679.0,656.0,448.0,341.0,605.0,585.0,408.0,263.0,94.0
107,0.0,1.0,5.0,1.0,0.0,28.0,154.0,87.0,23.0,20.0,2.0,0.0,10.0,1.0,1.0,43.0,0.0,78.0,110.0,72.0,26.0
113,2.0,17.0,12.0,2.0,2.0,6.0,4.0,6.0,6.0,3.0,2.0,19.0,4.0,9.0,29.0,5.0,19.0,9.0,8.0,3.0,1.0
119,1.0,5.0,4.0,6.0,5.0,1.0,5.0,7.0,2.0,0.0,3.0,4.0,5.0,6.0,3.0,2.0,4.0,1.0,4.0,3.0,1.0
124,71.0,14.0,62.0,44.0,4.0,57.0,71.0,171.0,67.0,73.0,93.0,2.0,59.0,43.0,85.0,123.0,12.0,79.0,120.0,76.0,23.0
128,1.0,2.0,1.0,2.0,0.0,88.0,42.0,132.0,66.0,53.0,2.0,0.0,3.0,1.0,0.0,189.0,12.0,175.0,149.0,56.0,41.0
132,4.0,5.0,37.0,2.0,1.0,284.0,211.0,1177.0,399.0,278.0,15.0,0.0,49.0,1.0,4.0,497.0,159.0,1177.0,1024.0,698.0,93.0
133,1.0,1.0,53.0,12.0,0.0,29.0,17.0,53.0,51.0,27.0,4.0,0.0,16.0,3.0,0.0,35.0,7.0,80.0,71.0,31.0,6.0
136,0.0,0.0,9.0,2.0,0.0,23.0,21.0,54.0,44.0,22.0,0.0,0.0,2.0,0.0,0.0,17.0,6.0,95.0,57.0,32.0,18.0
14,254.0,130.0,521.0,1168.0,28.0,285.0,38.0,482.0,225.0,164.0,402.0,31.0,232.0,403.0,1014.0,209.0,12.0,517.0,736.0,411.0,121.0
146,949.0,221.0,1386.0,1455.0,111.0,1487.0,362.0,2602.0,977.0,576.0,1446.0,127.0,1233.0,818.0,1350.0,1072.0,97.0,2504.0,2295.0,1860.0,389.0
15,252.0,5.0,60.0,114.0,2.0,34.0,64.0,87.0,16.0,38.0,229.0,33.0,39.0,78.0,220.0,39.0,1.0,82.0,89.0,62.0,14.0
151,0.0,2.0,6.0,2.0,1.0,67.0,96.0,218.0,83.0,41.0,4.0,0.0,6.0,2.0,0.0,170.0,5.0,97.0,163.0,53.0,43.0
153,1.0,3.0,46.0,4.0,0.0,128.0,462.0,609.0,105.0,133.0,2.0,0.0,27.0,1.0,0.0,279.0,256.0,411.0,232.0,432.0,78.0
17,3.0,7.0,1.0,3.0,3.0,3.0,8.0,3.0,1.0,0.0,3.0,7.0,3.0,3.0,1.0,2.0,3.0,6.0,6.0,2.0,2.0
171,9.0,8.0,3.0,14.0,1.0,6.0,6.0,15.0,6.0,0.0,11.0,1.0,19.0,14.0,13.0,6.0,1.0,15.0,18.0,8.0,10.0
175,0.0,0.0,4.0,1.0,0.0,113.0,49.0,391.0,58.0,62.0,1.0,0.0,11.0,0.0,0.0,117.0,86.0,221.0,121.0,108.0,37.0
180,31.0,1.0,4.0,8.0,0.0,60.0,72.0,303.0,56.0,73.0,35.0,1.0,4.0,22.0,2.0,258.0,115.0,238.0,171.0,81.0,43.0
180_2,4.0,3.0,169.0,12.0,1.0,362.0,169.0,1156.0,284.0,542.0,9.0,5.0,42.0,9.0,3.0,737.0,869.0,797.0,781.0,566.0,166.0
185,8.0,1.0,11.0,10.0,2.0,2.0,4.0,7.0,4.0,3.0,9.0,0.0,8.0,4.0,8.0,1.0,1.0,18.0,17.0,4.0,1.0
187,4.0,1.0,9.0,1.0,1.0,26.0,8.0,173.0,58.0,9.0,2.0,0.0,39.0,2.0,0.0,42.0,9.0,288.0,92.0,79.0,20.0
188,0.0,16.0,108.0,2.0,7.0,211.0,20.0,149.0,77.0,29.0,6.0,23.0,49.0,6.0,4.0,101.0,3.0,266.0,158.0,82.0,19.0
192,4.0,16.0,1.0,9.0,18.0,8.0,16.0,39.0,16.0,4.0,4.0,26.0,10.0,8.0,9.0,7.0,12.0,33.0,32.0,11.0,4.0
20,1.0,1.0,15.0,1.0,0.0,103.0,0.0,266.0,62.0,9.0,3.0,0.0,33.0,0.0,0.0,100.0,9.0,195.0,210.0,111.0,25.0
209,2.0,3.0,52.0,2.0,1.0,102.0,117.0,118.0,46.0,42.0,0.0,1.0,10.0,6.0,0.0,64.0,58.0,159.0,119.0,130.0,34.0
210,1.0,0.0,7.0,8.0,0.0,7.0,7.0,17.0,5.0,3.0,5.0,0.0,5.0,6.0,2.0,3.0,2.0,14.0,20.0,6.0,3.0
226,43.0,27.0,23.0,54.0,2.0,14.0,15.0,49.0,17.0,6.0,47.0,34.0,20.0,21.0,43.0,19.0,5.0,49.0,48.0,27.0,27.0
235,0.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0
240,0.0,0.0,0.0,1.0,0.0,1.0,2.0,15.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,3.0,6.0,4.0,3.0,0.0
248,1.0,0.0,0.0,1.0,1.0,0.0,2.0,14.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,4.0,11.0,6.0,3.0,2.0
