strain_id,A_MTX_5-FC.MID2_PIN2,A_MTX_Fluconazole.MID2_PIN2,A_MTX_Metformin.MID2_PIN2,A_MTX_Trifluoperazine.MID2_PIN2,A_MTX_noDrug.MID2_PIN2,A_noMTX_5-FC.MID2_PIN2,A_noMTX_Fluconazole.MID2_PIN2,A_noMTX_Metformin.MID2_PIN2,A_noMTX_Trifluoperazine.MID2_PIN2,A_noMTX_noDrug.MID2_PIN2,B_MTX_5-FC.MID2_PIN2,B_MTX_Fluconazole.MID2_PIN2,B_MTX_Metformin.MID2_PIN2,B_MTX_Trifluoperazine.MID2_PIN2,B_MTX_noDrug.MID2_PIN2,B_noMTX_5-FC.MID2_PIN2,B_noMTX_Fluconazole.MID2_PIN2,B_noMTX_Metformin.MID2_PIN2,B_noMTX_Trifluoperazine.MID2_PIN2,B_noMTX_noDrug.MID2_PIN2,T0_noMTX_noDrug.MID2_PIN2
1005,0.0,0.0,5.0,0.0,2.0,244.0,17.0,424,92.0,269.0,0.0,0.0,1.0,3.0,1.0,380,9.0,260.0,291,54.0,15.0
1007,0.0,17.0,4.0,3.0,1.0,657.0,1043.0,675,204.0,196.0,2.0,2.0,7.0,1.0,1.0,475,45.0,645.0,311,56.0,19.0
1013,2.0,2.0,1.0,3.0,70.0,14.0,18.0,31,10.0,21.0,4.0,1.0,2.0,0.0,0.0,80,8.0,30.0,32,4.0,1.0
1016,4.0,2.0,3.0,0.0,5.0,883.0,479.0,826,241.0,679.0,4.0,0.0,18.0,2.0,2.0,2597,119.0,572.0,759,350.0,68.0
1018,215.0,816.0,1270.0,376.0,371.0,359.0,20.0,381,54.0,179.0,95.0,12.0,450.0,155.0,100.0,497,35.0,261.0,268,30.0,13.0
1020,1093.0,53.0,3693.0,1177.0,4242.0,1531.0,121.0,2316,431.0,1061.0,367.0,2.0,1415.0,1072.0,809.0,1325,56.0,1736.0,1582,204.0,72.0
1025,5.0,53.0,43.0,36.0,152.0,1458.0,373.0,1005,240.0,817.0,10.0,4.0,28.0,14.0,10.0,1306,28.0,813.0,664,220.0,62.0
1027,1.0,14.0,9.0,3.0,3.0,327.0,104.0,158,53.0,193.0,3.0,2.0,10.0,1.0,0.0,387,9.0,482.0,225,94.0,18.0
1035,24.0,24.0,38.0,103.0,216.0,19.0,1.0,40,12.0,24.0,26.0,4.0,43.0,47.0,15.0,55,0.0,44.0,34,2.0,2.0
1038,124.0,18.0,247.0,69.0,645.0,958.0,32.0,320,103.0,155.0,40.0,0.0,106.0,27.0,93.0,258,3.0,393.0,325,24.0,16.0
1040,19.0,23.0,37.0,20.0,71.0,1049.0,93.0,938,316.0,619.0,9.0,2.0,23.0,14.0,16.0,1079,63.0,532.0,657,203.0,27.0
1046,10.0,8.0,4.0,3.0,4.0,548.0,59.0,320,96.0,171.0,4.0,1.0,6.0,1.0,0.0,549,31.0,373.0,281,136.0,37.0
1050,12.0,1.0,107.0,35.0,47.0,169.0,50.0,461,53.0,106.0,14.0,0.0,27.0,57.0,11.0,310,8.0,157.0,74,45.0,8.0
1065,15.0,41.0,32.0,8.0,26.0,39.0,3.0,128,24.0,80.0,9.0,10.0,27.0,8.0,2.0,69,1.0,52.0,79,2.0,5.0
1069,2603.0,12406.0,1980.0,1857.0,6364.0,1990.0,1183.0,2082,658.0,1461.0,709.0,1310.0,1096.0,804.0,1590.0,2685,159.0,2574.0,2148,319.0,126.0
107,1.0,33.0,0.0,3.0,5.0,16.0,6.0,12,5.0,4.0,1.0,6.0,3.0,0.0,0.0,30,2.0,14.0,40,3.0,1.0
