strain_id,A_MTX_5-FC.SNA4_VAC8,A_MTX_Fluconazole.SNA4_VAC8,A_MTX_Metformin.SNA4_VAC8,A_MTX_Trifluoperazine.SNA4_VAC8,A_MTX_noDrug.SNA4_VAC8,A_noMTX_5-FC.SNA4_VAC8,A_noMTX_Fluconazole.SNA4_VAC8,A_noMTX_Metformin.SNA4_VAC8,A_noMTX_Trifluoperazine.SNA4_VAC8,A_noMTX_noDrug.SNA4_VAC8,B_MTX_5-FC.SNA4_VAC8,B_MTX_Fluconazole.SNA4_VAC8,B_MTX_Metformin.SNA4_VAC8,B_MTX_Trifluoperazine.SNA4_VAC8,B_MTX_noDrug.SNA4_VAC8,B_noMTX_5-FC.SNA4_VAC8,B_noMTX_Fluconazole.SNA4_VAC8,B_noMTX_Metformin.SNA4_VAC8,B_noMTX_Trifluoperazine.SNA4_VAC8,B_noMTX_noDrug.SNA4_VAC8,T0_noMTX_noDrug.SNA4_VAC8
1005,0.0,1.0,1.0,4.0,0.0,6.0,2.0,10.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,13.0,0.0,2.0,11.0,12.0,0.0
1007,0.0,3.0,1.0,0.0,1.0,12.0,14.0,7.0,7.0,6.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,6.0,19.0,8.0,6.0
1013,3.0,1.0,0.0,3.0,51.0,2.0,2.0,1.0,5.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,1.0,3.0,9.0,5.0,1.0
1016,0.0,0.0,0.0,0.0,1.0,13.0,9.0,10.0,3.0,5.0,2.0,0.0,0.0,2.0,1.0,6.0,17.0,11.0,13.0,25.0,4.0
1018,17.0,22.0,26.0,18.0,24.0,17.0,6.0,9.0,14.0,9.0,64.0,10.0,58.0,53.0,17.0,10.0,17.0,12.0,19.0,18.0,4.0
1020,20.0,7.0,19.0,39.0,37.0,21.0,3.0,13.0,9.0,7.0,45.0,2.0,83.0,239.0,31.0,11.0,3.0,26.0,24.0,23.0,2.0
1025,4.0,18.0,14.0,7.0,8.0,59.0,2287.0,20.0,96.0,26.0,11.0,3.0,21.0,5.0,2.0,43.0,783.0,267.0,91.0,84.0,16.0
1027,0.0,38.0,3.0,2.0,0.0,31.0,30.0,14.0,10.0,11.0,2.0,2.0,6.0,0.0,1.0,8.0,67.0,25.0,16.0,40.0,7.0
1035,13.0,32.0,4.0,26.0,23.0,2.0,10.0,6.0,15.0,0.0,20.0,4.0,20.0,23.0,10.0,2.0,5.0,5.0,3.0,3.0,1.0
1038,1133.0,54.0,191.0,1180.0,3092.0,75.0,678.0,58.0,211.0,74.0,1689.0,14.0,97.0,1888.0,796.0,66.0,175.0,107.0,179.0,62.0,67.0
1040,17.0,16.0,36.0,31.0,15.0,1020.0,440.0,1428.0,3002.0,479.0,12.0,1.0,39.0,23.0,11.0,1298.0,120.0,3135.0,2286.0,1366.0,117.0
1046,0.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,9.0,6.0,2.0,1.0,0.0,3.0,0.0,5.0,10.0,4.0,5.0,13.0,4.0
1050,6.0,1.0,6.0,24.0,11.0,14.0,0.0,6.0,22.0,3.0,5.0,0.0,4.0,16.0,3.0,7.0,1.0,8.0,10.0,9.0,2.0
1065,1.0,26.0,1.0,7.0,4.0,3.0,2.0,1.0,7.0,0.0,5.0,13.0,6.0,5.0,1.0,1.0,0.0,3.0,5.0,9.0,0.0
1069,4301.0,24078.0,2540.0,4141.0,11462.0,1193.0,11124.0,1892.0,3490.0,285.0,11002.0,39370.0,2434.0,7853.0,2107.0,1589.0,4844.0,4270.0,3033.0,1153.0,457.0
107,1.0,7.0,113.0,1.0,4.0,248.0,324.0,278.0,572.0,31.0,4.0,5.0,103.0,0.0,0.0,283.0,212.0,696.0,476.0,273.0,92.0
113,2.0,23.0,1.0,5.0,0.0,5.0,15.0,3.0,17.0,3.0,9.0,13.0,0.0,37.0,31.0,3.0,3.0,8.0,6.0,5.0,3.0
119,2.0,10.0,3.0,6.0,5.0,1.0,5.0,4.0,4.0,1.0,0.0,3.0,2.0,7.0,4.0,1.0,7.0,3.0,5.0,1.0,0.0
124,1.0,2.0,0.0,1.0,4.0,1.0,9.0,1.0,7.0,3.0,1.0,2.0,2.0,24.0,8.0,4.0,2.0,2.0,6.0,10.0,2.0
128,0.0,2.0,2.0,2.0,0.0,25.0,13.0,4.0,9.0,9.0,1.0,0.0,2.0,0.0,0.0,15.0,5.0,11.0,19.0,17.0,10.0
132,2.0,5.0,46.0,3.0,0.0,391.0,43.0,771.0,1350.0,128.0,1.0,8.0,43.0,2.0,3.0,365.0,378.0,1723.0,1374.0,481.0,112.0
133,1.0,1.0,1.0,0.0,0.0,20.0,6.0,20.0,16.0,6.0,0.0,1.0,0.0,3.0,0.0,9.0,1.0,20.0,11.0,19.0,1.0
136,0.0,0.0,1.0,0.0,0.0,2.0,9.0,3.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,10.0,2.0,3.0,13.0,1.0
14,33.0,23.0,175.0,50.0,48.0,153.0,3.0,348.0,346.0,86.0,58.0,17.0,103.0,123.0,44.0,164.0,5.0,521.0,597.0,253.0,72.0
146,424.0,126.0,612.0,486.0,912.0,1015.0,13897.0,1000.0,2715.0,492.0,837.0,52.0,752.0,666.0,285.0,1299.0,8228.0,4408.0,2413.0,947.0,346.0
15,8.0,1.0,3.0,10.0,7.0,9.0,49.0,6.0,20.0,3.0,10.0,3.0,3.0,58.0,9.0,7.0,6.0,19.0,12.0,15.0,2.0
151,1.0,2.0,3.0,1.0,1.0,2.0,6.0,0.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,6.0,4.0,6.0,3.0,0.0
153,0.0,4.0,0.0,0.0,0.0,16.0,20.0,4.0,4.0,3.0,1.0,0.0,5.0,1.0,0.0,6.0,17.0,10.0,4.0,18.0,4.0
17,1.0,13.0,0.0,5.0,0.0,1.0,5.0,0.0,6.0,0.0,3.0,12.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0
171,32.0,33.0,5.0,38.0,173.0,2.0,28.0,6.0,22.0,3.0,100.0,121.0,12.0,83.0,16.0,8.0,17.0,17.0,11.0,12.0,24.0
175,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,4.0,0.0
180,0.0,7.0,1.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,10.0,1.0
180_2,0.0,17.0,0.0,3.0,0.0,17.0,12.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,2.0,8.0,1.0,12.0,10.0,25.0,6.0
185,3.0,0.0,6.0,2.0,3.0,2.0,2.0,4.0,6.0,2.0,4.0,1.0,5.0,8.0,0.0,2.0,3.0,8.0,4.0,1.0,0.0
187,0.0,0.0,0.0,0.0,0.0,5.0,13.0,5.0,7.0,1.0,0.0,0.0,7.0,0.0,0.0,5.0,6.0,5.0,10.0,13.0,2.0
188,2.0,22.0,7.0,6.0,6.0,1379.0,169.0,1160.0,2526.0,330.0,2.0,20.0,7.0,4.0,1.0,787.0,22.0,2322.0,2179.0,762.0,146.0
