strain_id,A_MTX_5-FC.ERG11_HYR1,A_MTX_Fluconazole.ERG11_HYR1,A_MTX_Metformin.ERG11_HYR1,A_MTX_Trifluoperazine.ERG11_HYR1,A_MTX_noDrug.ERG11_HYR1,A_noMTX_5-FC.ERG11_HYR1,A_noMTX_Fluconazole.ERG11_HYR1,A_noMTX_Metformin.ERG11_HYR1,A_noMTX_Trifluoperazine.ERG11_HYR1,A_noMTX_noDrug.ERG11_HYR1,B_MTX_5-FC.ERG11_HYR1,B_MTX_Fluconazole.ERG11_HYR1,B_MTX_Metformin.ERG11_HYR1,B_MTX_Trifluoperazine.ERG11_HYR1,B_MTX_noDrug.ERG11_HYR1,B_noMTX_5-FC.ERG11_HYR1,B_noMTX_Fluconazole.ERG11_HYR1,B_noMTX_Metformin.ERG11_HYR1,B_noMTX_Trifluoperazine.ERG11_HYR1,B_noMTX_noDrug.ERG11_HYR1,T0_noMTX_noDrug.ERG11_HYR1
1005,88,9.0,22.0,12.0,0.0,166.0,7.0,24.0,96.0,118.0,13.0,1.0,76,1.0,2.0,94.0,11.0,347.0,214.0,55.0,26.0
1007,610,292.0,151.0,64.0,13.0,134.0,649.0,409.0,254.0,310.0,51.0,6.0,910,23.0,40.0,160.0,26.0,549.0,426.0,356.0,66.0
1013,24,0.0,4.0,7.0,1.0,0.0,3.0,1.0,15.0,21.0,0.0,0.0,17,1.0,74.0,9.0,1.0,53.0,10.0,24.0,0.0
1016,12,1.0,4.0,5.0,2.0,13.0,6.0,15.0,12.0,22.0,2.0,0.0,12,1.0,9.0,29.0,10.0,23.0,34.0,32.0,13.0
1018,316,122.0,63.0,132.0,44.0,90.0,66.0,116.0,138.0,93.0,32.0,62.0,311,25.0,184.0,125.0,3.0,448.0,273.0,111.0,33.0
1020,2798,120.0,175.0,1044.0,393.0,48.0,10.0,92.0,155.0,336.0,227.0,1.0,3485,97.0,1731.0,91.0,28.0,465.0,234.0,281.0,52.0
1025,375,48.0,59.0,44.0,17.0,192.0,289.0,134.0,86.0,337.0,20.0,4.0,345,7.0,93.0,331.0,22.0,400.0,340.0,398.0,171.0
1027,163,30.0,277.0,83.0,5.0,60.0,11.0,50.0,29.0,297.0,39.0,1.0,2902,5.0,96.0,65.0,14.0,402.0,27.0,187.0,35.0
1035,144,1.0,12.0,72.0,25.0,3.0,3.0,2.0,10.0,16.0,9.0,2.0,72,21.0,78.0,8.0,1.0,11.0,9.0,9.0,1.0
1038,1566,4.0,61.0,513.0,212.0,127.0,9.0,205.0,103.0,161.0,93.0,1.0,844,178.0,719.0,89.0,3.0,398.0,379.0,238.0,66.0
1040,286,60.0,57.0,52.0,8.0,260.0,1354.0,245.0,319.0,132.0,46.0,1092.0,612,5.0,56.0,189.0,10.0,537.0,506.0,170.0,46.0
1046,399,195.0,108.0,50.0,6.0,181.0,7.0,125.0,130.0,180.0,50.0,901.0,801,42.0,41.0,107.0,3.0,353.0,242.0,170.0,56.0
1050,81,4.0,52.0,498.0,72.0,3.0,1.0,32.0,17.0,68.0,17.0,2.0,449,17.0,719.0,15.0,0.0,108.0,68.0,91.0,8.0
1065,74,9.0,4.0,25.0,28.0,6.0,1.0,2.0,1.0,111.0,3.0,3.0,10,2.0,47.0,6.0,2.0,6.0,1.0,9.0,5.0
1069,2814,536.0,298.0,830.0,474.0,224.0,197.0,96.0,133.0,429.0,167.0,160.0,2370,239.0,1461.0,357.0,70.0,879.0,553.0,389.0,60.0
107,53,1.0,8.0,16.0,2.0,45.0,0.0,16.0,3.0,48.0,43.0,3.0,345,1.0,10.0,19.0,0.0,102.0,58.0,45.0,8.0
113,34,4.0,39.0,24.0,11.0,15.0,1.0,58.0,8.0,27.0,5.0,1.0,14,5.0,264.0,12.0,3.0,37.0,127.0,223.0,48.0
119,10,3.0,2.0,5.0,7.0,0.0,1.0,4.0,3.0,0.0,1.0,1.0,13,6.0,11.0,4.0,0.0,7.0,9.0,1.0,0.0
124,683,0.0,144.0,245.0,178.0,40.0,5.0,58.0,133.0,169.0,80.0,0.0,376,35.0,1548.0,83.0,1.0,209.0,68.0,249.0,35.0
128,89,1.0,38.0,4.0,2.0,49.0,9.0,18.0,52.0,79.0,5.0,0.0,442,1.0,5.0,68.0,3.0,91.0,127.0,102.0,24.0
132,2784,9.0,318.0,358.0,72.0,198.0,33.0,242.0,393.0,589.0,128.0,2.0,3575,57.0,547.0,114.0,9.0,1029.0,684.0,647.0,63.0
133,10,22.0,0.0,3.0,1.0,3.0,5.0,8.0,1.0,7.0,0.0,7.0,8,0.0,12.0,7.0,1.0,8.0,19.0,18.0,3.0
136,9,3.0,2.0,1.0,5.0,5.0,4.0,16.0,10.0,44.0,0.0,0.0,5,0.0,5.0,9.0,1.0,17.0,37.0,32.0,9.0
14,10605,14.0,725.0,2799.0,1061.0,777.0,32.0,2140.0,864.0,2633.0,607.0,23.0,8412,938.0,7281.0,666.0,64.0,4474.0,2522.0,3251.0,455.0
146,9467,434.0,699.0,1879.0,714.0,1252.0,59.0,1033.0,1389.0,1363.0,817.0,98.0,3107,443.0,3296.0,1331.0,126.0,3886.0,2878.0,1685.0,258.0
15,1044,0.0,22.0,18.0,21.0,22.0,3.0,35.0,38.0,79.0,15.0,0.0,1816,26.0,35.0,43.0,1.0,293.0,52.0,144.0,20.0
151,38,1.0,17.0,14.0,6.0,42.0,4.0,33.0,47.0,99.0,29.0,0.0,225,3.0,36.0,81.0,3.0,52.0,44.0,207.0,35.0
153,232,6.0,107.0,28.0,3.0,128.0,7.0,89.0,35.0,324.0,22.0,199.0,167,2.0,68.0,148.0,11.0,449.0,202.0,382.0,94.0
17,16,0.0,1.0,11.0,0.0,2.0,37.0,3.0,19.0,12.0,0.0,1.0,12,1.0,10.0,2.0,6.0,25.0,33.0,13.0,5.0
171,148,8.0,12.0,48.0,22.0,7.0,11.0,5.0,4.0,38.0,8.0,6.0,101,5.0,189.0,13.0,5.0,43.0,10.0,18.0,12.0
175,8,5.0,0.0,5.0,0.0,3.0,3.0,3.0,3.0,6.0,0.0,0.0,8,0.0,9.0,6.0,0.0,6.0,4.0,3.0,6.0
180,343,3.0,78.0,46.0,2.0,63.0,183.0,80.0,59.0,142.0,22.0,2.0,182,2.0,35.0,115.0,1.0,574.0,132.0,165.0,91.0
180_2,1829,10.0,274.0,256.0,68.0,242.0,6.0,945.0,288.0,294.0,316.0,30.0,1081,81.0,357.0,160.0,2.0,1159.0,1158.0,372.0,235.0
185,107,0.0,8.0,29.0,5.0,5.0,0.0,3.0,7.0,7.0,4.0,0.0,35,3.0,57.0,2.0,0.0,12.0,1.0,12.0,2.0
187,255,0.0,8.0,22.0,13.0,48.0,2.0,23.0,55.0,56.0,3.0,0.0,607,1.0,22.0,18.0,4.0,94.0,9.0,48.0,10.0
188,7,7.0,6.0,7.0,0.0,3.0,2.0,11.0,8.0,7.0,1.0,2.0,9,0.0,10.0,20.0,2.0,8.0,9.0,8.0,7.0
192,54,8.0,3.0,12.0,8.0,5.0,12.0,11.0,10.0,16.0,4.0,10.0,27,3.0,27.0,23.0,4.0,31.0,28.0,20.0,8.0
20,98,0.0,13.0,3.0,1.0,20.0,0.0,1.0,1.0,111.0,11.0,0.0,237,0.0,16.0,2.0,36.0,16.0,4.0,74.0,5.0
209,243,15.0,36.0,43.0,4.0,73.0,5.0,109.0,112.0,54.0,20.0,11.0,334,2.0,42.0,113.0,385.0,221.0,216.0,87.0,20.0
210,67,59.0,1.0,27.0,7.0,2.0,5.0,6.0,8.0,14.0,0.0,12.0,51,2.0,70.0,2.0,2.0,36.0,18.0,16.0,4.0
226,669,19.0,78.0,339.0,106.0,30.0,15.0,24.0,42.0,128.0,67.0,2.0,114,37.0,617.0,37.0,2.0,139.0,87.0,96.0,88.0
235,9,0.0,0.0,3.0,0.0,4.0,23.0,3.0,7.0,14.0,1.0,0.0,8,1.0,6.0,0.0,8.0,10.0,12.0,9.0,5.0
240,8,0.0,0.0,1.0,0.0,2.0,4.0,1.0,2.0,6.0,0.0,0.0,12,0.0,3.0,5.0,2.0,12.0,8.0,10.0,1.0
248,8,0.0,1.0,4.0,0.0,2.0,2.0,4.0,19.0,10.0,0.0,0.0,14,0.0,0.0,4.0,0.0,47.0,18.0,12.0,8.0
250,268,0.0,12.0,7.0,3.0,14.0,14.0,5.0,8.0,33.0,15.0,0.0,5,1.0,12.0,17.0,3.0,16.0,19.0,72.0,11.0
252,4,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,7,0.0,22.0,4.0,1.0,5.0,8.0,4.0,1.0
253,367,2.0,5.0,19.0,55.0,8.0,10.0,19.0,24.0,4.0,6.0,0.0,15,3.0,9.0,28.0,1.0,65.0,80.0,106.0,5.0
254,84,1.0,9.0,60.0,32.0,41.0,48.0,62.0,77.0,129.0,24.0,0.0,133,16.0,60.0,85.0,17.0,97.0,472.0,133.0,19.0
257,16,0.0,1.0,6.0,0.0,14.0,49.0,6.0,9.0,5.0,0.0,0.0,27,1.0,11.0,23.0,29.0,19.0,19.0,42.0,27.0
258,215,575.0,21.0,27.0,8.0,42.0,6.0,50.0,56.0,34.0,19.0,25.0,160,12.0,43.0,76.0,293.0,211.0,140.0,69.0,30.0
27,15,1.0,10.0,5.0,4.0,5.0,4.0,34.0,8.0,13.0,7.0,1.0,104,2.0,9.0,12.0,1.0,21.0,14.0,8.0,7.0
270,11,0.0,0.0,3.0,1.0,1.0,3.0,1.0,6.0,6.0,0.0,0.0,10,0.0,11.0,1.0,0.0,5.0,4.0,6.0,1.0
271,135,0.0,16.0,21.0,5.0,25.0,4.0,27.0,49.0,119.0,19.0,0.0,65,1.0,65.0,40.0,4.0,138.0,74.0,68.0,24.0
272,2,0.0,0.0,1.0,1.0,62.0,1.0,152.0,68.0,62.0,0.0,0.0,2,0.0,0.0,117.0,243.0,291.0,77.0,98.0,14.0
277,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,3,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0
286,20,9.0,13.0,20.0,7.0,4.0,5.0,42.0,9.0,16.0,1.0,9.0,46,1.0,20.0,18.0,5.0,13.0,6.0,46.0,4.0
289,315,538.0,19.0,9.0,1.0,42.0,154.0,18.0,19.0,59.0,17.0,375.0,39,0.0,20.0,54.0,67.0,152.0,102.0,69.0,27.0
29,116,1.0,48.0,16.0,4.0,226.0,5.0,305.0,347.0,108.0,4.0,1.0,230,2.0,5.0,136.0,0.0,291.0,347.0,158.0,89.0
291,17,0.0,2.0,0.0,0.0,1.0,14.0,2.0,4.0,4.0,0.0,1.0,23,0.0,4.0,5.0,3.0,9.0,4.0,6.0,0.0
294,212,119.0,61.0,58.0,7.0,63.0,5554.0,108.0,108.0,56.0,28.0,843.0,236,14.0,30.0,108.0,2401.0,463.0,299.0,66.0,37.0
296,14,2.0,7.0,2.0,3.0,36.0,49.0,25.0,23.0,26.0,3.0,5.0,37,0.0,5.0,51.0,53.0,99.0,55.0,67.0,18.0
299,114,0.0,36.0,28.0,3.0,23.0,3.0,30.0,118.0,169.0,0.0,0.0,36,0.0,47.0,20.0,1.0,77.0,112.0,92.0,17.0
307,5,0.0,1.0,1.0,2.0,0.0,16.0,2.0,4.0,4.0,0.0,0.0,4,0.0,0.0,3.0,0.0,2.0,9.0,5.0,10.0
308,16,2.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,0.0,8,1.0,5.0,2.0,1.0,7.0,4.0,7.0,2.0
31,24,1.0,6.0,8.0,9.0,1.0,0.0,3.0,2.0,9.0,6.0,0.0,14,22.0,18.0,2.0,0.0,14.0,11.0,4.0,3.0
311,33,0.0,3.0,9.0,1.0,3.0,1.0,7.0,7.0,6.0,0.0,0.0,41,1.0,19.0,5.0,2.0,12.0,9.0,16.0,0.0
312,1909,177.0,293.0,370.0,481.0,185.0,3.0,87.0,73.0,298.0,169.0,9.0,686,29.0,1076.0,74.0,113.0,262.0,68.0,668.0,44.0
32,6,0.0,0.0,4.0,1.0,0.0,2.0,2.0,2.0,4.0,0.0,1.0,9,0.0,1.0,0.0,1.0,5.0,3.0,3.0,2.0
320,6558,18.0,707.0,1515.0,839.0,928.0,2.0,981.0,1064.0,1128.0,374.0,4.0,5441,325.0,3353.0,878.0,261.0,3133.0,3494.0,2194.0,77.0
323,10,8.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,10,1.0,2.0,6.0,0.0,15.0,3.0,11.0,3.0
325,1252,14.0,573.0,182.0,103.0,587.0,8.0,623.0,280.0,1553.0,200.0,0.0,5942,26.0,402.0,341.0,3.0,1198.0,583.0,1257.0,105.0
33,21,1.0,1.0,4.0,0.0,5.0,0.0,10.0,2.0,5.0,0.0,2.0,3,0.0,3.0,8.0,1.0,49.0,4.0,30.0,4.0
