strain_id,A_MTX_5-FC.PMC1_CTR2,A_MTX_Fluconazole.PMC1_CTR2,A_MTX_Metformin.PMC1_CTR2,A_MTX_Trifluoperazine.PMC1_CTR2,A_MTX_noDrug.PMC1_CTR2,A_noMTX_5-FC.PMC1_CTR2,A_noMTX_Fluconazole.PMC1_CTR2,A_noMTX_Metformin.PMC1_CTR2,A_noMTX_Trifluoperazine.PMC1_CTR2,A_noMTX_noDrug.PMC1_CTR2,B_MTX_5-FC.PMC1_CTR2,B_MTX_Fluconazole.PMC1_CTR2,B_MTX_Metformin.PMC1_CTR2,B_MTX_Trifluoperazine.PMC1_CTR2,B_MTX_noDrug.PMC1_CTR2,B_noMTX_5-FC.PMC1_CTR2,B_noMTX_Fluconazole.PMC1_CTR2,B_noMTX_Metformin.PMC1_CTR2,B_noMTX_Trifluoperazine.PMC1_CTR2,B_noMTX_noDrug.PMC1_CTR2,T0_noMTX_noDrug.PMC1_CTR2
1005,0.0,0.0,1.0,3.0,2.0,69.0,27.0,52.0,36.0,53.0,0.0,0.0,1.0,1.0,0.0,345.0,36.0,58.0,83.0,96.0,36.0
1007,0.0,8.0,1.0,0.0,0.0,230.0,283.0,151.0,166.0,63.0,2.0,16.0,3.0,0.0,0.0,579.0,255.0,218.0,127.0,117.0,19.0
1013,37.0,289.0,3.0,140.0,206.0,48.0,5.0,4.0,3.0,6.0,114.0,5.0,1.0,5.0,2.0,83.0,21.0,5.0,14.0,19.0,2.0
1016,2.0,1.0,3.0,1.0,8.0,71.0,142.0,101.0,54.0,61.0,4.0,0.0,10.0,11.0,2.0,161.0,125.0,125.0,54.0,120.0,129.0
1018,511.0,323.0,490.0,802.0,577.0,111.0,19.0,78.0,52.0,92.0,492.0,108.0,1009.0,749.0,782.0,532.0,67.0,132.0,78.0,161.0,34.0
1020,742.0,95.0,1698.0,2870.0,1244.0,837.0,174.0,673.0,369.0,669.0,971.0,35.0,1435.0,1170.0,1121.0,3467.0,461.0,577.0,923.0,1104.0,150.0
1025,67.0,27.0,16.0,33.0,24.0,740.0,762.0,703.0,215.0,432.0,163.0,70.0,14.0,33.0,65.0,2121.0,622.0,685.0,513.0,715.0,164.0
1027,0.0,4.0,1.0,3.0,0.0,141.0,26.0,48.0,28.0,83.0,0.0,3.0,4.0,4.0,4.0,267.0,123.0,86.0,73.0,70.0,8.0
1035,41.0,38.0,6.0,136.0,117.0,3.0,5.0,8.0,2.0,1.0,60.0,38.0,23.0,69.0,128.0,4.0,16.0,9.0,2.0,5.0,0.0
1038,38.0,1.0,52.0,67.0,108.0,78.0,28.0,95.0,97.0,26.0,30.0,157.0,34.0,12.0,70.0,160.0,13.0,95.0,40.0,61.0,21.0
