strain_id,A_MTX_5-FC.ALO1_UIP4,A_MTX_Fluconazole.ALO1_UIP4,A_MTX_Metformin.ALO1_UIP4,A_MTX_Trifluoperazine.ALO1_UIP4,A_MTX_noDrug.ALO1_UIP4,A_noMTX_5-FC.ALO1_UIP4,A_noMTX_Fluconazole.ALO1_UIP4,A_noMTX_Metformin.ALO1_UIP4,A_noMTX_Trifluoperazine.ALO1_UIP4,A_noMTX_noDrug.ALO1_UIP4,B_MTX_5-FC.ALO1_UIP4,B_MTX_Fluconazole.ALO1_UIP4,B_MTX_Metformin.ALO1_UIP4,B_MTX_Trifluoperazine.ALO1_UIP4,B_MTX_noDrug.ALO1_UIP4,B_noMTX_5-FC.ALO1_UIP4,B_noMTX_Fluconazole.ALO1_UIP4,B_noMTX_Metformin.ALO1_UIP4,B_noMTX_Trifluoperazine.ALO1_UIP4,B_noMTX_noDrug.ALO1_UIP4,T0_noMTX_noDrug.ALO1_UIP4
1005,0.0,0.0,0.0,2.0,0.0,152.0,61.0,67.0,255.0,75.0,1.0,0.0,2.0,0.0,0.0,202.0,180.0,99.0,84.0,69.0,61.0
1007,3.0,1.0,23.0,4.0,0.0,346.0,523.0,367.0,447.0,149.0,1.0,0.0,2.0,2.0,0.0,121.0,126.0,306.0,235.0,313.0,53.0
1013,44.0,0.0,0.0,29.0,17.0,49.0,2.0,2.0,35.0,9.0,81.0,5.0,2.0,5.0,2.0,12.0,47.0,12.0,7.0,17.0,17.0
1016,2.0,1.0,14.0,7.0,18.0,346.0,272.0,282.0,415.0,1037.0,2.0,0.0,5.0,3.0,1.0,360.0,321.0,339.0,312.0,736.0,340.0
1018,1168.0,239.0,1946.0,4260.0,2910.0,487.0,29.0,286.0,498.0,321.0,1201.0,13.0,1853.0,585.0,767.0,356.0,119.0,294.0,109.0,203.0,95.0
1020,1848.0,7.0,1348.0,2458.0,2041.0,616.0,140.0,358.0,1038.0,264.0,824.0,1.0,1183.0,1125.0,662.0,408.0,234.0,763.0,389.0,222.0,143.0
1025,16.0,29.0,14.0,104.0,7.0,669.0,804.0,429.0,639.0,421.0,12.0,30.0,6.0,17.0,4.0,742.0,1275.0,862.0,229.0,529.0,233.0
1027,0.0,0.0,8.0,3.0,0.0,318.0,124.0,262.0,1043.0,131.0,4.0,0.0,4.0,0.0,0.0,309.0,13.0,677.0,102.0,100.0,78.0
1035,35.0,31.0,17.0,198.0,14.0,3.0,18.0,4.0,83.0,3.0,37.0,4.0,23.0,36.0,7.0,6.0,6.0,2.0,5.0,5.0,0.0
1038,351.0,16.0,128.0,280.0,171.0,208.0,147.0,152.0,200.0,119.0,528.0,1.0,193.0,102.0,33.0,159.0,16.0,98.0,110.0,151.0,74.0
1040,13.0,18.0,33.0,193.0,13.0,677.0,296.0,317.0,698.0,415.0,13.0,5.0,25.0,20.0,11.0,469.0,190.0,449.0,329.0,614.0,217.0
1046,4.0,3.0,2.0,7.0,0.0,18.0,10.0,18.0,74.0,11.0,1.0,1.0,2.0,3.0,0.0,58.0,16.0,19.0,53.0,45.0,13.0
1050,69.0,2.0,20.0,47.0,9.0,93.0,1.0,26.0,281.0,9.0,4.0,1.0,280.0,9.0,3.0,21.0,4.0,93.0,14.0,4.0,8.0
1065,23.0,22.0,97.0,70.0,182.0,74.0,48.0,21.0,83.0,38.0,9.0,0.0,30.0,28.0,9.0,24.0,124.0,91.0,12.0,31.0,33.0
1069,180.0,531.0,192.0,667.0,1266.0,87.0,102.0,212.0,239.0,16.0,528.0,398.0,205.0,326.0,46.0,127.0,77.0,72.0,95.0,104.0,37.0
107,1.0,1.0,1.0,6.0,1.0,7.0,4.0,0.0,9.0,4.0,2.0,2.0,2.0,0.0,0.0,10.0,5.0,3.0,4.0,5.0,4.0
113,2284.0,1.0,227.0,996.0,601.0,76.0,8.0,78.0,95.0,490.0,2700.0,0.0,109.0,232.0,244.0,107.0,17.0,64.0,55.0,212.0,142.0
119,1.0,2.0,1.0,10.0,5.0,0.0,3.0,4.0,9.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0
124,558.0,1.0,299.0,1065.0,827.0,100.0,30.0,49.0,51.0,36.0,220.0,16.0,126.0,511.0,378.0,63.0,13.0,42.0,24.0,61.0,54.0
