strain_id,A_MTX_5-FC.RET2_SNA3,A_MTX_Fluconazole.RET2_SNA3,A_MTX_Metformin.RET2_SNA3,A_MTX_Trifluoperazine.RET2_SNA3,A_MTX_noDrug.RET2_SNA3,A_noMTX_5-FC.RET2_SNA3,A_noMTX_Fluconazole.RET2_SNA3,A_noMTX_Metformin.RET2_SNA3,A_noMTX_Trifluoperazine.RET2_SNA3,A_noMTX_noDrug.RET2_SNA3,B_MTX_5-FC.RET2_SNA3,B_MTX_Fluconazole.RET2_SNA3,B_MTX_Metformin.RET2_SNA3,B_MTX_Trifluoperazine.RET2_SNA3,B_MTX_noDrug.RET2_SNA3,B_noMTX_5-FC.RET2_SNA3,B_noMTX_Fluconazole.RET2_SNA3,B_noMTX_Metformin.RET2_SNA3,B_noMTX_Trifluoperazine.RET2_SNA3,B_noMTX_noDrug.RET2_SNA3,T0_noMTX_noDrug.RET2_SNA3
1005,2.0,0.0,1.0,0.0,0.0,6.0,6.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,7.0,4.0,2.0
1007,2.0,4.0,1.0,0.0,0.0,9.0,11.0,5.0,6.0,4.0,0.0,0.0,9.0,0.0,0.0,4.0,2.0,13.0,15.0,4.0,0.0
1013,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,4.0,2.0,0.0
1016,1.0,1.0,1.0,0.0,1.0,6.0,25.0,6.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,21.0,8.0,7.0,5.0,5.0
1018,43.0,14.0,11.0,21.0,32.0,15.0,5.0,12.0,8.0,7.0,43.0,1.0,71.0,15.0,13.0,15.0,4.0,16.0,12.0,18.0,1.0
1020,104.0,2.0,29.0,53.0,35.0,76.0,21.0,11.0,16.0,11.0,97.0,4.0,151.0,109.0,33.0,16.0,10.0,32.0,26.0,37.0,12.0
1025,10.0,9.0,0.0,2.0,3.0,29.0,15.0,19.0,15.0,11.0,3.0,3.0,13.0,1.0,0.0,12.0,23.0,61.0,27.0,31.0,16.0
1027,2.0,12.0,0.0,1.0,0.0,1.0,46.0,6.0,1.0,0.0,2.0,0.0,17.0,0.0,0.0,5.0,11.0,7.0,13.0,4.0,5.0
1035,26.0,3.0,3.0,5.0,19.0,0.0,1.0,1.0,1.0,1.0,13.0,1.0,18.0,18.0,11.0,0.0,6.0,4.0,1.0,0.0,1.0
1038,23.0,3.0,2.0,8.0,5.0,3.0,4.0,3.0,4.0,1.0,12.0,0.0,11.0,7.0,4.0,3.0,1.0,11.0,13.0,4.0,5.0
1040,11.0,10.0,2.0,3.0,2.0,11.0,8.0,21.0,14.0,11.0,8.0,5.0,13.0,1.0,4.0,8.0,10.0,33.0,38.0,30.0,11.0
1046,4.0,2.0,0.0,0.0,0.0,7.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,11.0,7.0,5.0,4.0
1050,8.0,1.0,5.0,7.0,5.0,18.0,1.0,3.0,2.0,7.0,4.0,0.0,24.0,6.0,5.0,3.0,1.0,7.0,5.0,12.0,4.0
1065,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,2.0
1069,199.0,174.0,28.0,61.0,196.0,30.0,37.0,29.0,22.0,9.0,283.0,115.0,152.0,135.0,79.0,11.0,54.0,36.0,38.0,30.0,20.0
107,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0
113,6.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,6.0,2.0,4.0,2.0,5.0,1.0,37.0,2.0,1.0,4.0,10.0,3.0,2.0
119,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,4.0,5.0,1.0,0.0
124,7.0,1.0,9.0,2.0,5.0,5.0,2.0,2.0,3.0,5.0,6.0,2.0,18.0,3.0,8.0,3.0,3.0,6.0,2.0,5.0,3.0
128,1.0,0.0,0.0,0.0,0.0,38.0,1.0,6.0,9.0,2.0,0.0,0.0,3.0,0.0,0.0,9.0,4.0,14.0,16.0,11.0,11.0
132,21.0,1.0,1.0,1.0,1.0,13.0,20.0,21.0,11.0,9.0,1.0,2.0,32.0,0.0,0.0,10.0,14.0,36.0,42.0,16.0,9.0
133,3.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0
136,3.0,4.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,6.0,0.0,3.0
14,92.0,10.0,15.0,40.0,24.0,16.0,6.0,21.0,9.0,13.0,35.0,2.0,65.0,48.0,25.0,8.0,4.0,38.0,52.0,32.0,8.0
146,127.0,9.0,30.0,60.0,27.0,69.0,15.0,37.0,42.0,11.0,48.0,5.0,165.0,50.0,52.0,45.0,17.0,68.0,106.0,47.0,20.0
15,13.0,3.0,3.0,1.0,6.0,10.0,4.0,2.0,2.0,3.0,6.0,0.0,15.0,3.0,2.0,4.0,1.0,5.0,1.0,3.0,4.0
151,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,0.0,3.0
153,0.0,0.0,1.0,0.0,0.0,5.0,9.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,5.0,9.0,2.0
