strain_id,A_MTX_5-FC.SRO9_GIS2,A_MTX_Fluconazole.SRO9_GIS2,A_MTX_Metformin.SRO9_GIS2,A_MTX_Trifluoperazine.SRO9_GIS2,A_MTX_noDrug.SRO9_GIS2,A_noMTX_5-FC.SRO9_GIS2,A_noMTX_Fluconazole.SRO9_GIS2,A_noMTX_Metformin.SRO9_GIS2,A_noMTX_Trifluoperazine.SRO9_GIS2,A_noMTX_noDrug.SRO9_GIS2,B_MTX_5-FC.SRO9_GIS2,B_MTX_Fluconazole.SRO9_GIS2,B_MTX_Metformin.SRO9_GIS2,B_MTX_Trifluoperazine.SRO9_GIS2,B_MTX_noDrug.SRO9_GIS2,B_noMTX_5-FC.SRO9_GIS2,B_noMTX_Fluconazole.SRO9_GIS2,B_noMTX_Metformin.SRO9_GIS2,B_noMTX_Trifluoperazine.SRO9_GIS2,B_noMTX_noDrug.SRO9_GIS2,T0_noMTX_noDrug.SRO9_GIS2
1005,7.0,1.0,45.0,47.0,1.0,202.0,4.0,80.0,64.0,79.0,40.0,0.0,70.0,21.0,1.0,109.0,5.0,368,57.0,291.0,28.0
1007,4.0,19.0,17.0,10.0,0.0,49.0,239.0,89.0,33.0,19.0,3.0,4.0,27.0,0.0,0.0,37.0,23.0,227,34.0,64.0,2.0
1013,1.0,76.0,4.0,182.0,4.0,4.0,10.0,4.0,11.0,1.0,322.0,3.0,6.0,3.0,0.0,22.0,6.0,381,5.0,127.0,0.0
1016,43.0,9.0,57.0,45.0,2.0,2534.0,631.0,1459.0,593.0,441.0,78.0,5.0,86.0,8.0,1.0,1113.0,1528.0,2085,793.0,1195.0,164.0
1018,222.0,624.0,321.0,1395.0,60.0,675.0,275.0,287.0,237.0,238.0,830.0,243.0,734.0,546.0,81.0,318.0,61.0,1226,157.0,713.0,43.0
1020,394.0,43.0,698.0,2719.0,168.0,473.0,33.0,480.0,323.0,231.0,1945.0,52.0,1706.0,1498.0,127.0,277.0,58.0,2503,185.0,1110.0,45.0
1025,64.0,129.0,226.0,235.0,41.0,1006.0,529.0,564.0,356.0,593.0,218.0,22.0,408.0,131.0,52.0,561.0,661.0,2006,153.0,2087.0,83.0
1027,23.0,880.0,372.0,165.0,0.0,234.0,1239.0,441.0,183.0,222.0,140.0,116.0,369.0,66.0,2.0,271.0,618.0,2063,63.0,1094.0,13.0
1035,10.0,44.0,12.0,66.0,18.0,3.0,2.0,4.0,19.0,3.0,24.0,19.0,7.0,13.0,9.0,9.0,4.0,68,4.0,34.0,0.0
1038,234.0,4.0,36.0,102.0,11.0,91.0,5.0,108.0,22.0,37.0,173.0,0.0,79.0,98.0,22.0,49.0,7.0,192,55.0,82.0,11.0
1040,22.0,27.0,31.0,103.0,2.0,537.0,35.0,1076.0,242.0,360.0,81.0,7.0,41.0,23.0,3.0,496.0,36.0,1581,276.0,1077.0,31.0
1046,0.0,0.0,2.0,23.0,0.0,117.0,14.0,34.0,33.0,19.0,3.0,0.0,4.0,4.0,0.0,35.0,82.0,84,19.0,54.0,17.0
1050,245.0,142.0,315.0,969.0,7.0,70.0,27.0,225.0,128.0,124.0,469.0,0.0,339.0,760.0,82.0,89.0,58.0,703,190.0,493.0,10.0
1065,25.0,72.0,76.0,239.0,3.0,43.0,59.0,49.0,46.0,67.0,166.0,3.0,119.0,94.0,6.0,35.0,131.0,553,23.0,189.0,6.0
1069,101.0,423.0,120.0,194.0,215.0,73.0,669.0,94.0,41.0,28.0,238.0,128.0,111.0,146.0,53.0,86.0,39.0,293,60.0,103.0,17.0
107,7.0,91.0,8.0,15.0,0.0,9.0,100.0,26.0,38.0,10.0,5.0,16.0,61.0,6.0,0.0,22.0,2.0,87,10.0,102.0,2.0
113,8.0,51.0,21.0,15.0,13.0,205.0,8.0,151.0,46.0,31.0,6.0,27.0,3.0,5.0,4.0,89.0,444.0,676,44.0,41.0,48.0
119,0.0,4.0,2.0,21.0,9.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,4.0,3.0,17,0.0,3.0,0.0
124,21.0,4.0,24.0,28.0,3.0,41.0,2.0,38.0,19.0,25.0,23.0,0.0,29.0,8.0,3.0,29.0,148.0,158,28.0,105.0,12.0
128,3.0,12.0,0.0,8.0,0.0,201.0,53.0,96.0,63.0,121.0,7.0,0.0,7.0,4.0,0.0,223.0,23.0,548,61.0,113.0,15.0
132,25.0,92.0,123.0,45.0,0.0,123.0,94.0,218.0,113.0,197.0,32.0,31.0,253.0,65.0,1.0,102.0,2.0,630,112.0,366.0,17.0
