strain_id,A_MTX_5-FC.RET2_EMP70,A_MTX_Fluconazole.RET2_EMP70,A_MTX_Metformin.RET2_EMP70,A_MTX_Trifluoperazine.RET2_EMP70,A_MTX_noDrug.RET2_EMP70,A_noMTX_5-FC.RET2_EMP70,A_noMTX_Fluconazole.RET2_EMP70,A_noMTX_Metformin.RET2_EMP70,A_noMTX_Trifluoperazine.RET2_EMP70,A_noMTX_noDrug.RET2_EMP70,B_MTX_5-FC.RET2_EMP70,B_MTX_Fluconazole.RET2_EMP70,B_MTX_Metformin.RET2_EMP70,B_MTX_Trifluoperazine.RET2_EMP70,B_MTX_noDrug.RET2_EMP70,B_noMTX_5-FC.RET2_EMP70,B_noMTX_Fluconazole.RET2_EMP70,B_noMTX_Metformin.RET2_EMP70,B_noMTX_Trifluoperazine.RET2_EMP70,B_noMTX_noDrug.RET2_EMP70,T0_noMTX_noDrug.RET2_EMP70
1005,1.0,2.0,0.0,1.0,3.0,3.0,3.0,5.0,12.0,4.0,0.0,0.0,1.0,3.0,0.0,9.0,14.0,17.0,28.0,11.0,1.0
1007,6.0,6.0,1.0,1.0,0.0,7.0,4.0,2.0,7.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,3.0,16.0,13.0,8.0,4.0
1013,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,7.0,1.0,5.0,1.0,0.0,1.0,0.0,3.0,1.0,25.0,12.0,26.0,0.0
1016,3.0,0.0,0.0,0.0,1.0,8.0,7.0,10.0,6.0,9.0,1.0,0.0,1.0,0.0,0.0,9.0,66.0,20.0,9.0,16.0,8.0
1018,45.0,20.0,17.0,87.0,96.0,13.0,8.0,18.0,10.0,7.0,61.0,1.0,69.0,28.0,15.0,16.0,2.0,22.0,36.0,20.0,3.0
1020,94.0,2.0,60.0,74.0,63.0,21.0,9.0,26.0,15.0,20.0,110.0,0.0,176.0,267.0,25.0,10.0,7.0,33.0,30.0,47.0,9.0
1025,13.0,19.0,4.0,16.0,7.0,169.0,32.0,174.0,48.0,171.0,5.0,19.0,8.0,5.0,3.0,137.0,38.0,663.0,300.0,534.0,14.0
1027,2.0,1.0,0.0,2.0,0.0,5.0,16.0,9.0,6.0,4.0,0.0,0.0,16.0,0.0,0.0,2.0,4.0,11.0,6.0,7.0,3.0
1035,42.0,8.0,8.0,97.0,12.0,5.0,2.0,4.0,4.0,0.0,42.0,1.0,25.0,30.0,13.0,4.0,10.0,5.0,4.0,2.0,2.0
1038,13.0,0.0,4.0,5.0,4.0,7.0,9.0,4.0,9.0,3.0,7.0,1.0,9.0,6.0,3.0,5.0,3.0,12.0,18.0,12.0,5.0
1040,12.0,23.0,5.0,13.0,3.0,17.0,30.0,15.0,11.0,16.0,11.0,3.0,10.0,7.0,0.0,22.0,10.0,32.0,31.0,38.0,8.0
1046,1.0,1.0,0.0,1.0,1.0,3.0,8.0,1.0,3.0,4.0,2.0,2.0,5.0,3.0,0.0,7.0,12.0,12.0,17.0,12.0,3.0
1050,4.0,1.0,4.0,8.0,4.0,4.0,3.0,8.0,4.0,3.0,4.0,0.0,11.0,2.0,0.0,3.0,0.0,14.0,8.0,13.0,0.0
1065,6.0,5.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,4.0,7.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0
1069,444.0,176.0,38.0,340.0,390.0,23.0,49.0,56.0,37.0,14.0,403.0,124.0,176.0,276.0,112.0,28.0,55.0,46.0,234.0,37.0,16.0
107,3.0,0.0,0.0,1.0,0.0,13.0,3.0,6.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,1.0
