strain_id,A_MTX_5-FC.ERG27_ACF2,A_MTX_Fluconazole.ERG27_ACF2,A_MTX_Metformin.ERG27_ACF2,A_MTX_Trifluoperazine.ERG27_ACF2,A_MTX_noDrug.ERG27_ACF2,A_noMTX_5-FC.ERG27_ACF2,A_noMTX_Fluconazole.ERG27_ACF2,A_noMTX_Metformin.ERG27_ACF2,A_noMTX_Trifluoperazine.ERG27_ACF2,A_noMTX_noDrug.ERG27_ACF2,B_MTX_5-FC.ERG27_ACF2,B_MTX_Fluconazole.ERG27_ACF2,B_MTX_Metformin.ERG27_ACF2,B_MTX_Trifluoperazine.ERG27_ACF2,B_MTX_noDrug.ERG27_ACF2,B_noMTX_5-FC.ERG27_ACF2,B_noMTX_Fluconazole.ERG27_ACF2,B_noMTX_Metformin.ERG27_ACF2,B_noMTX_Trifluoperazine.ERG27_ACF2,B_noMTX_noDrug.ERG27_ACF2,T0_noMTX_noDrug.ERG27_ACF2
1005,2.0,0.0,1.0,10.0,4.0,231.0,544.0,331.0,198.0,304.0,3.0,0.0,9.0,5.0,0.0,269.0,696.0,24.0,395.0,99.0,235.0
1007,1.0,10.0,0.0,1.0,0.0,304.0,179.0,124.0,138.0,231.0,1.0,3.0,4.0,0.0,0.0,91.0,378.0,50.0,249.0,99.0,69.0
1013,2.0,2.0,1.0,3.0,34.0,1.0,0.0,5.0,2.0,3.0,0.0,0.0,9.0,3.0,2.0,1.0,2.0,6.0,5.0,1.0,2.0
1016,0.0,0.0,1.0,4.0,0.0,69.0,50.0,205.0,171.0,295.0,1.0,0.0,8.0,0.0,0.0,80.0,140.0,31.0,144.0,101.0,76.0
1018,586.0,598.0,543.0,2277.0,2134.0,122.0,9.0,235.0,181.0,353.0,2011.0,15.0,2480.0,471.0,316.0,172.0,126.0,86.0,303.0,114.0,96.0
1020,72.0,4.0,146.0,1598.0,213.0,166.0,18.0,130.0,188.0,170.0,196.0,0.0,613.0,233.0,57.0,42.0,156.0,46.0,106.0,57.0,85.0
1025,8.0,12.0,4.0,64.0,10.0,176.0,76.0,281.0,102.0,230.0,12.0,3.0,16.0,1.0,4.0,106.0,44.0,24.0,289.0,88.0,85.0
1027,2.0,0.0,2.0,2.0,0.0,126.0,471.0,163.0,178.0,231.0,0.0,0.0,9.0,2.0,2.0,83.0,927.0,20.0,135.0,56.0,59.0
1035,29.0,17.0,10.0,452.0,74.0,4.0,3.0,5.0,36.0,33.0,44.0,1.0,55.0,22.0,22.0,6.0,2.0,2.0,8.0,0.0,4.0
1038,54.0,1.0,74.0,104.0,63.0,291.0,7.0,230.0,343.0,323.0,18.0,0.0,151.0,12.0,36.0,212.0,34.0,70.0,402.0,122.0,145.0
1040,15.0,18.0,10.0,42.0,10.0,217.0,320.0,361.0,184.0,366.0,16.0,1.0,25.0,3.0,6.0,209.0,55.0,68.0,372.0,161.0,111.0
1046,3.0,7.0,0.0,0.0,0.0,92.0,83.0,78.0,82.0,89.0,4.0,0.0,6.0,0.0,3.0,55.0,14.0,20.0,174.0,37.0,98.0
1050,193.0,0.0,95.0,57.0,34.0,36.0,4.0,85.0,60.0,242.0,123.0,0.0,78.0,47.0,6.0,50.0,3.0,30.0,79.0,136.0,41.0
1065,1.0,5.0,19.0,20.0,5.0,2.0,3.0,9.0,9.0,18.0,5.0,5.0,43.0,41.0,4.0,0.0,20.0,2.0,8.0,9.0,10.0
1069,29860.0,6493.0,5961.0,24878.0,31303.0,3447.0,3140.0,6395.0,3873.0,4347.0,38948.0,5867.0,14679.0,13547.0,6095.0,4104.0,4952.0,677.0,6465.0,1710.0,2055.0
107,0.0,1.0,1.0,1.0,0.0,18.0,57.0,41.0,24.0,49.0,3.0,0.0,2.0,0.0,1.0,78.0,1.0,11.0,52.0,15.0,30.0
113,327.0,38.0,233.0,453.0,74.0,167.0,38.0,364.0,70.0,214.0,730.0,5.0,84.0,218.0,8801.0,65.0,41.0,126.0,151.0,123.0,158.0
119,2.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,2.0,4.0,0.0,1.0
124,8.0,1.0,6.0,3.0,3.0,3.0,13.0,2.0,1.0,6.0,7.0,1.0,18.0,2.0,26.0,3.0,0.0,6.0,3.0,0.0,4.0
128,0.0,0.0,1.0,0.0,0.0,776.0,146.0,908.0,595.0,758.0,1.0,2.0,2.0,0.0,0.0,850.0,112.0,87.0,1079.0,331.0,310.0
132,9.0,0.0,3.0,1.0,0.0,207.0,24.0,503.0,335.0,400.0,3.0,0.0,10.0,1.0,1.0,212.0,67.0,63.0,689.0,153.0,130.0
133,0.0,2.0,1.0,0.0,0.0,2.0,10.0,2.0,4.0,1.0,0.0,4.0,1.0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0
136,0.0,2.0,0.0,2.0,1.0,84.0,68.0,261.0,152.0,154.0,0.0,0.0,1.0,1.0,0.0,86.0,21.0,47.0,217.0,142.0,96.0
14,384.0,7.0,105.0,971.0,1460.0,135.0,140.0,395.0,147.0,392.0,410.0,0.0,512.0,690.0,612.0,158.0,360.0,166.0,358.0,169.0,212.0
146,475.0,21.0,911.0,792.0,181.0,1127.0,567.0,1603.0,1053.0,1509.0,409.0,4.0,2335.0,116.0,163.0,1163.0,638.0,294.0,2500.0,654.0,544.0
15,381.0,1.0,72.0,500.0,310.0,61.0,88.0,171.0,80.0,171.0,286.0,2.0,409.0,111.0,138.0,140.0,10.0,40.0,201.0,65.0,80.0
151,0.0,1.0,0.0,6.0,0.0,33.0,29.0,38.0,38.0,79.0,0.0,0.0,3.0,2.0,3.0,22.0,3.0,0.0,47.0,11.0,60.0
153,0.0,0.0,0.0,0.0,0.0,51.0,289.0,54.0,38.0,162.0,0.0,0.0,2.0,0.0,0.0,75.0,698.0,15.0,59.0,82.0,85.0
17,0.0,1.0,0.0,29.0,0.0,0.0,4.0,1.0,4.0,0.0,1.0,0.0,4.0,1.0,3.0,1.0,0.0,2.0,5.0,0.0,2.0
171,10.0,15.0,1.0,53.0,6.0,9.0,6.0,14.0,16.0,12.0,44.0,0.0,24.0,2.0,16.0,4.0,4.0,6.0,22.0,5.0,28.0
175,0.0,0.0,0.0,1.0,1.0,26.0,40.0,11.0,16.0,37.0,0.0,0.0,0.0,0.0,0.0,17.0,32.0,5.0,13.0,8.0,14.0
180,2.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,5.0,4.0,2.0,2.0
180_2,5.0,0.0,1.0,5.0,2.0,4.0,2.0,16.0,5.0,10.0,1.0,1.0,10.0,0.0,1.0,1.0,3.0,8.0,18.0,2.0,6.0
185,12.0,3.0,5.0,52.0,23.0,1.0,2.0,4.0,17.0,11.0,25.0,0.0,45.0,9.0,7.0,7.0,2.0,1.0,7.0,1.0,1.0
187,0.0,0.0,1.0,2.0,0.0,38.0,364.0,93.0,45.0,54.0,0.0,0.0,9.0,0.0,0.0,45.0,389.0,6.0,49.0,16.0,28.0
188,1.0,1.0,0.0,5.0,4.0,40.0,13.0,23.0,11.0,12.0,5.0,1.0,4.0,2.0,3.0,21.0,3.0,19.0,30.0,19.0,10.0
192,8.0,12.0,1.0,120.0,17.0,17.0,26.0,23.0,15.0,88.0,13.0,2.0,17.0,7.0,14.0,29.0,90.0,13.0,35.0,23.0,23.0
20,1.0,1.0,0.0,0.0,0.0,2.0,193.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,38.0,4.0,3.0,1.0,1.0
209,3.0,9.0,0.0,13.0,2.0,34.0,85.0,46.0,38.0,66.0,1.0,2.0,5.0,1.0,2.0,47.0,349.0,19.0,95.0,31.0,54.0
210,7.0,3.0,0.0,6.0,2.0,5.0,1.0,8.0,4.0,0.0,1.0,1.0,6.0,2.0,6.0,0.0,0.0,3.0,4.0,0.0,2.0
