strain_id,A_MTX_5-FC.TPO1_MID2,A_MTX_Fluconazole.TPO1_MID2,A_MTX_Metformin.TPO1_MID2,A_MTX_Trifluoperazine.TPO1_MID2,A_MTX_noDrug.TPO1_MID2,A_noMTX_5-FC.TPO1_MID2,A_noMTX_Fluconazole.TPO1_MID2,A_noMTX_Metformin.TPO1_MID2,A_noMTX_Trifluoperazine.TPO1_MID2,A_noMTX_noDrug.TPO1_MID2,B_MTX_5-FC.TPO1_MID2,B_MTX_Fluconazole.TPO1_MID2,B_MTX_Metformin.TPO1_MID2,B_MTX_Trifluoperazine.TPO1_MID2,B_MTX_noDrug.TPO1_MID2,B_noMTX_5-FC.TPO1_MID2,B_noMTX_Fluconazole.TPO1_MID2,B_noMTX_Metformin.TPO1_MID2,B_noMTX_Trifluoperazine.TPO1_MID2,B_noMTX_noDrug.TPO1_MID2,T0_noMTX_noDrug.TPO1_MID2
1005,3.0,0.0,3.0,0.0,1.0,43.0,40.0,22.0,34.0,51.0,1.0,1.0,3.0,0.0,0.0,91.0,7.0,18.0,16.0,12.0,29.0
1007,4.0,6.0,3.0,0.0,0.0,52.0,9.0,15.0,14.0,15.0,4.0,1.0,14.0,0.0,0.0,74.0,6.0,25.0,10.0,10.0,4.0
1013,3.0,1.0,0.0,6.0,3.0,1.0,1.0,2.0,0.0,3.0,16.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0
1016,2.0,0.0,5.0,0.0,0.0,82.0,272.0,83.0,81.0,324.0,0.0,0.0,7.0,2.0,0.0,169.0,59.0,83.0,68.0,48.0,169.0
1018,40.0,15.0,16.0,121.0,29.0,17.0,2.0,7.0,8.0,22.0,25.0,37.0,60.0,37.0,11.0,18.0,1.0,14.0,10.0,13.0,5.0
1020,1560.0,3.0,991.0,2906.0,1915.0,646.0,880.0,1206.0,750.0,327.0,1271.0,11.0,6545.0,1938.0,91.0,1105.0,306.0,370.0,382.0,107.0,148.0
1025,12.0,11.0,29.0,2.0,3.0,429.0,582.0,436.0,383.0,513.0,6.0,3.0,93.0,5.0,2.0,517.0,215.0,214.0,103.0,96.0,165.0
1027,1.0,7.0,2.0,4.0,0.0,8.0,6.0,81.0,8.0,20.0,0.0,0.0,5.0,0.0,1.0,15.0,7.0,8.0,10.0,7.0,1.0
1035,40.0,7.0,4.0,50.0,14.0,4.0,1.0,1.0,9.0,0.0,7.0,0.0,12.0,16.0,6.0,2.0,2.0,3.0,3.0,2.0,3.0
1038,88.0,0.0,42.0,111.0,40.0,35.0,55.0,11.0,36.0,25.0,86.0,1.0,186.0,112.0,18.0,50.0,112.0,51.0,45.0,30.0,19.0
1040,16.0,7.0,6.0,15.0,3.0,119.0,68.0,108.0,70.0,129.0,7.0,5.0,24.0,3.0,1.0,283.0,16.0,106.0,76.0,60.0,62.0
1046,2.0,0.0,0.0,2.0,1.0,3.0,15.0,2.0,16.0,15.0,1.0,8.0,3.0,1.0,1.0,35.0,41.0,22.0,9.0,3.0,11.0
1050,2.0,2.0,4.0,15.0,1.0,7.0,2.0,4.0,9.0,10.0,3.0,2.0,15.0,2.0,1.0,6.0,1.0,10.0,7.0,8.0,2.0
1065,34.0,10.0,82.0,59.0,45.0,64.0,28.0,32.0,36.0,72.0,32.0,45.0,145.0,22.0,1.0,50.0,185.0,64.0,7.0,11.0,31.0
1069,1919.0,1129.0,610.0,1409.0,2081.0,348.0,2318.0,389.0,327.0,210.0,1210.0,1913.0,2675.0,1464.0,176.0,1100.0,252.0,311.0,226.0,81.0,146.0
107,0.0,1.0,2.0,2.0,2.0,27.0,1.0,22.0,3.0,15.0,0.0,0.0,34.0,0.0,0.0,60.0,1.0,2.0,4.0,2.0,3.0
113,5.0,9.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,14.0,8.0,1.0,2.0,6.0,2.0,3.0
119,6.0,0.0,0.0,13.0,0.0,3.0,3.0,2.0,11.0,1.0,2.0,2.0,5.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,1.0
124,165.0,0.0,205.0,159.0,220.0,85.0,71.0,33.0,43.0,87.0,230.0,42.0,1070.0,193.0,14.0,92.0,252.0,79.0,13.0,9.0,47.0
128,1.0,2.0,3.0,7.0,0.0,349.0,17.0,197.0,175.0,144.0,0.0,1.0,38.0,1.0,1.0,864.0,6.0,101.0,133.0,45.0,59.0
132,9.0,19.0,88.0,2.0,0.0,468.0,409.0,671.0,581.0,414.0,1.0,20.0,525.0,0.0,0.0,1114.0,293.0,437.0,284.0,125.0,155.0
133,0.0,2.0,8.0,0.0,0.0,35.0,7.0,15.0,47.0,38.0,1.0,1.0,3.0,0.0,0.0,109.0,0.0,8.0,20.0,12.0,8.0
136,2.0,0.0,0.0,2.0,0.0,11.0,2.0,9.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,56.0,2.0,12.0,11.0,14.0,4.0
14,61.0,4.0,10.0,56.0,21.0,9.0,3.0,6.0,9.0,15.0,11.0,2.0,36.0,32.0,39.0,8.0,2.0,34.0,18.0,32.0,8.0
146,641.0,13.0,893.0,884.0,656.0,1650.0,165.0,1653.0,1281.0,970.0,556.0,23.0,4291.0,744.0,135.0,5482.0,287.0,1325.0,870.0,405.0,465.0
15,129.0,6.0,226.0,112.0,97.0,94.0,2.0,74.0,50.0,135.0,134.0,6.0,205.0,100.0,18.0,199.0,67.0,59.0,21.0,27.0,66.0
151,0.0,2.0,3.0,3.0,1.0,41.0,46.0,26.0,46.0,45.0,0.0,1.0,13.0,0.0,0.0,74.0,1.0,11.0,18.0,17.0,35.0
153,3.0,2.0,0.0,0.0,0.0,4.0,12.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,5.0,0.0,10.0,1.0
17,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0,1.0,1.0
