strain_id,A_MTX_5-FC.SSH1_PIS1,A_MTX_Fluconazole.SSH1_PIS1,A_MTX_Metformin.SSH1_PIS1,A_MTX_Trifluoperazine.SSH1_PIS1,A_MTX_noDrug.SSH1_PIS1,A_noMTX_5-FC.SSH1_PIS1,A_noMTX_Fluconazole.SSH1_PIS1,A_noMTX_Metformin.SSH1_PIS1,A_noMTX_Trifluoperazine.SSH1_PIS1,A_noMTX_noDrug.SSH1_PIS1,B_MTX_5-FC.SSH1_PIS1,B_MTX_Fluconazole.SSH1_PIS1,B_MTX_Metformin.SSH1_PIS1,B_MTX_Trifluoperazine.SSH1_PIS1,B_MTX_noDrug.SSH1_PIS1,B_noMTX_5-FC.SSH1_PIS1,B_noMTX_Fluconazole.SSH1_PIS1,B_noMTX_Metformin.SSH1_PIS1,B_noMTX_Trifluoperazine.SSH1_PIS1,B_noMTX_noDrug.SSH1_PIS1,T0_noMTX_noDrug.SSH1_PIS1
1005,0.0,0.0,2.0,15.0,0.0,742.0,4.0,1009.0,392.0,503.0,0.0,0.0,3.0,2.0,1.0,480.0,14.0,774.0,964.0,339.0,19.0
1007,0.0,9.0,3.0,3.0,0.0,200.0,10.0,376.0,118.0,196.0,0.0,6.0,24.0,0.0,0.0,216.0,32.0,162.0,337.0,132.0,2.0
1013,0.0,1.0,0.0,5.0,0.0,10.0,3.0,30.0,9.0,10.0,3.0,8.0,13.0,0.0,2.0,12.0,2.0,21.0,23.0,22.0,0.0
1016,3.0,0.0,3.0,3.0,5.0,18.0,2.0,24.0,5.0,8.0,2.0,0.0,6.0,2.0,0.0,11.0,3.0,13.0,13.0,9.0,5.0
1018,35.0,53.0,39.0,83.0,109.0,29.0,14.0,80.0,19.0,13.0,30.0,3.0,181.0,35.0,75.0,32.0,27.0,35.0,29.0,19.0,1.0
1020,286.0,7.0,1088.0,628.0,10855.0,379.0,7.0,423.0,183.0,252.0,298.0,151.0,8093.0,1041.0,335.0,353.0,127.0,764.0,529.0,206.0,37.0
1025,36.0,38.0,7.0,83.0,10.0,647.0,235.0,1028.0,121.0,496.0,15.0,35.0,41.0,24.0,32.0,503.0,189.0,496.0,370.0,549.0,38.0
1027,0.0,7.0,2.0,4.0,2.0,18.0,58.0,17.0,5.0,7.0,2.0,2.0,12.0,0.0,1.0,14.0,14.0,19.0,5.0,11.0,3.0
1035,9.0,109.0,5.0,275.0,67.0,4.0,5.0,26.0,7.0,8.0,24.0,72.0,108.0,47.0,11.0,5.0,3.0,15.0,23.0,10.0,0.0
1038,64.0,0.0,58.0,42.0,21.0,274.0,130.0,466.0,73.0,161.0,99.0,1.0,222.0,32.0,47.0,255.0,63.0,280.0,398.0,228.0,24.0
