strain_id,A_MTX_5-FC.SSH1_ERV25,A_MTX_Fluconazole.SSH1_ERV25,A_MTX_Metformin.SSH1_ERV25,A_MTX_Trifluoperazine.SSH1_ERV25,A_MTX_noDrug.SSH1_ERV25,A_noMTX_5-FC.SSH1_ERV25,A_noMTX_Fluconazole.SSH1_ERV25,A_noMTX_Metformin.SSH1_ERV25,A_noMTX_Trifluoperazine.SSH1_ERV25,A_noMTX_noDrug.SSH1_ERV25,B_MTX_5-FC.SSH1_ERV25,B_MTX_Fluconazole.SSH1_ERV25,B_MTX_Metformin.SSH1_ERV25,B_MTX_Trifluoperazine.SSH1_ERV25,B_MTX_noDrug.SSH1_ERV25,B_noMTX_5-FC.SSH1_ERV25,B_noMTX_Fluconazole.SSH1_ERV25,B_noMTX_Metformin.SSH1_ERV25,B_noMTX_Trifluoperazine.SSH1_ERV25,B_noMTX_noDrug.SSH1_ERV25,T0_noMTX_noDrug.SSH1_ERV25
1005,1.0,2.0,5.0,1.0,0.0,157.0,26.0,30.0,63.0,117.0,1.0,2.0,5.0,0.0,0.0,39.0,38.0,62.0,89.0,264.0,33.0
1007,1.0,1.0,32.0,1.0,0.0,196.0,242.0,464.0,209.0,188.0,0.0,2.0,29.0,0.0,0.0,138.0,11.0,166.0,81.0,259.0,51.0
1013,112.0,3.0,0.0,1.0,20.0,13.0,3.0,5.0,18.0,3.0,5.0,0.0,0.0,0.0,2.0,9.0,1.0,4.0,1.0,28.0,4.0
1016,6.0,1.0,0.0,1.0,18.0,16.0,16.0,5.0,7.0,11.0,1.0,0.0,2.0,1.0,1.0,12.0,32.0,2.0,8.0,16.0,13.0
1018,2098.0,1671.0,742.0,420.0,799.0,283.0,11.0,287.0,145.0,308.0,634.0,504.0,1395.0,470.0,494.0,105.0,14.0,149.0,94.0,773.0,47.0
1020,1303.0,6.0,425.0,526.0,659.0,343.0,54.0,181.0,284.0,290.0,471.0,9.0,402.0,576.0,190.0,67.0,138.0,274.0,235.0,837.0,84.0
1025,22.0,24.0,25.0,6.0,9.0,763.0,44.0,147.0,244.0,474.0,7.0,16.0,13.0,3.0,2.0,155.0,333.0,334.0,328.0,978.0,110.0
1027,0.0,23.0,62.0,0.0,1.0,497.0,3124.0,168.0,302.0,306.0,2.0,2.0,16.0,4.0,0.0,41.0,220.0,440.0,128.0,1167.0,75.0
1035,50.0,21.0,8.0,33.0,18.0,4.0,4.0,6.0,9.0,2.0,26.0,5.0,27.0,15.0,5.0,4.0,3.0,10.0,6.0,16.0,1.0
1038,934.0,3.0,138.0,338.0,364.0,161.0,695.0,292.0,120.0,117.0,302.0,1.0,164.0,154.0,251.0,90.0,914.0,270.0,110.0,272.0,72.0
1040,66.0,21.0,128.0,35.0,19.0,1807.0,147.0,1434.0,1264.0,1578.0,21.0,1.0,153.0,17.0,10.0,523.0,248.0,1173.0,1152.0,3651.0,210.0
1046,3.0,6.0,2.0,3.0,0.0,21.0,61.0,17.0,40.0,14.0,4.0,2.0,7.0,4.0,0.0,18.0,59.0,23.0,85.0,27.0,18.0
