strain_id,A_MTX_5-FC.PLM2_HNM1,A_MTX_Fluconazole.PLM2_HNM1,A_MTX_Metformin.PLM2_HNM1,A_MTX_Trifluoperazine.PLM2_HNM1,A_MTX_noDrug.PLM2_HNM1,A_noMTX_5-FC.PLM2_HNM1,A_noMTX_Fluconazole.PLM2_HNM1,A_noMTX_Metformin.PLM2_HNM1,A_noMTX_Trifluoperazine.PLM2_HNM1,A_noMTX_noDrug.PLM2_HNM1,B_MTX_5-FC.PLM2_HNM1,B_MTX_Fluconazole.PLM2_HNM1,B_MTX_Metformin.PLM2_HNM1,B_MTX_Trifluoperazine.PLM2_HNM1,B_MTX_noDrug.PLM2_HNM1,B_noMTX_5-FC.PLM2_HNM1,B_noMTX_Fluconazole.PLM2_HNM1,B_noMTX_Metformin.PLM2_HNM1,B_noMTX_Trifluoperazine.PLM2_HNM1,B_noMTX_noDrug.PLM2_HNM1,T0_noMTX_noDrug.PLM2_HNM1
1005,2.0,1.0,0.0,0.0,0.0,240.0,269.0,181.0,193.0,182.0,0.0,0.0,0.0,2.0,0.0,150.0,14.0,65.0,22.0,265.0,100.0
1007,0.0,2.0,0.0,0.0,1.0,468.0,129.0,527.0,326.0,346.0,0.0,1.0,4.0,1.0,1.0,482.0,17302.0,3622.0,63.0,619.0,161.0
1013,23.0,37.0,0.0,2.0,29.0,2.0,21.0,3.0,15.0,3.0,0.0,11.0,2.0,7.0,18.0,3.0,22.0,8.0,2.0,11.0,0.0
1016,1.0,1.0,0.0,0.0,1.0,2.0,28.0,8.0,8.0,7.0,1.0,0.0,2.0,0.0,0.0,7.0,2.0,5.0,9.0,11.0,5.0
1018,407.0,227.0,1737.0,201.0,703.0,456.0,35.0,335.0,105.0,570.0,607.0,81.0,1537.0,709.0,116.0,205.0,126.0,260.0,27.0,1021.0,114.0
1020,273.0,223.0,1285.0,311.0,215.0,591.0,160.0,576.0,219.0,660.0,325.0,5.0,1088.0,334.0,259.0,203.0,116.0,315.0,33.0,764.0,186.0
1025,9.0,48.0,9.0,8.0,6.0,297.0,67.0,378.0,97.0,259.0,2.0,7.0,6.0,19.0,2.0,168.0,25.0,130.0,42.0,386.0,76.0
1027,2.0,2.0,2.0,1.0,0.0,91.0,58.0,53.0,22.0,27.0,1.0,2.0,0.0,0.0,0.0,20.0,434.0,90.0,6.0,75.0,9.0
1035,17.0,31.0,4.0,9.0,13.0,1.0,2.0,4.0,11.0,5.0,9.0,6.0,7.0,11.0,3.0,3.0,4.0,6.0,1.0,7.0,4.0
1038,96.0,1.0,39.0,9.0,56.0,252.0,35.0,267.0,108.0,137.0,94.0,2.0,115.0,49.0,20.0,200.0,18.0,118.0,56.0,380.0,150.0
1040,13.0,24.0,9.0,10.0,11.0,576.0,78.0,689.0,257.0,655.0,12.0,1.0,12.0,22.0,6.0,568.0,101.0,354.0,92.0,1033.0,159.0
1046,2.0,2.0,2.0,1.0,0.0,169.0,9.0,132.0,90.0,68.0,2.0,0.0,3.0,0.0,0.0,123.0,43.0,75.0,26.0,162.0,102.0
1050,107.0,0.0,50.0,2.0,16.0,214.0,9.0,97.0,148.0,102.0,60.0,3.0,126.0,12.0,3.0,236.0,10.0,30.0,25.0,167.0,58.0
1065,3.0,18.0,2.0,0.0,0.0,4.0,0.0,5.0,1.0,3.0,2.0,4.0,6.0,2.0,0.0,2.0,7.0,0.0,1.0,26.0,1.0
1069,1801.0,8971.0,1041.0,704.0,1894.0,835.0,1065.0,1047.0,348.0,448.0,3233.0,1523.0,1362.0,1309.0,573.0,465.0,783.0,561.0,69.0,837.0,426.0
107,1.0,6.0,1.0,2.0,1.0,33.0,11.0,61.0,12.0,23.0,4.0,0.0,1.0,1.0,2.0,37.0,11.0,36.0,7.0,50.0,19.0
113,294.0,4.0,1.0,7.0,15.0,8.0,3.0,7.0,16.0,5.0,16.0,1.0,6.0,12.0,9.0,10.0,9.0,3.0,5.0,22.0,2.0
