strain_id,A_MTX_5-FC.RET2_EMP47,A_MTX_Fluconazole.RET2_EMP47,A_MTX_Metformin.RET2_EMP47,A_MTX_Trifluoperazine.RET2_EMP47,A_MTX_noDrug.RET2_EMP47,A_noMTX_5-FC.RET2_EMP47,A_noMTX_Fluconazole.RET2_EMP47,A_noMTX_Metformin.RET2_EMP47,A_noMTX_Trifluoperazine.RET2_EMP47,A_noMTX_noDrug.RET2_EMP47,B_MTX_5-FC.RET2_EMP47,B_MTX_Fluconazole.RET2_EMP47,B_MTX_Metformin.RET2_EMP47,B_MTX_Trifluoperazine.RET2_EMP47,B_MTX_noDrug.RET2_EMP47,B_noMTX_5-FC.RET2_EMP47,B_noMTX_Fluconazole.RET2_EMP47,B_noMTX_Metformin.RET2_EMP47,B_noMTX_Trifluoperazine.RET2_EMP47,B_noMTX_noDrug.RET2_EMP47,T0_noMTX_noDrug.RET2_EMP47
1005,1.0,0.0,2.0,0.0,0.0,40.0,8.0,10.0,25.0,25.0,0.0,2.0,1.0,1.0,0.0,23.0,6.0,8.0,25.0,42.0,2.0
1007,3.0,9.0,4.0,2.0,0.0,14.0,5.0,12.0,10.0,3.0,0.0,0.0,6.0,0.0,1.0,22.0,3.0,10.0,6.0,40.0,2.0
1013,0.0,0.0,0.0,1.0,2.0,4.0,0.0,2.0,4.0,3.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,6.0,0.0
1016,0.0,0.0,0.0,1.0,0.0,23.0,11.0,6.0,9.0,9.0,2.0,0.0,3.0,0.0,0.0,15.0,7.0,13.0,4.0,8.0,5.0
1018,37.0,60.0,12.0,39.0,46.0,19.0,7.0,13.0,11.0,10.0,50.0,3.0,17.0,21.0,38.0,23.0,1.0,28.0,13.0,23.0,0.0
1020,53.0,7.0,19.0,83.0,85.0,16.0,7.0,10.0,15.0,15.0,43.0,3.0,55.0,144.0,54.0,28.0,6.0,33.0,20.0,36.0,7.0
1025,56.0,11.0,6.0,28.0,15.0,392.0,41.0,72.0,34.0,158.0,126.0,3.0,8.0,21.0,61.0,221.0,51.0,148.0,29.0,652.0,5.0
1027,1.0,4.0,4.0,1.0,1.0,8.0,17.0,6.0,2.0,5.0,0.0,0.0,19.0,0.0,0.0,17.0,14.0,22.0,3.0,2.0,1.0
1035,16.0,14.0,8.0,21.0,25.0,3.0,1.0,1.0,3.0,0.0,33.0,3.0,10.0,25.0,16.0,5.0,1.0,6.0,3.0,2.0,1.0
1038,19.0,2.0,0.0,12.0,6.0,7.0,6.0,6.0,8.0,2.0,4.0,1.0,4.0,3.0,13.0,9.0,1.0,13.0,7.0,4.0,3.0
1040,7.0,29.0,1.0,6.0,7.0,17.0,5.0,22.0,27.0,15.0,11.0,5.0,7.0,4.0,6.0,30.0,4.0,44.0,18.0,29.0,4.0
1046,4.0,2.0,1.0,1.0,0.0,8.0,2.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,11.0,4.0,5.0,3.0,5.0,2.0
1050,3.0,0.0,5.0,11.0,3.0,8.0,5.0,6.0,4.0,6.0,4.0,0.0,16.0,4.0,6.0,19.0,0.0,22.0,6.0,15.0,0.0
1065,1.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,8.0,6.0,1.0,0.0,2.0
1069,204.0,196.0,54.0,145.0,325.0,30.0,52.0,37.0,32.0,15.0,246.0,109.0,79.0,207.0,107.0,42.0,46.0,34.0,55.0,24.0,10.0
107,1.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,7.0,5.0,0.0,0.0,5.0,0.0,2.0,12.0,12.0,20.0,2.0,2.0,0.0
113,4.0,11.0,5.0,7.0,3.0,9.0,3.0,4.0,7.0,0.0,7.0,3.0,1.0,2.0,55.0,2.0,1.0,5.0,5.0,26.0,2.0
119,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,7.0,0.0
124,10.0,2.0,3.0,6.0,12.0,6.0,6.0,4.0,3.0,4.0,10.0,0.0,6.0,12.0,11.0,4.0,4.0,9.0,4.0,5.0,1.0
128,0.0,0.0,1.0,1.0,0.0,8.0,4.0,4.0,6.0,6.0,0.0,1.0,4.0,1.0,0.0,22.0,2.0,11.0,9.0,7.0,5.0
132,11.0,0.0,1.0,4.0,0.0,15.0,6.0,13.0,17.0,22.0,2.0,1.0,19.0,0.0,5.0,34.0,20.0,38.0,13.0,51.0,2.0
133,0.0,4.0,4.0,2.0,1.0,11.0,0.0,4.0,11.0,14.0,0.0,2.0,0.0,0.0,0.0,35.0,2.0,21.0,12.0,11.0,0.0
136,1.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,7.0,0.0
14,77.0,31.0,15.0,52.0,40.0,12.0,1.0,27.0,13.0,18.0,38.0,5.0,51.0,27.0,88.0,13.0,7.0,55.0,23.0,29.0,3.0
146,115.0,28.0,58.0,103.0,76.0,59.0,41.0,61.0,57.0,40.0,41.0,8.0,148.0,81.0,87.0,120.0,36.0,98.0,99.0,68.0,7.0
15,9.0,1.0,4.0,5.0,12.0,6.0,1.0,7.0,2.0,4.0,13.0,0.0,8.0,15.0,4.0,15.0,0.0,7.0,2.0,7.0,2.0
151,0.0,1.0,0.0,1.0,0.0,7.0,2.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,7.0,1.0,4.0,1.0,5.0,2.0
153,1.0,2.0,2.0,0.0,0.0,4.0,4.0,7.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,8.0,7.0,7.0,4.0,8.0,4.0
17,3.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0
171,16.0,23.0,21.0,12.0,4.0,513.0,1.0,246.0,110.0,265.0,27.0,14.0,15.0,3.0,16.0,498.0,1.0,187.0,137.0,508.0,1.0
175,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,3.0,2.0,2.0,1.0
180,5.0,0.0,1.0,0.0,0.0,16.0,2.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,14.0,5.0,6.0,2.0
180_2,10.0,1.0,1.0,3.0,0.0,20.0,2.0,20.0,10.0,8.0,1.0,2.0,13.0,0.0,4.0,12.0,2.0,12.0,9.0,6.0,4.0
185,6.0,0.0,4.0,6.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
187,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,0.0
188,3.0,1.0,3.0,4.0,0.0,9.0,2.0,4.0,11.0,9.0,1.0,1.0,6.0,0.0,3.0,21.0,0.0,10.0,5.0,6.0,2.0
192,0.0,2.0,3.0,3.0,2.0,363.0,7.0,121.0,78.0,291.0,0.0,4.0,2.0,1.0,3.0,435.0,9.0,487.0,74.0,1011.0,3.0
20,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0
