strain_id,A_MTX_5-FC.SRO9_SGN1,A_MTX_Fluconazole.SRO9_SGN1,A_MTX_Metformin.SRO9_SGN1,A_MTX_Trifluoperazine.SRO9_SGN1,A_MTX_noDrug.SRO9_SGN1,A_noMTX_5-FC.SRO9_SGN1,A_noMTX_Fluconazole.SRO9_SGN1,A_noMTX_Metformin.SRO9_SGN1,A_noMTX_Trifluoperazine.SRO9_SGN1,A_noMTX_noDrug.SRO9_SGN1,B_MTX_5-FC.SRO9_SGN1,B_MTX_Fluconazole.SRO9_SGN1,B_MTX_Metformin.SRO9_SGN1,B_MTX_Trifluoperazine.SRO9_SGN1,B_MTX_noDrug.SRO9_SGN1,B_noMTX_5-FC.SRO9_SGN1,B_noMTX_Fluconazole.SRO9_SGN1,B_noMTX_Metformin.SRO9_SGN1,B_noMTX_Trifluoperazine.SRO9_SGN1,B_noMTX_noDrug.SRO9_SGN1,T0_noMTX_noDrug.SRO9_SGN1
1005,6.0,0.0,303,2.0,5.0,78.0,19.0,264.0,154.0,137.0,10.0,1.0,226,4.0,8.0,702,15.0,43.0,173.0,7.0,38.0
1007,11.0,12.0,1082,5.0,7.0,228.0,159.0,1937.0,303.0,252.0,6.0,39.0,616,8.0,12.0,1029,132.0,219.0,742.0,28.0,31.0
1013,9.0,1.0,743,7.0,113.0,55.0,31.0,33.0,31.0,65.0,133.0,138.0,439,0.0,136.0,194,1.0,8.0,15.0,4.0,18.0
1016,69.0,16.0,696,29.0,41.0,1712.0,370.0,4392.0,1172.0,6587.0,195.0,29.0,384,69.0,133.0,6951,760.0,632.0,5032.0,1086.0,187.0
1018,1641.0,150.0,3971,422.0,918.0,262.0,197.0,1956.0,229.0,481.0,2550.0,1140.0,5532,592.0,2661.0,1533,697.0,152.0,550.0,48.0,46.0
1020,1348.0,10.0,15167,521.0,1007.0,465.0,18.0,1287.0,194.0,533.0,5259.0,5.0,6023,840.0,4438.0,1840,16.0,380.0,706.0,25.0,96.0
1025,243.0,28.0,3665,75.0,124.0,1584.0,722.0,3922.0,748.0,2701.0,198.0,127.0,2730,105.0,302.0,7673,1062.0,716.0,1456.0,165.0,284.0
1027,8.0,3.0,2153,1.0,3.0,542.0,751.0,1251.0,365.0,339.0,15.0,11.0,1319,2.0,18.0,2467,171.0,246.0,331.0,28.0,44.0
1035,76.0,14.0,281,42.0,84.0,10.0,3.0,68.0,22.0,29.0,71.0,16.0,237,65.0,209.0,126,9.0,7.0,26.0,5.0,4.0
1038,56.0,3.0,94,21.0,29.0,26.0,12.0,108.0,30.0,56.0,56.0,5.0,96,41.0,30.0,94,3.0,20.0,120.0,26.0,12.0
1040,12.0,5.0,730,34.0,47.0,293.0,127.0,922.0,350.0,435.0,57.0,22.0,401,38.0,111.0,1208,93.0,177.0,783.0,99.0,27.0
1046,8.0,6.0,132,4.0,3.0,48.0,186.0,203.0,21.0,26.0,12.0,9.0,80,4.0,26.0,135,11.0,21.0,122.0,19.0,16.0
1050,43.0,3.0,881,36.0,40.0,26.0,8.0,288.0,65.0,105.0,22.0,3.0,306,13.0,184.0,399,14.0,18.0,197.0,18.0,5.0
1065,142.0,66.0,926,25.0,57.0,59.0,42.0,112.0,61.0,107.0,279.0,46.0,1291,36.0,746.0,235,2.0,40.0,158.0,2.0,23.0
1069,878.0,951.0,1556,346.0,641.0,207.0,163.0,830.0,248.0,269.0,1447.0,682.0,1229,472.0,1764.0,725,203.0,121.0,503.0,79.0,61.0
107,22.0,4.0,148,2.0,4.0,41.0,7.0,200.0,58.0,36.0,31.0,8.0,562,6.0,5.0,192,8.0,20.0,83.0,4.0,17.0
113,4.0,47.0,33,10.0,16.0,4.0,4.0,75.0,16.0,13.0,17.0,20.0,50,17.0,80.0,65,8.0,0.0,36.0,4.0,7.0
119,19.0,54.0,80,4.0,8.0,4.0,2.0,87.0,16.0,19.0,18.0,30.0,89,13.0,74.0,59,2.0,2.0,44.0,4.0,2.0
124,60.0,2.0,389,16.0,62.0,16.0,0.0,139.0,3.0,24.0,188.0,0.0,151,16.0,56.0,93,5.0,15.0,26.0,3.0,12.0
128,4.0,3.0,282,0.0,1.0,207.0,10.0,584.0,128.0,372.0,3.0,3.0,133,5.0,2.0,847,65.0,60.0,505.0,43.0,23.0
132,21.0,99.0,1076,14.0,13.0,111.0,209.0,1175.0,298.0,668.0,75.0,171.0,797,17.0,54.0,755,107.0,154.0,451.0,59.0,34.0
133,5.0,0.0,90,11.0,0.0,14.0,3.0,44.0,13.0,66.0,14.0,0.0,32,1.0,6.0,31,3.0,3.0,25.0,8.0,6.0
136,3.0,16.0,258,6.0,0.0,332.0,35.0,1249.0,168.0,1307.0,20.0,103.0,212,14.0,15.0,1220,233.0,106.0,1059.0,135.0,53.0
14,425.0,10.0,2047,1126.0,591.0,244.0,3.0,2155.0,233.0,460.0,1060.0,5.0,579,1549.0,2712.0,830,29.0,265.0,916.0,99.0,78.0
146,3840.0,89.0,17597,2275.0,2504.0,3474.0,308.0,13268.0,3246.0,4381.0,8776.0,67.0,15893,2931.0,13375.0,15069,691.0,2465.0,8209.0,608.0,463.0
15,113.0,1.0,581,23.0,11.0,17.0,2.0,148.0,10.0,63.0,102.0,2.0,121,50.0,131.0,137,1.0,22.0,81.0,16.0,15.0
151,9.0,2.0,608,3.0,4.0,165.0,151.0,716.0,279.0,191.0,14.0,3.0,438,5.0,33.0,1031,16.0,121.0,376.0,14.0,84.0
153,16.0,3.0,739,2.0,2.0,342.0,266.0,953.0,127.0,832.0,27.0,0.0,919,15.0,6.0,2088,569.0,128.0,375.0,59.0,98.0
17,6.0,12.0,32,1.0,5.0,2.0,7.0,40.0,4.0,14.0,7.0,3.0,35,6.0,38.0,38,4.0,6.0,25.0,4.0,0.0
171,30.0,1.0,145,23.0,54.0,2.0,4.0,67.0,18.0,27.0,55.0,5.0,89,40.0,104.0,79,4.0,3.0,26.0,10.0,6.0
175,7.0,40.0,136,8.0,0.0,63.0,4.0,372.0,71.0,113.0,17.0,21.0,411,4.0,19.0,613,6.0,68.0,58.0,18.0,18.0
180,27.0,8.0,159,2.0,2.0,306.0,239.0,259.0,116.0,835.0,28.0,83.0,54,4.0,5.0,1627,538.0,55.0,189.0,39.0,45.0
180_2,149.0,110.0,1327,96.0,66.0,874.0,282.0,2274.0,379.0,2426.0,442.0,73.0,1221,169.0,207.0,2822,419.0,295.0,2178.0,462.0,107.0
185,27.0,2.0,130,9.0,12.0,10.0,2.0,31.0,20.0,12.0,42.0,10.0,160,23.0,63.0,97,1.0,2.0,21.0,2.0,1.0
187,26.0,6.0,1340,5.0,3.0,159.0,32.0,359.0,182.0,186.0,53.0,2.0,1193,2.0,39.0,710,30.0,120.0,110.0,5.0,35.0
188,15.0,124.0,1102,7.0,5.0,94.0,5.0,681.0,125.0,160.0,32.0,66.0,1246,23.0,47.0,669,2.0,114.0,450.0,14.0,17.0
192,23.0,110.0,127,7.0,7.0,22.0,13.0,280.0,67.0,85.0,35.0,52.0,177,9.0,47.0,268,28.0,11.0,101.0,8.0,2.0
20,2.0,1.0,656,1.0,0.0,324.0,3.0,149.0,49.0,152.0,2.0,4.0,618,0.0,5.0,860,17.0,66.0,71.0,5.0,31.0
209,6.0,1.0,522,17.0,13.0,125.0,21.0,491.0,133.0,419.0,10.0,3.0,529,19.0,10.0,543,17.0,51.0,353.0,56.0,22.0
210,11.0,1.0,73,8.0,3.0,59.0,11.0,242.0,38.0,156.0,10.0,3.0,48,8.0,52.0,267,10.0,10.0,75.0,12.0,11.0
226,195.0,16.0,621,84.0,104.0,78.0,3813.0,144.0,121.0,88.0,561.0,1.0,576,83.0,968.0,439,38.0,20.0,174.0,8.0,72.0
235,4.0,0.0,30,0.0,7.0,14.0,3.0,64.0,17.0,10.0,9.0,0.0,126,10.0,15.0,85,48.0,12.0,84.0,4.0,7.0
240,1.0,0.0,6,1.0,0.0,0.0,5.0,24.0,7.0,17.0,0.0,0.0,11,0.0,0.0,36,1.0,6.0,5.0,8.0,1.0
248,13.0,0.0,14,7.0,13.0,5.0,3.0,37.0,6.0,20.0,25.0,0.0,176,4.0,4.0,112,0.0,4.0,17.0,4.0,2.0
250,5.0,2.0,8,1.0,0.0,16.0,2.0,68.0,4.0,14.0,1.0,2.0,10,3.0,13.0,43,3.0,8.0,24.0,4.0,2.0
252,0.0,0.0,19,2.0,2.0,4.0,8.0,26.0,6.0,5.0,6.0,4.0,24,3.0,12.0,28,6.0,4.0,11.0,2.0,1.0
253,514.0,21.0,2451,301.0,332.0,383.0,204.0,1459.0,311.0,856.0,1459.0,80.0,2069,331.0,1987.0,1574,211.0,458.0,693.0,117.0,46.0
254,4.0,11.0,876,10.0,3.0,292.0,261.0,1002.0,376.0,291.0,13.0,18.0,542,38.0,48.0,443,41.0,181.0,847.0,87.0,48.0
257,11.0,14.0,80,4.0,6.0,22.0,40.0,89.0,15.0,49.0,5.0,3.0,78,2.0,47.0,129,27.0,26.0,59.0,29.0,19.0
258,339.0,4.0,1044,89.0,104.0,133.0,10.0,651.0,62.0,176.0,453.0,1.0,1167,84.0,689.0,1118,44.0,90.0,202.0,26.0,26.0
27,61.0,4.0,501,23.0,38.0,47.0,2.0,234.0,27.0,29.0,230.0,21.0,1736,93.0,243.0,102,4.0,20.0,48.0,9.0,8.0
270,1.0,1.0,10,0.0,1.0,1.0,90.0,17.0,6.0,1.0,1.0,0.0,7,0.0,3.0,6,8.0,0.0,3.0,0.0,1.0
271,17.0,13.0,1715,10.0,1.0,538.0,423.0,2175.0,297.0,1221.0,81.0,52.0,1254,11.0,19.0,2313,12.0,163.0,784.0,167.0,93.0
272,5.0,0.0,6,2.0,0.0,25.0,1.0,202.0,10.0,35.0,3.0,0.0,203,4.0,14.0,313,1.0,31.0,25.0,7.0,6.0
277,1.0,1.0,2,0.0,1.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,8,0.0,3.0,4,0.0,0.0,0.0,0.0,2.0
286,9.0,8.0,31,2.0,9.0,17.0,0.0,148.0,34.0,29.0,5.0,0.0,26,3.0,14.0,100,4.0,19.0,45.0,8.0,4.0
289,6.0,7.0,459,1.0,0.0,165.0,140.0,452.0,123.0,244.0,4.0,2.0,167,4.0,9.0,952,114.0,106.0,483.0,42.0,34.0
29,48.0,28.0,257,63.0,25.0,398.0,144.0,774.0,341.0,1012.0,188.0,4.0,218,79.0,134.0,2316,197.0,90.0,891.0,185.0,81.0
291,1.0,0.0,10,0.0,0.0,0.0,1.0,6.0,6.0,6.0,0.0,1.0,10,0.0,1.0,26,4.0,0.0,1.0,1.0,0.0
294,20.0,9.0,736,9.0,0.0,64.0,176.0,199.0,76.0,42.0,1.0,12.0,165,4.0,63.0,210,90.0,23.0,206.0,21.0,13.0
296,4.0,5.0,230,1.0,1.0,149.0,46.0,571.0,89.0,76.0,19.0,16.0,159,5.0,6.0,627,43.0,129.0,359.0,83.0,25.0
299,15.0,1.0,167,5.0,1.0,32.0,2.0,161.0,59.0,104.0,6.0,0.0,84,7.0,30.0,164,2.0,24.0,247.0,25.0,3.0
307,11.0,3.0,287,6.0,7.0,85.0,89.0,353.0,55.0,168.0,25.0,5.0,84,11.0,6.0,328,4.0,43.0,246.0,65.0,31.0
308,8.0,0.0,31,3.0,3.0,2.0,1.0,28.0,9.0,13.0,12.0,0.0,36,1.0,22.0,33,8.0,0.0,17.0,0.0,1.0
31,20.0,1.0,25,10.0,32.0,91.0,5.0,119.0,54.0,105.0,45.0,1.0,24,70.0,92.0,208,26.0,14.0,82.0,18.0,13.0
311,4.0,0.0,40,1.0,2.0,2.0,0.0,66.0,12.0,16.0,5.0,0.0,35,2.0,11.0,62,2.0,8.0,19.0,0.0,0.0
312,1021.0,1130.0,2860,236.0,810.0,245.0,166.0,697.0,165.0,264.0,2177.0,2478.0,738,547.0,1897.0,1580,248.0,163.0,551.0,105.0,41.0
32,0.0,0.0,2,0.0,1.0,0.0,0.0,8.0,1.0,3.0,0.0,0.0,3,0.0,0.0,10,0.0,0.0,2.0,0.0,1.0
320,1147.0,17.0,8878,620.0,542.0,211.0,69.0,3624.0,312.0,516.0,2333.0,4.0,4915,605.0,3085.0,2126,20.0,613.0,1481.0,93.0,33.0
323,0.0,1.0,9,0.0,0.0,0.0,0.0,8.0,6.0,5.0,3.0,2.0,13,2.0,3.0,12,1.0,3.0,7.0,3.0,0.0
325,37.0,9.0,732,50.0,26.0,140.0,1.0,561.0,67.0,242.0,124.0,0.0,1153,41.0,191.0,933,17.0,57.0,101.0,49.0,24.0
33,2.0,0.0,3,0.0,0.0,0.0,0.0,26.0,6.0,8.0,0.0,0.0,7,0.0,5.0,17,0.0,5.0,10.0,6.0,4.0
335,12.0,0.0,72,2.0,2.0,6.0,5.0,200.0,12.0,32.0,27.0,1.0,25,7.0,7.0,90,2.0,16.0,28.0,7.0,5.0
336,108.0,5.0,322,66.0,120.0,101.0,10.0,642.0,65.0,70.0,152.0,0.0,573,96.0,312.0,670,6.0,84.0,282.0,36.0,38.0
337,105.0,22.0,2977,38.0,57.0,1087.0,169.0,3705.0,690.0,2335.0,116.0,72.0,2183,93.0,157.0,4593,718.0,646.0,1494.0,211.0,200.0
339,626.0,5.0,1768,659.0,692.0,168.0,36.0,660.0,180.0,581.0,1877.0,42.0,1147,529.0,2994.0,711,13.0,84.0,337.0,64.0,13.0
347,8.0,7.0,312,3.0,0.0,51.0,7.0,176.0,23.0,64.0,5.0,11.0,209,3.0,15.0,136,10.0,65.0,46.0,10.0,9.0
348,6.0,6.0,22,2.0,4.0,10.0,37.0,30.0,9.0,42.0,10.0,13.0,23,7.0,9.0,44,2.0,16.0,40.0,7.0,6.0
