strain_id,A_MTX_5-FC.TPO1_TCB2,A_MTX_Fluconazole.TPO1_TCB2,A_MTX_Metformin.TPO1_TCB2,A_MTX_Trifluoperazine.TPO1_TCB2,A_MTX_noDrug.TPO1_TCB2,A_noMTX_5-FC.TPO1_TCB2,A_noMTX_Fluconazole.TPO1_TCB2,A_noMTX_Metformin.TPO1_TCB2,A_noMTX_Trifluoperazine.TPO1_TCB2,A_noMTX_noDrug.TPO1_TCB2,B_MTX_5-FC.TPO1_TCB2,B_MTX_Fluconazole.TPO1_TCB2,B_MTX_Metformin.TPO1_TCB2,B_MTX_Trifluoperazine.TPO1_TCB2,B_MTX_noDrug.TPO1_TCB2,B_noMTX_5-FC.TPO1_TCB2,B_noMTX_Fluconazole.TPO1_TCB2,B_noMTX_Metformin.TPO1_TCB2,B_noMTX_Trifluoperazine.TPO1_TCB2,B_noMTX_noDrug.TPO1_TCB2,T0_noMTX_noDrug.TPO1_TCB2
1005,0.0,0.0,0.0,1.0,0.0,39.0,31.0,43.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,70.0,32.0,58.0,36.0,1.0,34.0
1007,6.0,0.0,0.0,3.0,0.0,71.0,6.0,7.0,2.0,30.0,0.0,1.0,1.0,0.0,0.0,22.0,5.0,50.0,15.0,3.0,10.0
1013,3.0,17.0,0.0,0.0,15.0,5.0,2.0,1.0,0.0,2.0,24.0,0.0,3.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0
1016,9.0,0.0,3.0,1.0,21.0,587.0,860.0,60.0,4.0,133.0,2.0,0.0,2.0,4.0,0.0,379.0,471.0,103.0,69.0,7.0,187.0
1018,36.0,7.0,16.0,101.0,181.0,96.0,10.0,8.0,3.0,21.0,57.0,0.0,24.0,16.0,48.0,88.0,6.0,31.0,11.0,4.0,23.0
1020,1036.0,0.0,939.0,42.0,435.0,387.0,507.0,708.0,26.0,261.0,1925.0,70.0,1897.0,37.0,260.0,343.0,167.0,1165.0,514.0,5.0,171.0
1025,8.0,2.0,5.0,4.0,6.0,893.0,703.0,946.0,17.0,503.0,5.0,1.0,8.0,0.0,0.0,1060.0,1836.0,1245.0,302.0,17.0,298.0
1027,3.0,1.0,5.0,0.0,0.0,51.0,390.0,43.0,2.0,14.0,0.0,0.0,9.0,0.0,1.0,54.0,12.0,77.0,20.0,2.0,13.0
1035,12.0,2.0,10.0,16.0,50.0,2.0,2.0,3.0,4.0,3.0,24.0,1.0,6.0,7.0,7.0,1.0,1.0,5.0,0.0,0.0,1.0
1038,38.0,5.0,21.0,3.0,17.0,12.0,666.0,29.0,5.0,19.0,2.0,1.0,33.0,5.0,10.0,74.0,16.0,44.0,48.0,3.0,20.0
