strain_id,A_MTX_5-FC.GTR1_SLM4,A_MTX_Fluconazole.GTR1_SLM4,A_MTX_Metformin.GTR1_SLM4,A_MTX_Trifluoperazine.GTR1_SLM4,A_MTX_noDrug.GTR1_SLM4,A_noMTX_5-FC.GTR1_SLM4,A_noMTX_Fluconazole.GTR1_SLM4,A_noMTX_Metformin.GTR1_SLM4,A_noMTX_Trifluoperazine.GTR1_SLM4,A_noMTX_noDrug.GTR1_SLM4,B_MTX_5-FC.GTR1_SLM4,B_MTX_Fluconazole.GTR1_SLM4,B_MTX_Metformin.GTR1_SLM4,B_MTX_Trifluoperazine.GTR1_SLM4,B_MTX_noDrug.GTR1_SLM4,B_noMTX_5-FC.GTR1_SLM4,B_noMTX_Fluconazole.GTR1_SLM4,B_noMTX_Metformin.GTR1_SLM4,B_noMTX_Trifluoperazine.GTR1_SLM4,B_noMTX_noDrug.GTR1_SLM4,T0_noMTX_noDrug.GTR1_SLM4
1005,1.0,0.0,2.0,0.0,1.0,10.0,4.0,8.0,12.0,13.0,1.0,0.0,0.0,0.0,1.0,21.0,2.0,8.0,17.0,18.0,1.0
1007,3.0,7.0,3.0,1.0,2.0,9.0,22.0,15.0,7.0,7.0,2.0,2.0,1.0,1.0,1.0,15.0,59.0,9.0,16.0,14.0,2.0
1013,5.0,50.0,6.0,83.0,4.0,9.0,21.0,0.0,18.0,3.0,15.0,17.0,1.0,287.0,152.0,15.0,16.0,150.0,77.0,44.0,55.0
1016,1.0,16.0,4.0,0.0,3.0,10.0,24.0,13.0,7.0,11.0,3.0,1.0,5.0,3.0,3.0,28.0,0.0,4.0,17.0,28.0,5.0
1018,72.0,69.0,98.0,238.0,190.0,24.0,19.0,16.0,74.0,24.0,144.0,37.0,130.0,253.0,196.0,40.0,10.0,34.0,42.0,51.0,8.0
1020,124.0,18.0,104.0,83.0,167.0,20.0,10.0,36.0,55.0,28.0,161.0,7.0,123.0,258.0,205.0,35.0,10.0,38.0,46.0,52.0,13.0
1025,30.0,35.0,94.0,12.0,18.0,941.0,1256.0,295.0,900.0,108.0,25.0,28.0,27.0,78.0,24.0,497.0,480.0,1226.0,995.0,886.0,600.0
1027,2.0,5.0,14.0,0.0,2.0,8.0,26.0,9.0,57.0,7.0,2.0,1.0,19.0,0.0,1.0,14.0,128.0,47.0,28.0,46.0,4.0
1035,30.0,8.0,6.0,7.0,37.0,1.0,2.0,6.0,41.0,1.0,27.0,12.0,18.0,31.0,11.0,2.0,4.0,17.0,16.0,18.0,5.0
1038,49.0,19.0,14.0,8.0,56.0,12.0,7.0,20.0,17.0,17.0,83.0,0.0,31.0,103.0,31.0,27.0,7.0,15.0,29.0,33.0,6.0
1040,21.0,6.0,24.0,5.0,23.0,37.0,44.0,33.0,52.0,35.0,21.0,9.0,38.0,124.0,31.0,64.0,17.0,28.0,67.0,106.0,13.0
1046,3.0,11.0,4.0,2.0,0.0,6.0,8.0,10.0,5.0,3.0,5.0,6.0,1.0,0.0,1.0,10.0,10.0,4.0,9.0,14.0,4.0
1050,14.0,1.0,11.0,12.0,16.0,7.0,6.0,12.0,8.0,9.0,13.0,1.0,21.0,12.0,11.0,22.0,2.0,4.0,17.0,8.0,0.0
1065,1.0,30.0,4.0,1.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0,17.0,5.0,0.0,17.0,2.0,5.0,5.0,2.0,9.0,0.0
1069,338.0,447.0,48.0,46.0,520.0,17.0,142.0,48.0,27.0,26.0,226.0,153.0,127.0,1424.0,370.0,44.0,55.0,29.0,42.0,169.0,21.0
107,1.0,6.0,1.0,0.0,4.0,3.0,2.0,1.0,7.0,4.0,3.0,0.0,6.0,5.0,2.0,9.0,2.0,4.0,2.0,23.0,2.0
113,5.0,15.0,3.0,3.0,9.0,4.0,2.0,4.0,11.0,1.0,17.0,8.0,2.0,7.0,10.0,6.0,1.0,5.0,3.0,7.0,3.0
119,11.0,8.0,0.0,2.0,11.0,3.0,2.0,4.0,5.0,0.0,6.0,4.0,3.0,71.0,10.0,1.0,0.0,3.0,9.0,2.0,3.0
124,5.0,4.0,9.0,0.0,5.0,3.0,23.0,2.0,14.0,0.0,14.0,1.0,7.0,7.0,5.0,5.0,1.0,2.0,4.0,6.0,1.0
128,5.0,0.0,3.0,0.0,5.0,8.0,13.0,14.0,12.0,14.0,10.0,1.0,6.0,24.0,5.0,21.0,3.0,6.0,10.0,12.0,8.0
