strain_id,A_MTX_5-FC.ALO1_ADE17,A_MTX_Fluconazole.ALO1_ADE17,A_MTX_Metformin.ALO1_ADE17,A_MTX_Trifluoperazine.ALO1_ADE17,A_MTX_noDrug.ALO1_ADE17,A_noMTX_5-FC.ALO1_ADE17,A_noMTX_Fluconazole.ALO1_ADE17,A_noMTX_Metformin.ALO1_ADE17,A_noMTX_Trifluoperazine.ALO1_ADE17,A_noMTX_noDrug.ALO1_ADE17,B_MTX_5-FC.ALO1_ADE17,B_MTX_Fluconazole.ALO1_ADE17,B_MTX_Metformin.ALO1_ADE17,B_MTX_Trifluoperazine.ALO1_ADE17,B_MTX_noDrug.ALO1_ADE17,B_noMTX_5-FC.ALO1_ADE17,B_noMTX_Fluconazole.ALO1_ADE17,B_noMTX_Metformin.ALO1_ADE17,B_noMTX_Trifluoperazine.ALO1_ADE17,B_noMTX_noDrug.ALO1_ADE17,T0_noMTX_noDrug.ALO1_ADE17
1005,0.0,0.0,1.0,0.0,0.0,52.0,33.0,22.0,36.0,35.0,0.0,0.0,2.0,0.0,1.0,78.0,5.0,7.0,77.0,48.0,29.0
1007,4.0,3.0,4.0,1.0,0.0,448.0,1087.0,226.0,282.0,307.0,1.0,0.0,7.0,0.0,6.0,301.0,359.0,218.0,209.0,276.0,233.0
1013,165.0,32.0,3.0,69.0,482.0,372.0,5.0,2.0,9.0,6.0,955.0,2.0,19.0,43.0,799.0,40.0,40.0,12.0,23.0,6.0,9.0
1016,1132.0,0.0,16.0,2.0,3542.0,1362.0,1258.0,227.0,463.0,466.0,1.0,0.0,2.0,5.0,2.0,823.0,464.0,210.0,307.0,766.0,369.0
1018,218.0,212.0,607.0,481.0,620.0,726.0,350.0,686.0,268.0,308.0,37.0,6.0,1020.0,141.0,3509.0,773.0,404.0,291.0,384.0,351.0,200.0
1020,54.0,17.0,390.0,100.0,1525.0,1187.0,282.0,1062.0,642.0,285.0,1448.0,2.0,218.0,92.0,57.0,1126.0,522.0,788.0,1161.0,284.0,273.0
1025,5.0,7.0,5.0,13.0,7.0,434.0,264.0,158.0,136.0,229.0,2.0,5.0,7.0,5.0,6.0,409.0,699.0,274.0,168.0,174.0,153.0
1027,0.0,0.0,2.0,0.0,1.0,21.0,93.0,56.0,27.0,25.0,2.0,1.0,1.0,0.0,0.0,67.0,33.0,50.0,30.0,29.0,15.0
1035,9.0,1.0,19.0,34.0,32.0,4.0,1.0,3.0,6.0,5.0,11.0,1.0,11.0,7.0,34.0,3.0,1.0,1.0,0.0,2.0,1.0
1038,188.0,4.0,241.0,233.0,802.0,539.0,444.0,294.0,372.0,181.0,925.0,0.0,161.0,148.0,1199.0,389.0,70.0,176.0,253.0,406.0,198.0
1040,2.0,6.0,21.0,19.0,12.0,374.0,1017.0,249.0,553.0,235.0,10.0,2.0,25.0,7.0,32.0,351.0,1124.0,373.0,438.0,262.0,343.0
1046,2.0,8.0,5.0,2.0,1.0,116.0,142.0,190.0,222.0,120.0,1.0,2.0,1.0,0.0,2.0,98.0,45.0,105.0,214.0,133.0,76.0
1050,4.0,0.0,9.0,8.0,9.0,12.0,7.0,7.0,32.0,9.0,7.0,0.0,12.0,2.0,29.0,20.0,5.0,4.0,8.0,5.0,19.0
1065,1.0,14.0,10.0,2.0,10.0,17.0,0.0,4.0,8.0,9.0,2.0,3.0,3.0,2.0,1.0,10.0,1.0,6.0,9.0,4.0,6.0
