strain_id,A_MTX_5-FC.HUG1_ALO1,A_MTX_Fluconazole.HUG1_ALO1,A_MTX_Metformin.HUG1_ALO1,A_MTX_Trifluoperazine.HUG1_ALO1,A_MTX_noDrug.HUG1_ALO1,A_noMTX_5-FC.HUG1_ALO1,A_noMTX_Fluconazole.HUG1_ALO1,A_noMTX_Metformin.HUG1_ALO1,A_noMTX_Trifluoperazine.HUG1_ALO1,A_noMTX_noDrug.HUG1_ALO1,B_MTX_5-FC.HUG1_ALO1,B_MTX_Fluconazole.HUG1_ALO1,B_MTX_Metformin.HUG1_ALO1,B_MTX_Trifluoperazine.HUG1_ALO1,B_MTX_noDrug.HUG1_ALO1,B_noMTX_5-FC.HUG1_ALO1,B_noMTX_Fluconazole.HUG1_ALO1,B_noMTX_Metformin.HUG1_ALO1,B_noMTX_Trifluoperazine.HUG1_ALO1,B_noMTX_noDrug.HUG1_ALO1,T0_noMTX_noDrug.HUG1_ALO1
1005,1.0,0.0,0.0,0.0,1.0,694.0,20.0,67.0,10.0,66.0,3.0,1.0,6.0,0.0,1.0,49.0,14.0,40.0,72.0,225.0,49.0
1007,0.0,5.0,0.0,0.0,1.0,602.0,343.0,147.0,184.0,154.0,2.0,19.0,3.0,2.0,0.0,254.0,223.0,158.0,198.0,241.0,68.0
1013,27.0,32.0,6.0,25.0,73.0,109.0,10.0,5.0,40.0,5.0,272.0,53.0,7.0,6.0,1.0,8.0,26.0,5.0,36.0,55.0,1.0
1016,1.0,0.0,7.0,0.0,1.0,194.0,88.0,162.0,45.0,152.0,2.0,0.0,34.0,1.0,3.0,32.0,210.0,219.0,78.0,211.0,197.0
1018,628.0,147.0,302.0,50.0,477.0,78.0,33.0,62.0,38.0,54.0,906.0,833.0,1525.0,258.0,638.0,44.0,28.0,67.0,11.0,91.0,38.0
1020,5114.0,264.0,8627.0,417.0,6588.0,15513.0,3956.0,1777.0,2023.0,1423.0,8720.0,3455.0,27625.0,4842.0,6720.0,2370.0,5240.0,1776.0,3365.0,5403.0,569.0
1025,18.0,13.0,7.0,3.0,4.0,634.0,271.0,68.0,21.0,183.0,13.0,37.0,66.0,14.0,8.0,136.0,83.0,203.0,104.0,490.0,96.0
1027,1.0,7.0,2.0,1.0,2.0,61.0,41.0,5.0,3.0,8.0,3.0,4.0,16.0,1.0,0.0,8.0,10.0,4.0,13.0,37.0,3.0
1035,72.0,16.0,16.0,88.0,64.0,11.0,9.0,4.0,8.0,2.0,58.0,15.0,96.0,82.0,94.0,4.0,20.0,7.0,1.0,21.0,1.0
1038,80.0,4.0,93.0,13.0,175.0,531.0,51.0,174.0,129.0,155.0,178.0,4.0,326.0,27.0,165.0,84.0,218.0,68.0,125.0,296.0,42.0
1040,20.0,36.0,13.0,10.0,9.0,1231.0,118.0,277.0,120.0,341.0,13.0,40.0,123.0,13.0,6.0,113.0,1136.0,354.0,347.0,798.0,112.0
1046,1.0,2.0,0.0,0.0,0.0,199.0,216.0,71.0,151.0,109.0,2.0,6.0,42.0,4.0,0.0,39.0,62.0,82.0,145.0,190.0,48.0
1050,41.0,1.0,495.0,4.0,168.0,883.0,32.0,817.0,188.0,284.0,37.0,3.0,2372.0,51.0,62.0,135.0,433.0,278.0,169.0,350.0,30.0
1065,3.0,12.0,54.0,1.0,1.0,40.0,84.0,11.0,1.0,16.0,6.0,22.0,533.0,8.0,3.0,10.0,2.0,19.0,16.0,26.0,12.0
1069,5810.0,4673.0,1620.0,103.0,3584.0,3824.0,2094.0,942.0,325.0,585.0,13615.0,20402.0,6125.0,1822.0,2986.0,604.0,5597.0,779.0,744.0,1339.0,264.0
107,1.0,0.0,3.0,1.0,1.0,2080.0,363.0,199.0,133.0,151.0,3.0,7.0,6.0,0.0,1.0,299.0,161.0,206.0,291.0,426.0,46.0
113,4.0,3.0,0.0,5.0,3.0,5.0,3.0,4.0,6.0,3.0,3.0,6.0,5.0,1.0,0.0,2.0,28.0,6.0,1.0,5.0,1.0
