strain_id,A_MTX_5-FC.ERV25_ORM2,A_MTX_Fluconazole.ERV25_ORM2,A_MTX_Metformin.ERV25_ORM2,A_MTX_Trifluoperazine.ERV25_ORM2,A_MTX_noDrug.ERV25_ORM2,A_noMTX_5-FC.ERV25_ORM2,A_noMTX_Fluconazole.ERV25_ORM2,A_noMTX_Metformin.ERV25_ORM2,A_noMTX_Trifluoperazine.ERV25_ORM2,A_noMTX_noDrug.ERV25_ORM2,B_MTX_5-FC.ERV25_ORM2,B_MTX_Fluconazole.ERV25_ORM2,B_MTX_Metformin.ERV25_ORM2,B_MTX_Trifluoperazine.ERV25_ORM2,B_MTX_noDrug.ERV25_ORM2,B_noMTX_5-FC.ERV25_ORM2,B_noMTX_Fluconazole.ERV25_ORM2,B_noMTX_Metformin.ERV25_ORM2,B_noMTX_Trifluoperazine.ERV25_ORM2,B_noMTX_noDrug.ERV25_ORM2,T0_noMTX_noDrug.ERV25_ORM2
1005,1.0,1.0,24.0,4.0,2.0,76.0,185.0,165.0,133.0,61.0,6.0,0.0,54.0,0.0,0.0,33.0,637.0,242.0,412.0,108.0,158.0
1007,9.0,11.0,10.0,11.0,2.0,18.0,22.0,85.0,19.0,35.0,6.0,4.0,44.0,3.0,6.0,61.0,1.0,38.0,85.0,15.0,49.0
1013,2.0,1.0,5.0,4.0,1.0,3.0,51.0,21.0,22.0,17.0,2.0,13.0,41.0,1.0,3.0,18.0,26.0,34.0,48.0,21.0,10.0
1016,31.0,0.0,131.0,14.0,8.0,89.0,225.0,249.0,80.0,100.0,185.0,0.0,298.0,4.0,33.0,113.0,3.0,155.0,250.0,147.0,62.0
1018,826.0,575.0,1017.0,747.0,896.0,1724.0,343.0,3270.0,724.0,594.0,2015.0,59.0,4035.0,403.0,1574.0,1324.0,6137.0,3089.0,1965.0,852.0,244.0
1020,349.0,6.0,515.0,261.0,672.0,478.0,30.0,592.0,354.0,194.0,508.0,2.0,1107.0,165.0,1198.0,228.0,33.0,1491.0,1216.0,688.0,291.0
1025,45.0,30.0,150.0,38.0,13.0,1100.0,110.0,809.0,514.0,777.0,82.0,23.0,501.0,7.0,47.0,1534.0,224.0,1586.0,1508.0,1962.0,487.0
1027,35.0,60.0,218.0,11.0,8.0,195.0,659.0,209.0,65.0,65.0,52.0,26.0,477.0,1.0,10.0,162.0,346.0,232.0,233.0,86.0,70.0
1035,13.0,6.0,12.0,28.0,58.0,2.0,6.0,10.0,6.0,6.0,23.0,6.0,79.0,30.0,36.0,9.0,10.0,16.0,21.0,5.0,4.0
1038,660.0,11.0,397.0,334.0,793.0,991.0,341.0,2588.0,469.0,1203.0,2445.0,6.0,969.0,273.0,2117.0,1449.0,40.0,1842.0,1583.0,1462.0,338.0
