strain_id,A_MTX_5-FC.MID2_MAM33,A_MTX_Fluconazole.MID2_MAM33,A_MTX_Metformin.MID2_MAM33,A_MTX_Trifluoperazine.MID2_MAM33,A_MTX_noDrug.MID2_MAM33,A_noMTX_5-FC.MID2_MAM33,A_noMTX_Fluconazole.MID2_MAM33,A_noMTX_Metformin.MID2_MAM33,A_noMTX_Trifluoperazine.MID2_MAM33,A_noMTX_noDrug.MID2_MAM33,B_MTX_5-FC.MID2_MAM33,B_MTX_Fluconazole.MID2_MAM33,B_MTX_Metformin.MID2_MAM33,B_MTX_Trifluoperazine.MID2_MAM33,B_MTX_noDrug.MID2_MAM33,B_noMTX_5-FC.MID2_MAM33,B_noMTX_Fluconazole.MID2_MAM33,B_noMTX_Metformin.MID2_MAM33,B_noMTX_Trifluoperazine.MID2_MAM33,B_noMTX_noDrug.MID2_MAM33,T0_noMTX_noDrug.MID2_MAM33
1005,1.0,0.0,1.0,0.0,0.0,193.0,13.0,18.0,13.0,68.0,0.0,1.0,0.0,1.0,1.0,118.0,92.0,81.0,62.0,117.0,19.0
1007,16.0,1.0,2.0,0.0,3.0,502.0,195.0,166.0,305.0,171.0,9.0,3.0,1.0,1.0,2.0,190.0,137.0,296.0,231.0,268.0,36.0
1013,0.0,2.0,0.0,9.0,28.0,5.0,18.0,4.0,6.0,8.0,6.0,6.0,2.0,12.0,2.0,7.0,17.0,7.0,10.0,8.0,1.0
1016,12.0,2.0,3.0,5.0,22.0,201.0,41.0,66.0,164.0,88.0,7.0,1.0,8.0,8.0,2.0,126.0,79.0,82.0,181.0,154.0,51.0
1018,142.0,28.0,349.0,665.0,542.0,104.0,11.0,40.0,51.0,53.0,274.0,313.0,194.0,270.0,356.0,83.0,204.0,53.0,141.0,158.0,29.0
1020,248.0,2.0,1448.0,945.0,285.0,273.0,690.0,547.0,111.0,150.0,268.0,1123.0,764.0,897.0,211.0,255.0,49.0,294.0,473.0,344.0,132.0
1025,8.0,6.0,12.0,19.0,12.0,474.0,645.0,179.0,104.0,186.0,4.0,32.0,11.0,7.0,10.0,342.0,78.0,149.0,301.0,536.0,115.0
1027,2.0,1.0,0.0,1.0,2.0,411.0,968.0,167.0,58.0,161.0,1.0,3.0,3.0,1.0,0.0,186.0,61.0,204.0,249.0,411.0,37.0
1035,54.0,9.0,22.0,102.0,94.0,6.0,10.0,2.0,3.0,3.0,47.0,6.0,20.0,53.0,69.0,1.0,18.0,4.0,4.0,15.0,0.0
1038,43.0,1.0,40.0,13.0,201.0,138.0,18.0,66.0,97.0,61.0,20.0,8.0,27.0,35.0,20.0,91.0,16.0,142.0,96.0,109.0,36.0
1040,6.0,8.0,12.0,10.0,25.0,863.0,641.0,368.0,235.0,450.0,22.0,140.0,12.0,9.0,8.0,603.0,1393.0,502.0,462.0,958.0,70.0
1046,3.0,2.0,7.0,0.0,6.0,254.0,36.0,133.0,109.0,100.0,4.0,10.0,6.0,0.0,1.0,166.0,223.0,144.0,195.0,225.0,93.0
1050,21.0,1.0,127.0,33.0,21.0,55.0,21.0,163.0,83.0,65.0,24.0,1.0,82.0,9.0,1.0,26.0,13.0,306.0,71.0,162.0,35.0
1065,10.0,45.0,189.0,5.0,9.0,54.0,2.0,16.0,17.0,41.0,13.0,12.0,22.0,33.0,13.0,21.0,32.0,22.0,47.0,29.0,22.0
1069,3266.0,18853.0,3071.0,4365.0,8491.0,2126.0,4706.0,1452.0,621.0,1082.0,5427.0,12178.0,1613.0,4878.0,4642.0,1679.0,12669.0,1600.0,1242.0,2143.0,618.0
107,0.0,6.0,0.0,1.0,0.0,50.0,7.0,14.0,9.0,3.0,0.0,1.0,1.0,1.0,0.0,18.0,1.0,13.0,4.0,13.0,8.0
113,85.0,2.0,0.0,43.0,103.0,15.0,3.0,12.0,44.0,22.0,10.0,2.0,35.0,81.0,1.0,7.0,123.0,3.0,13.0,18.0,8.0
119,3.0,3.0,2.0,2.0,7.0,3.0,2.0,1.0,3.0,3.0,0.0,4.0,1.0,1.0,2.0,2.0,46.0,1.0,0.0,14.0,2.0
124,40.0,1.0,261.0,357.0,137.0,46.0,25.0,31.0,20.0,62.0,36.0,16.0,201.0,188.0,627.0,34.0,601.0,81.0,52.0,97.0,27.0
128,2.0,11.0,2.0,0.0,3.0,681.0,131.0,223.0,128.0,163.0,1.0,4.0,0.0,0.0,0.0,415.0,99702.0,390.0,296.0,384.0,127.0
132,10.0,1.0,3.0,0.0,0.0,176.0,568.0,256.0,85.0,127.0,1.0,0.0,15.0,0.0,0.0,166.0,198.0,270.0,233.0,361.0,74.0
133,10.0,0.0,4.0,1.0,2.0,378.0,261.0,91.0,215.0,128.0,4.0,120.0,1.0,0.0,0.0,173.0,136.0,140.0,204.0,285.0,22.0
