strain_id,A_MTX_5-FC.HNM1_MAM33,A_MTX_Fluconazole.HNM1_MAM33,A_MTX_Metformin.HNM1_MAM33,A_MTX_Trifluoperazine.HNM1_MAM33,A_MTX_noDrug.HNM1_MAM33,A_noMTX_5-FC.HNM1_MAM33,A_noMTX_Fluconazole.HNM1_MAM33,A_noMTX_Metformin.HNM1_MAM33,A_noMTX_Trifluoperazine.HNM1_MAM33,A_noMTX_noDrug.HNM1_MAM33,B_MTX_5-FC.HNM1_MAM33,B_MTX_Fluconazole.HNM1_MAM33,B_MTX_Metformin.HNM1_MAM33,B_MTX_Trifluoperazine.HNM1_MAM33,B_MTX_noDrug.HNM1_MAM33,B_noMTX_5-FC.HNM1_MAM33,B_noMTX_Fluconazole.HNM1_MAM33,B_noMTX_Metformin.HNM1_MAM33,B_noMTX_Trifluoperazine.HNM1_MAM33,B_noMTX_noDrug.HNM1_MAM33,T0_noMTX_noDrug.HNM1_MAM33
1005,2.0,3.0,9.0,11.0,1.0,155.0,17.0,29.0,68.0,64.0,1.0,0.0,3.0,4.0,0.0,124.0,186.0,61.0,56.0,10.0,50.0
1007,3.0,11.0,7.0,1.0,2.0,289.0,77.0,222.0,164.0,236.0,6.0,2.0,6.0,4.0,0.0,210.0,15.0,99.0,219.0,26.0,50.0
1013,0.0,3.0,6.0,2.0,50.0,9.0,12.0,2.0,6.0,4.0,2.0,12.0,1.0,3.0,1.0,5.0,2.0,5.0,1.0,3.0,0.0
1016,2.0,0.0,5.0,2.0,2.0,53.0,10.0,84.0,42.0,103.0,1.0,0.0,1.0,1.0,2.0,53.0,7.0,26.0,78.0,23.0,44.0
1018,368.0,141.0,112.0,1206.0,205.0,128.0,144.0,42.0,30.0,44.0,614.0,150.0,250.0,344.0,43.0,188.0,46.0,44.0,58.0,43.0,22.0
1020,38.0,0.0,112.0,51.0,28.0,18.0,8.0,25.0,23.0,14.0,76.0,7.0,78.0,69.0,23.0,40.0,9.0,30.0,29.0,18.0,6.0
1025,71.0,33.0,40.0,134.0,44.0,185.0,468.0,64.0,77.0,110.0,86.0,93.0,18.0,95.0,43.0,173.0,314.0,105.0,141.0,36.0,62.0
1027,3.0,8.0,10.0,0.0,1.0,161.0,114.0,27.0,19.0,130.0,0.0,0.0,8.0,3.0,1.0,91.0,160.0,54.0,57.0,15.0,51.0
1035,28.0,45.0,67.0,456.0,47.0,13.0,4.0,5.0,7.0,3.0,44.0,23.0,16.0,60.0,25.0,10.0,7.0,6.0,11.0,4.0,3.0
1038,110.0,7.0,103.0,120.0,125.0,515.0,42.0,210.0,392.0,360.0,174.0,3.0,86.0,158.0,72.0,276.0,7.0,189.0,424.0,67.0,194.0
1040,12.0,11.0,36.0,75.0,23.0,290.0,26.0,220.0,130.0,203.0,37.0,19.0,17.0,25.0,8.0,420.0,73.0,174.0,208.0,81.0,66.0
1046,1.0,0.0,4.0,6.0,1.0,102.0,194.0,60.0,81.0,91.0,1.0,1.0,1.0,4.0,2.0,43.0,72.0,43.0,88.0,22.0,79.0
1050,4.0,0.0,14.0,12.0,4.0,13.0,4.0,8.0,6.0,3.0,18.0,0.0,10.0,4.0,2.0,7.0,2.0,2.0,23.0,13.0,3.0
1065,3.0,21.0,9.0,13.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0,31.0,9.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0
1069,15008.0,26597.0,5231.0,19621.0,32116.0,3117.0,3859.0,1518.0,1632.0,3194.0,23978.0,18642.0,3894.0,12548.0,20269.0,1893.0,4948.0,1998.0,2554.0,343.0,1351.0
107,2.0,4.0,2.0,2.0,0.0,105.0,28.0,7.0,21.0,4.0,0.0,0.0,3.0,1.0,0.0,79.0,45.0,23.0,31.0,3.0,25.0
113,5.0,10.0,6.0,7.0,0.0,129.0,10.0,552.0,284.0,181.0,17.0,8.0,5.0,2.0,5.0,54.0,16.0,133.0,293.0,84.0,197.0
119,8.0,2.0,5.0,7.0,8.0,5.0,3.0,0.0,3.0,2.0,3.0,4.0,5.0,11.0,3.0,6.0,5.0,2.0,4.0,1.0,2.0
124,38.0,2.0,182.0,17.0,216.0,44.0,45.0,25.0,7.0,49.0,83.0,6.0,344.0,229.0,2.0,26.0,7.0,27.0,31.0,8.0,15.0
128,1.0,2.0,6.0,0.0,0.0,632.0,503.0,182.0,217.0,406.0,0.0,1.0,3.0,0.0,0.0,460.0,209.0,387.0,291.0,29.0,373.0
