strain_id,A_MTX_5-FC.MID2_TPO4,A_MTX_Fluconazole.MID2_TPO4,A_MTX_Metformin.MID2_TPO4,A_MTX_Trifluoperazine.MID2_TPO4,A_MTX_noDrug.MID2_TPO4,A_noMTX_5-FC.MID2_TPO4,A_noMTX_Fluconazole.MID2_TPO4,A_noMTX_Metformin.MID2_TPO4,A_noMTX_Trifluoperazine.MID2_TPO4,A_noMTX_noDrug.MID2_TPO4,B_MTX_5-FC.MID2_TPO4,B_MTX_Fluconazole.MID2_TPO4,B_MTX_Metformin.MID2_TPO4,B_MTX_Trifluoperazine.MID2_TPO4,B_MTX_noDrug.MID2_TPO4,B_noMTX_5-FC.MID2_TPO4,B_noMTX_Fluconazole.MID2_TPO4,B_noMTX_Metformin.MID2_TPO4,B_noMTX_Trifluoperazine.MID2_TPO4,B_noMTX_noDrug.MID2_TPO4,T0_noMTX_noDrug.MID2_TPO4
1005,1.0,2.0,8.0,0.0,0.0,100.0,102.0,23.0,133.0,61.0,0.0,1.0,6.0,0.0,0.0,126.0,37.0,162.0,77.0,154.0,56.0
1007,0.0,6.0,16.0,1.0,0.0,474.0,384.0,44.0,162.0,105.0,0.0,0.0,189.0,1.0,1.0,269.0,71.0,319.0,192.0,349.0,81.0
1013,7.0,16.0,12.0,1.0,0.0,8.0,5.0,3.0,18.0,2.0,46.0,5.0,2.0,2.0,0.0,10.0,1.0,24.0,3.0,24.0,4.0
1016,0.0,1.0,6.0,0.0,1.0,207.0,4100.0,57.0,222.0,188.0,0.0,0.0,12.0,1.0,0.0,482.0,10932.0,315.0,289.0,718.0,244.0
1018,201.0,53.0,279.0,149.0,35.0,106.0,18.0,29.0,47.0,65.0,748.0,9.0,336.0,151.0,105.0,39.0,33.0,231.0,45.0,73.0,45.0
1020,3115.0,24.0,1052.0,2430.0,65.0,958.0,612.0,85.0,551.0,176.0,3832.0,2.0,3782.0,5689.0,1054.0,295.0,131.0,1525.0,311.0,308.0,214.0
1025,7.0,32.0,44.0,14.0,11.0,297.0,240.0,47.0,142.0,212.0,13.0,6.0,78.0,14.0,3.0,435.0,380.0,456.0,207.0,713.0,190.0
1027,0.0,33.0,16.0,2.0,1.0,103.0,73.0,17.0,48.0,32.0,1.0,1.0,15.0,2.0,1.0,57.0,9.0,212.0,44.0,94.0,18.0
1035,20.0,11.0,15.0,26.0,7.0,9.0,3.0,2.0,9.0,1.0,25.0,2.0,28.0,18.0,13.0,2.0,1.0,29.0,13.0,11.0,2.0
1038,95.0,2.0,37.0,25.0,13.0,32.0,7.0,18.0,25.0,4.0,55.0,0.0,23.0,101.0,25.0,8.0,9.0,53.0,24.0,12.0,16.0
