strain_id,A_MTX_5-FC.ERG11_ACF2,A_MTX_Fluconazole.ERG11_ACF2,A_MTX_Metformin.ERG11_ACF2,A_MTX_Trifluoperazine.ERG11_ACF2,A_MTX_noDrug.ERG11_ACF2,A_noMTX_5-FC.ERG11_ACF2,A_noMTX_Fluconazole.ERG11_ACF2,A_noMTX_Metformin.ERG11_ACF2,A_noMTX_Trifluoperazine.ERG11_ACF2,A_noMTX_noDrug.ERG11_ACF2,B_MTX_5-FC.ERG11_ACF2,B_MTX_Fluconazole.ERG11_ACF2,B_MTX_Metformin.ERG11_ACF2,B_MTX_Trifluoperazine.ERG11_ACF2,B_MTX_noDrug.ERG11_ACF2,B_noMTX_5-FC.ERG11_ACF2,B_noMTX_Fluconazole.ERG11_ACF2,B_noMTX_Metformin.ERG11_ACF2,B_noMTX_Trifluoperazine.ERG11_ACF2,B_noMTX_noDrug.ERG11_ACF2,T0_noMTX_noDrug.ERG11_ACF2
1005,0.0,1.0,2.0,1.0,1.0,131.0,3.0,319.0,5.0,144.0,0.0,1.0,0.0,0.0,0.0,89.0,4.0,263.0,190.0,14.0,79.0
1007,0.0,5.0,0.0,0.0,0.0,441.0,9.0,686.0,5.0,148.0,0.0,6.0,4.0,1.0,0.0,231.0,48.0,294.0,363.0,54.0,139.0
1013,1.0,3.0,0.0,0.0,3.0,4.0,5.0,17.0,5.0,4.0,1.0,3686.0,13.0,0.0,0.0,5.0,1.0,22.0,17.0,5.0,4.0
1016,0.0,0.0,4.0,1.0,3.0,23.0,22.0,84.0,7.0,22.0,3.0,0.0,6.0,0.0,0.0,17.0,26.0,18.0,62.0,9.0,60.0
1018,698.0,6.0,962.0,708.0,806.0,404.0,1.0,923.0,11.0,474.0,480.0,5.0,4402.0,701.0,270.0,347.0,31.0,461.0,501.0,57.0,197.0
1020,204.0,3.0,497.0,763.0,933.0,384.0,1183.0,745.0,20.0,308.0,255.0,182.0,1154.0,446.0,65.0,172.0,10.0,491.0,445.0,32.0,204.0
1025,11.0,10.0,6.0,24.0,7.0,601.0,18.0,1516.0,21.0,659.0,7.0,7.0,58.0,10.0,5.0,409.0,809.0,1054.0,724.0,76.0,505.0
1027,1.0,18.0,0.0,0.0,0.0,90.0,10689.0,285.0,10.0,130.0,1.0,1.0,6.0,1.0,0.0,45.0,513.0,298.0,100.0,17.0,49.0
1035,9.0,9.0,4.0,36.0,35.0,6.0,2.0,23.0,4.0,8.0,19.0,10.0,74.0,24.0,2.0,3.0,4.0,20.0,16.0,2.0,5.0
1038,39.0,2.0,216.0,29.0,15.0,390.0,7.0,558.0,14.0,303.0,81.0,1.0,271.0,42.0,13.0,290.0,45.0,413.0,449.0,76.0,161.0
1040,13.0,9.0,22.0,31.0,13.0,437.0,163.0,1107.0,47.0,506.0,23.0,12.0,75.0,21.0,11.0,351.0,19.0,838.0,553.0,100.0,224.0
1046,0.0,3.0,0.0,2.0,0.0,139.0,863.0,219.0,7.0,60.0,2.0,1.0,5.0,0.0,1.0,51.0,12.0,239.0,202.0,9.0,135.0
1050,45.0,0.0,67.0,40.0,135.0,45.0,5.0,121.0,7.0,28.0,18.0,0.0,369.0,32.0,0.0,29.0,10.0,141.0,47.0,12.0,28.0
1065,0.0,12.0,72.0,8.0,20.0,101.0,0.0,135.0,2.0,209.0,5.0,6.0,336.0,17.0,13.0,26.0,0.0,160.0,39.0,10.0,66.0
1069,706.0,9974.0,422.0,279.0,256.0,301.0,63.0,425.0,26.0,302.0,328.0,319.0,1946.0,265.0,88.0,170.0,66.0,448.0,782.0,37.0,163.0
107,0.0,2.0,0.0,0.0,0.0,14.0,3.0,53.0,2.0,38.0,2.0,0.0,1.0,0.0,0.0,25.0,441.0,147.0,102.0,0.0,19.0
113,551.0,4.0,491.0,53.0,88.0,245.0,13.0,678.0,6.0,213.0,219.0,3.0,879.0,84.0,45.0,147.0,339.0,468.0,643.0,32.0,212.0
119,1.0,0.0,1.0,2.0,0.0,7.0,5.0,2.0,2.0,2.0,4.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,10.0,2.0,2.0
124,35.0,0.0,255.0,133.0,176.0,33.0,2.0,42.0,2.0,27.0,36.0,1.0,177.0,241.0,218.0,16.0,2.0,31.0,33.0,14.0,53.0
128,0.0,3.0,1.0,0.0,0.0,136.0,5.0,250.0,7.0,86.0,0.0,1.0,4.0,2.0,0.0,121.0,4.0,241.0,129.0,24.0,85.0
132,2.0,3.0,6.0,2.0,0.0,322.0,1990.0,1351.0,19.0,536.0,4.0,1.0,27.0,0.0,0.0,208.0,825.0,1318.0,1574.0,60.0,191.0
133,0.0,0.0,0.0,2.0,0.0,31.0,3.0,118.0,12.0,49.0,0.0,1.0,1.0,0.0,0.0,72.0,3.0,74.0,60.0,8.0,26.0
136,0.0,0.0,0.0,2.0,0.0,45.0,3.0,194.0,2.0,127.0,0.0,4.0,4.0,0.0,0.0,23.0,2.0,97.0,109.0,19.0,51.0
14,2681.0,3.0,6834.0,6040.0,2865.0,2053.0,907.0,4811.0,28.0,2524.0,1732.0,1.0,6074.0,5797.0,1032.0,1489.0,1229.0,4917.0,4860.0,626.0,693.0
146,219.0,14.0,1920.0,336.0,65.0,1475.0,124.0,3163.0,75.0,1391.0,232.0,13.0,3595.0,137.0,56.0,1045.0,94.0,2839.0,3568.0,246.0,501.0
15,60.0,2.0,16.0,2.0,7.0,18.0,14.0,44.0,8.0,17.0,62.0,0.0,29.0,8.0,8.0,9.0,5.0,20.0,51.0,4.0,49.0
151,0.0,1.0,2.0,3.0,0.0,69.0,7.0,155.0,3.0,91.0,3.0,2.0,15.0,1.0,2.0,16.0,53.0,122.0,66.0,3.0,76.0
