strain_id,A_MTX_5-FC.DHH1_LSM3,A_MTX_Fluconazole.DHH1_LSM3,A_MTX_Metformin.DHH1_LSM3,A_MTX_Trifluoperazine.DHH1_LSM3,A_MTX_noDrug.DHH1_LSM3,A_noMTX_5-FC.DHH1_LSM3,A_noMTX_Fluconazole.DHH1_LSM3,A_noMTX_Metformin.DHH1_LSM3,A_noMTX_Trifluoperazine.DHH1_LSM3,A_noMTX_noDrug.DHH1_LSM3,B_MTX_5-FC.DHH1_LSM3,B_MTX_Fluconazole.DHH1_LSM3,B_MTX_Metformin.DHH1_LSM3,B_MTX_Trifluoperazine.DHH1_LSM3,B_MTX_noDrug.DHH1_LSM3,B_noMTX_5-FC.DHH1_LSM3,B_noMTX_Fluconazole.DHH1_LSM3,B_noMTX_Metformin.DHH1_LSM3,B_noMTX_Trifluoperazine.DHH1_LSM3,B_noMTX_noDrug.DHH1_LSM3,T0_noMTX_noDrug.DHH1_LSM3
1005,13.0,0.0,3.0,0.0,4.0,48.0,26.0,45.0,55.0,113.0,3.0,0.0,134.0,2.0,1.0,19.0,322.0,3.0,113.0,67.0,20.0
1007,26.0,12.0,33.0,2.0,3.0,124.0,79.0,180.0,154.0,85.0,2.0,30.0,93.0,3.0,4.0,52.0,21.0,21.0,141.0,66.0,12.0
1013,5.0,7.0,4.0,6.0,12.0,4.0,12.0,5.0,7.0,9.0,4.0,3.0,24.0,3.0,1.0,11.0,15.0,6.0,3.0,14.0,0.0
1016,37.0,25.0,22.0,5.0,7.0,50.0,29.0,152.0,95.0,249.0,15.0,9.0,676.0,16.0,7.0,98.0,16.0,81.0,93.0,546.0,90.0
1018,4141.0,4733.0,189.0,126.0,623.0,82.0,12.0,85.0,60.0,203.0,1252.0,2544.0,1358.0,855.0,1509.0,73.0,96.0,38.0,74.0,185.0,14.0
1020,1640.0,37.0,265.0,210.0,191.0,309.0,44.0,89.0,120.0,85.0,453.0,86.0,776.0,1561.0,498.0,104.0,150.0,69.0,166.0,144.0,31.0
1025,172.0,25.0,34.0,16.0,23.0,299.0,900.0,176.0,167.0,913.0,30.0,39.0,426.0,22.0,56.0,152.0,461.0,34.0,229.0,1614.0,110.0
1027,6.0,8.0,39.0,0.0,1.0,70.0,22.0,102.0,51.0,59.0,4.0,1.0,151.0,1.0,4.0,25.0,107.0,12.0,75.0,89.0,10.0
1035,263.0,37.0,30.0,75.0,157.0,18.0,35.0,6.0,20.0,32.0,26.0,15.0,260.0,138.0,222.0,6.0,118.0,1.0,5.0,29.0,1.0
1038,3578.0,20.0,618.0,431.0,736.0,225.0,17.0,318.0,327.0,360.0,1976.0,6.0,2581.0,2187.0,731.0,184.0,42.0,54.0,324.0,197.0,50.0
1040,206.0,24.0,108.0,23.0,36.0,538.0,273.0,1238.0,507.0,1355.0,35.0,135.0,1359.0,65.0,46.0,270.0,3748.0,118.0,964.0,1524.0,85.0
1046,27.0,23.0,19.0,2.0,3.0,94.0,155.0,239.0,172.0,651.0,0.0,35.0,281.0,5.0,10.0,81.0,132.0,34.0,271.0,1168.0,152.0
1050,186.0,9.0,36.0,20.0,38.0,31.0,6.0,24.0,26.0,36.0,15.0,8.0,129.0,26.0,38.0,16.0,10.0,10.0,14.0,70.0,4.0
1065,489.0,858.0,15.0,51.0,112.0,43.0,13.0,27.0,24.0,55.0,58.0,307.0,177.0,61.0,380.0,6.0,10.0,3.0,17.0,59.0,10.0
1069,10906.0,22432.0,1263.0,1116.0,1602.0,1344.0,23601.0,3036.0,1853.0,3631.0,3346.0,7819.0,14353.0,4915.0,4327.0,595.0,22790.0,233.0,2360.0,2576.0,298.0
107,10.0,51.0,3.0,6.0,1.0,62.0,3.0,10.0,23.0,17.0,3.0,179.0,15.0,5.0,2.0,20.0,10.0,8.0,66.0,14.0,3.0
113,105.0,18.0,13.0,73.0,93.0,34.0,5.0,28.0,10.0,21.0,160.0,6.0,125.0,11.0,72.0,39.0,4.0,8.0,16.0,43.0,3.0
119,96.0,13.0,2.0,4.0,17.0,2.0,5.0,9.0,14.0,11.0,4.0,10.0,52.0,10.0,21.0,3.0,4.0,2.0,1.0,9.0,1.0
124,241.0,9.0,29.0,22.0,154.0,26.0,2.0,18.0,5.0,12.0,40.0,17.0,126.0,140.0,195.0,13.0,17.0,6.0,6.0,50.0,5.0
128,15.0,17.0,11.0,0.0,6.0,217.0,34.0,41.0,61.0,57.0,3.0,3.0,198.0,6.0,1.0,75.0,438.0,38.0,56.0,97.0,15.0
132,132.0,97.0,519.0,15.0,5.0,549.0,3967.0,679.0,575.0,1084.0,48.0,90.0,4955.0,15.0,0.0,195.0,2197.0,72.0,935.0,732.0,87.0
133,4.0,2.0,17.0,1.0,0.0,71.0,139.0,468.0,166.0,482.0,1.0,2.0,190.0,4.0,4.0,173.0,143.0,45.0,211.0,955.0,127.0
136,19.0,2.0,4.0,3.0,2.0,10.0,23.0,13.0,16.0,3.0,2.0,1.0,12.0,6.0,9.0,6.0,10.0,8.0,10.0,12.0,4.0
14,2285.0,493.0,193.0,523.0,496.0,219.0,206.0,704.0,270.0,906.0,889.0,285.0,2152.0,1580.0,2510.0,180.0,1028.0,106.0,389.0,1395.0,213.0
146,23714.0,562.0,2326.0,2164.0,4065.0,3343.0,4542.0,8670.0,4693.0,8502.0,8965.0,180.0,24232.0,8854.0,12631.0,2253.0,4854.0,651.0,5891.0,7108.0,891.0
15,44.0,8.0,10.0,4.0,16.0,18.0,132.0,11.0,6.0,3.0,4.0,0.0,61.0,118.0,10.0,8.0,5.0,12.0,8.0,32.0,4.0
151,19.0,1.0,17.0,3.0,3.0,27.0,18.0,77.0,41.0,165.0,4.0,2.0,70.0,4.0,7.0,39.0,838.0,5.0,47.0,97.0,17.0
153,5.0,13.0,9.0,1.0,1.0,62.0,29.0,43.0,14.0,124.0,15.0,9.0,316.0,2.0,0.0,46.0,273.0,12.0,19.0,118.0,14.0
17,13.0,6.0,2.0,3.0,2.0,1.0,11.0,3.0,7.0,7.0,0.0,1.0,18.0,3.0,8.0,1.0,2.0,1.0,6.0,7.0,1.0
171,163.0,3.0,11.0,28.0,32.0,15.0,29.0,9.0,10.0,26.0,20.0,9.0,156.0,79.0,50.0,10.0,31.0,9.0,11.0,58.0,10.0
175,5.0,1.0,1.0,0.0,2.0,9.0,2.0,8.0,5.0,7.0,0.0,0.0,7.0,6.0,1.0,7.0,1.0,9.0,4.0,16.0,4.0
180,6.0,11.0,3.0,0.0,2.0,11.0,11.0,7.0,4.0,4.0,1.0,1.0,14.0,3.0,1.0,18.0,15.0,11.0,15.0,18.0,1.0
180_2,61.0,10.0,9.0,5.0,15.0,43.0,9.0,54.0,13.0,34.0,3.0,5.0,44.0,5.0,14.0,42.0,24.0,20.0,30.0,49.0,8.0
185,60.0,16.0,5.0,9.0,14.0,15.0,11.0,9.0,4.0,7.0,18.0,2.0,54.0,34.0,33.0,4.0,18.0,1.0,14.0,7.0,1.0
187,4.0,1.0,27.0,0.0,0.0,55.0,73.0,21.0,8.0,56.0,5.0,0.0,152.0,7.0,26.0,10.0,42.0,9.0,38.0,45.0,6.0
188,79.0,40.0,42.0,2.0,6.0,96.0,236.0,146.0,51.0,101.0,6.0,33.0,672.0,3.0,12.0,26.0,4.0,17.0,116.0,107.0,13.0
192,103.0,70.0,9.0,3.0,11.0,20.0,16.0,40.0,29.0,104.0,11.0,50.0,140.0,16.0,19.0,31.0,34.0,11.0,21.0,186.0,16.0
20,3.0,0.0,2.0,2.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0
209,34.0,7.0,3.0,0.0,3.0,16.0,108.0,29.0,16.0,14.0,3.0,5.0,49.0,1.0,6.0,25.0,31.0,24.0,19.0,24.0,5.0
210,65.0,4.0,3.0,3.0,3.0,12.0,18.0,21.0,7.0,13.0,4.0,1.0,32.0,14.0,20.0,10.0,7.0,5.0,9.0,29.0,0.0
226,506.0,116.0,27.0,46.0,96.0,49.0,24.0,37.0,29.0,46.0,156.0,2.0,118.0,228.0,98.0,15.0,1066.0,12.0,81.0,62.0,16.0
235,1.0,0.0,1.0,0.0,0.0,3.0,11.0,5.0,5.0,6.0,0.0,1.0,7.0,3.0,2.0,1.0,4.0,5.0,4.0,8.0,2.0
240,1.0,1.0,1.0,0.0,0.0,4.0,11.0,2.0,3.0,18.0,0.0,0.0,11.0,0.0,1.0,1.0,5.0,4.0,1.0,26.0,2.0
248,5.0,0.0,5.0,2.0,6.0,9.0,6.0,10.0,11.0,43.0,1.0,0.0,16.0,0.0,1.0,3.0,3.0,3.0,4.0,70.0,2.0
250,8.0,11.0,24.0,2.0,3.0,37.0,5.0,91.0,80.0,109.0,7.0,2.0,575.0,13.0,2.0,65.0,5.0,20.0,76.0,108.0,16.0
