strain_id,A_MTX_5-FC.ERV25_RBD2,A_MTX_Fluconazole.ERV25_RBD2,A_MTX_Metformin.ERV25_RBD2,A_MTX_Trifluoperazine.ERV25_RBD2,A_MTX_noDrug.ERV25_RBD2,A_noMTX_5-FC.ERV25_RBD2,A_noMTX_Fluconazole.ERV25_RBD2,A_noMTX_Metformin.ERV25_RBD2,A_noMTX_Trifluoperazine.ERV25_RBD2,A_noMTX_noDrug.ERV25_RBD2,B_MTX_5-FC.ERV25_RBD2,B_MTX_Fluconazole.ERV25_RBD2,B_MTX_Metformin.ERV25_RBD2,B_MTX_Trifluoperazine.ERV25_RBD2,B_MTX_noDrug.ERV25_RBD2,B_noMTX_5-FC.ERV25_RBD2,B_noMTX_Fluconazole.ERV25_RBD2,B_noMTX_Metformin.ERV25_RBD2,B_noMTX_Trifluoperazine.ERV25_RBD2,B_noMTX_noDrug.ERV25_RBD2,T0_noMTX_noDrug.ERV25_RBD2
1005,4.0,0.0,0.0,5.0,1.0,34.0,3.0,4.0,4.0,3.0,2.0,0.0,2.0,1.0,2.0,9.0,3.0,3.0,7.0,5.0,26.0
1007,3.0,1.0,0.0,0.0,1.0,38.0,25.0,12.0,26.0,6.0,1.0,5.0,5.0,1.0,1.0,18.0,95.0,16.0,15.0,13.0,7.0
1013,3.0,3.0,0.0,6.0,6.0,9.0,6.0,8.0,14.0,1.0,8.0,0.0,6.0,1.0,1.0,4.0,33.0,3.0,7.0,1.0,0.0
1016,0.0,2.0,2.0,3.0,3.0,1388.0,43.0,1512.0,1103.0,1548.0,3.0,3.0,5.0,3.0,1.0,1461.0,20.0,1223.0,1859.0,1687.0,202.0
1018,76.0,64.0,28.0,43.0,95.0,47.0,9.0,28.0,22.0,11.0,90.0,67.0,109.0,115.0,29.0,12.0,11.0,10.0,13.0,15.0,16.0
1020,101.0,4.0,86.0,108.0,62.0,315.0,37.0,49.0,39.0,22.0,166.0,15.0,296.0,300.0,63.0,56.0,32.0,36.0,73.0,46.0,18.0
1025,16.0,22.0,5.0,5.0,2.0,835.0,383.0,960.0,384.0,849.0,9.0,13.0,11.0,10.0,7.0,655.0,1260.0,581.0,1159.0,454.0,150.0
1027,1.0,1.0,0.0,0.0,0.0,678.0,292.0,625.0,247.0,729.0,0.0,3.0,2.0,0.0,0.0,588.0,1095.0,241.0,662.0,222.0,52.0
1035,55.0,18.0,8.0,80.0,52.0,17.0,3.0,3.0,3.0,2.0,61.0,8.0,22.0,66.0,52.0,4.0,5.0,6.0,0.0,4.0,0.0
1038,497.0,2.0,550.0,28.0,22.0,69.0,6.0,104.0,60.0,120.0,388.0,2.0,244.0,45.0,36.0,36.0,25.0,55.0,69.0,86.0,54.0
1040,18.0,25.0,22.0,7.0,9.0,181.0,38.0,121.0,284.0,116.0,10.0,13.0,21.0,15.0,2.0,183.0,119.0,63.0,462.0,101.0,122.0
1046,0.0,1.0,1.0,0.0,2.0,21.0,5.0,4.0,13.0,4.0,3.0,0.0,11.0,1.0,0.0,4.0,8.0,3.0,8.0,3.0,13.0
1050,8.0,0.0,11.0,7.0,6.0,42.0,4.0,21.0,21.0,8.0,15.0,0.0,37.0,19.0,3.0,8.0,11.0,7.0,20.0,9.0,2.0
1065,7.0,14.0,2.0,7.0,3.0,2.0,0.0,2.0,1.0,2.0,8.0,15.0,13.0,10.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0
1069,357.0,690.0,57.0,198.0,233.0,150.0,1278.0,111.0,114.0,79.0,735.0,873.0,261.0,370.0,290.0,85.0,961.0,97.0,143.0,76.0,42.0
107,3.0,6.0,0.0,1.0,0.0,44.0,2.0,2.0,8.0,2.0,1.0,0.0,1.0,1.0,1.0,9.0,7.0,5.0,5.0,3.0,5.0
113,276.0,3.0,0.0,12.0,30.0,3.0,4.0,21.0,11.0,43.0,37.0,2.0,15.0,22.0,16.0,41.0,7.0,4.0,2.0,30.0,4.0
119,1.0,1.0,0.0,1.0,0.0,5.0,6.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0
124,23.0,0.0,6.0,16.0,16.0,4.0,4.0,3.0,4.0,4.0,27.0,7.0,22.0,39.0,19.0,4.0,17.0,1.0,3.0,3.0,8.0
128,1.0,1.0,0.0,1.0,0.0,401.0,505.0,267.0,251.0,341.0,1.0,1.0,4.0,1.0,1.0,299.0,1315.0,277.0,348.0,128.0,125.0
132,1.0,0.0,3.0,1.0,0.0,55.0,29.0,26.0,30.0,19.0,1.0,0.0,35.0,1.0,1.0,16.0,20.0,39.0,56.0,27.0,15.0
