strain_id,A_MTX_5-FC.ERV25_ERG5,A_MTX_Fluconazole.ERV25_ERG5,A_MTX_Metformin.ERV25_ERG5,A_MTX_Trifluoperazine.ERV25_ERG5,A_MTX_noDrug.ERV25_ERG5,A_noMTX_5-FC.ERV25_ERG5,A_noMTX_Fluconazole.ERV25_ERG5,A_noMTX_Metformin.ERV25_ERG5,A_noMTX_Trifluoperazine.ERV25_ERG5,A_noMTX_noDrug.ERV25_ERG5,B_MTX_5-FC.ERV25_ERG5,B_MTX_Fluconazole.ERV25_ERG5,B_MTX_Metformin.ERV25_ERG5,B_MTX_Trifluoperazine.ERV25_ERG5,B_MTX_noDrug.ERV25_ERG5,B_noMTX_5-FC.ERV25_ERG5,B_noMTX_Fluconazole.ERV25_ERG5,B_noMTX_Metformin.ERV25_ERG5,B_noMTX_Trifluoperazine.ERV25_ERG5,B_noMTX_noDrug.ERV25_ERG5,T0_noMTX_noDrug.ERV25_ERG5
1005,1.0,0.0,26.0,3.0,3.0,376.0,31.0,165.0,175.0,175.0,8.0,2.0,28.0,1.0,2.0,177.0,61.0,50.0,494.0,163.0,189.0
1007,7.0,39.0,44.0,3.0,0.0,383.0,126.0,899.0,141.0,122.0,4.0,74.0,118.0,4.0,2.0,208.0,13.0,121.0,481.0,220.0,200.0
1013,2.0,0.0,0.0,3.0,44.0,8.0,10.0,31.0,7.0,22.0,17.0,13.0,32.0,3.0,3.0,5.0,2.0,3.0,25.0,4.0,2.0
1016,0.0,107.0,2.0,2.0,3.0,101.0,12.0,59.0,24.0,13.0,2.0,0.0,19.0,3.0,1.0,26.0,7.0,13.0,144.0,22.0,50.0
1018,218.0,19.0,184.0,119.0,216.0,213.0,8.0,244.0,104.0,278.0,389.0,9.0,690.0,137.0,1081.0,155.0,27.0,58.0,539.0,115.0,165.0
1020,1684.0,30.0,1650.0,1243.0,2056.0,470.0,303.0,696.0,419.0,654.0,2139.0,59.0,3538.0,1979.0,3890.0,554.0,303.0,219.0,821.0,315.0,449.0
1025,13.0,17.0,113.0,13.0,8.0,643.0,170.0,440.0,126.0,469.0,25.0,43.0,152.0,7.0,23.0,412.0,344.0,109.0,525.0,384.0,419.0
1027,23.0,106.0,173.0,13.0,0.0,361.0,795.0,220.0,222.0,547.0,17.0,39.0,423.0,4.0,0.0,339.0,206.0,100.0,481.0,281.0,209.0
1035,12.0,24.0,7.0,94.0,54.0,5.0,9.0,6.0,11.0,13.0,35.0,8.0,63.0,23.0,148.0,3.0,1.0,7.0,31.0,2.0,2.0
1038,491.0,0.0,321.0,321.0,538.0,729.0,8.0,969.0,194.0,329.0,1403.0,2.0,918.0,484.0,622.0,212.0,136.0,127.0,470.0,467.0,255.0
