strain_id,A_MTX_5-FC.HNM1_TPO2,A_MTX_Fluconazole.HNM1_TPO2,A_MTX_Metformin.HNM1_TPO2,A_MTX_Trifluoperazine.HNM1_TPO2,A_MTX_noDrug.HNM1_TPO2,A_noMTX_5-FC.HNM1_TPO2,A_noMTX_Fluconazole.HNM1_TPO2,A_noMTX_Metformin.HNM1_TPO2,A_noMTX_Trifluoperazine.HNM1_TPO2,A_noMTX_noDrug.HNM1_TPO2,B_MTX_5-FC.HNM1_TPO2,B_MTX_Fluconazole.HNM1_TPO2,B_MTX_Metformin.HNM1_TPO2,B_MTX_Trifluoperazine.HNM1_TPO2,B_MTX_noDrug.HNM1_TPO2,B_noMTX_5-FC.HNM1_TPO2,B_noMTX_Fluconazole.HNM1_TPO2,B_noMTX_Metformin.HNM1_TPO2,B_noMTX_Trifluoperazine.HNM1_TPO2,B_noMTX_noDrug.HNM1_TPO2,T0_noMTX_noDrug.HNM1_TPO2
1005,2.0,8.0,18.0,8.0,3.0,33.0,13.0,5.0,18.0,24.0,0.0,0.0,1.0,0.0,3.0,40.0,29.0,20.0,38.0,65.0,9.0
1007,2.0,0.0,52.0,1.0,4.0,119.0,74.0,62.0,58.0,75.0,4.0,6.0,10.0,4.0,0.0,113.0,89.0,155.0,67.0,220.0,65.0
1013,3.0,2.0,14.0,3.0,113.0,3.0,19.0,1.0,7.0,7.0,6.0,6.0,2.0,2.0,2.0,6.0,0.0,3.0,6.0,3.0,0.0
1016,2.0,0.0,14.0,2.0,16.0,19.0,8.0,20.0,19.0,21.0,3.0,1.0,1.0,1.0,2.0,31.0,17.0,16.0,24.0,9.0,14.0
1018,51.0,196.0,111.0,138.0,126.0,38.0,240.0,15.0,14.0,21.0,85.0,16.0,53.0,187.0,625.0,33.0,93.0,43.0,30.0,45.0,13.0
1020,1393.0,1.0,2479.0,794.0,456.0,256.0,27.0,137.0,231.0,257.0,1302.0,2.0,690.0,1489.0,520.0,363.0,8.0,278.0,379.0,379.0,171.0
1025,60.0,21.0,64.0,46.0,62.0,176.0,520.0,166.0,179.0,201.0,120.0,44.0,18.0,36.0,67.0,160.0,65.0,198.0,114.0,130.0,77.0
1027,2.0,2.0,122.0,0.0,0.0,66.0,13613.0,162.0,93.0,103.0,2.0,0.0,25.0,1.0,1.0,147.0,2453.0,57.0,64.0,230.0,38.0
1035,31.0,16.0,456.0,159.0,77.0,3.0,15.0,6.0,15.0,6.0,21.0,15.0,23.0,40.0,38.0,5.0,8.0,4.0,7.0,4.0,2.0
1038,747.0,6.0,1683.0,326.0,267.0,271.0,326.0,217.0,169.0,176.0,586.0,4.0,304.0,452.0,156.0,169.0,75.0,211.0,218.0,341.0,205.0
