strain_id,A_MTX_5-FC.MID2_WSC2,A_MTX_Fluconazole.MID2_WSC2,A_MTX_Metformin.MID2_WSC2,A_MTX_Trifluoperazine.MID2_WSC2,A_MTX_noDrug.MID2_WSC2,A_noMTX_5-FC.MID2_WSC2,A_noMTX_Fluconazole.MID2_WSC2,A_noMTX_Metformin.MID2_WSC2,A_noMTX_Trifluoperazine.MID2_WSC2,A_noMTX_noDrug.MID2_WSC2,B_MTX_5-FC.MID2_WSC2,B_MTX_Fluconazole.MID2_WSC2,B_MTX_Metformin.MID2_WSC2,B_MTX_Trifluoperazine.MID2_WSC2,B_MTX_noDrug.MID2_WSC2,B_noMTX_5-FC.MID2_WSC2,B_noMTX_Fluconazole.MID2_WSC2,B_noMTX_Metformin.MID2_WSC2,B_noMTX_Trifluoperazine.MID2_WSC2,B_noMTX_noDrug.MID2_WSC2,T0_noMTX_noDrug.MID2_WSC2
1005,0.0,1.0,2.0,0.0,11.0,255.0,21.0,133.0,118.0,86.0,0.0,0.0,5.0,0.0,0.0,352.0,42.0,250.0,238.0,14.0,61.0
1007,5.0,4.0,1.0,0.0,2.0,5.0,33.0,9.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,28.0,36.0,11.0,14.0,6.0,3.0
1013,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,7.0,10.0,4.0,1.0,0.0
1016,16.0,1.0,13.0,6.0,26.0,938.0,113.0,1230.0,469.0,412.0,2.0,0.0,8.0,4.0,1.0,805.0,2005.0,1132.0,2498.0,99.0,231.0
1018,21.0,24.0,28.0,200.0,97.0,14.0,12.0,15.0,23.0,10.0,49.0,7.0,45.0,69.0,28.0,30.0,6.0,31.0,15.0,6.0,2.0
1020,166.0,13.0,3527.0,2701.0,8943.0,431.0,459.0,717.0,408.0,254.0,81.0,2.0,2050.0,2540.0,4004.0,577.0,581.0,1197.0,1436.0,64.0,270.0
1025,2.0,14.0,7.0,23.0,36.0,182.0,166.0,197.0,115.0,60.0,8.0,2.0,9.0,3.0,1.0,311.0,275.0,273.0,319.0,12.0,138.0
1027,0.0,4.0,4.0,2.0,2.0,90.0,94.0,96.0,77.0,67.0,0.0,0.0,4.0,1.0,1.0,190.0,532.0,297.0,155.0,11.0,70.0
1035,8.0,12.0,9.0,73.0,21.0,3.0,1.0,4.0,10.0,0.0,8.0,3.0,7.0,7.0,2.0,9.0,1.0,11.0,4.0,1.0,2.0
1038,7.0,4.0,2.0,4.0,3.0,8.0,9.0,7.0,4.0,9.0,11.0,3.0,2.0,5.0,5.0,13.0,3.0,24.0,8.0,4.0,4.0
1040,1.0,6.0,10.0,8.0,3.0,59.0,10.0,58.0,30.0,27.0,4.0,0.0,10.0,5.0,3.0,193.0,12.0,81.0,57.0,15.0,32.0
1046,1.0,1.0,3.0,5.0,2.0,184.0,136.0,197.0,31.0,53.0,0.0,1.0,2.0,1.0,1.0,160.0,176.0,279.0,218.0,16.0,146.0
1050,6.0,2.0,12.0,22.0,52.0,6.0,2.0,17.0,17.0,6.0,8.0,0.0,6.0,8.0,2.0,22.0,10.0,54.0,23.0,2.0,2.0
1065,0.0,13.0,0.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,3.0,3.0,7.0,2.0,1.0,1.0
1069,955.0,12047.0,3182.0,4571.0,2854.0,708.0,2550.0,1668.0,531.0,486.0,1751.0,3556.0,2506.0,4619.0,1785.0,1112.0,2847.0,2753.0,1934.0,148.0,597.0
107,0.0,2.0,1.0,4.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,8.0,1.0,0.0,2.0
113,13.0,4.0,6.0,14.0,26.0,2.0,1.0,1.0,6.0,2.0,6.0,5.0,1.0,2.0,1.0,12.0,20.0,7.0,2.0,3.0,3.0
119,2.0,6.0,0.0,11.0,46.0,2.0,8.0,1.0,5.0,0.0,0.0,11.0,1.0,1.0,1.0,2.0,19.0,5.0,3.0,1.0,1.0
124,3.0,0.0,5.0,4.0,3.0,4.0,3.0,5.0,2.0,0.0,5.0,1.0,11.0,1.0,3.0,7.0,5.0,6.0,1.0,1.0,1.0
128,2.0,5.0,1.0,1.0,1.0,308.0,122.0,181.0,114.0,46.0,0.0,1.0,0.0,1.0,1.0,340.0,473.0,507.0,485.0,16.0,115.0
132,1.0,1.0,0.0,0.0,0.0,25.0,109.0,121.0,71.0,38.0,1.0,1.0,2.0,0.0,0.0,27.0,13.0,461.0,189.0,26.0,39.0
133,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,0.0,2.0
136,0.0,0.0,1.0,0.0,0.0,2.0,11.0,3.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,3.0,8.0,7.0,6.0,2.0,2.0
14,26.0,40.0,12.0,52.0,20.0,7.0,13.0,13.0,10.0,9.0,16.0,9.0,28.0,41.0,33.0,4.0,7.0,53.0,20.0,11.0,14.0
