strain_id,A_MTX_5-FC.HNM1_ERG11,A_MTX_Fluconazole.HNM1_ERG11,A_MTX_Metformin.HNM1_ERG11,A_MTX_Trifluoperazine.HNM1_ERG11,A_MTX_noDrug.HNM1_ERG11,A_noMTX_5-FC.HNM1_ERG11,A_noMTX_Fluconazole.HNM1_ERG11,A_noMTX_Metformin.HNM1_ERG11,A_noMTX_Trifluoperazine.HNM1_ERG11,A_noMTX_noDrug.HNM1_ERG11,B_MTX_5-FC.HNM1_ERG11,B_MTX_Fluconazole.HNM1_ERG11,B_MTX_Metformin.HNM1_ERG11,B_MTX_Trifluoperazine.HNM1_ERG11,B_MTX_noDrug.HNM1_ERG11,B_noMTX_5-FC.HNM1_ERG11,B_noMTX_Fluconazole.HNM1_ERG11,B_noMTX_Metformin.HNM1_ERG11,B_noMTX_Trifluoperazine.HNM1_ERG11,B_noMTX_noDrug.HNM1_ERG11,T0_noMTX_noDrug.HNM1_ERG11
1005,0.0,1.0,0.0,0.0,1.0,47.0,17.0,23.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,86.0,4.0,15.0,52.0,10.0,29.0
1007,23.0,8.0,16.0,1.0,1.0,199.0,425.0,200.0,65.0,90.0,0.0,2.0,23.0,3.0,1.0,117.0,76.0,57.0,277.0,18.0,49.0
1013,3.0,4.0,0.0,8.0,46.0,5.0,9.0,1.0,4.0,0.0,10.0,2.0,1.0,8.0,11.0,2.0,5.0,11.0,5.0,4.0,1.0
1016,0.0,14.0,0.0,3.0,2.0,15.0,2339.0,5.0,9.0,19.0,2.0,0.0,3.0,4.0,1.0,20.0,32.0,12.0,31.0,7.0,19.0
1018,193.0,23.0,389.0,330.0,361.0,230.0,24.0,119.0,13.0,49.0,798.0,18.0,429.0,396.0,577.0,102.0,9.0,51.0,154.0,19.0,39.0
1020,1575.0,48.0,1474.0,948.0,1595.0,404.0,25.0,244.0,51.0,62.0,4725.0,57.0,1222.0,2317.0,3398.0,231.0,78.0,182.0,498.0,35.0,166.0
1025,13.0,51.0,17.0,17.0,20.0,510.0,734.0,193.0,44.0,101.0,13.0,8.0,21.0,21.0,14.0,324.0,54.0,115.0,528.0,30.0,125.0
1027,0.0,3.0,9.0,1.0,0.0,155.0,701.0,88.0,15.0,30.0,2.0,4.0,3.0,0.0,1.0,120.0,10132.0,2126.0,184.0,16.0,59.0
1035,11.0,42.0,8.0,8.0,35.0,3.0,3.0,2.0,1.0,3.0,31.0,5.0,5.0,15.0,14.0,1.0,5.0,2.0,4.0,2.0,2.0
1038,377.0,3.0,351.0,229.0,266.0,358.0,23.0,524.0,118.0,152.0,1522.0,2.0,391.0,463.0,496.0,230.0,11.0,136.0,403.0,38.0,285.0
1040,13.0,175.0,67.0,11.0,13.0,1139.0,2036.0,743.0,246.0,353.0,34.0,23.0,67.0,26.0,17.0,761.0,48.0,335.0,1252.0,100.0,183.0
1046,3.0,5.0,8.0,1.0,3.0,176.0,85.0,114.0,30.0,33.0,1.0,0.0,3.0,3.0,0.0,88.0,283.0,91.0,334.0,7.0,132.0
1050,8.0,1.0,6.0,26.0,25.0,42.0,6.0,46.0,16.0,22.0,81.0,0.0,14.0,48.0,23.0,27.0,1.0,31.0,30.0,16.0,16.0
1065,6.0,11.0,18.0,2.0,6.0,47.0,2.0,7.0,2.0,6.0,43.0,15.0,16.0,15.0,16.0,18.0,104.0,31.0,31.0,4.0,5.0
1069,1554.0,1238.0,1043.0,660.0,1995.0,394.0,3701.0,504.0,89.0,92.0,5772.0,1046.0,767.0,2394.0,2656.0,312.0,482.0,257.0,478.0,42.0,324.0
107,0.0,7.0,2.0,2.0,4.0,7.0,5.0,3.0,6.0,2.0,8.0,0.0,3.0,8.0,6.0,13.0,1.0,10.0,10.0,5.0,12.0
113,1.0,14.0,0.0,2.0,7.0,48.0,8.0,24.0,1.0,15.0,25.0,10.0,0.0,32.0,23.0,15.0,1.0,11.0,8.0,7.0,22.0
119,2.0,1.0,0.0,7.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,7.0,2.0,5.0,5.0,1.0,1.0,3.0,2.0,1.0,4.0
124,39.0,2.0,69.0,15.0,63.0,74.0,2484.0,25.0,18.0,17.0,76.0,1.0,91.0,77.0,135.0,69.0,0.0,14.0,139.0,7.0,32.0
128,1.0,1.0,37.0,1.0,1.0,749.0,876.0,562.0,64.0,134.0,1.0,3.0,20.0,1.0,1.0,641.0,48.0,266.0,665.0,27.0,504.0
132,12.0,4.0,70.0,2.0,2.0,349.0,51.0,268.0,68.0,90.0,10.0,72.0,75.0,0.0,0.0,208.0,97.0,175.0,666.0,45.0,231.0
133,0.0,0.0,0.0,1.0,1.0,22.0,1678.0,44.0,4.0,9.0,1.0,0.0,2.0,1.0,1.0,15.0,3.0,8.0,14.0,6.0,6.0
136,1.0,0.0,0.0,0.0,0.0,12.0,23.0,69.0,21.0,12.0,2.0,0.0,5.0,1.0,1.0,16.0,7.0,13.0,30.0,8.0,24.0
14,703.0,22.0,369.0,891.0,1470.0,164.0,19.0,504.0,64.0,148.0,2491.0,2.0,559.0,2068.0,3591.0,98.0,5.0,148.0,221.0,54.0,237.0
