strain_id,T0_noMTX_noDrug.MID2_TPO4,T0_noMTX_noDrug.PLM2_SNA3,T0_noMTX_noDrug.MID2_WSC2,T0_noMTX_noDrug.SNA4_GTR2,T0_noMTX_noDrug.ALO1_ADE17,T0_noMTX_noDrug.ERG11_PIS1,T0_noMTX_noDrug.ERG11_ACF2,T0_noMTX_noDrug.SRO9_GIS2,T0_noMTX_noDrug.HNM1_TPO1,T0_noMTX_noDrug.SRO9_SGN1,T0_noMTX_noDrug.HUG1_ADE17,T0_noMTX_noDrug.PLM2_HNM1,T0_noMTX_noDrug.ERG11_ORM2,T0_noMTX_noDrug.HNM1_RBD2,T0_noMTX_noDrug.ERV25_ERG5,T0_noMTX_noDrug.PMC1_GTR2,T0_noMTX_noDrug.HUG1_ALO1,T0_noMTX_noDrug.SSH1_ERG11,T0_noMTX_noDrug.ADE17_HYR1,T0_noMTX_noDrug.ERG27_ACF2,T0_noMTX_noDrug.ALO1_HYR1,T0_noMTX_noDrug.HUG1_PGM2,T0_noMTX_noDrug.SRO9_DHH1,T0_noMTX_noDrug.MID2_RSN1,T0_noMTX_noDrug.ERG11_ERV25,T0_noMTX_noDrug.DHH1_LSM3,T0_noMTX_noDrug.ALO1_UIP4,T0_noMTX_noDrug.SSH1_ERV25,T0_noMTX_noDrug.SSH1_PIS1,T0_noMTX_noDrug.ERG11_TPO4,T0_noMTX_noDrug.TPO1_TPO2,T0_noMTX_noDrug.ERG11_ERG5,T0_noMTX_noDrug.RET2_EMP70,T0_noMTX_noDrug.ERV25_RBD2,T0_noMTX_noDrug.ERV25_PIS1,T0_noMTX_noDrug.FMP45_HNM1,T0_noMTX_noDrug.HNM1_MAM33,T0_noMTX_noDrug.noPPI_reference,T0_noMTX_noDrug.SSH1_ORM2,T0_noMTX_noDrug.PMC1_CTR2,T0_noMTX_noDrug.RET2_EMP47,T0_noMTX_noDrug.TPO1_MID2,T0_noMTX_noDrug.FMP45_MEP1,T0_noMTX_noDrug.HNM1_MID2,T0_noMTX_noDrug.HNM1_TPO2,T0_noMTX_noDrug.HNM1_ERG11,T0_noMTX_noDrug.SNA4_VAC8,T0_noMTX_noDrug.ERV25_EMP47,T0_noMTX_noDrug.ERG11_MID2,T0_noMTX_noDrug.ERV25_ORM2,T0_noMTX_noDrug.ERV25_UIP4,T0_noMTX_noDrug.ADE17_GIS2,T0_noMTX_noDrug.TPO1_TCB2,T0_noMTX_noDrug.HNM1_TPO4,T0_noMTX_noDrug.ERG11_HYR1,T0_noMTX_noDrug.FMP45_MID2,T0_noMTX_noDrug.MID2_MAM33,T0_noMTX_noDrug.MID2_PIN2,T0_noMTX_noDrug.MID2_TPO2,T0_noMTX_noDrug.GTR1_SLM4,T0_noMTX_noDrug.ADE17_PGM2,T0_noMTX_noDrug.RET2_SNA3
1005,56.0,94.0,61.0,21.0,29.0,24.0,79.0,28.0,2.0,38.0,35.0,100.0,18.0,0.0,189.0,23.0,49.0,10.0,2.0,235.0,25.0,19.0,55.0,16.0,1.0,20.0,61.0,33.0,19.0,7.0,47.0,18.0,1.0,26.0,3.0,23.0,50.0,17.0,35.0,36.0,2.0,29.0,23.0,21.0,9.0,29.0,0.0,83.0,28.0,158.0,99.0,0.0,34.0,36.0,26.0,34.0,19.0,15.0,35.0,1.0,1.0,2.0
1007,81.0,6.0,3.0,37.0,233.0,46.0,139.0,2.0,116.0,31.0,5.0,161.0,12.0,9.0,200.0,60.0,68.0,3.0,272.0,69.0,16.0,31.0,57.0,13.0,7.0,12.0,53.0,51.0,2.0,32.0,24.0,41.0,4.0,7.0,1.0,14.0,50.0,9.0,12.0,19.0,2.0,4.0,17.0,35.0,65.0,49.0,6.0,16.0,36.0,49.0,42.0,5.0,10.0,127.0,66.0,38.0,36.0,19.0,8.0,2.0,64.0,0.0
1013,4.0,4.0,0.0,1.0,9.0,2.0,4.0,0.0,3.0,18.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,45.0,2.0,29.0,2.0,2.0,1.0,2.0,0.0,17.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,2.0,0.0,0.0,18.0,4.0,0.0,1.0,1.0,1.0,0.0,10.0,7.0,18.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,55.0,14.0,0.0
1016,244.0,8.0,231.0,93.0,369.0,98.0,60.0,164.0,8.0,187.0,79.0,5.0,5.0,8.0,50.0,77.0,197.0,12.0,8.0,76.0,260.0,170.0,83.0,42.0,13.0,90.0,340.0,13.0,5.0,43.0,305.0,87.0,8.0,202.0,1.0,101.0,44.0,27.0,3.0,129.0,5.0,169.0,51.0,5.0,14.0,19.0,4.0,107.0,12.0,62.0,192.0,174.0,187.0,45.0,13.0,103.0,51.0,68.0,37.0,5.0,12.0,5.0
1018,45.0,20.0,2.0,38.0,200.0,72.0,197.0,43.0,4.0,46.0,14.0,114.0,23.0,36.0,165.0,53.0,38.0,11.0,129.0,96.0,49.0,30.0,53.0,20.0,15.0,14.0,95.0,47.0,1.0,39.0,23.0,39.0,3.0,16.0,8.0,61.0,22.0,27.0,32.0,34.0,0.0,5.0,15.0,38.0,13.0,39.0,4.0,199.0,65.0,244.0,120.0,97.0,23.0,12.0,33.0,127.0,29.0,13.0,25.0,8.0,38.0,1.0
1020,214.0,13.0,270.0,45.0,273.0,153.0,204.0,45.0,33.0,96.0,143.0,186.0,20.0,73.0,449.0,140.0,569.0,35.0,1.0,85.0,120.0,308.0,120.0,131.0,9.0,31.0,143.0,84.0,37.0,105.0,214.0,78.0,9.0,18.0,2.0,209.0,6.0,25.0,44.0,150.0,7.0,148.0,103.0,158.0,171.0,166.0,2.0,355.0,105.0,291.0,168.0,10.0,171.0,23.0,52.0,391.0,132.0,72.0,88.0,13.0,58.0,12.0
1025,190.0,177.0,138.0,127.0,153.0,199.0,505.0,83.0,91.0,284.0,41.0,76.0,42.0,40.0,419.0,149.0,96.0,39.0,13.0,85.0,89.0,51.0,189.0,60.0,33.0,110.0,233.0,110.0,38.0,87.0,246.0,124.0,14.0,150.0,28.0,245.0,62.0,56.0,107.0,164.0,5.0,165.0,82.0,78.0,77.0,125.0,16.0,147.0,95.0,487.0,325.0,195.0,298.0,66.0,171.0,298.0,115.0,62.0,82.0,600.0,20.0,16.0
1027,18.0,6.0,70.0,39.0,15.0,53.0,49.0,13.0,31.0,44.0,6.0,9.0,6.0,5.0,209.0,16.0,3.0,28.0,430.0,59.0,142.0,2.0,39.0,31.0,5.0,10.0,78.0,75.0,3.0,11.0,17.0,24.0,3.0,52.0,7.0,54.0,51.0,13.0,32.0,8.0,1.0,1.0,103.0,37.0,38.0,59.0,7.0,89.0,32.0,70.0,121.0,107.0,13.0,23.0,35.0,31.0,37.0,18.0,27.0,4.0,9.0,5.0
1035,2.0,1.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,5.0,2.0,1.0
1038,16.0,31.0,4.0,69.0,198.0,121.0,161.0,11.0,262.0,12.0,16.0,150.0,23.0,36.0,255.0,20.0,42.0,73.0,319.0,145.0,51.0,30.0,24.0,17.0,11.0,50.0,74.0,72.0,24.0,94.0,35.0,73.0,5.0,54.0,6.0,86.0,194.0,21.0,151.0,21.0,3.0,19.0,44.0,207.0,205.0,285.0,67.0,75.0,92.0,338.0,150.0,101.0,20.0,209.0,66.0,350.0,36.0,16.0,13.0,6.0,250.0,5.0
