strain_id,B_MTX_noDrug.SRO9_SGN1,B_MTX_noDrug.SRO9_DHH1,B_MTX_noDrug.MID2_TPO2,B_MTX_noDrug.ALO1_HYR1,B_MTX_noDrug.TPO1_MID2,B_MTX_noDrug.ALO1_UIP4,B_MTX_noDrug.ERG11_PIS1,B_MTX_noDrug.FMP45_HNM1,B_MTX_noDrug.ERG11_TPO4,B_MTX_noDrug.TPO1_TPO2,B_MTX_noDrug.MID2_MAM33,B_MTX_noDrug.ERG27_ACF2,B_MTX_noDrug.PLM2_SNA3,B_MTX_noDrug.MID2_RSN1,B_MTX_noDrug.ALO1_ADE17,B_MTX_noDrug.MID2_WSC2,B_MTX_noDrug.RET2_EMP70,B_MTX_noDrug.ERG11_ERG5,B_MTX_noDrug.ERG11_ORM2,B_MTX_noDrug.HNM1_MAM33,B_MTX_noDrug.ERV25_UIP4,B_MTX_noDrug.FMP45_MID2,B_MTX_noDrug.ERV25_RBD2,B_MTX_noDrug.ADE17_GIS2,B_MTX_noDrug.HUG1_ALO1,B_MTX_noDrug.DHH1_LSM3,B_MTX_noDrug.noPPI_reference,B_MTX_noDrug.ERV25_PIS1,B_MTX_noDrug.HNM1_MID2,B_MTX_noDrug.SRO9_GIS2,B_MTX_noDrug.HUG1_ADE17,B_MTX_noDrug.ERG11_HYR1,B_MTX_noDrug.SSH1_ERV25,B_MTX_noDrug.SSH1_ORM2,B_MTX_noDrug.ERG11_ERV25,B_MTX_noDrug.ADE17_PGM2,B_MTX_noDrug.HNM1_TPO1,B_MTX_noDrug.SSH1_ERG11,B_MTX_noDrug.RET2_EMP47,B_MTX_noDrug.ERV25_EMP47,B_MTX_noDrug.HNM1_ERG11,B_MTX_noDrug.SNA4_GTR2,B_MTX_noDrug.ERG11_MID2,B_MTX_noDrug.ERV25_ORM2,B_MTX_noDrug.HNM1_TPO4,B_MTX_noDrug.FMP45_MEP1,B_MTX_noDrug.ERV25_ERG5,B_MTX_noDrug.PMC1_CTR2,B_MTX_noDrug.HNM1_TPO2,B_MTX_noDrug.PMC1_GTR2,B_MTX_noDrug.MID2_TPO4,B_MTX_noDrug.ADE17_HYR1,B_MTX_noDrug.TPO1_TCB2,B_MTX_noDrug.SSH1_PIS1,B_MTX_noDrug.ERG11_ACF2,B_MTX_noDrug.HUG1_PGM2,B_MTX_noDrug.GTR1_SLM4,B_MTX_noDrug.PLM2_HNM1,B_MTX_noDrug.SNA4_VAC8,B_MTX_noDrug.RET2_SNA3,B_MTX_noDrug.MID2_PIN2,B_MTX_noDrug.HNM1_RBD2
1005,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1007,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,40.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1013,136.0,1.0,0.0,37.0,1.0,2.0,1.0,4.0,20.0,1.0,2.0,2.0,2.0,0.0,799.0,0.0,0.0,0.0,191.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,40.0,1.0,11.0,0.0,7.0,74.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,12.0,11.0,0.0,0.0,3.0,2.0,30.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,152.0,18.0,0.0,0.0,0.0,0.0
1016,133.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,71.0,10.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,4.0,1.0,0.0,3.0,7.0,0.0,0.0,1.0,1.0,9.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,3.0,33.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0
1018,2661.0,392.0,104.0,526.0,11.0,767.0,181.0,36.0,9777.0,10.0,356.0,316.0,13954.0,37.0,3509.0,28.0,15.0,66.0,4393.0,43.0,319.0,75.0,29.0,25.0,638.0,1509.0,570.0,87.0,178.0,81.0,65.0,184.0,494.0,187.0,35.0,35.0,24.0,568.0,38.0,2395.0,577.0,255.0,386.0,1574.0,66.0,41.0,1081.0,782.0,625.0,265.0,105.0,21.0,48.0,75.0,270.0,1118.0,196.0,116.0,17.0,13.0,100.0,47.0
1020,4438.0,931.0,321.0,429.0,91.0,662.0,349.0,74.0,14643.0,470.0,211.0,57.0,73.0,1149.0,57.0,4004.0,25.0,79.0,303.0,23.0,1075.0,129.0,63.0,61.0,6720.0,498.0,115.0,71.0,1783.0,127.0,2592.0,1731.0,190.0,124.0,87.0,50.0,39.0,604.0,54.0,1480.0,3398.0,65.0,2557.0,1198.0,171.0,337.0,3890.0,1121.0,520.0,532.0,1054.0,16.0,260.0,335.0,65.0,3218.0,205.0,259.0,31.0,33.0,809.0,74.0
1025,302.0,17.0,1.0,122.0,2.0,4.0,2.0,3.0,203.0,0.0,10.0,4.0,6.0,8.0,6.0,1.0,3.0,10.0,6.0,43.0,101.0,3.0,7.0,54.0,8.0,56.0,2.0,9460.0,6.0,52.0,10.0,93.0,2.0,2.0,108.0,1.0,58.0,13.0,61.0,21.0,14.0,2.0,34.0,47.0,5.0,12.0,23.0,65.0,67.0,6.0,3.0,1.0,0.0,32.0,5.0,11.0,24.0,2.0,2.0,0.0,10.0,3.0
1027,18.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,1.0,96.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1035,209.0,15.0,2.0,50.0,6.0,7.0,11.0,4.0,119.0,15.0,69.0,22.0,4.0,7.0,34.0,2.0,13.0,6.0,15.0,25.0,34.0,3.0,52.0,20.0,94.0,222.0,4.0,47.0,6.0,9.0,108.0,78.0,5.0,3.0,37.0,5.0,23.0,44.0,16.0,36.0,14.0,11.0,7.0,36.0,6.0,17.0,148.0,128.0,38.0,47.0,13.0,7.0,7.0,11.0,2.0,145.0,11.0,3.0,10.0,11.0,15.0,3.0
1038,30.0,235.0,11.0,34.0,18.0,33.0,101.0,131.0,4283.0,25.0,20.0,36.0,24.0,6.0,1199.0,5.0,3.0,71.0,517.0,72.0,237.0,125.0,36.0,14.0,165.0,731.0,43.0,26.0,533.0,22.0,19.0,719.0,251.0,71.0,154.0,5.0,1037.0,884.0,13.0,152.0,496.0,183.0,88.0,2117.0,185.0,63.0,622.0,70.0,156.0,44.0,25.0,14.0,10.0,47.0,13.0,6.0,31.0,20.0,796.0,4.0,93.0,5.0
