strain_id,B_noMTX_Trifluoperazine.PMC1_CTR2,B_noMTX_Trifluoperazine.MID2_PIN2,B_noMTX_Trifluoperazine.HUG1_PGM2,B_noMTX_Trifluoperazine.SSH1_PIS1,B_noMTX_Trifluoperazine.DHH1_LSM3,B_noMTX_Trifluoperazine.SNA4_VAC8,B_noMTX_Trifluoperazine.MID2_MAM33,B_noMTX_Trifluoperazine.ALO1_ADE17,B_noMTX_Trifluoperazine.HNM1_TPO1,B_noMTX_Trifluoperazine.SSH1_ERV25,B_noMTX_Trifluoperazine.HNM1_TPO4,B_noMTX_Trifluoperazine.ALO1_UIP4,B_noMTX_Trifluoperazine.GTR1_SLM4,B_noMTX_Trifluoperazine.HNM1_MID2,B_noMTX_Trifluoperazine.RET2_EMP47,B_noMTX_Trifluoperazine.FMP45_MID2,B_noMTX_Trifluoperazine.RET2_SNA3,B_noMTX_Trifluoperazine.ERV25_ERG5,B_noMTX_Trifluoperazine.PMC1_GTR2,B_noMTX_Trifluoperazine.HNM1_TPO2,B_noMTX_Trifluoperazine.ERG11_MID2,B_noMTX_Trifluoperazine.ERV25_RBD2,B_noMTX_Trifluoperazine.SSH1_ERG11,B_noMTX_Trifluoperazine.SRO9_DHH1,B_noMTX_Trifluoperazine.ADE17_HYR1,B_noMTX_Trifluoperazine.noPPI_reference,B_noMTX_Trifluoperazine.HNM1_MAM33,B_noMTX_Trifluoperazine.MID2_WSC2,B_noMTX_Trifluoperazine.HUG1_ADE17,B_noMTX_Trifluoperazine.ADE17_GIS2,B_noMTX_Trifluoperazine.TPO1_MID2,B_noMTX_Trifluoperazine.ERG11_ERG5,B_noMTX_Trifluoperazine.ERG11_ACF2,B_noMTX_Trifluoperazine.ADE17_PGM2,B_noMTX_Trifluoperazine.ERV25_UIP4,B_noMTX_Trifluoperazine.ERG11_ERV25,B_noMTX_Trifluoperazine.FMP45_HNM1,B_noMTX_Trifluoperazine.HUG1_ALO1,B_noMTX_Trifluoperazine.TPO1_TCB2,B_noMTX_Trifluoperazine.ERV25_ORM2,B_noMTX_Trifluoperazine.ERG11_PIS1,B_noMTX_Trifluoperazine.FMP45_MEP1,B_noMTX_Trifluoperazine.HNM1_ERG11,B_noMTX_Trifluoperazine.ERG27_ACF2,B_noMTX_Trifluoperazine.MID2_RSN1,B_noMTX_Trifluoperazine.ERV25_EMP47,B_noMTX_Trifluoperazine.ERG11_TPO4,B_noMTX_Trifluoperazine.PLM2_SNA3,B_noMTX_Trifluoperazine.MID2_TPO2,B_noMTX_Trifluoperazine.ALO1_HYR1,B_noMTX_Trifluoperazine.SNA4_GTR2,B_noMTX_Trifluoperazine.MID2_TPO4,B_noMTX_Trifluoperazine.SSH1_ORM2,B_noMTX_Trifluoperazine.RET2_EMP70,B_noMTX_Trifluoperazine.HNM1_RBD2,B_noMTX_Trifluoperazine.SRO9_SGN1,B_noMTX_Trifluoperazine.ERV25_PIS1,B_noMTX_Trifluoperazine.ERG11_ORM2,B_noMTX_Trifluoperazine.ERG11_HYR1,B_noMTX_Trifluoperazine.PLM2_HNM1,B_noMTX_Trifluoperazine.SRO9_GIS2,B_noMTX_Trifluoperazine.TPO1_TPO2
1005,83.0,291,42.0,964.0,113.0,11.0,62.0,77.0,4.0,89.0,62.0,84.0,17.0,25.0,25.0,157,7.0,494.0,111.0,38.0,99.0,7.0,52.0,369.0,4.0,77.0,56.0,238.0,57.0,7.0,16.0,46.0,190.0,7.0,388,90,38.0,72.0,36.0,412.0,112.0,50.0,52.0,395.0,115.0,28.0,50.0,479.0,38.0,584,79.0,77.0,161.0,28.0,10.0,173.0,24.0,240.0,214.0,22.0,57.0,47.0
1007,127.0,311,200.0,337.0,141.0,19.0,231.0,209.0,821.0,81.0,123.0,235.0,16.0,45.0,6.0,215,15.0,481.0,442.0,67.0,231.0,15.0,31.0,433.0,99.0,387.0,219.0,14.0,26.0,12.0,10.0,191.0,363.0,303.0,509,304,27.0,198.0,15.0,85.0,814.0,55.0,277.0,249.0,246.0,37.0,196.0,12.0,48.0,170,115.0,192.0,36.0,13.0,12.0,742.0,16.0,75.0,426.0,63.0,34.0,83.0
1013,14.0,32,25.0,23.0,3.0,9.0,10.0,23.0,4.0,1.0,5.0,7.0,77.0,17.0,0.0,25,4.0,25.0,14.0,6.0,7.0,7.0,3.0,23.0,1.0,6.0,1.0,4.0,8.0,1.0,1.0,2.0,17.0,19.0,197,12,9.0,36.0,1.0,48.0,69.0,4.0,5.0,5.0,20.0,4.0,0.0,3.0,1.0,542,8.0,3.0,13.0,12.0,4.0,15.0,3.0,3.0,10.0,2.0,5.0,3.0
1016,54.0,759,68.0,13.0,93.0,13.0,181.0,307.0,29.0,8.0,65.0,312.0,17.0,15.0,4.0,292,7.0,144.0,148.0,24.0,5.0,1859.0,36.0,539.0,9.0,298.0,78.0,2498.0,80.0,122.0,68.0,88.0,62.0,13.0,470,820,157.0,78.0,69.0,250.0,637.0,238.0,31.0,144.0,475.0,49.0,76.0,9.0,94.0,1082,267.0,289.0,17.0,9.0,26.0,5032.0,22.0,21.0,34.0,9.0,793.0,169.0
1018,78.0,268,36.0,29.0,74.0,19.0,141.0,384.0,18.0,94.0,25.0,109.0,42.0,89.0,13.0,345,12.0,539.0,237.0,30.0,333.0,13.0,51.0,384.0,38.0,164.0,58.0,15.0,16.0,29.0,10.0,183.0,501.0,70.0,741,1491,123.0,11.0,11.0,1965.0,711.0,33.0,154.0,303.0,139.0,102.0,230.0,18.0,16.0,440,149.0,45.0,237.0,36.0,406.0,550.0,250.0,332.0,273.0,27.0,157.0,11.0
1020,923.0,1582,1887.0,529.0,166.0,24.0,473.0,1161.0,120.0,235.0,26.0,389.0,46.0,275.0,20.0,972,26.0,821.0,1559.0,379.0,551.0,73.0,102.0,1065.0,9.0,414.0,29.0,1436.0,1096.0,16.0,382.0,622.0,445.0,306.0,1878,107,270.0,3365.0,514.0,1216.0,1534.0,105.0,498.0,106.0,1424.0,405.0,563.0,20.0,97.0,1508,236.0,311.0,192.0,30.0,424.0,706.0,13.0,171.0,234.0,33.0,185.0,488.0
1025,513.0,664,73.0,370.0,229.0,91.0,301.0,168.0,142.0,328.0,156.0,229.0,995.0,209.0,29.0,460,27.0,525.0,796.0,114.0,423.0,1159.0,54.0,1239.0,23.0,317.0,141.0,319.0,57.0,335.0,103.0,451.0,724.0,35.0,700,1769,229.0,104.0,302.0,1508.0,810.0,262.0,528.0,289.0,621.0,53.0,236.0,529.0,71.0,299,366.0,207.0,727.0,300.0,118.0,1456.0,120.0,217.0,340.0,42.0,153.0,329.0
1027,73.0,225,20.0,5.0,75.0,16.0,249.0,30.0,31.0,128.0,8.0,102.0,28.0,47.0,3.0,83,13.0,481.0,154.0,64.0,129.0,662.0,77.0,460.0,67.0,319.0,57.0,155.0,22.0,45.0,10.0,143.0,100.0,101.0,1811,29,50.0,13.0,20.0,233.0,283.0,106.0,184.0,135.0,383.0,39.0,21.0,7.0,33.0,1762,265.0,44.0,80.0,6.0,9.0,331.0,27.0,84.0,27.0,6.0,63.0,23.0
1035,2.0,34,4.0,23.0,5.0,3.0,4.0,0.0,4.0,6.0,2.0,5.0,16.0,2.0,3.0,15,1.0,31.0,1.0,7.0,0.0,0.0,5.0,23.0,1.0,3.0,11.0,4.0,4.0,2.0,3.0,6.0,16.0,6.0,34,47,2.0,1.0,0.0,21.0,17.0,5.0,4.0,8.0,32.0,9.0,2.0,1.0,3.0,47,7.0,13.0,5.0,4.0,2.0,26.0,4.0,8.0,9.0,1.0,4.0,3.0
1038,40.0,325,39.0,398.0,324.0,179.0,96.0,253.0,926.0,110.0,207.0,110.0,29.0,180.0,7.0,1294,13.0,470.0,58.0,218.0,185.0,69.0,389.0,76.0,150.0,653.0,424.0,8.0,26.0,72.0,45.0,184.0,449.0,899.0,1452,719,94.0,125.0,48.0,1583.0,509.0,78.0,403.0,402.0,69.0,103.0,326.0,108.0,25.0,327,197.0,24.0,399.0,18.0,47.0,120.0,23.0,139.0,379.0,56.0,55.0,123.0
