strain_id,B_MTX_Trifluoperazine.ERV25_RBD2,B_MTX_Trifluoperazine.TPO1_TPO2,B_MTX_Trifluoperazine.HUG1_ADE17,B_MTX_Trifluoperazine.HUG1_ALO1,B_MTX_Trifluoperazine.MID2_WSC2,B_MTX_Trifluoperazine.MID2_TPO4,B_MTX_Trifluoperazine.MID2_MAM33,B_MTX_Trifluoperazine.SNA4_VAC8,B_MTX_Trifluoperazine.ERG11_HYR1,B_MTX_Trifluoperazine.PMC1_GTR2,B_MTX_Trifluoperazine.ERG11_ORM2,B_MTX_Trifluoperazine.ERV25_EMP47,B_MTX_Trifluoperazine.ERG11_ERV25,B_MTX_Trifluoperazine.ERV25_ERG5,B_MTX_Trifluoperazine.HNM1_TPO4,B_MTX_Trifluoperazine.ERG11_MID2,B_MTX_Trifluoperazine.FMP45_MEP1,B_MTX_Trifluoperazine.SRO9_SGN1,B_MTX_Trifluoperazine.ALO1_HYR1,B_MTX_Trifluoperazine.SRO9_GIS2,B_MTX_Trifluoperazine.FMP45_MID2,B_MTX_Trifluoperazine.ALO1_UIP4,B_MTX_Trifluoperazine.ERG11_TPO4,B_MTX_Trifluoperazine.ERV25_UIP4,B_MTX_Trifluoperazine.ERV25_ORM2,B_MTX_Trifluoperazine.SSH1_ORM2,B_MTX_Trifluoperazine.ERG27_ACF2,B_MTX_Trifluoperazine.TPO1_TCB2,B_MTX_Trifluoperazine.RET2_EMP47,B_MTX_Trifluoperazine.ADE17_GIS2,B_MTX_Trifluoperazine.TPO1_MID2,B_MTX_Trifluoperazine.PLM2_SNA3,B_MTX_Trifluoperazine.HNM1_MAM33,B_MTX_Trifluoperazine.HNM1_ERG11,B_MTX_Trifluoperazine.HNM1_RBD2,B_MTX_Trifluoperazine.RET2_SNA3,B_MTX_Trifluoperazine.ERG11_PIS1,B_MTX_Trifluoperazine.HNM1_TPO2,B_MTX_Trifluoperazine.ADE17_PGM2,B_MTX_Trifluoperazine.MID2_TPO2,B_MTX_Trifluoperazine.MID2_RSN1,B_MTX_Trifluoperazine.SSH1_ERG11,B_MTX_Trifluoperazine.ADE17_HYR1,B_MTX_Trifluoperazine.SSH1_PIS1,B_MTX_Trifluoperazine.ERV25_PIS1,B_MTX_Trifluoperazine.PMC1_CTR2,B_MTX_Trifluoperazine.ERG11_ACF2,B_MTX_Trifluoperazine.SRO9_DHH1,B_MTX_Trifluoperazine.SSH1_ERV25,B_MTX_Trifluoperazine.noPPI_reference,B_MTX_Trifluoperazine.SNA4_GTR2,B_MTX_Trifluoperazine.ALO1_ADE17,B_MTX_Trifluoperazine.RET2_EMP70,B_MTX_Trifluoperazine.MID2_PIN2,B_MTX_Trifluoperazine.PLM2_HNM1,B_MTX_Trifluoperazine.FMP45_HNM1,B_MTX_Trifluoperazine.GTR1_SLM4,B_MTX_Trifluoperazine.HNM1_TPO1,B_MTX_Trifluoperazine.ERG11_ERG5,B_MTX_Trifluoperazine.DHH1_LSM3,B_MTX_Trifluoperazine.HUG1_PGM2,B_MTX_Trifluoperazine.HNM1_MID2
1005,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,171.0,1.0,0.0,1.0,1.0,4.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,27.0,2.0,0.0,0.0
1007,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,23.0,0.0,0.0,1.0,525.0,4.0,1.0,11.0,1.0,8.0,3.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,6.0,30.0,3.0,1.0,1.0
1013,1.0,6.0,75.0,6.0,0.0,2.0,12.0,5.0,1.0,18.0,0.0,1.0,2.0,3.0,1.0,3.0,109.0,0.0,161.0,3.0,4.0,5.0,0.0,12.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,8.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0,5.0,0.0,2.0,0.0,6.0,10.0,43.0,1.0,0.0,7.0,12.0,287.0,1.0,9.0,3.0,31.0,2.0
1016,3.0,4.0,24.0,1.0,4.0,1.0,8.0,2.0,1.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,2.0,69.0,0.0,8.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,5.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,11.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,16.0,4.0,0.0
1018,115.0,28.0,130.0,258.0,69.0,151.0,270.0,53.0,25.0,1079.0,1131.0,8347.0,232.0,137.0,181.0,225.0,104.0,592.0,920.0,546.0,130.0,585.0,491.0,478.0,403.0,105.0,471.0,16.0,21.0,22.0,37.0,9585.0,344.0,396.0,416.0,15.0,192.0,187.0,91.0,367.0,67.0,460.0,68.0,35.0,66.0,749.0,701.0,180.0,470.0,1781.0,272.0,141.0,28.0,155.0,709.0,122.0,253.0,63.0,249.0,855.0,409.0,140.0
1020,300.0,883.0,28047.0,4842.0,2540.0,5689.0,897.0,239.0,97.0,1696.0,69.0,13219.0,1974.0,1979.0,346.0,2335.0,548.0,840.0,650.0,1498.0,435.0,1125.0,2080.0,2763.0,165.0,101.0,233.0,37.0,144.0,28.0,1938.0,91.0,69.0,2317.0,412.0,109.0,1786.0,1489.0,89.0,3193.0,1154.0,935.0,212.0,1041.0,77.0,1170.0,446.0,625.0,576.0,651.0,217.0,92.0,267.0,1072.0,334.0,271.0,258.0,200.0,809.0,1561.0,7014.0,1314.0
1025,10.0,1.0,10.0,14.0,3.0,14.0,7.0,5.0,7.0,14.0,3.0,13.0,589.0,7.0,9.0,34.0,20.0,105.0,82.0,131.0,8.0,17.0,16.0,61.0,7.0,15.0,1.0,0.0,21.0,25.0,5.0,5.0,95.0,21.0,5.0,1.0,13.0,36.0,4.0,9.0,18.0,3.0,9.0,24.0,4342.0,33.0,10.0,5.0,3.0,16.0,10.0,5.0,5.0,14.0,19.0,26.0,78.0,54.0,116.0,22.0,15.0,11.0
1035,66.0,21.0,80.0,82.0,7.0,18.0,53.0,23.0,21.0,82.0,11.0,33.0,107.0,23.0,23.0,14.0,46.0,65.0,50.0,13.0,8.0,36.0,14.0,47.0,30.0,34.0,22.0,7.0,25.0,16.0,16.0,3.0,60.0,15.0,23.0,18.0,10.0,40.0,7.0,37.0,43.0,18.0,29.0,47.0,47.0,69.0,24.0,32.0,15.0,10.0,40.0,7.0,30.0,47.0,11.0,15.0,31.0,53.0,17.0,138.0,151.0,14.0
1038,45.0,35.0,37.0,27.0,5.0,101.0,35.0,1888.0,178.0,15.0,96.0,330.0,1594.0,484.0,378.0,179.0,62.0,41.0,62.0,98.0,249.0,102.0,657.0,674.0,273.0,50.0,12.0,5.0,3.0,13.0,112.0,42.0,158.0,463.0,32.0,7.0,143.0,452.0,17.0,118.0,28.0,833.0,35.0,32.0,16.0,12.0,42.0,62.0,154.0,91.0,151.0,148.0,6.0,27.0,49.0,225.0,103.0,1149.0,188.0,2187.0,11.0,549.0
1040,15.0,3.0,20.0,13.0,5.0,12.0,9.0,23.0,5.0,10.0,9.0,12.0,623.0,33.0,18.0,21.0,40.0,38.0,43.0,23.0,13.0,20.0,11.0,27.0,66.0,22.0,3.0,1.0,4.0,22.0,3.0,9.0,25.0,26.0,8.0,1.0,33.0,18.0,26.0,17.0,21.0,23.0,26.0,17.0,18.0,7.0,21.0,8.0,17.0,30.0,29.0,7.0,7.0,14.0,22.0,33.0,124.0,15.0,43.0,65.0,21.0,16.0
