strain_id,B_MTX_Fluconazole.MID2_WSC2,B_MTX_Fluconazole.HNM1_TPO2,B_MTX_Fluconazole.ADE17_GIS2,B_MTX_Fluconazole.ERV25_PIS1,B_MTX_Fluconazole.ALO1_UIP4,B_MTX_Fluconazole.RET2_SNA3,B_MTX_Fluconazole.MID2_RSN1,B_MTX_Fluconazole.FMP45_MEP1,B_MTX_Fluconazole.noPPI_reference,B_MTX_Fluconazole.SNA4_VAC8,B_MTX_Fluconazole.PLM2_SNA3,B_MTX_Fluconazole.SSH1_PIS1,B_MTX_Fluconazole.SSH1_ERV25,B_MTX_Fluconazole.TPO1_MID2,B_MTX_Fluconazole.ERG11_ERV25,B_MTX_Fluconazole.SSH1_ERG11,B_MTX_Fluconazole.PMC1_CTR2,B_MTX_Fluconazole.ALO1_HYR1,B_MTX_Fluconazole.MID2_TPO2,B_MTX_Fluconazole.RET2_EMP70,B_MTX_Fluconazole.ERV25_EMP47,B_MTX_Fluconazole.ERG11_ERG5,B_MTX_Fluconazole.PLM2_HNM1,B_MTX_Fluconazole.ERG11_ORM2,B_MTX_Fluconazole.SRO9_SGN1,B_MTX_Fluconazole.FMP45_HNM1,B_MTX_Fluconazole.ERG27_ACF2,B_MTX_Fluconazole.HNM1_ERG11,B_MTX_Fluconazole.ERG11_HYR1,B_MTX_Fluconazole.DHH1_LSM3,B_MTX_Fluconazole.GTR1_SLM4,B_MTX_Fluconazole.ERG11_MID2,B_MTX_Fluconazole.MID2_MAM33,B_MTX_Fluconazole.SRO9_DHH1,B_MTX_Fluconazole.ALO1_ADE17,B_MTX_Fluconazole.ERV25_RBD2,B_MTX_Fluconazole.ERV25_UIP4,B_MTX_Fluconazole.ADE17_HYR1,B_MTX_Fluconazole.ERV25_ERG5,B_MTX_Fluconazole.RET2_EMP47,B_MTX_Fluconazole.ADE17_PGM2,B_MTX_Fluconazole.SSH1_ORM2,B_MTX_Fluconazole.TPO1_TPO2,B_MTX_Fluconazole.PMC1_GTR2,B_MTX_Fluconazole.FMP45_MID2,B_MTX_Fluconazole.ERG11_PIS1,B_MTX_Fluconazole.ERG11_ACF2,B_MTX_Fluconazole.SRO9_GIS2,B_MTX_Fluconazole.ERV25_ORM2,B_MTX_Fluconazole.ERG11_TPO4,B_MTX_Fluconazole.HNM1_MID2,B_MTX_Fluconazole.TPO1_TCB2,B_MTX_Fluconazole.HUG1_ALO1,B_MTX_Fluconazole.HNM1_MAM33,B_MTX_Fluconazole.MID2_PIN2,B_MTX_Fluconazole.SNA4_GTR2,B_MTX_Fluconazole.MID2_TPO4,B_MTX_Fluconazole.HUG1_ADE17,B_MTX_Fluconazole.HNM1_TPO4,B_MTX_Fluconazole.HNM1_RBD2,B_MTX_Fluconazole.HNM1_TPO1,B_MTX_Fluconazole.HUG1_PGM2
1007,1.0,6.0,5.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,2.0,1.0,0.0,1.0,16.0,16.0,0.0,0.0,1.0,16.0,1.0,8.0,39.0,0.0,3.0,2.0,6.0,30.0,2.0,89.0,3.0,4.0,0.0,5.0,11.0,1.0,74.0,0.0,3.0,1.0,0.0,7.0,2.0,357.0,6.0,4.0,4.0,59.0,6.0,1.0,19.0,2.0,2.0,1.0,0.0,28.0,0.0,1.0,1.0,1.0
1018,7.0,16.0,3.0,8.0,13.0,1.0,14.0,8.0,7.0,10.0,14.0,3.0,504.0,37.0,77.0,3.0,108.0,716.0,528.0,1.0,19.0,65.0,81.0,42.0,1140.0,22.0,15.0,18.0,62.0,2544.0,37.0,40.0,313.0,527.0,6.0,67.0,34.0,10.0,9.0,3.0,1.0,4.0,2.0,19436.0,3501.0,20.0,5.0,243.0,59.0,16.0,25.0,0.0,833.0,150.0,12.0,81.0,9.0,67.0,638.0,31.0,18.0,2026.0
1020,2.0,2.0,10.0,6.0,1.0,4.0,0.0,0.0,0.0,2.0,3.0,151.0,9.0,11.0,0.0,0.0,35.0,1.0,0.0,0.0,588.0,7.0,5.0,7.0,5.0,5.0,0.0,57.0,1.0,86.0,7.0,1503.0,1123.0,19.0,2.0,15.0,20.0,0.0,59.0,3.0,5.0,1.0,15.0,3648.0,31.0,12.0,182.0,52.0,2.0,9.0,8.0,70.0,3455.0,7.0,2.0,3.0,2.0,25.0,1.0,2.0,52.0,286.0
1025,2.0,44.0,10.0,80.0,30.0,3.0,15.0,62.0,6.0,3.0,7.0,35.0,16.0,3.0,10521.0,1.0,70.0,29.0,2.0,19.0,5.0,41.0,7.0,11.0,127.0,27.0,3.0,8.0,4.0,39.0,28.0,44.0,32.0,4.0,5.0,13.0,44.0,2.0,43.0,3.0,0.0,26.0,6.0,78.0,18.0,236.0,7.0,22.0,23.0,22.0,24.0,1.0,37.0,93.0,4.0,5.0,6.0,12.0,6.0,3.0,42.0,123.0
1035,3.0,15.0,37.0,49.0,4.0,1.0,4.0,11.0,5.0,4.0,4.0,72.0,5.0,0.0,15.0,2.0,38.0,1.0,3.0,1.0,6.0,14.0,6.0,7.0,16.0,9.0,1.0,5.0,2.0,15.0,12.0,13.0,6.0,2.0,1.0,8.0,22.0,1.0,8.0,3.0,11.0,5.0,1.0,26.0,13.0,12.0,10.0,19.0,6.0,8.0,6.0,1.0,15.0,23.0,4.0,15.0,2.0,7.0,0.0,5.0,5.0,4.0
1038,3.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,14.0,0.0,1.0,1.0,1.0,2.0,5.0,157.0,3.0,0.0,1.0,0.0,44.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,6.0,0.0,1.0,8.0,17.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,5.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,4.0,3.0,0.0,6.0,0.0,0.0,1.0,3.0,5.0,1.0
1046,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,8.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,901.0,35.0,6.0,11.0,10.0,0.0,2.0,0.0,0.0,1.0,111.0,2.0,1.0,1.0,1.0,16.0,2.0,2.0,1.0,0.0,4.0,1.0,0.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,4.0
1052,1.0,22.0,1.0,3.0,5.0,1.0,1.0,2.0,4.0,4.0,13.0,1.0,6.0,0.0,6.0,10.0,5.0,8.0,3.0,2.0,28.0,2.0,17.0,12.0,21.0,10.0,3.0,32.0,5.0,69.0,22.0,5.0,31.0,5.0,8.0,19.0,6.0,2.0,3.0,0.0,2.0,3.0,2.0,82.0,41.0,2.0,1.0,0.0,14.0,1.0,12.0,0.0,46.0,8.0,4.0,5.0,4.0,16.0,10.0,5.0,11.0,16.0
1065,4.0,24.0,5.0,2.0,0.0,0.0,6.0,12.0,6.0,13.0,5.0,1.0,4.0,45.0,11.0,9.0,10.0,17.0,5.0,4.0,14.0,20.0,4.0,10.0,46.0,12.0,5.0,15.0,3.0,307.0,17.0,5.0,12.0,54.0,3.0,15.0,21.0,4.0,18.0,5.0,15.0,8.0,33.0,636.0,18.0,17.0,6.0,3.0,36.0,50.0,15.0,1.0,22.0,31.0,10.0,32.0,5.0,16.0,2.0,7.0,16.0,11.0
1069,3556.0,29720.0,516.0,497.0,398.0,115.0,4018.0,2368.0,365.0,39370.0,156.0,39561.0,5343.0,1913.0,10379.0,4655.0,1746.0,8528.0,4768.0,124.0,1574.0,1304.0,1523.0,378.0,682.0,260.0,5867.0,1046.0,160.0,7819.0,153.0,2182.0,12178.0,1387.0,236.0,873.0,3215.0,598.0,974.0,109.0,18459.0,9156.0,4696.0,47052.0,14405.0,1711.0,319.0,128.0,385.0,109.0,2176.0,1385.0,20402.0,18642.0,1310.0,23635.0,7719.0,809.0,9219.0,368.0,60874.0,9769.0
