strain_id,B_MTX_Metformin.ADE17_HYR1,B_MTX_Metformin.ERG27_ACF2,B_MTX_Metformin.ERG11_ERG5,B_MTX_Metformin.RET2_EMP70,B_MTX_Metformin.ERV25_EMP47,B_MTX_Metformin.DHH1_LSM3,B_MTX_Metformin.ERG11_MID2,B_MTX_Metformin.SSH1_ORM2,B_MTX_Metformin.SNA4_VAC8,B_MTX_Metformin.PLM2_HNM1,B_MTX_Metformin.ERG11_TPO4,B_MTX_Metformin.HNM1_RBD2,B_MTX_Metformin.SSH1_ERV25,B_MTX_Metformin.SNA4_GTR2,B_MTX_Metformin.RET2_SNA3,B_MTX_Metformin.HUG1_PGM2,B_MTX_Metformin.HNM1_ERG11,B_MTX_Metformin.MID2_TPO2,B_MTX_Metformin.SRO9_GIS2,B_MTX_Metformin.ERG11_ORM2,B_MTX_Metformin.RET2_EMP47,B_MTX_Metformin.TPO1_MID2,B_MTX_Metformin.HUG1_ALO1,B_MTX_Metformin.PMC1_GTR2,B_MTX_Metformin.HNM1_TPO1,B_MTX_Metformin.SSH1_PIS1,B_MTX_Metformin.SSH1_ERG11,B_MTX_Metformin.ERG11_ACF2,B_MTX_Metformin.GTR1_SLM4,B_MTX_Metformin.SRO9_SGN1,B_MTX_Metformin.HNM1_MID2,B_MTX_Metformin.ERV25_RBD2,B_MTX_Metformin.ALO1_HYR1,B_MTX_Metformin.ERV25_ORM2,B_MTX_Metformin.ERG11_HYR1,B_MTX_Metformin.HNM1_TPO4,B_MTX_Metformin.SRO9_DHH1,B_MTX_Metformin.FMP45_MID2,B_MTX_Metformin.PLM2_SNA3,B_MTX_Metformin.MID2_RSN1,B_MTX_Metformin.FMP45_MEP1,B_MTX_Metformin.HUG1_ADE17,B_MTX_Metformin.ERG11_PIS1,B_MTX_Metformin.PMC1_CTR2,B_MTX_Metformin.TPO1_TPO2,B_MTX_Metformin.ADE17_GIS2,B_MTX_Metformin.ERV25_PIS1,B_MTX_Metformin.HNM1_TPO2,B_MTX_Metformin.MID2_MAM33,B_MTX_Metformin.ALO1_UIP4,B_MTX_Metformin.FMP45_HNM1,B_MTX_Metformin.ALO1_ADE17,B_MTX_Metformin.noPPI_reference,B_MTX_Metformin.TPO1_TCB2,B_MTX_Metformin.HNM1_MAM33,B_MTX_Metformin.MID2_TPO4,B_MTX_Metformin.ADE17_PGM2,B_MTX_Metformin.MID2_WSC2,B_MTX_Metformin.ERG11_ERV25,B_MTX_Metformin.ERV25_ERG5,B_MTX_Metformin.ERV25_UIP4,B_MTX_Metformin.MID2_PIN2
1005,1.0,9.0,19.0,1.0,2.0,134.0,10.0,5.0,0.0,0.0,0.0,0.0,5.0,23,0.0,8.0,0.0,8.0,70.0,5.0,1.0,3.0,6.0,0.0,1.0,3.0,3.0,0.0,0.0,226,2.0,2.0,5.0,54.0,76,1.0,6.0,0.0,4.0,3.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,6.0,0.0,5.0,56.0,28.0,6.0,1.0
1007,4.0,4.0,109.0,3.0,13.0,93.0,71.0,2.0,5.0,4.0,189.0,1.0,29.0,7,9.0,2.0,23.0,5.0,27.0,23.0,6.0,14.0,3.0,1.0,181.0,24.0,53.0,4.0,1.0,616,38.0,5.0,3.0,44.0,910,24.0,23.0,0.0,0.0,2.0,3.0,4.0,120.0,3.0,6.0,3.0,6.0,10.0,1.0,2.0,0.0,7.0,3.0,1.0,6.0,189.0,0.0,0.0,12.0,118.0,12.0,7.0
1013,11.0,9.0,2.0,0.0,2.0,24.0,2.0,6.0,1.0,2.0,1.0,0.0,0.0,184,0.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,7.0,3.0,4.0,13.0,1.0,13.0,1.0,439,0.0,6.0,6.0,41.0,17,2.0,3.0,0.0,0.0,0.0,6.0,399.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,19.0,1540.0,3.0,1.0,2.0,2.0,0.0,1.0,32.0,8.0,2.0
1018,78.0,2480.0,441.0,69.0,11281.0,1358.0,1001.0,799.0,58.0,1537.0,1045.0,919.0,1395.0,5600,71.0,333.0,429.0,846.0,734.0,299.0,17.0,60.0,1525.0,630.0,100.0,181.0,1098.0,4402.0,130.0,5532,379.0,109.0,1972.0,4035.0,311,241.0,445.0,1249.0,114.0,864.0,101.0,178.0,2361.0,1009.0,64.0,85.0,89.0,53.0,194.0,1853.0,312.0,1020.0,2648.0,24.0,250.0,336.0,34.0,45.0,298.0,690.0,1734.0,450.0
1020,54.0,613.0,902.0,176.0,14925.0,776.0,2025.0,625.0,83.0,1088.0,635.0,1899.0,402.0,1354,151.0,13762.0,1222.0,4005.0,1706.0,76.0,55.0,6545.0,27625.0,1654.0,177.0,8093.0,554.0,1154.0,123.0,6023,1690.0,296.0,1810.0,1107.0,3485,113.0,899.0,1978.0,18.0,4334.0,367.0,13988.0,1030.0,1435.0,1439.0,62.0,86.0,690.0,764.0,1183.0,1711.0,218.0,3955.0,1897.0,78.0,3782.0,46.0,2050.0,344.0,3538.0,2335.0,1415.0
1025,13.0,16.0,452.0,8.0,22.0,426.0,25.0,25.0,21.0,6.0,39.0,15.0,13.0,76,13.0,17.0,21.0,51.0,408.0,36.0,8.0,93.0,66.0,14.0,36.0,41.0,20.0,58.0,27.0,2730,100.0,11.0,41.0,501.0,345,9.0,88.0,10.0,4.0,22.0,15.0,15.0,117.0,14.0,13.0,23.0,176.0,18.0,11.0,6.0,6.0,7.0,24.0,8.0,18.0,78.0,9.0,9.0,231.0,152.0,42.0,28.0
1027,3.0,9.0,193.0,16.0,21.0,151.0,166.0,28.0,6.0,0.0,16.0,5.0,16.0,27,17.0,5.0,3.0,81.0,369.0,224.0,19.0,5.0,16.0,3.0,10.0,12.0,39.0,6.0,19.0,1319,160.0,2.0,15.0,477.0,2902,28.0,65.0,2.0,1.0,16.0,3.0,7.0,177.0,4.0,13.0,4.0,9.0,25.0,3.0,4.0,3.0,1.0,6.0,9.0,8.0,15.0,0.0,4.0,229.0,423.0,13.0,10.0
1035,20.0,55.0,17.0,25.0,29.0,260.0,11.0,31.0,20.0,7.0,10.0,13.0,27.0,210,18.0,21.0,5.0,25.0,7.0,22.0,10.0,12.0,96.0,20.0,9.0,108.0,26.0,74.0,18.0,237,11.0,22.0,27.0,79.0,72,27.0,37.0,3.0,4.0,32.0,24.0,37.0,33.0,23.0,19.0,21.0,9.0,23.0,20.0,23.0,6.0,11.0,36.0,6.0,16.0,28.0,14.0,7.0,20.0,63.0,35.0,43.0
1038,20.0,151.0,272.0,9.0,496.0,2581.0,223.0,187.0,97.0,115.0,603.0,54.0,164.0,508,11.0,41.0,391.0,13.0,79.0,106.0,4.0,186.0,326.0,21.0,838.0,222.0,951.0,271.0,31.0,96,690.0,244.0,142.0,969.0,844,124.0,26.0,436.0,55.0,56.0,47.0,27.0,138.0,34.0,58.0,10.0,15.0,304.0,27.0,193.0,254.0,161.0,529.0,33.0,86.0,23.0,96.0,2.0,275.0,918.0,919.0,106.0
1040,17.0,25.0,141.0,10.0,42.0,1359.0,107.0,155.0,39.0,12.0,59.0,32.0,153.0,119,13.0,39.0,67.0,134.0,41.0,61.0,7.0,24.0,123.0,26.0,47.0,145.0,349.0,75.0,38.0,401,225.0,21.0,38.0,803.0,612,27.0,19.0,8.0,8.0,35.0,14.0,43.0,193.0,21.0,16.0,19.0,28.0,189.0,12.0,25.0,12.0,25.0,60.0,8.0,17.0,64.0,11.0,10.0,36.0,240.0,37.0,23.0
