strain_id,B_noMTX_5-FC.ERG11_PIS1,B_noMTX_5-FC.HNM1_RBD2,B_noMTX_5-FC.SSH1_ERG11,B_noMTX_5-FC.ERV25_RBD2,B_noMTX_5-FC.TPO1_TPO2,B_noMTX_5-FC.HNM1_MAM33,B_noMTX_5-FC.HUG1_ADE17,B_noMTX_5-FC.ERG27_ACF2,B_noMTX_5-FC.ERG11_TPO4,B_noMTX_5-FC.PLM2_HNM1,B_noMTX_5-FC.ERV25_EMP47,B_noMTX_5-FC.ERG11_ERG5,B_noMTX_5-FC.SSH1_ORM2,B_noMTX_5-FC.SNA4_GTR2,B_noMTX_5-FC.SSH1_PIS1,B_noMTX_5-FC.SRO9_DHH1,B_noMTX_5-FC.RET2_EMP70,B_noMTX_5-FC.TPO1_TCB2,B_noMTX_5-FC.ERG11_ERV25,B_noMTX_5-FC.HNM1_TPO1,B_noMTX_5-FC.MID2_PIN2,B_noMTX_5-FC.ERV25_UIP4,B_noMTX_5-FC.TPO1_MID2,B_noMTX_5-FC.PLM2_SNA3,B_noMTX_5-FC.ALO1_UIP4,B_noMTX_5-FC.FMP45_MID2,B_noMTX_5-FC.RET2_EMP47,B_noMTX_5-FC.ADE17_HYR1,B_noMTX_5-FC.PMC1_CTR2,B_noMTX_5-FC.ERG11_MID2,B_noMTX_5-FC.HNM1_MID2,B_noMTX_5-FC.MID2_TPO4,B_noMTX_5-FC.ERV25_ERG5,B_noMTX_5-FC.ERV25_ORM2,B_noMTX_5-FC.ADE17_GIS2,B_noMTX_5-FC.SNA4_VAC8,B_noMTX_5-FC.FMP45_MEP1,B_noMTX_5-FC.SRO9_SGN1,B_noMTX_5-FC.HUG1_ALO1,B_noMTX_5-FC.RET2_SNA3,B_noMTX_5-FC.HNM1_ERG11,B_noMTX_5-FC.ERG11_HYR1,B_noMTX_5-FC.ALO1_HYR1,B_noMTX_5-FC.ERV25_PIS1,B_noMTX_5-FC.MID2_TPO2,B_noMTX_5-FC.HNM1_TPO4,B_noMTX_5-FC.DHH1_LSM3,B_noMTX_5-FC.HUG1_PGM2,B_noMTX_5-FC.PMC1_GTR2,B_noMTX_5-FC.FMP45_HNM1,B_noMTX_5-FC.noPPI_reference,B_noMTX_5-FC.ALO1_ADE17,B_noMTX_5-FC.MID2_WSC2,B_noMTX_5-FC.MID2_MAM33,B_noMTX_5-FC.SSH1_ERV25,B_noMTX_5-FC.HNM1_TPO2,B_noMTX_5-FC.ERG11_ACF2,B_noMTX_5-FC.ERG11_ORM2,B_noMTX_5-FC.GTR1_SLM4,B_noMTX_5-FC.SRO9_GIS2,B_noMTX_5-FC.ADE17_PGM2,B_noMTX_5-FC.MID2_RSN1
1005,88.0,12.0,283.0,9.0,73.0,124.0,55.0,269.0,51.0,150.0,1263,57.0,179.0,38.0,480.0,114.0,9.0,70.0,44.0,5.0,380,87.0,91.0,3495.0,202.0,84.0,23.0,4.0,345.0,151.0,59.0,126.0,177.0,33.0,6.0,13.0,126.0,702,49.0,6.0,86.0,94.0,43.0,84.0,223.0,157.0,19.0,47.0,69.0,53.0,85.0,78.0,352.0,118.0,39.0,40.0,89.0,271.0,21.0,109.0,3.0,47.0
1007,122.0,50.0,66.0,18.0,32.0,210.0,29.0,91.0,225.0,482.0,306,248.0,51.0,105.0,216.0,285.0,5.0,22.0,75.0,435.0,475,156.0,74.0,7.0,121.0,87.0,22.0,334.0,579.0,183.0,84.0,269.0,208.0,61.0,8.0,3.0,93.0,1029,254.0,4.0,117.0,160.0,39.0,21.0,117.0,419.0,52.0,137.0,181.0,34.0,195.0,301.0,28.0,190.0,138.0,113.0,231.0,122.0,15.0,37.0,139.0,67.0
1013,2.0,7.0,6.0,4.0,3.0,5.0,3.0,1.0,10.0,3.0,293,4.0,9.0,3.0,12.0,9.0,3.0,0.0,11.0,6.0,80,10.0,0.0,2.0,12.0,1.0,2.0,11.0,83.0,6.0,1.0,10.0,5.0,18.0,2.0,0.0,3.0,194,8.0,2.0,2.0,9.0,6.0,1.0,6.0,9.0,11.0,9.0,6.0,17.0,21.0,40.0,5.0,7.0,9.0,6.0,5.0,3.0,15.0,22.0,0.0,8.0
1016,380.0,23.0,73.0,1461.0,89.0,53.0,145.0,80.0,113.0,7.0,3942,266.0,4.0,358.0,11.0,385.0,9.0,379.0,172.0,44.0,2597,213.0,169.0,3.0,360.0,219.0,15.0,10.0,161.0,56.0,4.0,482.0,26.0,113.0,591.0,6.0,90.0,6951,32.0,2.0,20.0,29.0,169.0,31.0,316.0,289.0,98.0,72.0,39.0,78.0,279.0,823.0,805.0,126.0,12.0,31.0,17.0,20.0,28.0,1113.0,8.0,155.0
1018,293.0,1570.0,253.0,12.0,29.0,188.0,24.0,172.0,431.0,205.0,6771,190.0,623.0,239.0,32.0,365.0,16.0,88.0,684.0,26.0,497,347.0,18.0,62.0,356.0,173.0,23.0,161.0,532.0,372.0,182.0,39.0,155.0,1324.0,335.0,10.0,36.0,1533,44.0,15.0,102.0,125.0,94.0,1268.0,198.0,114.0,73.0,39.0,306.0,176.0,267.0,773.0,30.0,83.0,105.0,33.0,347.0,222.0,40.0,318.0,135.0,39.0
1020,386.0,1894.0,239.0,56.0,851.0,40.0,679.0,42.0,590.0,203.0,8736,323.0,216.0,178.0,353.0,518.0,10.0,343.0,90.0,166.0,1325,1148.0,1105.0,10.0,408.0,326.0,28.0,16.0,3467.0,249.0,221.0,295.0,554.0,228.0,16.0,11.0,308.0,1840,2370.0,16.0,231.0,91.0,84.0,21.0,324.0,72.0,104.0,1608.0,703.0,693.0,500.0,1126.0,577.0,255.0,67.0,363.0,172.0,166.0,35.0,277.0,142.0,135.0
1025,631.0,911.0,629.0,655.0,446.0,173.0,109.0,106.0,354.0,168.0,4706,537.0,2254.0,388.0,503.0,914.0,137.0,1060.0,815.0,333.0,1306,774.0,517.0,3303.0,742.0,459.0,221.0,25.0,2121.0,574.0,231.0,435.0,412.0,1534.0,2237.0,43.0,602.0,7673,136.0,12.0,324.0,331.0,73.0,530.0,500.0,180.0,152.0,117.0,526.0,675.0,496.0,409.0,311.0,342.0,155.0,160.0,409.0,150.0,497.0,561.0,31.0,211.0
1027,245.0,13.0,208.0,588.0,72.0,91.0,17.0,83.0,71.0,20.0,2225,118.0,86.0,219.0,14.0,341.0,2.0,54.0,30.0,62.0,387,939.0,15.0,9.0,309.0,32.0,17.0,1978.0,267.0,168.0,78.0,57.0,339.0,162.0,887.0,8.0,482.0,2467,8.0,5.0,120.0,65.0,84.0,197.0,80.0,43.0,25.0,53.0,49.0,107.0,436.0,67.0,190.0,186.0,41.0,147.0,45.0,224.0,14.0,271.0,33.0,96.0
1035,3.0,12.0,17.0,4.0,2.0,10.0,0.0,6.0,9.0,3.0,62,5.0,3.0,5.0,5.0,4.0,4.0,1.0,6.0,8.0,55,7.0,2.0,2.0,6.0,5.0,5.0,2.0,4.0,4.0,1.0,2.0,3.0,9.0,4.0,2.0,4.0,126,4.0,0.0,1.0,8.0,3.0,2.0,4.0,7.0,6.0,2.0,3.0,0.0,4.0,3.0,9.0,1.0,4.0,5.0,3.0,3.0,2.0,9.0,4.0,5.0
1038,247.0,165.0,821.0,36.0,50.0,276.0,14.0,212.0,357.0,200.0,2646,248.0,693.0,158.0,255.0,59.0,5.0,74.0,296.0,1066.0,258,441.0,50.0,153.0,159.0,262.0,9.0,255.0,160.0,114.0,282.0,8.0,212.0,1449.0,71.0,66.0,90.0,94,84.0,3.0,230.0,89.0,94.0,10.0,35.0,302.0,184.0,18.0,36.0,92.0,356.0,389.0,13.0,91.0,90.0,169.0,290.0,97.0,27.0,49.0,693.0,44.0
