strain_id,A_MTX_Trifluoperazine.SRO9_SGN1,A_MTX_Trifluoperazine.SRO9_DHH1,A_MTX_Trifluoperazine.ERG27_ACF2,A_MTX_Trifluoperazine.MID2_MAM33,A_MTX_Trifluoperazine.TPO1_MID2,A_MTX_Trifluoperazine.ERG11_ACF2,A_MTX_Trifluoperazine.PMC1_GTR2,A_MTX_Trifluoperazine.SSH1_ERG11,A_MTX_Trifluoperazine.HNM1_ERG11,A_MTX_Trifluoperazine.MID2_WSC2,A_MTX_Trifluoperazine.MID2_TPO2,A_MTX_Trifluoperazine.HUG1_PGM2,A_MTX_Trifluoperazine.SSH1_PIS1,A_MTX_Trifluoperazine.ERV25_PIS1,A_MTX_Trifluoperazine.MID2_PIN2,A_MTX_Trifluoperazine.ERG11_ERG5,A_MTX_Trifluoperazine.ERV25_EMP47,A_MTX_Trifluoperazine.ERV25_ORM2,A_MTX_Trifluoperazine.PLM2_HNM1,A_MTX_Trifluoperazine.ERG11_PIS1,A_MTX_Trifluoperazine.HNM1_TPO4,A_MTX_Trifluoperazine.RET2_SNA3,A_MTX_Trifluoperazine.ALO1_HYR1,A_MTX_Trifluoperazine.noPPI_reference,A_MTX_Trifluoperazine.SSH1_ORM2,A_MTX_Trifluoperazine.FMP45_HNM1,A_MTX_Trifluoperazine.TPO1_TPO2,A_MTX_Trifluoperazine.ADE17_GIS2,A_MTX_Trifluoperazine.SNA4_VAC8,A_MTX_Trifluoperazine.ADE17_HYR1,A_MTX_Trifluoperazine.HUG1_ALO1,A_MTX_Trifluoperazine.TPO1_TCB2,A_MTX_Trifluoperazine.ERV25_ERG5,A_MTX_Trifluoperazine.RET2_EMP70,A_MTX_Trifluoperazine.HUG1_ADE17,A_MTX_Trifluoperazine.HNM1_TPO2,A_MTX_Trifluoperazine.ERG11_MID2,A_MTX_Trifluoperazine.ERG11_ORM2,A_MTX_Trifluoperazine.GTR1_SLM4,A_MTX_Trifluoperazine.SRO9_GIS2,A_MTX_Trifluoperazine.ERG11_TPO4,A_MTX_Trifluoperazine.HNM1_MAM33,A_MTX_Trifluoperazine.ERG11_ERV25,A_MTX_Trifluoperazine.PMC1_CTR2,A_MTX_Trifluoperazine.ALO1_ADE17,A_MTX_Trifluoperazine.ADE17_PGM2,A_MTX_Trifluoperazine.MID2_RSN1,A_MTX_Trifluoperazine.HNM1_MID2,A_MTX_Trifluoperazine.ALO1_UIP4,A_MTX_Trifluoperazine.FMP45_MEP1,A_MTX_Trifluoperazine.FMP45_MID2,A_MTX_Trifluoperazine.MID2_TPO4,A_MTX_Trifluoperazine.HNM1_RBD2,A_MTX_Trifluoperazine.ERG11_HYR1,A_MTX_Trifluoperazine.SNA4_GTR2,A_MTX_Trifluoperazine.RET2_EMP47,A_MTX_Trifluoperazine.SSH1_ERV25,A_MTX_Trifluoperazine.DHH1_LSM3,A_MTX_Trifluoperazine.HNM1_TPO1,A_MTX_Trifluoperazine.ERV25_UIP4,A_MTX_Trifluoperazine.PLM2_SNA3,A_MTX_Trifluoperazine.ERV25_RBD2
1005,2.0,0.0,10.0,0.0,0.0,1.0,7.0,5.0,0.0,0.0,2.0,2.0,15.0,2.0,0.0,31.0,5.0,4.0,0.0,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,1.0,1.0,8.0,1.0,3.0,0.0,47.0,0.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0
1007,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,38.0,2.0,11.0,0.0,2.0,1.0,0.0,1.0,5.0,2.0,0.0,3.0,2.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,10.0,11.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,64.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0
1013,7.0,6.0,3.0,9.0,6.0,0.0,111.0,5.0,8.0,1.0,7.0,326.0,5.0,1.0,3.0,27.0,12.0,4.0,2.0,2.0,2.0,1.0,284.0,115.0,1.0,10.0,1.0,2.0,3.0,3.0,25.0,0.0,3.0,1.0,395.0,3.0,2.0,11.0,83.0,182.0,2.0,2.0,2.0,140.0,69.0,0.0,2.0,18.0,29.0,36.0,32.0,1.0,4.0,7.0,2.0,1.0,1.0,6.0,3.0,5.0,0.0,6.0
1016,29.0,0.0,4.0,5.0,0.0,1.0,4.0,6.0,3.0,6.0,0.0,2.0,3.0,0.0,0.0,32.0,18.0,14.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,14.0,0.0,45.0,4.0,2.0,0.0,1.0,2.0,5.0,1.0,0.0,7.0,2.0,0.0,0.0,7.0,5.0,0.0,1.0,1.0,5.0,3.0,4.0,1.0,3.0
1018,422.0,291.0,2277.0,665.0,121.0,708.0,799.0,872.0,330.0,200.0,213.0,347.0,83.0,73.0,376.0,551.0,12083.0,747.0,201.0,221.0,188.0,21.0,740.0,1354.0,145.0,338.0,89.0,52.0,18.0,32.0,50.0,101.0,119.0,87.0,42.0,138.0,826.0,2238.0,238.0,1395.0,1744.0,1206.0,41.0,802.0,481.0,46.0,206.0,179.0,4260.0,222.0,314.0,149.0,873.0,132.0,193.0,39.0,420.0,126.0,52.0,1018.0,17980.0,43.0
1020,521.0,932.0,1598.0,945.0,2906.0,763.0,1177.0,1167.0,948.0,2701.0,1398.0,6016.0,628.0,83.0,1177.0,2243.0,17537.0,261.0,311.0,698.0,296.0,53.0,504.0,272.0,97.0,192.0,1579.0,85.0,39.0,40.0,417.0,42.0,1243.0,74.0,2694.0,794.0,3005.0,152.0,83.0,2719.0,4460.0,51.0,89.0,2870.0,100.0,27.0,1507.0,1449.0,2458.0,437.0,1100.0,2430.0,429.0,1044.0,100.0,83.0,526.0,210.0,216.0,2539.0,39.0,108.0
1025,75.0,12.0,64.0,19.0,2.0,24.0,11.0,18.0,17.0,23.0,9.0,7.0,83.0,5379.0,36.0,298.0,79.0,38.0,8.0,8.0,34.0,2.0,160.0,10.0,15.0,19.0,6.0,46.0,7.0,6.0,3.0,4.0,13.0,16.0,6.0,46.0,34.0,22.0,12.0,235.0,60.0,134.0,67.0,33.0,13.0,5.0,24.0,9.0,104.0,37.0,15.0,14.0,10.0,44.0,5.0,28.0,6.0,16.0,66.0,42.0,7.0,5.0
1027,1.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,4.0,2.0,3.0,134.0,21.0,11.0,1.0,3.0,0.0,1.0,5.0,2.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,13.0,2.0,2.0,0.0,15.0,16.0,0.0,165.0,6.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,83.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1035,42.0,20.0,452.0,102.0,50.0,36.0,116.0,55.0,8.0,73.0,55.0,80.0,275.0,83.0,103.0,67.0,159.0,28.0,9.0,18.0,101.0,5.0,94.0,26.0,34.0,8.0,55.0,34.0,26.0,20.0,88.0,16.0,94.0,97.0,65.0,159.0,23.0,29.0,7.0,66.0,39.0,456.0,33.0,136.0,34.0,25.0,101.0,10.0,198.0,130.0,22.0,26.0,38.0,72.0,39.0,21.0,33.0,75.0,49.0,123.0,6.0,80.0
1038,21.0,166.0,104.0,13.0,111.0,29.0,66.0,1741.0,229.0,4.0,30.0,9.0,42.0,24.0,69.0,487.0,516.0,334.0,9.0,242.0,281.0,8.0,59.0,73.0,79.0,397.0,33.0,65.0,1180.0,29.0,13.0,3.0,321.0,5.0,174.0,326.0,184.0,218.0,8.0,102.0,1194.0,120.0,164.0,67.0,233.0,11.0,24.0,435.0,280.0,66.0,618.0,25.0,58.0,513.0,200.0,12.0,338.0,431.0,1751.0,1209.0,20.0,28.0
