strain_id,A_noMTX_Fluconazole.SNA4_VAC8,A_noMTX_Fluconazole.HNM1_ERG11,A_noMTX_Fluconazole.HUG1_ADE17,A_noMTX_Fluconazole.HUG1_ALO1,A_noMTX_Fluconazole.TPO1_TPO2,A_noMTX_Fluconazole.HNM1_MAM33,A_noMTX_Fluconazole.SRO9_GIS2,A_noMTX_Fluconazole.MID2_RSN1,A_noMTX_Fluconazole.ERG27_ACF2,A_noMTX_Fluconazole.HNM1_RBD2,A_noMTX_Fluconazole.SSH1_ERV25,A_noMTX_Fluconazole.MID2_WSC2,A_noMTX_Fluconazole.PMC1_CTR2,A_noMTX_Fluconazole.PLM2_SNA3,A_noMTX_Fluconazole.MID2_PIN2,A_noMTX_Fluconazole.ERG11_TPO4,A_noMTX_Fluconazole.ERV25_UIP4,A_noMTX_Fluconazole.ALO1_UIP4,A_noMTX_Fluconazole.ERG11_ERV25,A_noMTX_Fluconazole.MID2_TPO2,A_noMTX_Fluconazole.SSH1_ORM2,A_noMTX_Fluconazole.RET2_EMP70,A_noMTX_Fluconazole.RET2_EMP47,A_noMTX_Fluconazole.ERG11_PIS1,A_noMTX_Fluconazole.noPPI_reference,A_noMTX_Fluconazole.FMP45_MEP1,A_noMTX_Fluconazole.ALO1_HYR1,A_noMTX_Fluconazole.ERV25_EMP47,A_noMTX_Fluconazole.MID2_MAM33,A_noMTX_Fluconazole.PLM2_HNM1,A_noMTX_Fluconazole.HUG1_PGM2,A_noMTX_Fluconazole.ERG11_ACF2,A_noMTX_Fluconazole.ALO1_ADE17,A_noMTX_Fluconazole.ERV25_ERG5,A_noMTX_Fluconazole.ADE17_GIS2,A_noMTX_Fluconazole.SNA4_GTR2,A_noMTX_Fluconazole.ERV25_ORM2,A_noMTX_Fluconazole.SRO9_SGN1,A_noMTX_Fluconazole.HNM1_TPO4,A_noMTX_Fluconazole.HNM1_MID2,A_noMTX_Fluconazole.DHH1_LSM3,A_noMTX_Fluconazole.MID2_TPO4,A_noMTX_Fluconazole.SRO9_DHH1,A_noMTX_Fluconazole.ADE17_PGM2,A_noMTX_Fluconazole.ADE17_HYR1,A_noMTX_Fluconazole.RET2_SNA3,A_noMTX_Fluconazole.ERG11_ORM2,A_noMTX_Fluconazole.ERG11_HYR1,A_noMTX_Fluconazole.SSH1_ERG11,A_noMTX_Fluconazole.TPO1_MID2,A_noMTX_Fluconazole.ERG11_MID2,A_noMTX_Fluconazole.SSH1_PIS1,A_noMTX_Fluconazole.TPO1_TCB2,A_noMTX_Fluconazole.ERV25_PIS1,A_noMTX_Fluconazole.ERG11_ERG5,A_noMTX_Fluconazole.GTR1_SLM4,A_noMTX_Fluconazole.PMC1_GTR2,A_noMTX_Fluconazole.FMP45_MID2,A_noMTX_Fluconazole.FMP45_HNM1,A_noMTX_Fluconazole.HNM1_TPO1,A_noMTX_Fluconazole.HNM1_TPO2,A_noMTX_Fluconazole.ERV25_RBD2
1005,2.0,17.0,8.0,20.0,35.0,17.0,4.0,2.0,544.0,7.0,26.0,21.0,27.0,127.0,17.0,4.0,39.0,61.0,2.0,32.0,6.0,3.0,8.0,8.0,5.0,11.0,8.0,68.0,13.0,269.0,15.0,3.0,33.0,31.0,1.0,12.0,185.0,19.0,90.0,1.0,26.0,102.0,90.0,9.0,15.0,6.0,4346.0,7.0,36.0,40.0,1.0,4.0,31.0,3.0,13.0,4.0,60.0,45.0,3.0,2.0,13.0,3.0
1007,14.0,425.0,31.0,343.0,14.0,77.0,239.0,12.0,179.0,51.0,242.0,33.0,283.0,13.0,1043.0,400.0,34.0,523.0,8.0,94.0,6.0,4.0,5.0,134.0,7.0,2.0,47.0,108.0,195.0,129.0,123.0,9.0,1087.0,126.0,19.0,159.0,22.0,159.0,43.0,94.0,79.0,384.0,5162.0,24.0,279.0,11.0,48.0,649.0,17.0,9.0,72.0,10.0,6.0,17.0,62.0,22.0,410.0,361.0,22.0,540.0,74.0,25.0
1013,2.0,9.0,6.0,10.0,17.0,12.0,10.0,3.0,0.0,1.0,3.0,2.0,5.0,11.0,18.0,0.0,19.0,2.0,3.0,3.0,11.0,0.0,0.0,0.0,4.0,17.0,12.0,18.0,18.0,21.0,2.0,5.0,5.0,10.0,0.0,4.0,51.0,31.0,1.0,14.0,12.0,5.0,11.0,1.0,5.0,1.0,8.0,3.0,5.0,1.0,4.0,3.0,2.0,16.0,0.0,21.0,7.0,4.0,6.0,7.0,19.0,6.0
1016,9.0,2339.0,1252.0,88.0,206.0,10.0,631.0,51.0,50.0,24.0,16.0,113.0,142.0,11.0,479.0,89.0,185.0,272.0,6.0,1170.0,1.0,7.0,11.0,18.0,7.0,84.0,31.0,39.0,41.0,28.0,59.0,22.0,1258.0,12.0,13.0,2.0,225.0,370.0,14.0,23.0,29.0,4100.0,418.0,21.0,17.0,25.0,10.0,6.0,23.0,272.0,9.0,2.0,860.0,4.0,91.0,24.0,39.0,80.0,251.0,4.0,8.0,43.0
1018,6.0,24.0,6.0,33.0,5.0,144.0,275.0,14.0,9.0,4.0,11.0,12.0,19.0,24.0,20.0,700.0,332.0,29.0,18.0,143.0,74.0,8.0,7.0,7.0,17.0,10.0,12.0,190.0,11.0,35.0,13.0,1.0,350.0,8.0,128.0,79.0,343.0,197.0,9.0,47.0,12.0,18.0,400.0,20.0,543.0,5.0,10.0,66.0,19.0,2.0,1072.0,14.0,10.0,9.0,38.0,19.0,43.0,92.0,128.0,12.0,240.0,9.0
1020,3.0,25.0,368.0,3956.0,750.0,8.0,33.0,50.0,18.0,337.0,54.0,459.0,174.0,15.0,121.0,155.0,37.0,140.0,6.0,197.0,4.0,9.0,7.0,20.0,44.0,9.0,50.0,362.0,690.0,160.0,1341.0,1183.0,282.0,303.0,2.0,110.0,30.0,18.0,13.0,82.0,44.0,612.0,394.0,15.0,20.0,21.0,8.0,10.0,170.0,880.0,32.0,7.0,507.0,2.0,2.0,10.0,58.0,308.0,87.0,68.0,27.0,37.0
1025,2287.0,734.0,43.0,271.0,1145.0,468.0,529.0,80.0,76.0,59.0,44.0,166.0,762.0,45.0,373.0,53.0,484.0,804.0,1238.0,6806.0,16.0,32.0,41.0,179.0,97.0,137.0,1468.0,386.0,645.0,67.0,50.0,18.0,264.0,170.0,5466.0,152.0,110.0,722.0,80.0,431.0,900.0,240.0,419.0,60.0,127.0,15.0,1614.0,289.0,99.0,582.0,104.0,235.0,703.0,62.0,412.0,1256.0,563.0,156.0,190.0,62.0,520.0,383.0
1027,30.0,701.0,34.0,41.0,26.0,114.0,1239.0,163.0,471.0,14.0,3124.0,94.0,26.0,54.0,104.0,105.0,2565.0,124.0,61.0,589.0,647.0,16.0,17.0,64.0,52.0,506.0,1185.0,769.0,968.0,58.0,15.0,10689.0,93.0,795.0,1520.0,122.0,659.0,751.0,779.0,237.0,22.0,73.0,166.0,556.0,858.0,46.0,21.0,11.0,3270.0,6.0,949.0,58.0,390.0,200.0,185.0,26.0,685.0,182.0,22.0,57.0,13613.0,292.0
1035,10.0,3.0,16.0,9.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,1.0,5.0,2.0,1.0,5.0,5.0,18.0,6.0,2.0,6.0,2.0,1.0,1.0,2.0,5.0,6.0,8.0,10.0,2.0,9.0,2.0,1.0,9.0,2.0,6.0,6.0,3.0,8.0,3.0,35.0,3.0,0.0,1.0,5.0,1.0,15.0,3.0,9.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,9.0,2.0,2.0,5.0,15.0,3.0
1038,678.0,23.0,9.0,51.0,37.0,42.0,5.0,1.0,7.0,64.0,695.0,9.0,28.0,17.0,32.0,16.0,35.0,147.0,14.0,4.0,59.0,9.0,6.0,11.0,13.0,372.0,138.0,51.0,18.0,35.0,3.0,7.0,444.0,8.0,6.0,23.0,341.0,12.0,459.0,93.0,17.0,7.0,25.0,26.0,40.0,4.0,21.0,9.0,27.0,55.0,5.0,130.0,666.0,13.0,180.0,7.0,5.0,38.0,105.0,749.0,326.0,6.0
