strain_id,B_noMTX_Metformin.HNM1_TPO2,B_noMTX_Metformin.FMP45_MID2,B_noMTX_Metformin.MID2_TPO4,B_noMTX_Metformin.noPPI_reference,B_noMTX_Metformin.ERG27_ACF2,B_noMTX_Metformin.ERG11_PIS1,B_noMTX_Metformin.ERV25_PIS1,B_noMTX_Metformin.SNA4_VAC8,B_noMTX_Metformin.FMP45_MEP1,B_noMTX_Metformin.ERG11_ERG5,B_noMTX_Metformin.RET2_SNA3,B_noMTX_Metformin.ADE17_GIS2,B_noMTX_Metformin.PMC1_CTR2,B_noMTX_Metformin.ERV25_EMP47,B_noMTX_Metformin.PLM2_SNA3,B_noMTX_Metformin.HNM1_MAM33,B_noMTX_Metformin.SRO9_DHH1,B_noMTX_Metformin.PMC1_GTR2,B_noMTX_Metformin.RET2_EMP47,B_noMTX_Metformin.HNM1_TPO4,B_noMTX_Metformin.SNA4_GTR2,B_noMTX_Metformin.ERG11_ACF2,B_noMTX_Metformin.SSH1_ERV25,B_noMTX_Metformin.TPO1_TPO2,B_noMTX_Metformin.HNM1_TPO1,B_noMTX_Metformin.HNM1_RBD2,B_noMTX_Metformin.ERG11_HYR1,B_noMTX_Metformin.HUG1_ALO1,B_noMTX_Metformin.MID2_TPO2,B_noMTX_Metformin.MID2_RSN1,B_noMTX_Metformin.ERV25_UIP4,B_noMTX_Metformin.ERG11_MID2,B_noMTX_Metformin.HUG1_ADE17,B_noMTX_Metformin.SRO9_SGN1,B_noMTX_Metformin.ERV25_ORM2,B_noMTX_Metformin.ERG11_TPO4,B_noMTX_Metformin.HNM1_MID2,B_noMTX_Metformin.ALO1_UIP4,B_noMTX_Metformin.ERV25_ERG5,B_noMTX_Metformin.ADE17_PGM2,B_noMTX_Metformin.GTR1_SLM4,B_noMTX_Metformin.FMP45_HNM1,B_noMTX_Metformin.PLM2_HNM1,B_noMTX_Metformin.ALO1_ADE17,B_noMTX_Metformin.ERV25_RBD2,B_noMTX_Metformin.DHH1_LSM3,B_noMTX_Metformin.SSH1_ORM2,B_noMTX_Metformin.MID2_PIN2,B_noMTX_Metformin.TPO1_TCB2,B_noMTX_Metformin.TPO1_MID2,B_noMTX_Metformin.ALO1_HYR1,B_noMTX_Metformin.SSH1_PIS1,B_noMTX_Metformin.ERG11_ERV25,B_noMTX_Metformin.ADE17_HYR1,B_noMTX_Metformin.ERG11_ORM2,B_noMTX_Metformin.SSH1_ERG11,B_noMTX_Metformin.SRO9_GIS2,B_noMTX_Metformin.MID2_MAM33,B_noMTX_Metformin.HUG1_PGM2,B_noMTX_Metformin.RET2_EMP70,B_noMTX_Metformin.MID2_WSC2,B_noMTX_Metformin.HNM1_ERG11
1005,20.0,48.0,162.0,16.0,24.0,88.0,110.0,2.0,66.0,45.0,7.0,7.0,58.0,35.0,323.0,61.0,385.0,71.0,8.0,155.0,14.0,263.0,62.0,22.0,6.0,10.0,347.0,40.0,252.0,108,31.0,76.0,151.0,43.0,242.0,26.0,36.0,99.0,50.0,3.0,8.0,94.0,65.0,7.0,3.0,3.0,67.0,260.0,58.0,18.0,219.0,774.0,485.0,6.0,40.0,32.0,368,81.0,23.0,17.0,250.0,15.0
1007,155.0,154.0,319.0,104.0,50.0,55.0,28.0,6.0,78.0,135.0,13.0,21.0,218.0,72.0,66.0,99.0,545.0,248.0,10.0,218.0,130.0,294.0,166.0,25.0,400.0,22.0,549.0,158.0,159.0,198,463.0,407.0,64.0,219.0,38.0,109.0,124.0,306.0,121.0,331.0,9.0,42.0,3622.0,218.0,16.0,21.0,18.0,645.0,50.0,25.0,274.0,162.0,192.0,180.0,114.0,26.0,227,296.0,109.0,16.0,11.0,57.0
1013,3.0,2.0,24.0,5.0,6.0,2.0,15.0,3.0,49.0,4.0,6.0,14.0,5.0,2.0,2.0,5.0,149.0,2.0,3.0,1.0,6.0,22.0,4.0,5.0,6.0,21.0,53.0,5.0,34.0,50,16.0,21.0,124.0,8.0,34.0,5.0,4.0,12.0,3.0,168.0,150.0,7.0,8.0,12.0,3.0,6.0,29.0,30.0,4.0,2.0,14.0,21.0,4.0,16.0,1.0,0.0,381,7.0,13.0,25.0,10.0,11.0
1016,16.0,55.0,315.0,52.0,31.0,209.0,13.0,11.0,114.0,112.0,8.0,332.0,125.0,34.0,2.0,26.0,421.0,65.0,13.0,85.0,69.0,18.0,2.0,123.0,7.0,17.0,23.0,219.0,244.0,366,145.0,7.0,1232.0,632.0,155.0,51.0,9.0,339.0,13.0,16.0,4.0,137.0,5.0,210.0,1223.0,81.0,8.0,572.0,103.0,83.0,485.0,13.0,21.0,9.0,13.0,21.0,2085,82.0,74.0,20.0,1132.0,12.0
1018,43.0,565.0,231.0,57.0,86.0,116.0,741.0,12.0,59.0,215.0,16.0,107.0,132.0,228.0,23.0,44.0,349.0,228.0,28.0,20.0,153.0,461.0,149.0,19.0,14.0,929.0,448.0,67.0,210.0,170,96.0,490.0,60.0,152.0,3089.0,315.0,369.0,294.0,58.0,169.0,34.0,259.0,260.0,291.0,10.0,38.0,474.0,261.0,31.0,14.0,189.0,35.0,156.0,264.0,110.0,35.0,1226,53.0,23.0,22.0,31.0,51.0
1020,278.0,1972.0,1525.0,71.0,46.0,427.0,17.0,26.0,204.0,216.0,32.0,26.0,577.0,1155.0,28.0,30.0,852.0,846.0,33.0,75.0,255.0,491.0,274.0,423.0,187.0,3944.0,465.0,1776.0,875.0,1473,422.0,862.0,4361.0,380.0,1491.0,336.0,989.0,763.0,219.0,518.0,38.0,1610.0,315.0,788.0,36.0,69.0,51.0,1736.0,1165.0,370.0,249.0,764.0,74.0,13.0,45.0,95.0,2503,294.0,956.0,33.0,1197.0,182.0
1025,198.0,972.0,456.0,74.0,24.0,376.0,735.0,267.0,279.0,456.0,61.0,5866.0,685.0,286.0,493.0,105.0,1310.0,536.0,148.0,263.0,164.0,1054.0,334.0,375.0,127.0,1289.0,400.0,203.0,790.0,635,241.0,435.0,168.0,716.0,1586.0,190.0,495.0,862.0,109.0,46.0,1226.0,1580.0,130.0,274.0,581.0,34.0,726.0,813.0,1245.0,214.0,178.0,496.0,374.0,41.0,40.0,99.0,2006,149.0,68.0,663.0,273.0,115.0
1027,57.0,180.0,212.0,45.0,20.0,308.0,400.0,25.0,330.0,77.0,7.0,863.0,86.0,301.0,19.0,54.0,637.0,62.0,22.0,181.0,272.0,298.0,440.0,14.0,99.0,17.0,402.0,4.0,685.0,416,330.0,304.0,29.0,246.0,232.0,31.0,208.0,677.0,100.0,152.0,47.0,328.0,90.0,50.0,241.0,12.0,70.0,482.0,77.0,8.0,730.0,19.0,34.0,1093.0,19.0,131.0,2063,204.0,31.0,11.0,297.0,2126.0
1035,4.0,7.0,29.0,1.0,2.0,7.0,4.0,5.0,2.0,6.0,4.0,6.0,9.0,2.0,1.0,6.0,18.0,1.0,6.0,2.0,3.0,20.0,10.0,0.0,3.0,25.0,11.0,7.0,16.0,43,10.0,17.0,7.0,7.0,16.0,5.0,8.0,2.0,7.0,8.0,17.0,18.0,6.0,1.0,6.0,1.0,3.0,44.0,5.0,3.0,5.0,15.0,3.0,6.0,1.0,4.0,68,4.0,4.0,5.0,11.0,2.0
1038,211.0,517.0,53.0,165.0,70.0,222.0,29.0,107.0,72.0,80.0,11.0,75.0,95.0,127.0,31.0,189.0,83.0,23.0,13.0,239.0,103.0,413.0,270.0,25.0,517.0,159.0,398.0,68.0,45.0,54,821.0,116.0,67.0,20.0,1842.0,128.0,330.0,98.0,127.0,2955.0,15.0,231.0,118.0,176.0,55.0,54.0,605.0,393.0,44.0,51.0,300.0,280.0,623.0,115.0,106.0,152.0,192,142.0,23.0,12.0,24.0,136.0
