strain_id,A_noMTX_noDrug.ERV25_RBD2,A_noMTX_noDrug.SRO9_SGN1,A_noMTX_noDrug.MID2_PIN2,A_noMTX_noDrug.MID2_TPO2,A_noMTX_noDrug.PLM2_HNM1,A_noMTX_noDrug.ERV25_UIP4,A_noMTX_noDrug.ERG27_ACF2,A_noMTX_noDrug.HNM1_RBD2,A_noMTX_noDrug.HNM1_TPO1,A_noMTX_noDrug.PMC1_GTR2,A_noMTX_noDrug.HNM1_TPO4,A_noMTX_noDrug.ADE17_HYR1,A_noMTX_noDrug.DHH1_LSM3,A_noMTX_noDrug.MID2_RSN1,A_noMTX_noDrug.TPO1_TCB2,A_noMTX_noDrug.HNM1_MAM33,A_noMTX_noDrug.RET2_SNA3,A_noMTX_noDrug.MID2_MAM33,A_noMTX_noDrug.ERG11_HYR1,A_noMTX_noDrug.HUG1_ALO1,A_noMTX_noDrug.ERG11_ERG5,A_noMTX_noDrug.HUG1_ADE17,A_noMTX_noDrug.ERG11_ACF2,A_noMTX_noDrug.RET2_EMP70,A_noMTX_noDrug.ERG11_MID2,A_noMTX_noDrug.TPO1_MID2,A_noMTX_noDrug.ERG11_PIS1,A_noMTX_noDrug.FMP45_HNM1,A_noMTX_noDrug.SNA4_VAC8,A_noMTX_noDrug.ERV25_PIS1,A_noMTX_noDrug.SNA4_GTR2,A_noMTX_noDrug.ADE17_GIS2,A_noMTX_noDrug.GTR1_SLM4,A_noMTX_noDrug.noPPI_reference,A_noMTX_noDrug.MID2_TPO4,A_noMTX_noDrug.MID2_WSC2,A_noMTX_noDrug.SSH1_ERG11,A_noMTX_noDrug.SSH1_ERV25,A_noMTX_noDrug.RET2_EMP47,A_noMTX_noDrug.TPO1_TPO2,A_noMTX_noDrug.SRO9_DHH1,A_noMTX_noDrug.ERV25_ERG5,A_noMTX_noDrug.ERG11_TPO4,A_noMTX_noDrug.PMC1_CTR2,A_noMTX_noDrug.HNM1_MID2,A_noMTX_noDrug.ALO1_HYR1,A_noMTX_noDrug.ALO1_UIP4,A_noMTX_noDrug.PLM2_SNA3,A_noMTX_noDrug.FMP45_MEP1,A_noMTX_noDrug.ERG11_ORM2,A_noMTX_noDrug.ERV25_EMP47,A_noMTX_noDrug.SSH1_PIS1,A_noMTX_noDrug.ALO1_ADE17,A_noMTX_noDrug.HNM1_ERG11,A_noMTX_noDrug.ADE17_PGM2,A_noMTX_noDrug.HNM1_TPO2,A_noMTX_noDrug.ERV25_ORM2,A_noMTX_noDrug.FMP45_MID2,A_noMTX_noDrug.HUG1_PGM2,A_noMTX_noDrug.SRO9_GIS2,A_noMTX_noDrug.SSH1_ORM2,A_noMTX_noDrug.ERG11_ERV25
1005,3.0,137.0,269.0,54.0,182.0,34.0,304.0,1.0,1.0,92.0,86.0,4.0,113.0,19.0,22.0,64.0,2.0,68.0,118.0,66.0,84.0,28.0,144.0,4.0,87.0,51.0,14.0,19.0,1.0,61.0,129.0,6.0,13.0,6.0,61.0,86.0,15.0,117.0,25.0,119.0,90.0,175.0,37.0,53.0,7.0,20.0,75.0,404.0,99.0,127.0,527.0,503.0,35.0,10.0,4.0,24.0,61.0,74.0,126.0,79.0,241.0,47.0
1007,6.0,252.0,196.0,40.0,346.0,20.0,231.0,6.0,306.0,299.0,123.0,114.0,85.0,71.0,30.0,236.0,4.0,171.0,310.0,154.0,475.0,12.0,148.0,1.0,64.0,15.0,42.0,5.0,6.0,7.0,151.0,5.0,7.0,23.0,105.0,5.0,4.0,188.0,3.0,18.0,223.0,122.0,111.0,63.0,31.0,21.0,149.0,4.0,30.0,106.0,136.0,196.0,307.0,90.0,87.0,75.0,35.0,165.0,50.0,19.0,17.0,26.0
1013,1.0,65.0,21.0,2.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,9.0,2.0,2.0,4.0,1.0,8.0,21.0,5.0,7.0,1.0,4.0,1.0,0.0,3.0,4.0,3.0,0.0,4.0,15.0,2.0,3.0,4.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,22.0,6.0,6.0,2.0,3.0,9.0,1.0,8.0,12.0,179.0,10.0,6.0,0.0,7.0,7.0,17.0,16.0,3.0,1.0,17.0,7.0
1016,1548.0,6587.0,679.0,69.0,7.0,185.0,295.0,6.0,20.0,193.0,70.0,12.0,249.0,80.0,133.0,103.0,3.0,88.0,22.0,152.0,326.0,125.0,22.0,9.0,1.0,324.0,94.0,44.0,5.0,21.0,1408.0,263.0,11.0,27.0,188.0,412.0,19.0,11.0,9.0,171.0,273.0,13.0,119.0,61.0,0.0,108.0,1037.0,3.0,398.0,46.0,1137.0,8.0,466.0,19.0,11.0,21.0,100.0,180.0,167.0,441.0,6.0,16.0
1018,11.0,481.0,179.0,57.0,570.0,100.0,353.0,83.0,15.0,268.0,118.0,88.0,203.0,23.0,21.0,44.0,7.0,53.0,93.0,54.0,473.0,14.0,474.0,7.0,270.0,22.0,66.0,41.0,9.0,492.0,344.0,104.0,24.0,12.0,65.0,10.0,13.0,308.0,10.0,34.0,168.0,278.0,525.0,92.0,37.0,46.0,321.0,9.0,76.0,352.0,2981.0,13.0,308.0,49.0,29.0,21.0,594.0,766.0,40.0,238.0,118.0,306.0
1020,22.0,533.0,1061.0,161.0,660.0,104.0,170.0,169.0,108.0,753.0,38.0,14.0,85.0,339.0,261.0,14.0,11.0,150.0,336.0,1423.0,793.0,247.0,308.0,20.0,314.0,327.0,65.0,81.0,7.0,14.0,303.0,31.0,28.0,19.0,176.0,254.0,17.0,290.0,15.0,712.0,151.0,654.0,412.0,669.0,45.0,27.0,264.0,4.0,210.0,113.0,4367.0,252.0,285.0,62.0,176.0,257.0,194.0,1153.0,1106.0,231.0,107.0,51.0
1025,849.0,2701.0,817.0,91.0,259.0,154.0,230.0,63.0,232.0,773.0,242.0,32.0,913.0,138.0,503.0,110.0,11.0,186.0,337.0,183.0,835.0,53.0,659.0,171.0,233.0,513.0,91.0,142.0,26.0,349.0,816.0,2322.0,108.0,26.0,212.0,60.0,25.0,474.0,158.0,839.0,313.0,469.0,412.0,432.0,23.0,37.0,421.0,846.0,641.0,283.0,2141.0,496.0,229.0,101.0,38.0,201.0,777.0,584.0,139.0,593.0,1117.0,600.0
1027,729.0,339.0,193.0,41.0,27.0,102.0,231.0,5.0,45.0,55.0,43.0,1212.0,59.0,82.0,14.0,130.0,0.0,161.0,297.0,8.0,316.0,6.0,130.0,4.0,138.0,20.0,30.0,16.0,11.0,77.0,258.0,358.0,7.0,16.0,32.0,67.0,5.0,306.0,5.0,35.0,98.0,547.0,49.0,83.0,3.0,64.0,131.0,1.0,321.0,178.0,1522.0,7.0,25.0,30.0,40.0,103.0,65.0,66.0,13.0,222.0,174.0,19.0
1035,2.0,29.0,24.0,3.0,5.0,4.0,33.0,1.0,6.0,3.0,4.0,2.0,32.0,4.0,3.0,3.0,1.0,3.0,16.0,2.0,15.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,18.0,4.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,13.0,1.0,1.0,0.0,1.0,3.0,0.0,8.0,6.0,22.0,8.0,5.0,3.0,3.0,6.0,6.0,20.0,4.0,3.0,5.0,5.0
1038,120.0,56.0,155.0,13.0,137.0,301.0,323.0,18.0,573.0,46.0,211.0,177.0,360.0,16.0,19.0,360.0,1.0,61.0,161.0,155.0,259.0,17.0,303.0,3.0,52.0,25.0,47.0,40.0,74.0,11.0,350.0,58.0,17.0,25.0,4.0,9.0,49.0,117.0,2.0,64.0,50.0,329.0,221.0,26.0,52.0,25.0,119.0,63.0,70.0,142.0,766.0,161.0,181.0,152.0,491.0,176.0,1203.0,632.0,27.0,37.0,480.0,483.0
