strain_id,A_noMTX_5-FC.SNA4_VAC8,A_noMTX_5-FC.MID2_RSN1,A_noMTX_5-FC.HNM1_MAM33,A_noMTX_5-FC.ERG11_HYR1,A_noMTX_5-FC.TPO1_MID2,A_noMTX_5-FC.RET2_SNA3,A_noMTX_5-FC.ERV25_RBD2,A_noMTX_5-FC.PLM2_HNM1,A_noMTX_5-FC.SRO9_GIS2,A_noMTX_5-FC.HNM1_TPO2,A_noMTX_5-FC.ERG11_PIS1,A_noMTX_5-FC.RET2_EMP70,A_noMTX_5-FC.SSH1_PIS1,A_noMTX_5-FC.RET2_EMP47,A_noMTX_5-FC.HNM1_MID2,A_noMTX_5-FC.ERV25_ORM2,A_noMTX_5-FC.FMP45_MID2,A_noMTX_5-FC.ERV25_ERG5,A_noMTX_5-FC.HUG1_ADE17,A_noMTX_5-FC.GTR1_SLM4,A_noMTX_5-FC.ERG11_ERG5,A_noMTX_5-FC.HUG1_ALO1,A_noMTX_5-FC.MID2_MAM33,A_noMTX_5-FC.HNM1_RBD2,A_noMTX_5-FC.TPO1_TPO2,A_noMTX_5-FC.ALO1_ADE17,A_noMTX_5-FC.MID2_TPO2,A_noMTX_5-FC.MID2_PIN2,A_noMTX_5-FC.PMC1_GTR2,A_noMTX_5-FC.FMP45_HNM1,A_noMTX_5-FC.ALO1_HYR1,A_noMTX_5-FC.ADE17_GIS2,A_noMTX_5-FC.SSH1_ERG11,A_noMTX_5-FC.noPPI_reference,A_noMTX_5-FC.ERG11_ORM2,A_noMTX_5-FC.ERV25_PIS1,A_noMTX_5-FC.ERG27_ACF2,A_noMTX_5-FC.ERG11_ACF2,A_noMTX_5-FC.FMP45_MEP1,A_noMTX_5-FC.ADE17_PGM2,A_noMTX_5-FC.MID2_TPO4,A_noMTX_5-FC.ALO1_UIP4,A_noMTX_5-FC.HUG1_PGM2,A_noMTX_5-FC.HNM1_TPO1,A_noMTX_5-FC.ADE17_HYR1,A_noMTX_5-FC.MID2_WSC2,A_noMTX_5-FC.ERG11_ERV25,A_noMTX_5-FC.DHH1_LSM3,A_noMTX_5-FC.ERV25_UIP4,A_noMTX_5-FC.ERV25_EMP47,A_noMTX_5-FC.HNM1_ERG11,A_noMTX_5-FC.SNA4_GTR2,A_noMTX_5-FC.ERG11_TPO4,A_noMTX_5-FC.HNM1_TPO4,A_noMTX_5-FC.SSH1_ORM2,A_noMTX_5-FC.SSH1_ERV25,A_noMTX_5-FC.ERG11_MID2,A_noMTX_5-FC.TPO1_TCB2,A_noMTX_5-FC.SRO9_DHH1,A_noMTX_5-FC.PLM2_SNA3,A_noMTX_5-FC.PMC1_CTR2,A_noMTX_5-FC.SRO9_SGN1
1005,6.0,50.0,155.0,166.0,43.0,6.0,34.0,240.0,202.0,33.0,119.0,3.0,742.0,40.0,70.0,76.0,72.0,376.0,96.0,10.0,144.0,694.0,193.0,2.0,79.0,52.0,863.0,244.0,161.0,59.0,225.0,6.0,52.0,53.0,148.0,61.0,231.0,131.0,97.0,10.0,100.0,152.0,45.0,3.0,15.0,255.0,72.0,48.0,73.0,32.0,47.0,45.0,7.0,107.0,60.0,157.0,191.0,39.0,187.0,1143.0,69.0,78.0
1007,12.0,145.0,289.0,134.0,52.0,9.0,38.0,468.0,49.0,119.0,228.0,7.0,200.0,14.0,150.0,18.0,74.0,383.0,86.0,9.0,191.0,602.0,502.0,9.0,20.0,448.0,422.0,657.0,295.0,39.0,89.0,21.0,61.0,190.0,199.0,26.0,304.0,441.0,79.0,187.0,474.0,346.0,183.0,788.0,2500.0,5.0,68.0,124.0,178.0,57.0,199.0,76.0,181.0,447.0,10.0,196.0,375.0,71.0,438.0,17.0,230.0,228.0
1013,2.0,2.0,9.0,0.0,1.0,4.0,9.0,2.0,4.0,3.0,5.0,1.0,10.0,4.0,20.0,3.0,25.0,8.0,13.0,9.0,1.0,109.0,5.0,3.0,5.0,372.0,35.0,14.0,21.0,15.0,51.0,11.0,4.0,8.0,5.0,6.0,1.0,4.0,56.0,54.0,8.0,49.0,38.0,8.0,287.0,1.0,8.0,4.0,6.0,5.0,5.0,7.0,4.0,6.0,10.0,13.0,3.0,5.0,4.0,11.0,48.0,55.0
1016,13.0,65.0,53.0,13.0,82.0,6.0,1388.0,2.0,2534.0,19.0,388.0,8.0,18.0,23.0,21.0,89.0,125.0,101.0,214.0,10.0,242.0,194.0,201.0,22.0,91.0,1362.0,516.0,883.0,235.0,148.0,742.0,797.0,13.0,106.0,25.0,20.0,69.0,23.0,40.0,14.0,207.0,346.0,76.0,18.0,22.0,938.0,322.0,50.0,306.0,238.0,15.0,200.0,335.0,142.0,6.0,16.0,15.0,587.0,150.0,10.0,71.0,1712.0
1018,17.0,30.0,128.0,90.0,17.0,15.0,47.0,456.0,675.0,38.0,232.0,13.0,29.0,19.0,554.0,1724.0,425.0,213.0,79.0,24.0,281.0,78.0,104.0,197.0,17.0,726.0,378.0,359.0,228.0,262.0,352.0,324.0,182.0,155.0,463.0,741.0,122.0,404.0,72.0,96.0,106.0,487.0,45.0,19.0,1460.0,14.0,814.0,82.0,274.0,365.0,230.0,120.0,214.0,70.0,163.0,283.0,319.0,96.0,175.0,56.0,111.0,262.0
1020,21.0,409.0,18.0,48.0,646.0,76.0,315.0,591.0,473.0,256.0,528.0,21.0,379.0,16.0,1144.0,478.0,909.0,470.0,1584.0,20.0,336.0,15513.0,273.0,658.0,809.0,1187.0,1890.0,1531.0,713.0,894.0,432.0,43.0,34.0,270.0,105.0,12.0,166.0,384.0,245.0,118.0,958.0,616.0,2395.0,259.0,40.0,431.0,21.0,309.0,382.0,437.0,404.0,130.0,193.0,111.0,100.0,343.0,427.0,387.0,285.0,26.0,837.0,465.0
1025,59.0,170.0,185.0,192.0,429.0,29.0,835.0,297.0,1006.0,176.0,898.0,169.0,647.0,392.0,752.0,1100.0,624.0,643.0,184.0,941.0,654.0,634.0,474.0,465.0,785.0,434.0,1464.0,1458.0,801.0,1496.0,242.0,2345.0,143.0,197.0,260.0,300.0,176.0,601.0,351.0,40.0,297.0,669.0,85.0,538.0,64.0,182.0,1140.0,299.0,588.0,258.0,510.0,284.0,266.0,135.0,366.0,763.0,501.0,893.0,763.0,1304.0,740.0,1584.0
1027,31.0,135.0,161.0,60.0,8.0,1.0,678.0,91.0,234.0,66.0,284.0,5.0,18.0,8.0,224.0,195.0,89.0,361.0,87.0,8.0,166.0,61.0,411.0,8.0,46.0,21.0,1210.0,327.0,63.0,161.0,554.0,1041.0,39.0,229.0,303.0,77.0,126.0,90.0,421.0,81.0,103.0,318.0,9.0,51.0,8609.0,90.0,27.0,70.0,410.0,65.0,155.0,212.0,23.0,81.0,34.0,497.0,279.0,51.0,197.0,12.0,141.0,542.0
1035,2.0,3.0,13.0,3.0,4.0,0.0,17.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,1.0,4.0,11.0,6.0,2.0,3.0,4.0,16.0,19.0,5.0,2.0,6.0,4.0,3.0,3.0,12.0,3.0,4.0,6.0,5.0,2.0,9.0,3.0,2.0,8.0,19.0,3.0,8.0,18.0,7.0,4.0,3.0,14.0,3.0,5.0,3.0,4.0,4.0,2.0,7.0,4.0,3.0,10.0
1038,75.0,100.0,515.0,127.0,35.0,3.0,69.0,252.0,91.0,271.0,359.0,7.0,274.0,7.0,447.0,991.0,205.0,729.0,109.0,12.0,197.0,531.0,138.0,78.0,94.0,539.0,136.0,958.0,61.0,264.0,173.0,107.0,607.0,270.0,126.0,22.0,291.0,390.0,58.0,530.0,32.0,208.0,20.0,1424.0,2132.0,8.0,466.0,225.0,567.0,342.0,358.0,111.0,631.0,425.0,346.0,161.0,275.0,12.0,68.0,55.0,78.0,26.0
