strain_id,A_MTX_Fluconazole.PMC1_CTR2,A_MTX_Fluconazole.PLM2_SNA3,A_MTX_Fluconazole.ERV25_ERG5,A_MTX_Fluconazole.ERV25_UIP4,A_MTX_Fluconazole.HNM1_TPO4,A_MTX_Fluconazole.PLM2_HNM1,A_MTX_Fluconazole.RET2_SNA3,A_MTX_Fluconazole.ERG11_ERV25,A_MTX_Fluconazole.ALO1_UIP4,A_MTX_Fluconazole.SRO9_GIS2,A_MTX_Fluconazole.ADE17_HYR1,A_MTX_Fluconazole.ERV25_RBD2,A_MTX_Fluconazole.SSH1_ERV25,A_MTX_Fluconazole.MID2_TPO2,A_MTX_Fluconazole.TPO1_TPO2,A_MTX_Fluconazole.HNM1_RBD2,A_MTX_Fluconazole.SNA4_GTR2,A_MTX_Fluconazole.ERG11_PIS1,A_MTX_Fluconazole.FMP45_MEP1,A_MTX_Fluconazole.TPO1_MID2,A_MTX_Fluconazole.SRO9_SGN1,A_MTX_Fluconazole.SSH1_ERG11,A_MTX_Fluconazole.RET2_EMP70,A_MTX_Fluconazole.FMP45_MID2,A_MTX_Fluconazole.GTR1_SLM4,A_MTX_Fluconazole.ADE17_GIS2,A_MTX_Fluconazole.MID2_WSC2,A_MTX_Fluconazole.MID2_TPO4,A_MTX_Fluconazole.ALO1_ADE17,A_MTX_Fluconazole.ERG11_ORM2,A_MTX_Fluconazole.noPPI_reference,A_MTX_Fluconazole.RET2_EMP47,A_MTX_Fluconazole.ERV25_ORM2,A_MTX_Fluconazole.HNM1_MAM33,A_MTX_Fluconazole.HUG1_ALO1,A_MTX_Fluconazole.DHH1_LSM3,A_MTX_Fluconazole.HNM1_TPO2,A_MTX_Fluconazole.ERG11_TPO4,A_MTX_Fluconazole.ERV25_PIS1,A_MTX_Fluconazole.MID2_RSN1,A_MTX_Fluconazole.HNM1_ERG11,A_MTX_Fluconazole.MID2_PIN2,A_MTX_Fluconazole.HUG1_PGM2,A_MTX_Fluconazole.FMP45_HNM1,A_MTX_Fluconazole.TPO1_TCB2,A_MTX_Fluconazole.ERV25_EMP47,A_MTX_Fluconazole.ALO1_HYR1,A_MTX_Fluconazole.SRO9_DHH1,A_MTX_Fluconazole.HUG1_ADE17,A_MTX_Fluconazole.ERG11_HYR1,A_MTX_Fluconazole.SSH1_ORM2,A_MTX_Fluconazole.PMC1_GTR2,A_MTX_Fluconazole.HNM1_TPO1,A_MTX_Fluconazole.ERG11_ERG5,A_MTX_Fluconazole.ERG11_ACF2,A_MTX_Fluconazole.SNA4_VAC8,A_MTX_Fluconazole.HNM1_MID2,A_MTX_Fluconazole.MID2_MAM33,A_MTX_Fluconazole.SSH1_PIS1,A_MTX_Fluconazole.ADE17_PGM2,A_MTX_Fluconazole.ERG27_ACF2,A_MTX_Fluconazole.ERG11_MID2
1007,8.0,0.0,39.0,9.0,1.0,2.0,4.0,489.0,1.0,19.0,1.0,1.0,1.0,0.0,2.0,2.0,5.0,5.0,7.0,6.0,12.0,33.0,6.0,4.0,7.0,1.0,4.0,6.0,3.0,21.0,0.0,9.0,11.0,11.0,5.0,12.0,0.0,40.0,12.0,2.0,8.0,17.0,3.0,1.0,0.0,35.0,3.0,9.0,6.0,292.0,0.0,4.0,26.0,136.0,5.0,3.0,8.0,1.0,9.0,1.0,10.0,41.0
1013,289.0,1.0,0.0,24.0,0.0,37.0,2.0,1.0,0.0,76.0,0.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,5.0,50.0,0.0,2.0,16.0,32.0,0.0,4.0,0.0,1.0,3.0,32.0,7.0,2.0,1.0,2.0,1.0,4.0,2.0,10.0,3.0,17.0,7.0,93.0,2.0,1.0,0.0,0.0,10.0,4.0,5.0,3.0,1.0,29.0,2.0,1.0,1.0,2.0,3.0
1016,1.0,0.0,107.0,0.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,2.0,16.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
1018,323.0,6.0,19.0,490.0,498.0,227.0,14.0,41.0,239.0,624.0,14.0,64.0,1671.0,622.0,6.0,857.0,142.0,104.0,64.0,15.0,150.0,161.0,20.0,419.0,69.0,114.0,24.0,53.0,212.0,245.0,55.0,60.0,575.0,141.0,147.0,4733.0,196.0,23774.0,98.0,78.0,23.0,816.0,2250.0,144.0,7.0,27106.0,657.0,2437.0,47.0,122.0,16.0,589.0,19.0,589.0,6.0,22.0,224.0,28.0,53.0,5.0,598.0,200.0
1020,95.0,11.0,30.0,3.0,20.0,223.0,2.0,3.0,7.0,43.0,3.0,4.0,6.0,19.0,71.0,5.0,6.0,229.0,2.0,3.0,10.0,4.0,2.0,7.0,18.0,9.0,13.0,24.0,17.0,8.0,0.0,7.0,6.0,0.0,264.0,37.0,1.0,31.0,4.0,14.0,48.0,53.0,64.0,21.0,0.0,3469.0,71.0,43.0,5.0,120.0,1.0,129.0,1.0,110.0,3.0,7.0,165.0,2.0,7.0,1.0,4.0,1628.0
1025,27.0,18.0,17.0,89.0,110.0,48.0,9.0,253.0,29.0,129.0,15.0,22.0,24.0,38.0,6.0,7.0,4.0,384.0,26.0,11.0,28.0,31.0,19.0,22.0,35.0,21.0,14.0,32.0,7.0,6.0,17.0,11.0,30.0,33.0,13.0,25.0,21.0,46.0,197.0,99.0,51.0,53.0,26.0,49.0,2.0,36.0,92.0,17.0,12.0,48.0,10.0,16.0,103.0,20.0,10.0,18.0,43.0,6.0,38.0,2.0,12.0,77.0
1027,4.0,0.0,106.0,39.0,3.0,2.0,12.0,2.0,0.0,880.0,27.0,1.0,23.0,5.0,0.0,4.0,39.0,5232.0,37.0,7.0,3.0,0.0,1.0,8.0,5.0,46.0,4.0,33.0,0.0,11.0,1.0,4.0,60.0,8.0,7.0,8.0,2.0,12.0,11.0,6.0,3.0,14.0,0.0,3.0,1.0,15.0,5.0,4.0,1.0,30.0,0.0,0.0,2.0,740.0,18.0,38.0,19.0,1.0,7.0,33.0,0.0,211.0
1035,38.0,12.0,24.0,25.0,74.0,31.0,3.0,116.0,31.0,44.0,28.0,18.0,21.0,27.0,11.0,8.0,28.0,21.0,43.0,7.0,14.0,15.0,8.0,18.0,8.0,38.0,12.0,11.0,1.0,8.0,27.0,14.0,6.0,45.0,16.0,37.0,16.0,31.0,72.0,58.0,42.0,24.0,24.0,54.0,2.0,4.0,54.0,21.0,8.0,1.0,34.0,7.0,63.0,20.0,9.0,32.0,17.0,9.0,109.0,10.0,17.0,45.0
1038,1.0,3.0,0.0,1.0,4.0,1.0,3.0,0.0,16.0,4.0,2.0,2.0,3.0,4.0,10.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,9.0,19.0,3.0,4.0,2.0,4.0,8.0,3.0,2.0,11.0,7.0,4.0,20.0,6.0,2.0,1.0,0.0,3.0,18.0,1.0,7.0,5.0,28.0,2.0,0.0,2.0,4.0,1.0,2.0,43.0,14.0,2.0,54.0,33.0,1.0,0.0,0.0,1.0,0.0
1040,49.0,3.0,13.0,10.0,33.0,24.0,10.0,65.0,18.0,27.0,8.0,25.0,21.0,27.0,11.0,9.0,3.0,19.0,10.0,7.0,5.0,4.0,23.0,7.0,6.0,8.0,6.0,17.0,6.0,8.0,13.0,29.0,13.0,11.0,36.0,24.0,1.0,35.0,24.0,43.0,175.0,23.0,58.0,22.0,9.0,70.0,26.0,19.0,19.0,60.0,27.0,21.0,22.0,9.0,9.0,16.0,20.0,8.0,26.0,1.0,18.0,52.0
