strain_id,A_MTX_noDrug.FMP45_HNM1,A_MTX_noDrug.HNM1_ERG11,A_MTX_noDrug.ERV25_EMP47,A_MTX_noDrug.HNM1_RBD2,A_MTX_noDrug.ERG11_TPO4,A_MTX_noDrug.ERG27_ACF2,A_MTX_noDrug.ERV25_RBD2,A_MTX_noDrug.ADE17_GIS2,A_MTX_noDrug.ERV25_ERG5,A_MTX_noDrug.MID2_TPO4,A_MTX_noDrug.ERG11_PIS1,A_MTX_noDrug.ERG11_ACF2,A_MTX_noDrug.ERG11_ORM2,A_MTX_noDrug.ERV25_UIP4,A_MTX_noDrug.MID2_RSN1,A_MTX_noDrug.RET2_EMP70,A_MTX_noDrug.FMP45_MID2,A_MTX_noDrug.ALO1_ADE17,A_MTX_noDrug.HNM1_MAM33,A_MTX_noDrug.SNA4_VAC8,A_MTX_noDrug.SRO9_DHH1,A_MTX_noDrug.MID2_PIN2,A_MTX_noDrug.HNM1_TPO4,A_MTX_noDrug.HNM1_TPO1,A_MTX_noDrug.ALO1_HYR1,A_MTX_noDrug.FMP45_MEP1,A_MTX_noDrug.SRO9_GIS2,A_MTX_noDrug.HUG1_ADE17,A_MTX_noDrug.GTR1_SLM4,A_MTX_noDrug.SSH1_ORM2,A_MTX_noDrug.HNM1_TPO2,A_MTX_noDrug.noPPI_reference,A_MTX_noDrug.RET2_EMP47,A_MTX_noDrug.SSH1_ERG11,A_MTX_noDrug.HUG1_PGM2,A_MTX_noDrug.MID2_WSC2,A_MTX_noDrug.ERG11_MID2,A_MTX_noDrug.MID2_TPO2,A_MTX_noDrug.ERG11_HYR1,A_MTX_noDrug.HNM1_MID2,A_MTX_noDrug.ERG11_ERG5,A_MTX_noDrug.HUG1_ALO1,A_MTX_noDrug.PMC1_GTR2,A_MTX_noDrug.PMC1_CTR2,A_MTX_noDrug.ERV25_PIS1,A_MTX_noDrug.SSH1_PIS1,A_MTX_noDrug.MID2_MAM33,A_MTX_noDrug.RET2_SNA3,A_MTX_noDrug.PLM2_HNM1,A_MTX_noDrug.ADE17_PGM2,A_MTX_noDrug.SSH1_ERV25,A_MTX_noDrug.SRO9_SGN1,A_MTX_noDrug.PLM2_SNA3,A_MTX_noDrug.ERG11_ERV25,A_MTX_noDrug.DHH1_LSM3,A_MTX_noDrug.TPO1_TPO2,A_MTX_noDrug.ALO1_UIP4,A_MTX_noDrug.SNA4_GTR2,A_MTX_noDrug.ERV25_ORM2,A_MTX_noDrug.TPO1_TCB2,A_MTX_noDrug.ADE17_HYR1,A_MTX_noDrug.TPO1_MID2
1007,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,16.0,0.0,13.0,0.0,26.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
1013,16.0,46.0,5.0,1.0,5.0,34.0,6.0,1.0,44.0,0.0,12.0,3.0,4.0,186.0,1.0,2.0,23.0,482.0,50.0,51.0,48.0,70.0,1.0,54.0,17973.0,42.0,4.0,671.0,4.0,0.0,113.0,43.0,2.0,46.0,230.0,1.0,14.0,0.0,1.0,6.0,3.0,73.0,76.0,206.0,102.0,0.0,28.0,1.0,29.0,3.0,20.0,113.0,3.0,49.0,12.0,8.0,17.0,34.0,1.0,15.0,2.0,3.0
1018,219.0,361.0,4371.0,33.0,3783.0,2134.0,95.0,57.0,216.0,35.0,699.0,806.0,2224.0,1316.0,45.0,96.0,560.0,620.0,205.0,24.0,28.0,371.0,174.0,38.0,228.0,96.0,60.0,167.0,190.0,258.0,126.0,2864.0,46.0,195.0,11410.0,97.0,3279.0,29.0,44.0,399.0,829.0,477.0,815.0,577.0,73.0,109.0,542.0,32.0,703.0,84.0,799.0,918.0,13840.0,1083.0,623.0,25.0,2910.0,124.0,896.0,181.0,22.0,29.0
1020,188.0,1595.0,3161.0,38.0,5192.0,213.0,62.0,146.0,2056.0,65.0,3076.0,933.0,194.0,628.0,52.0,63.0,847.0,1525.0,28.0,37.0,71.0,4242.0,401.0,66.0,284.0,129.0,168.0,2764.0,167.0,86.0,456.0,226.0,85.0,188.0,4951.0,8943.0,12713.0,32.0,393.0,2555.0,1849.0,6588.0,824.0,1244.0,81.0,10855.0,285.0,35.0,215.0,62.0,659.0,1007.0,94.0,938.0,191.0,467.0,2041.0,219.0,672.0,435.0,28.0,1915.0
1025,15.0,20.0,18.0,14.0,44.0,10.0,2.0,38.0,8.0,11.0,18.0,7.0,7.0,44.0,7.0,7.0,16.0,7.0,44.0,8.0,9.0,152.0,9.0,32.0,41.0,5.0,41.0,12.0,18.0,5.0,62.0,1.0,15.0,6.0,14.0,36.0,63.0,67.0,17.0,12.0,114.0,4.0,9.0,24.0,5012.0,10.0,12.0,3.0,6.0,3.0,9.0,124.0,33.0,474.0,23.0,2.0,7.0,8.0,13.0,6.0,6.0,3.0
1027,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,13.0,0.0,5.0,0.0,98.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,14.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
1035,12.0,35.0,33.0,3.0,34.0,74.0,52.0,17.0,54.0,7.0,15.0,35.0,20.0,50.0,5.0,12.0,39.0,32.0,47.0,23.0,9.0,216.0,15.0,22.0,59.0,22.0,18.0,77.0,37.0,29.0,77.0,21.0,25.0,28.0,61.0,21.0,116.0,9.0,25.0,23.0,9.0,64.0,70.0,117.0,45.0,67.0,94.0,19.0,13.0,28.0,18.0,84.0,33.0,46.0,157.0,11.0,14.0,35.0,58.0,50.0,5.0,14.0
1038,402.0,266.0,372.0,10.0,1632.0,63.0,22.0,33.0,538.0,13.0,289.0,15.0,146.0,526.0,4.0,4.0,1442.0,802.0,125.0,3092.0,5.0,645.0,243.0,536.0,49.0,45.0,11.0,25.0,56.0,93.0,267.0,52.0,6.0,393.0,5.0,3.0,708.0,5.0,212.0,775.0,353.0,175.0,38.0,108.0,24.0,21.0,201.0,5.0,56.0,54.0,364.0,29.0,52.0,437.0,736.0,8.0,171.0,107.0,793.0,17.0,14.0,40.0
1040,12.0,13.0,27.0,5.0,34.0,10.0,9.0,20.0,35.0,2.0,10.0,13.0,20.0,18.0,2.0,3.0,14.0,12.0,23.0,15.0,1.0,71.0,7.0,15.0,31.0,11.0,2.0,18.0,23.0,13.0,24.0,9.0,7.0,13.0,15.0,3.0,65.0,3.0,8.0,8.0,50.0,9.0,18.0,14.0,24.0,13.0,25.0,2.0,11.0,20.0,19.0,47.0,28.0,69.0,36.0,5.0,13.0,29.0,56.0,3.0,4.0,3.0
1046,4.0,3.0,5.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,2.0,13.0,0.0,6.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,174.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0
1050,8.0,25.0,13.0,3.0,201.0,34.0,6.0,9.0,27.0,5.0,95.0,135.0,16.0,4.0,4.0,4.0,13.0,9.0,4.0,11.0,7.0,47.0,1.0,61.0,16.0,5.0,7.0,26.0,16.0,6.0,9.0,7.0,3.0,34.0,89.0,52.0,378.0,0.0,72.0,32.0,57.0,168.0,8.0,18.0,15.0,18.0,21.0,5.0,16.0,4.0,10.0,40.0,19.0,7.0,38.0,1.0,9.0,11.0,18.0,2.0,1.0,1.0
1065,2.0,6.0,18.0,1.0,238.0,5.0,3.0,0.0,137.0,3.0,82.0,20.0,8.0,3.0,1.0,1.0,2.0,10.0,4.0,4.0,1.0,26.0,2.0,3.0,10.0,6.0,3.0,9.0,5.0,2.0,4.0,46.0,3.0,21.0,4.0,1.0,5.0,0.0,28.0,6.0,67.0,1.0,11.0,30.0,1.0,3.0,9.0,1.0,0.0,5.0,0.0,57.0,2.0,11.0,112.0,34.0,182.0,24.0,6.0,12.0,1.0,45.0
1069,1213.0,1995.0,740.0,95.0,636.0,31303.0,233.0,274.0,3050.0,45.0,366.0,256.0,421.0,1527.0,45.0,390.0,10404.0,213.0,32116.0,11462.0,102.0,6364.0,13416.0,16629.0,2930.0,1153.0,215.0,4781.0,520.0,412.0,31856.0,502.0,325.0,3848.0,14220.0,2854.0,7337.0,116.0,474.0,1171.0,708.0,3584.0,1707.0,1229.0,506.0,39590.0,8491.0,196.0,1894.0,380.0,2240.0,641.0,224.0,588.0,1602.0,4172.0,1266.0,6490.0,519.0,810.0,221.0,2081.0
107,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,25.0,4.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,14.0,0.0,2.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
113,9.0,7.0,18.0,9.0,10.0,74.0,30.0,9.0,36.0,4.0,86.0,88.0,5.0,0.0,11.0,5.0,66.0,8.0,0.0,0.0,2.0,1590.0,15.0,13.0,0.0,9.0,13.0,2.0,9.0,960.0,3.0,3826.0,3.0,11.0,10.0,26.0,366.0,15.0,11.0,2.0,22.0,3.0,34.0,1.0,2.0,36.0,103.0,2.0,15.0,1.0,3.0,16.0,12.0,6.0,93.0,48.0,601.0,11.0,446.0,3.0,17.0,3.0
119,5.0,4.0,9.0,4.0,8.0,3.0,0.0,7.0,3.0,1.0,4.0,0.0,9.0,4.0,4.0,1.0,6.0,3.0,8.0,5.0,5.0,41.0,5.0,4.0,3.0,1.0,9.0,3.0,11.0,0.0,4.0,0.0,1.0,6.0,4.0,46.0,22.0,6.0,7.0,3.0,5.0,2.0,2.0,1.0,1.0,5.0,7.0,1.0,4.0,1.0,3.0,8.0,7.0,5.0,17.0,1.0,5.0,12.0,3.0,2.0,3.0,0.0
124,30.0,63.0,20.0,7.0,408.0,3.0,16.0,5.0,161.0,5.0,376.0,176.0,190.0,587.0,6.0,28.0,15.0,180.0,216.0,4.0,4.0,24.0,193.0,312.0,14.0,24.0,3.0,155.0,5.0,20.0,288.0,118.0,12.0,347.0,3446.0,3.0,423.0,2.0,178.0,91.0,39.0,639.0,418.0,783.0,9.0,7.0,137.0,5.0,14.0,4.0,261.0,62.0,8.0,357.0,154.0,540.0,827.0,23.0,91.0,98.0,2.0,220.0
132,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,35.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2.0,72.0,1.0,152.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0,2.0,0.0,13.0,0.0,429.0,5.0,0.0,3.0,4.0,14.0,1.0,1.0,0.0
136,2.0,0.0,4.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0
14,440.0,1470.0,375.0,14.0,4804.0,1460.0,23.0,63.0,747.0,35.0,2822.0,2865.0,1290.0,34.0,15.0,29.0,290.0,58.0,256.0,48.0,28.0,2324.0,199.0,181.0,21.0,163.0,48.0,507.0,172.0,608.0,279.0,244.0,40.0,780.0,1266.0,20.0,5025.0,9.0,1061.0,532.0,788.0,354.0,368.0,121.0,785.0,99.0,957.0,24.0,597.0,66.0,499.0,591.0,5707.0,1240.0,496.0,16.0,66.0,350.0,1803.0,89.0,19.0,21.0
146,140.0,1616.0,308.0,77.0,2847.0,181.0,646.0,161.0,3767.0,81.0,1336.0,65.0,1568.0,208.0,60.0,42.0,252.0,331.0,177.0,912.0,111.0,4078.0,1708.0,929.0,339.0,117.0,143.0,99.0,294.0,696.0,2910.0,57.0,76.0,2133.0,160.0,313.0,7079.0,69.0,714.0,2478.0,2050.0,115.0,513.0,175.0,150.0,130.0,147.0,27.0,97.0,93.0,1852.0,2504.0,640.0,2337.0,4065.0,1913.0,200.0,798.0,2329.0,101.0,76.0,656.0
15,10.0,34.0,25.0,5.0,37.0,310.0,6.0,1.0,92.0,3.0,25.0,7.0,989.0,158.0,5.0,18.0,16.0,3377.0,78.0,7.0,2.0,210.0,28.0,5.0,94.0,9.0,2.0,423.0,10.0,198.0,21.0,95.0,12.0,67.0,702.0,6.0,52.0,0.0,21.0,14.0,11.0,356.0,28.0,46.0,7.0,132.0,102.0,6.0,64.0,25.0,40.0,11.0,22.0,215.0,16.0,406.0,47.0,61.0,536.0,79.0,5.0,97.0
151,1.0,2.0,7.0,2.0,8.0,0.0,1.0,7.0,0.0,2.0,6.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,25.0,1.0,0.0,3.0,1.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,20.0,20.0,0.0,6.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,4.0,1.0,16.0,3.0,0.0,3.0,4.0,1.0,2.0,1.0,1.0
17,4.0,2.0,8.0,2.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,3.0,20.0,1.0,2.0,3.0,5.0,7.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,5.0,2.0,10.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,4.0,5.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,4.0,3.0
171,7.0,50.0,20.0,6.0,33.0,6.0,3.0,9.0,35.0,3.0,28.0,171.0,22.0,96.0,1.0,6.0,16.0,21.0,6.0,173.0,1.0,54.0,6.0,2.0,13.0,16.0,1.0,27.0,592.0,7.0,28.0,4.0,4.0,14.0,193.0,6.0,85.0,0.0,22.0,28.0,27.0,46.0,16.0,9.0,8.0,17.0,13.0,5.0,5.0,6.0,13.0,54.0,20.0,20.0,32.0,6.0,10.0,22.0,210.0,9.0,5.0,5.0
17_2,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,62.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,19.0,0.0,2.0,0.0,21.0,0.0,0.0,13.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,29.0,2.0,0.0,1.0,0.0,40.0,3.0,1.0,0.0
180_2,2.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,4.0,2.0,31.0,1.0,18.0,1.0,2.0,2.0,0.0,8.0,1.0,0.0,1.0,16.0,0.0,3.0,4.0,4.0,8.0,1.0,11.0,19.0,4.0,2.0,0.0,5.0,3.0,22.0,33.0,0.0,68.0,7.0,35.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,1.0,7.0,26.0,66.0,10.0,222.0,15.0,2.0,0.0,4.0,23.0,2.0,4.0,0.0
185,9.0,24.0,9.0,0.0,30.0,23.0,4.0,2.0,29.0,2.0,14.0,17.0,15.0,7.0,0.0,0.0,21.0,27.0,14.0,3.0,2.0,60.0,7.0,9.0,18.0,7.0,2.0,5.0,30.0,8.0,22.0,5.0,1.0,16.0,18.0,19.0,152.0,3.0,5.0,34.0,11.0,7.0,21.0,13.0,19.0,7.0,12.0,1.0,12.0,2.0,16.0,12.0,20.0,36.0,14.0,4.0,13.0,9.0,24.0,8.0,1.0,8.0
187,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,14.0,68.0,13.0,2.0,14.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,97.0,0.0,3.0,1.0,2.0,28.0,0.0,0.0,1.0
