strain_id,A_MTX_Metformin.RET2_SNA3,A_MTX_Metformin.HNM1_RBD2,A_MTX_Metformin.GTR1_SLM4,A_MTX_Metformin.ERG11_ORM2,A_MTX_Metformin.ERV25_ERG5,A_MTX_Metformin.SSH1_PIS1,A_MTX_Metformin.ADE17_PGM2,A_MTX_Metformin.FMP45_HNM1,A_MTX_Metformin.TPO1_TCB2,A_MTX_Metformin.HUG1_ADE17,A_MTX_Metformin.FMP45_MID2,A_MTX_Metformin.HNM1_TPO2,A_MTX_Metformin.ERG11_ERG5,A_MTX_Metformin.SSH1_ORM2,A_MTX_Metformin.FMP45_MEP1,A_MTX_Metformin.RET2_EMP70,A_MTX_Metformin.ERG11_MID2,A_MTX_Metformin.ERG11_TPO4,A_MTX_Metformin.ALO1_ADE17,A_MTX_Metformin.TPO1_TPO2,A_MTX_Metformin.SNA4_GTR2,A_MTX_Metformin.SSH1_ERV25,A_MTX_Metformin.HNM1_MID2,A_MTX_Metformin.PMC1_CTR2,A_MTX_Metformin.ERG11_ACF2,A_MTX_Metformin.SRO9_GIS2,A_MTX_Metformin.HNM1_ERG11,A_MTX_Metformin.PLM2_SNA3,A_MTX_Metformin.HNM1_TPO4,A_MTX_Metformin.ERG11_HYR1,A_MTX_Metformin.MID2_PIN2,A_MTX_Metformin.noPPI_reference,A_MTX_Metformin.ERV25_UIP4,A_MTX_Metformin.ADE17_HYR1,A_MTX_Metformin.RET2_EMP47,A_MTX_Metformin.MID2_WSC2,A_MTX_Metformin.DHH1_LSM3,A_MTX_Metformin.SRO9_DHH1,A_MTX_Metformin.SSH1_ERG11,A_MTX_Metformin.ERV25_PIS1,A_MTX_Metformin.ERV25_ORM2,A_MTX_Metformin.HNM1_MAM33,A_MTX_Metformin.MID2_MAM33,A_MTX_Metformin.SNA4_VAC8,A_MTX_Metformin.MID2_TPO2,A_MTX_Metformin.ERG11_PIS1,A_MTX_Metformin.ALO1_HYR1,A_MTX_Metformin.ERV25_RBD2,A_MTX_Metformin.HUG1_ALO1,A_MTX_Metformin.PLM2_HNM1,A_MTX_Metformin.ADE17_GIS2,A_MTX_Metformin.SRO9_SGN1,A_MTX_Metformin.MID2_TPO4,A_MTX_Metformin.TPO1_MID2,A_MTX_Metformin.HNM1_TPO1,A_MTX_Metformin.ERG27_ACF2,A_MTX_Metformin.MID2_RSN1,A_MTX_Metformin.ALO1_UIP4,A_MTX_Metformin.PMC1_GTR2,A_MTX_Metformin.ERV25_EMP47,A_MTX_Metformin.HUG1_PGM2,A_MTX_Metformin.ERG11_ERV25
1005,1.0,0.0,2.0,49.0,26.0,2.0,2.0,1.0,0.0,1.0,0.0,18.0,93.0,5.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,2.0,45.0,0.0,0.0,5.0,22.0,5.0,0.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,7.0,24.0,9.0,1.0,1.0,2.0,7.0,2.0,0.0,0.0,0.0,1.0,303,8.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,14.0
1007,1.0,1.0,3.0,21.0,44.0,3.0,3.0,2.0,0.0,2.0,2.0,52.0,249.0,0.0,2.0,1.0,92.0,537.0,4.0,3.0,9.0,32.0,65.0,1.0,0.0,17.0,16.0,1.0,54.0,151.0,4.0,0.0,7.0,5.0,4.0,1.0,33.0,75.0,29.0,9.0,10.0,7.0,2.0,1.0,6.0,32.0,11.0,0.0,0.0,0.0,7.0,1082,16.0,3.0,193.0,0.0,2.0,23.0,5.0,17.0,3.0,30.0
1016,1.0,0.0,4.0,5.0,2.0,3.0,3.0,1.0,3.0,27.0,1.0,14.0,27.0,3.0,2.0,0.0,0.0,10.0,16.0,7.0,11.0,0.0,1.0,3.0,4.0,57.0,0.0,1.0,0.0,4.0,3.0,2.0,34.0,0.0,0.0,13.0,22.0,9.0,7.0,7.0,131.0,5.0,3.0,0.0,3.0,7.0,27.0,2.0,7.0,0.0,7.0,696,6.0,5.0,6.0,1.0,12.0,14.0,5.0,4.0,10.0,9.0
1018,11.0,555.0,98.0,784.0,184.0,39.0,46.0,220.0,16.0,34.0,1123.0,111.0,572.0,104.0,115.0,17.0,548.0,2360.0,607.0,10.0,585.0,742.0,364.0,490.0,962.0,321.0,389.0,249.0,84.0,63.0,1270.0,589.0,1595.0,24.0,12.0,28.0,189.0,558.0,855.0,127.0,1017.0,112.0,349.0,26.0,221.0,2152.0,2441.0,28.0,302.0,1737.0,48.0,3971,279.0,16.0,64.0,543.0,681.0,1946.0,870.0,2871.0,92.0,253.0
1020,29.0,1346.0,104.0,108.0,1650.0,1088.0,38.0,960.0,939.0,1893.0,2014.0,2479.0,520.0,397.0,287.0,60.0,1618.0,3167.0,390.0,324.0,181.0,425.0,794.0,1698.0,497.0,698.0,1474.0,63.0,108.0,175.0,3693.0,726.0,2779.0,8.0,19.0,3527.0,265.0,596.0,183.0,151.0,515.0,112.0,1448.0,19.0,561.0,893.0,2226.0,86.0,8627.0,1285.0,47.0,15167,1052.0,991.0,121.0,146.0,4762.0,1348.0,2525.0,4744.0,10059.0,458.0
1035,3.0,3.0,6.0,15.0,7.0,5.0,9.0,5.0,10.0,7.0,1.0,456.0,9.0,6.0,9.0,8.0,3.0,12.0,19.0,4.0,16.0,8.0,3.0,6.0,4.0,12.0,8.0,8.0,16.0,12.0,38.0,1.0,44.0,4.0,8.0,9.0,30.0,10.0,6.0,54.0,12.0,67.0,22.0,4.0,4.0,4.0,40.0,8.0,16.0,4.0,6.0,281,15.0,4.0,23.0,10.0,43.0,17.0,18.0,23.0,15.0,73.0
1038,2.0,54.0,14.0,149.0,321.0,58.0,10.0,95.0,21.0,6.0,282.0,1683.0,102.0,73.0,19.0,4.0,56.0,1449.0,241.0,35.0,88.0,138.0,214.0,52.0,216.0,36.0,351.0,117.0,299.0,61.0,247.0,61.0,2185.0,12.0,0.0,2.0,618.0,156.0,145.0,28.0,397.0,103.0,40.0,191.0,39.0,93.0,249.0,550.0,93.0,39.0,14.0,94,37.0,42.0,1057.0,74.0,77.0,128.0,57.0,160.0,15.0,1149.0
1040,2.0,28.0,24.0,65.0,118.0,33.0,31.0,20.0,8.0,10.0,9.0,632.0,96.0,72.0,13.0,5.0,244.0,196.0,21.0,8.0,52.0,128.0,91.0,8.0,22.0,31.0,67.0,13.0,25.0,57.0,37.0,6.0,40.0,8.0,1.0,10.0,108.0,28.0,87.0,40.0,124.0,36.0,12.0,36.0,30.0,103.0,69.0,22.0,13.0,9.0,26.0,730,51.0,6.0,51.0,10.0,60.0,33.0,11.0,29.0,12.0,154.0
1050,5.0,5.0,11.0,46.0,10.0,7.0,11.0,28.0,2.0,12.0,57.0,28.0,32.0,11.0,5.0,4.0,28.0,174.0,9.0,5.0,12.0,14.0,15.0,25.0,67.0,315.0,6.0,13.0,45.0,52.0,107.0,388.0,37.0,3.0,5.0,12.0,36.0,154.0,51.0,27.0,13.0,14.0,127.0,6.0,30.0,6.0,43.0,11.0,495.0,50.0,8.0,881,28.0,4.0,127.0,95.0,462.0,20.0,17.0,36.0,268.0,94.0
1065,2.0,1.0,4.0,59.0,33.0,2.0,1.0,0.0,38.0,3.0,41.0,95.0,22.0,2.0,32.0,1.0,4.0,63.0,10.0,11.0,50.0,2.0,1.0,54.0,72.0,76.0,18.0,0.0,4.0,4.0,32.0,85.0,46.0,1.0,1.0,0.0,15.0,31.0,35.0,6.0,5.0,9.0,189.0,1.0,51.0,29.0,5.0,2.0,54.0,2.0,5.0,926,3.0,82.0,2.0,19.0,19.0,97.0,44.0,142.0,16.0,8.0
1069,28.0,945.0,48.0,432.0,2316.0,2192.0,647.0,44.0,207.0,761.0,364.0,67956.0,196.0,193.0,350.0,38.0,1558.0,525.0,247.0,166.0,1984.0,1318.0,421.0,154.0,422.0,120.0,1043.0,182.0,9661.0,298.0,1980.0,320.0,2052.0,168.0,54.0,3182.0,1263.0,222.0,2270.0,369.0,122.0,5231.0,3071.0,2540.0,1935.0,210.0,2564.0,57.0,1620.0,1041.0,181.0,1556,1858.0,610.0,4485.0,5961.0,6260.0,192.0,414.0,425.0,1050.0,555.0
113,1.0,1.0,3.0,2.0,22.0,14.0,2.0,9.0,2.0,0.0,1.0,25.0,14.0,588.0,4.0,5.0,99.0,125.0,4.0,7.0,4.0,2.0,3.0,4.0,491.0,21.0,0.0,1.0,4.0,39.0,80.0,359.0,9.0,1.0,5.0,6.0,13.0,12.0,21.0,10.0,49.0,6.0,0.0,1.0,39.0,6.0,3.0,0.0,0.0,1.0,16.0,33,10.0,4.0,6.0,233.0,1414.0,227.0,4.0,3.0,5.0,28.0
124,9.0,0.0,9.0,30.0,23.0,3.0,1.0,52.0,464.0,59.0,14.0,410.0,19.0,44.0,66.0,9.0,152.0,179.0,103.0,175.0,11.0,153.0,15.0,152.0,255.0,24.0,69.0,4.0,425.0,144.0,31.0,145.0,381.0,4.0,3.0,5.0,29.0,62.0,68.0,16.0,132.0,182.0,261.0,0.0,68.0,37.0,11.0,6.0,366.0,343.0,7.0,389,30.0,205.0,185.0,6.0,140.0,299.0,198.0,7.0,362.0,34.0
132,1.0,6.0,5.0,939.0,201.0,9.0,7.0,6.0,2.0,4.0,6.0,736.0,794.0,20.0,6.0,1.0,207.0,716.0,15.0,2.0,38.0,39.0,171.0,9.0,6.0,123.0,70.0,3.0,247.0,318.0,7.0,9.0,9.0,4.0,1.0,0.0,519.0,37.0,102.0,29.0,1545.0,19.0,3.0,46.0,18.0,204.0,17.0,3.0,3.0,4.0,235.0,1076,32.0,88.0,168.0,3.0,2.0,11.0,7.0,23.0,8.0,148.0
14,15.0,203.0,31.0,1490.0,711.0,99.0,40.0,319.0,5.0,1502.0,250.0,1088.0,508.0,357.0,86.0,13.0,725.0,6988.0,35.0,9.0,139.0,397.0,135.0,35.0,6834.0,368.0,369.0,444.0,254.0,725.0,918.0,336.0,101.0,11.0,15.0,12.0,193.0,521.0,511.0,1092.0,724.0,250.0,275.0,175.0,1357.0,568.0,60.0,23.0,421.0,312.0,34.0,2047,449.0,10.0,548.0,105.0,642.0,138.0,189.0,282.0,171.0,1386.0
146,30.0,1460.0,161.0,1035.0,2410.0,3807.0,154.0,452.0,614.0,363.0,812.0,15058.0,983.0,994.0,879.0,52.0,973.0,3201.0,1195.0,256.0,1256.0,1331.0,769.0,776.0,1920.0,1389.0,1626.0,1435.0,4766.0,699.0,7044.0,268.0,3228.0,93.0,58.0,2689.0,2326.0,1386.0,1739.0,978.0,864.0,3270.0,2288.0,612.0,1750.0,705.0,14454.0,1298.0,692.0,1189.0,149.0,17597,1531.0,893.0,3085.0,911.0,5884.0,1488.0,1509.0,2284.0,501.0,2558.0
15,3.0,1.0,6.0,267.0,25.0,51.0,4.0,33.0,162.0,42.0,64.0,171.0,19.0,321.0,15.0,10.0,29.0,20.0,88.0,31.0,80.0,106.0,46.0,58.0,16.0,27.0,44.0,9.0,86.0,22.0,256.0,79.0,363.0,3.0,4.0,1.0,10.0,60.0,192.0,9.0,909.0,43.0,100.0,3.0,147.0,4.0,215.0,24.0,300.0,116.0,3.0,581,15.0,226.0,13.0,72.0,102.0,311.0,49.0,18.0,441.0,165.0
