strain_id,A_MTX_5-FC.ERV25_EMP47,A_MTX_5-FC.ERG11_ACF2,A_MTX_5-FC.SSH1_PIS1,A_MTX_5-FC.HNM1_TPO4,A_MTX_5-FC.ADE17_HYR1,A_MTX_5-FC.FMP45_MID2,A_MTX_5-FC.GTR1_SLM4,A_MTX_5-FC.ERV25_ORM2,A_MTX_5-FC.HNM1_MAM33,A_MTX_5-FC.TPO1_TCB2,A_MTX_5-FC.HNM1_MID2,A_MTX_5-FC.TPO1_TPO2,A_MTX_5-FC.ERV25_PIS1,A_MTX_5-FC.MID2_PIN2,A_MTX_5-FC.ERG11_MID2,A_MTX_5-FC.FMP45_MEP1,A_MTX_5-FC.DHH1_LSM3,A_MTX_5-FC.MID2_WSC2,A_MTX_5-FC.ADE17_PGM2,A_MTX_5-FC.PMC1_CTR2,A_MTX_5-FC.RET2_EMP47,A_MTX_5-FC.PLM2_SNA3,A_MTX_5-FC.MID2_MAM33,A_MTX_5-FC.FMP45_HNM1,A_MTX_5-FC.ERG11_ORM2,A_MTX_5-FC.ERG11_PIS1,A_MTX_5-FC.ALO1_ADE17,A_MTX_5-FC.RET2_EMP70,A_MTX_5-FC.PMC1_GTR2,A_MTX_5-FC.ERG11_HYR1,A_MTX_5-FC.TPO1_MID2,A_MTX_5-FC.MID2_TPO4,A_MTX_5-FC.ALO1_UIP4,A_MTX_5-FC.ERG11_ERV25,A_MTX_5-FC.SRO9_GIS2,A_MTX_5-FC.SNA4_VAC8,A_MTX_5-FC.ERV25_ERG5,A_MTX_5-FC.noPPI_reference,A_MTX_5-FC.MID2_TPO2,A_MTX_5-FC.SRO9_SGN1,A_MTX_5-FC.ERV25_RBD2,A_MTX_5-FC.HNM1_TPO2,A_MTX_5-FC.HUG1_PGM2,A_MTX_5-FC.HNM1_TPO1,A_MTX_5-FC.ERG11_ERG5,A_MTX_5-FC.HUG1_ALO1,A_MTX_5-FC.HNM1_RBD2,A_MTX_5-FC.ERV25_UIP4,A_MTX_5-FC.MID2_RSN1,A_MTX_5-FC.ERG27_ACF2,A_MTX_5-FC.HNM1_ERG11,A_MTX_5-FC.SSH1_ERG11,A_MTX_5-FC.ERG11_TPO4,A_MTX_5-FC.PLM2_HNM1,A_MTX_5-FC.SSH1_ERV25,A_MTX_5-FC.ALO1_HYR1,A_MTX_5-FC.SNA4_GTR2,A_MTX_5-FC.SSH1_ORM2,A_MTX_5-FC.HUG1_ADE17,A_MTX_5-FC.ADE17_GIS2,A_MTX_5-FC.RET2_SNA3,A_MTX_5-FC.SRO9_DHH1
1007,3.0,0.0,0.0,3.0,0.0,2.0,3.0,9.0,3.0,6.0,1.0,5.0,0.0,0.0,5.0,3.0,26.0,5.0,3.0,0.0,3.0,35.0,16.0,1.0,2.0,9.0,4.0,6.0,7.0,610,4.0,0.0,3.0,38.0,4.0,0.0,7.0,3.0,0.0,11.0,3.0,2.0,2.0,0.0,48.0,0.0,9.0,0.0,1.0,1.0,23.0,1.0,10.0,0.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0
1013,5.0,1.0,0.0,2.0,1.0,234.0,5.0,2.0,0.0,3.0,5.0,6.0,1.0,2.0,5.0,285.0,5.0,0.0,1.0,37.0,0.0,3.0,0.0,11.0,2.0,60.0,165.0,0.0,37.0,24,3.0,7.0,44.0,2.0,1.0,3.0,2.0,47.0,0.0,9.0,3.0,3.0,100.0,2.0,2.0,27.0,3.0,20.0,2.0,2.0,3.0,2.0,2.0,23.0,112.0,62.0,5.0,1.0,20.0,1.0,1.0,26.0
1016,15.0,0.0,3.0,9.0,0.0,6.0,1.0,31.0,2.0,9.0,1.0,12.0,0.0,4.0,2.0,2.0,37.0,16.0,12.0,2.0,0.0,10.0,12.0,0.0,3.0,3.0,1132.0,3.0,2.0,12,2.0,0.0,2.0,2.0,43.0,0.0,0.0,1.0,3.0,69.0,0.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,7.0,1.0,6.0,0.0,0.0,1.0,16.0,2.0,1.0,1.0
1018,2050.0,698.0,35.0,103.0,21.0,1651.0,72.0,826.0,368.0,36.0,265.0,37.0,53.0,215.0,442.0,66.0,4141.0,21.0,23.0,511.0,37.0,1961.0,142.0,230.0,520.0,517.0,218.0,45.0,788.0,316,40.0,201.0,1168.0,87.0,222.0,17.0,218.0,2491.0,119.0,1641.0,76.0,51.0,2677.0,28.0,222.0,628.0,1864.0,851.0,64.0,586.0,193.0,183.0,1398.0,407.0,2098.0,955.0,79.0,85.0,69.0,21.0,43.0,316.0
1020,2591.0,204.0,286.0,447.0,32.0,4717.0,124.0,349.0,38.0,1036.0,1528.0,1349.0,45.0,1093.0,1427.0,384.0,1640.0,166.0,36.0,742.0,53.0,154.0,248.0,628.0,63.0,2082.0,54.0,94.0,1034.0,2798,1560.0,3115.0,1848.0,127.0,394.0,20.0,1684.0,1625.0,700.0,1348.0,101.0,1393.0,9872.0,128.0,490.0,5114.0,411.0,3076.0,1460.0,72.0,1575.0,101.0,3922.0,273.0,1303.0,375.0,170.0,166.0,322.0,35.0,104.0,645.0
1025,12.0,11.0,36.0,4.0,5.0,31.0,30.0,45.0,71.0,8.0,15.0,6.0,9872.0,5.0,51.0,14.0,172.0,2.0,3.0,67.0,56.0,13.0,8.0,20.0,8.0,5.0,5.0,13.0,25.0,375,12.0,7.0,16.0,544.0,64.0,4.0,13.0,4.0,5.0,243.0,16.0,60.0,37.0,89.0,99.0,18.0,10.0,88.0,6.0,8.0,13.0,4.0,66.0,9.0,22.0,61.0,5.0,12.0,10.0,33.0,10.0,7.0
1027,3.0,1.0,0.0,0.0,1.0,4.0,2.0,35.0,3.0,3.0,4.0,1.0,1.0,1.0,31.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,3.0,0.0,2.0,1.0,163,1.0,0.0,0.0,33.0,23.0,0.0,23.0,0.0,2.0,8.0,1.0,2.0,4.0,1.0,42.0,1.0,0.0,7.0,3.0,2.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
1035,38.0,9.0,9.0,19.0,10.0,33.0,30.0,13.0,28.0,12.0,11.0,19.0,36.0,24.0,16.0,42.0,263.0,8.0,6.0,41.0,16.0,9.0,54.0,18.0,12.0,19.0,9.0,42.0,131.0,144,40.0,20.0,35.0,45.0,10.0,13.0,12.0,7.0,14.0,76.0,55.0,31.0,111.0,30.0,21.0,72.0,14.0,34.0,23.0,29.0,11.0,11.0,26.0,17.0,50.0,32.0,23.0,13.0,61.0,14.0,26.0,9.0
1038,198.0,39.0,64.0,672.0,24.0,2661.0,49.0,660.0,110.0,38.0,661.0,80.0,20.0,124.0,465.0,308.0,3578.0,7.0,15.0,38.0,19.0,80.0,43.0,317.0,88.0,358.0,188.0,13.0,34.0,1566,88.0,95.0,351.0,432.0,234.0,1133.0,491.0,193.0,28.0,56.0,497.0,747.0,30.0,1203.0,337.0,80.0,29.0,961.0,12.0,54.0,377.0,370.0,1126.0,96.0,934.0,17.0,186.0,345.0,19.0,17.0,23.0,103.0
1040,23.0,13.0,18.0,16.0,8.0,30.0,21.0,87.0,12.0,10.0,14.0,11.0,10.0,19.0,35.0,20.0,206.0,1.0,4.0,22.0,7.0,4.0,6.0,17.0,11.0,35.0,2.0,12.0,22.0,286,16.0,7.0,13.0,114.0,22.0,17.0,22.0,8.0,6.0,12.0,18.0,9.0,39.0,11.0,71.0,20.0,16.0,23.0,13.0,15.0,13.0,6.0,16.0,13.0,66.0,9.0,19.0,16.0,17.0,14.0,11.0,4.0
