Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
T0_noMTX_noDrug.MID2_TPO4,62183,61372,98.6957850216297,337
T0_noMTX_noDrug.PLM2_SNA3,24738,24099,97.416929420325,332
T0_noMTX_noDrug.MID2_WSC2,55864,55384,99.14077044250323,327
T0_noMTX_noDrug.SNA4_GTR2,42870,42059,98.10823419640774,335
T0_noMTX_noDrug.ALO1_ADE17,61158,60052,98.1915693776775,349
T0_noMTX_noDrug.ERG11_PIS1,40040,39358,98.29670329670328,344
T0_noMTX_noDrug.ERG11_ACF2,67606,66639,98.5696535810431,345
T0_noMTX_noDrug.SRO9_GIS2,14351,14158,98.65514598285834,308
T0_noMTX_noDrug.HNM1_TPO1,28346,27771,97.97149509630988,308
T0_noMTX_noDrug.SRO9_SGN1,29076,28579,98.29068647681936,335
T0_noMTX_noDrug.HUG1_ADE17,20836,20227,97.07717412171242,324
T0_noMTX_noDrug.PLM2_HNM1,64430,63645,98.78162346732888,342
T0_noMTX_noDrug.ERG11_ORM2,9216,9009,97.75390625,322
T0_noMTX_noDrug.HNM1_RBD2,19037,18601,97.70972317066764,311
T0_noMTX_noDrug.ERV25_ERG5,81677,80626,98.71322404103971,351
T0_noMTX_noDrug.PMC1_GTR2,30742,30131,98.01249105458331,329
T0_noMTX_noDrug.HUG1_ALO1,38540,37615,97.59989621172808,331
T0_noMTX_noDrug.SSH1_ERG11,24031,23613,98.26058008405809,330
T0_noMTX_noDrug.ADE17_HYR1,47474,46486,97.91886085014956,329
T0_noMTX_noDrug.ERG27_ACF2,59190,58375,98.62307822267275,325
T0_noMTX_noDrug.ALO1_HYR1,26067,25634,98.33889592204703,314
T0_noMTX_noDrug.HUG1_PGM2,31830,31025,97.47093936537857,332
T0_noMTX_noDrug.SRO9_DHH1,31590,31136,98.56283634061413,328
T0_noMTX_noDrug.MID2_RSN1,34938,34417,98.50878699410384,338
T0_noMTX_noDrug.ERG11_ERV25,5748,5515,95.946416144746,316
T0_noMTX_noDrug.DHH1_LSM3,25995,25381,97.6380073090979,323
T0_noMTX_noDrug.ALO1_UIP4,36800,36193,98.35054347826086,336
T0_noMTX_noDrug.SSH1_ERV25,37041,36512,98.57185281174914,339
T0_noMTX_noDrug.SSH1_PIS1,11011,10864,98.66497139224411,297
T0_noMTX_noDrug.ERG11_TPO4,23843,23564,98.82984523759593,317
T0_noMTX_noDrug.TPO1_TPO2,75649,75064,99.22669169453661,329
T0_noMTX_noDrug.ERG11_ERG5,28322,27822,98.23458795282819,328
T0_noMTX_noDrug.RET2_EMP70,53197,52764,99.18604432580784,297
T0_noMTX_noDrug.ERV25_RBD2,19909,19435,97.61916721080918,323
T0_noMTX_noDrug.ERV25_PIS1,4755,4656,97.91798107255521,250
T0_noMTX_noDrug.FMP45_HNM1,53926,53030,98.33846382079146,347
T0_noMTX_noDrug.HNM1_MAM33,44124,43237,97.98975614178225,320
T0_noMTX_noDrug.noPPI_reference,10583,10293,97.2597562127941,353
T0_noMTX_noDrug.SSH1_ORM2,48959,47965,97.96972977389244,345
T0_noMTX_noDrug.PMC1_CTR2,27003,26617,98.5705292004592,311
T0_noMTX_noDrug.RET2_EMP47,3632,3551,97.76982378854625,265
T0_noMTX_noDrug.TPO1_MID2,57699,57176,99.09357181233644,311
T0_noMTX_noDrug.FMP45_MEP1,34879,34129,97.84970899395051,340
T0_noMTX_noDrug.HNM1_MID2,42760,42012,98.25070159027128,348
T0_noMTX_noDrug.HNM1_TPO2,60729,59572,98.09481466844507,323
T0_noMTX_noDrug.HNM1_ERG11,59325,58422,98.4778761061947,345
T0_noMTX_noDrug.SNA4_VAC8,20478,19923,97.28977439203047,287
T0_noMTX_noDrug.ERV25_EMP47,32239,31788,98.60107323428146,336
T0_noMTX_noDrug.ERG11_MID2,39598,39203,99.0024748724683,342
T0_noMTX_noDrug.ERV25_ORM2,71549,70534,98.58139177346993,343
T0_noMTX_noDrug.ERV25_UIP4,43568,42784,98.20051413881748,337
T0_noMTX_noDrug.ADE17_GIS2,27236,26776,98.3110588926421,292
T0_noMTX_noDrug.TPO1_TCB2,64709,64232,99.26285369886723,329
T0_noMTX_noDrug.HNM1_TPO4,52814,52041,98.5363729314197,324
T0_noMTX_noDrug.ERG11_HYR1,36483,36102,98.95567798700765,339
T0_noMTX_noDrug.FMP45_MID2,72397,71256,98.42396784397144,350
T0_noMTX_noDrug.MID2_MAM33,52893,52147,98.58960542983003,337
T0_noMTX_noDrug.MID2_PIN2,30538,30047,98.39216713602724,348
T0_noMTX_noDrug.MID2_TPO2,32545,32003,98.33461361192195,336
T0_noMTX_noDrug.GTR1_SLM4,83469,82777,99.17094969389834,333
T0_noMTX_noDrug.ADE17_PGM2,22280,21659,97.21274685816877,315
T0_noMTX_noDrug.RET2_SNA3,56277,55848,99.23769923769925,290
