Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
A_noMTX_Metformin.SSH1_PIS1,261838,257761,98.44293036152123,357
A_noMTX_Metformin.HNM1_TPO2,113984,111577,97.88830011229646,346
A_noMTX_Metformin.PLM2_HNM1,146070,144497,98.92311905250907,349
A_noMTX_Metformin.SRO9_DHH1,232149,228712,98.51948533054203,358
A_noMTX_Metformin.FMP45_MEP1,89211,87460,98.03723756039054,350
A_noMTX_Metformin.noPPI_reference,262048,256579,97.91297777506412,361
A_noMTX_Metformin.RET2_EMP47,95809,95058,99.21614879604212,319
A_noMTX_Metformin.MID2_PIN2,373293,363072,97.26193633419325,361
A_noMTX_Metformin.HUG1_PGM2,70571,69188,98.04027149962448,347
A_noMTX_Metformin.RET2_SNA3,81780,80999,99.04499877720714,306
A_noMTX_Metformin.ERG11_ACF2,247360,243689,98.51592820181112,353
A_noMTX_Metformin.SSH1_ERV25,137796,135564,98.38021422973091,345
A_noMTX_Metformin.DHH1_LSM3,171937,168240,97.84979381982936,347
A_noMTX_Metformin.ERG11_MID2,142848,141267,98.89322916666666,350
A_noMTX_Metformin.PMC1_GTR2,113439,111959,98.69533405618878,340
A_noMTX_Metformin.HNM1_MID2,136051,134324,98.73062307517034,335
A_noMTX_Metformin.ERG11_TPO4,107151,105357,98.32572724472939,351
A_noMTX_Metformin.RET2_EMP70,83221,82361,98.96660698621741,318
A_noMTX_Metformin.ERG11_ERG5,101453,99913,98.48205573023961,346
A_noMTX_Metformin.SRO9_GIS2,138809,136018,97.98932345885353,349
A_noMTX_Metformin.ERV25_PIS1,223664,220159,98.43291723299234,341
A_noMTX_Metformin.PMC1_CTR2,91261,89858,98.46265107767832,341
A_noMTX_Metformin.TPO1_TCB2,99945,99087,99.14152784031216,321
A_noMTX_Metformin.ALO1_ADE17,120672,119591,99.10418324051976,324
A_noMTX_Metformin.HUG1_ADE17,146847,141883,96.61961088752238,350
A_noMTX_Metformin.FMP45_HNM1,149458,147677,98.80836087730333,353
A_noMTX_Metformin.SNA4_VAC8,67901,66306,97.6509918852447,331
A_noMTX_Metformin.FMP45_MID2,86320,85358,98.8855421686747,332
A_noMTX_Metformin.HNM1_MAM33,62365,61044,97.88182474144152,345
A_noMTX_Metformin.ADE17_PGM2,66101,65190,98.6218060241146,331
A_noMTX_Metformin.ERV25_UIP4,100197,98251,98.05782608261724,355
A_noMTX_Metformin.ERG11_HYR1,113769,112132,98.5611194613647,345
A_noMTX_Metformin.ERG11_ERV25,103269,101100,97.89966011097232,349
A_noMTX_Metformin.SNA4_GTR2,97132,94738,97.5353127702508,352
A_noMTX_Metformin.TPO1_MID2,89855,88816,98.84369261588114,316
A_noMTX_Metformin.MID2_TPO2,204850,200861,98.05272150353917,358
A_noMTX_Metformin.SSH1_ERG11,242867,237895,97.95278897503572,353
A_noMTX_Metformin.MID2_TPO4,25913,25194,97.22533091498475,345
A_noMTX_Metformin.HNM1_TPO1,108749,106677,98.09469512363333,353
A_noMTX_Metformin.GTR1_SLM4,86986,85517,98.311222495574,344
A_noMTX_Metformin.ERV25_EMP47,136924,134766,98.42394320937163,352
A_noMTX_Metformin.PLM2_SNA3,128447,124831,97.18483109765117,326
A_noMTX_Metformin.HNM1_ERG11,124671,122247,98.05568255648868,349
A_noMTX_Metformin.ALO1_HYR1,109191,107289,98.25809819490617,351
A_noMTX_Metformin.ADE17_GIS2,32024,30715,95.91244066949788,328
A_noMTX_Metformin.SRO9_SGN1,447717,436956,97.59647277186258,360
A_noMTX_Metformin.ERV25_ERG5,268018,263451,98.29600996947966,357
A_noMTX_Metformin.ERG11_ORM2,121188,119777,98.83569330296729,339
A_noMTX_Metformin.TPO1_TPO2,74145,73279,98.83201834243711,338
A_noMTX_Metformin.HNM1_RBD2,51257,50108,97.7583549563962,341
A_noMTX_Metformin.HNM1_TPO4,150138,148512,98.91699636334572,350
A_noMTX_Metformin.ADE17_HYR1,87864,86501,98.44873896021123,347
A_noMTX_Metformin.MID2_MAM33,87597,86681,98.95430208797104,337
A_noMTX_Metformin.ERV25_ORM2,284154,279347,98.30831169013985,359
A_noMTX_Metformin.ALO1_UIP4,82706,81488,98.52731361690809,345
A_noMTX_Metformin.ERG11_PIS1,111482,109874,98.55761468219085,350
A_noMTX_Metformin.SSH1_ORM2,178321,174663,97.9486431771917,358
A_noMTX_Metformin.ERV25_RBD2,123285,121170,98.28446283002799,348
A_noMTX_Metformin.ERG27_ACF2,115299,113467,98.41108769373542,341
A_noMTX_Metformin.HUG1_ALO1,87023,85326,98.04994082024292,344
A_noMTX_Metformin.MID2_WSC2,116606,115229,98.81910021782755,347
A_noMTX_Metformin.MID2_RSN1,259517,255052,98.27949614090792,359
