Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
B_MTX_Trifluoperazine.ERV25_RBD2,78351,77273,98.62414008755472,307
B_MTX_Trifluoperazine.TPO1_TPO2,87743,87161,99.3366992238697,253
B_MTX_Trifluoperazine.HUG1_ADE17,233717,230387,98.5751999212723,328
B_MTX_Trifluoperazine.HUG1_ALO1,81414,80585,98.981747610976,285
B_MTX_Trifluoperazine.MID2_WSC2,66553,65996,99.1630730395324,277
B_MTX_Trifluoperazine.MID2_TPO4,182731,180645,98.85843124592981,279
B_MTX_Trifluoperazine.MID2_MAM33,102718,101904,99.20753908759906,281
B_MTX_Trifluoperazine.SNA4_VAC8,156288,152637,97.66392813267814,319
B_MTX_Trifluoperazine.ERG11_HYR1,34337,33891,98.70110959023793,290
B_MTX_Trifluoperazine.PMC1_GTR2,138087,136953,99.17877859610246,262
B_MTX_Trifluoperazine.ERG11_ORM2,77846,77239,99.22025537599876,298
B_MTX_Trifluoperazine.ERV25_EMP47,250980,248772,99.12024862538847,328
B_MTX_Trifluoperazine.ERG11_ERV25,652407,645870,98.99801810832808,350
B_MTX_Trifluoperazine.ERV25_ERG5,183693,181872,99.00867207786905,321
B_MTX_Trifluoperazine.HNM1_TPO4,109596,108538,99.03463630059491,306
B_MTX_Trifluoperazine.ERG11_MID2,96182,95349,99.13393358424653,320
B_MTX_Trifluoperazine.FMP45_MEP1,200399,198387,98.99600297406673,312
B_MTX_Trifluoperazine.SRO9_SGN1,119055,117113,98.36882113308974,335
B_MTX_Trifluoperazine.ALO1_HYR1,169703,168190,99.10844239642198,314
B_MTX_Trifluoperazine.SRO9_GIS2,88009,86364,98.13087297889989,306
B_MTX_Trifluoperazine.FMP45_MID2,55264,54619,98.83287492762015,283
B_MTX_Trifluoperazine.ALO1_UIP4,104680,103893,99.24818494459305,294
B_MTX_Trifluoperazine.ERG11_TPO4,81808,81060,99.08566399374145,263
B_MTX_Trifluoperazine.ERV25_UIP4,114798,113634,98.98604505304971,303
B_MTX_Trifluoperazine.ERV25_ORM2,64170,63287,98.62396758609943,321
B_MTX_Trifluoperazine.SSH1_ORM2,65408,64662,98.85946673189824,296
B_MTX_Trifluoperazine.ERG27_ACF2,86932,86398,99.38572677495053,240
B_MTX_Trifluoperazine.TPO1_TCB2,4683,4606,98.35575485799701,195
B_MTX_Trifluoperazine.RET2_EMP47,94477,94012,99.50781671729627,215
B_MTX_Trifluoperazine.ADE17_GIS2,128436,126987,98.87181164159583,262
B_MTX_Trifluoperazine.TPO1_MID2,111649,109998,98.52125858717946,235
B_MTX_Trifluoperazine.PLM2_SNA3,83216,82488,99.12516823687753,273
B_MTX_Trifluoperazine.HNM1_MAM33,130185,128914,99.02369704651073,317
B_MTX_Trifluoperazine.HNM1_ERG11,196096,193238,98.54255058746736,300
B_MTX_Trifluoperazine.HNM1_RBD2,102381,99369,97.05804787997772,267
B_MTX_Trifluoperazine.RET2_SNA3,59692,59332,99.39690410775313,205
B_MTX_Trifluoperazine.ERG11_PIS1,93609,92705,99.0342808917946,304
B_MTX_Trifluoperazine.HNM1_TPO2,151689,149790,98.74809643415145,306
B_MTX_Trifluoperazine.ADE17_PGM2,116477,115410,99.08393931849207,266
B_MTX_Trifluoperazine.MID2_TPO2,184468,182453,98.90766962291563,313
B_MTX_Trifluoperazine.MID2_RSN1,91352,90555,99.12755057360539,289
B_MTX_Trifluoperazine.SSH1_ERG11,154617,151881,98.23046624886008,307
B_MTX_Trifluoperazine.ADE17_HYR1,78926,78089,98.93951296150824,307
B_MTX_Trifluoperazine.SSH1_PIS1,138835,138018,99.41153167428962,275
B_MTX_Trifluoperazine.ERV25_PIS1,159335,158213,99.29582326544701,305
B_MTX_Trifluoperazine.PMC1_CTR2,58525,57909,98.94745835113198,266
B_MTX_Trifluoperazine.ERG11_ACF2,141058,140202,99.39315742460548,271
B_MTX_Trifluoperazine.SRO9_DHH1,61245,60411,98.6382561841783,301
B_MTX_Trifluoperazine.SSH1_ERV25,102740,101710,98.99746934008175,268
B_MTX_Trifluoperazine.noPPI_reference,151636,150261,99.09322324513967,303
B_MTX_Trifluoperazine.SNA4_GTR2,94625,93211,98.50568031704096,319
B_MTX_Trifluoperazine.ALO1_ADE17,114485,113929,99.51434685766695,246
B_MTX_Trifluoperazine.RET2_EMP70,85094,84487,99.28667121066115,256
B_MTX_Trifluoperazine.MID2_PIN2,71877,70974,98.74368713218415,309
B_MTX_Trifluoperazine.PLM2_HNM1,105651,104870,99.26077367937833,294
B_MTX_Trifluoperazine.FMP45_HNM1,56690,56030,98.83577350502735,308
B_MTX_Trifluoperazine.GTR1_SLM4,471314,467712,99.23575365891953,327
B_MTX_Trifluoperazine.HNM1_TPO1,117942,115903,98.27118414135761,330
B_MTX_Trifluoperazine.ERG11_ERG5,76225,75356,98.85995408330601,310
B_MTX_Trifluoperazine.DHH1_LSM3,300558,293374,97.60977914412527,335
B_MTX_Trifluoperazine.HUG1_PGM2,73834,72795,98.59278922989408,302
B_MTX_Trifluoperazine.HNM1_MID2,73841,72890,98.71209761514605,280
