Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
B_MTX_5-FC.ALO1_HYR1,187224,185192,98.91466905952228,341
B_MTX_5-FC.SNA4_GTR2,65624,64743,98.65750335243204,287
B_MTX_5-FC.ERV25_UIP4,210461,207234,98.46669929345579,340
B_MTX_5-FC.PLM2_SNA3,55755,54190,97.1930768540938,280
B_MTX_5-FC.PMC1_CTR2,76644,75756,98.84139658681697,289
B_MTX_5-FC.SSH1_PIS1,226913,225450,99.35525950474411,314
B_MTX_5-FC.ALO1_UIP4,124163,122807,98.90788721277676,321
B_MTX_5-FC.ERG11_MID2,274391,272451,99.29297972601142,340
B_MTX_5-FC.noPPI_reference,81975,81275,99.14608112229338,321
B_MTX_5-FC.ERG11_ACF2,65728,65038,98.95021908471276,304
B_MTX_5-FC.ERV25_PIS1,174437,172698,99.00307847532346,319
B_MTX_5-FC.HNM1_MAM33,171261,169051,98.70957193990459,322
B_MTX_5-FC.ADE17_PGM2,98896,97980,99.07377447015047,269
B_MTX_5-FC.TPO1_TCB2,124658,123562,99.12079449373485,280
B_MTX_5-FC.HNM1_TPO1,118941,117070,98.42695117747454,320
B_MTX_5-FC.ERG11_ERG5,73867,73159,99.04152057075555,315
B_MTX_5-FC.ERV25_EMP47,70661,69918,98.94850058731124,303
B_MTX_5-FC.SSH1_ORM2,204703,202910,99.12409686228341,330
B_MTX_5-FC.ADE17_HYR1,70023,69354,99.04459963154963,297
B_MTX_5-FC.GTR1_SLM4,248136,246390,99.29635361253506,334
B_MTX_5-FC.HNM1_RBD2,283142,254913,90.03009090844877,303
B_MTX_5-FC.TPO1_TPO2,171451,170171,99.25343100944292,341
B_MTX_5-FC.ALO1_ADE17,328737,327153,99.51815585102986,294
B_MTX_5-FC.MID2_TPO4,162070,160537,99.05411242055902,314
B_MTX_5-FC.SSH1_ERG11,193167,190930,98.84193469899103,314
B_MTX_5-FC.MID2_TPO2,134558,132500,98.47054801646874,304
B_MTX_5-FC.FMP45_MID2,121120,119018,98.26453104359312,304
B_MTX_5-FC.FMP45_HNM1,213906,211696,98.96683589988126,334
B_MTX_5-FC.HNM1_ERG11,315325,311344,98.73749306271307,324
B_MTX_5-FC.ERV25_ERG5,291691,289396,99.21320849803388,326
B_MTX_5-FC.ERG27_ACF2,242923,240183,98.87207057380321,291
B_MTX_5-FC.HNM1_MID2,489860,484451,98.89580696525539,333
B_MTX_5-FC.ERV25_ORM2,350718,347300,99.02542783660947,345
B_MTX_5-FC.HUG1_ALO1,194575,191926,98.6385712450212,312
B_MTX_5-FC.ERG11_TPO4,75535,74697,98.89058052558417,302
B_MTX_5-FC.SRO9_SGN1,367913,364980,99.20280066211305,347
B_MTX_5-FC.MID2_RSN1,220867,219049,99.17688020392362,317
B_MTX_5-FC.DHH1_LSM3,226876,224011,98.73719564872442,335
B_MTX_5-FC.RET2_SNA3,89228,88330,98.99358945622451,271
B_MTX_5-FC.MID2_PIN2,48444,47591,98.23920402939477,307
B_MTX_5-FC.HNM1_TPO2,118963,117071,98.40958953624236,309
B_MTX_5-FC.RET2_EMP47,145234,144225,99.30525909910902,262
B_MTX_5-FC.ERG11_PIS1,82782,81913,98.95025488632795,297
B_MTX_5-FC.HUG1_PGM2,226383,222504,98.28653211592743,333
B_MTX_5-FC.MID2_MAM33,117228,115769,98.75541679462245,310
B_MTX_5-FC.SRO9_DHH1,90208,89056,98.7229514012061,318
B_MTX_5-FC.ADE17_GIS2,56142,55596,99.02746606818424,273
B_MTX_5-FC.MID2_WSC2,103978,102808,98.87476196887803,296
B_MTX_5-FC.SNA4_VAC8,162487,158216,97.37148202625441,308
B_MTX_5-FC.SSH1_ERV25,90426,89436,98.9051821378807,309
B_MTX_5-FC.PLM2_HNM1,126833,125772,99.16346692106944,311
B_MTX_5-FC.PMC1_GTR2,90976,90036,98.96676046429828,290
B_MTX_5-FC.ERV25_RBD2,133942,131292,98.02153170775411,321
B_MTX_5-FC.FMP45_MEP1,165273,163176,98.73119021255741,316
B_MTX_5-FC.ERG11_ERV25,264692,262180,99.05097245099965,345
B_MTX_5-FC.RET2_EMP70,136388,135097,99.05343578613954,300
B_MTX_5-FC.ERG11_HYR1,54071,53498,98.94028222152356,300
B_MTX_5-FC.TPO1_MID2,72499,71618,98.7848108249769,269
B_MTX_5-FC.ERG11_ORM2,51905,51345,98.92110586648684,305
B_MTX_5-FC.HNM1_TPO4,227677,225301,98.95641632663818,308
B_MTX_5-FC.SRO9_GIS2,124935,122956,98.41597630768,331
B_MTX_5-FC.HUG1_ADE17,122067,119872,98.2018072042403,326
