Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
A_MTX_Metformin.RET2_SNA3,72748,72278,99.3539341287733,229
A_MTX_Metformin.HNM1_RBD2,56584,55407,97.9199066874028,264
A_MTX_Metformin.GTR1_SLM4,107650,106679,99.0980027868091,330
A_MTX_Metformin.ERG11_ORM2,140913,139855,99.24918211946378,333
A_MTX_Metformin.ERV25_ERG5,147769,146387,99.06475647801636,325
A_MTX_Metformin.SSH1_PIS1,77082,76251,98.92192729820192,305
A_MTX_Metformin.ADE17_PGM2,89358,88486,99.02415004812104,315
A_MTX_Metformin.FMP45_HNM1,63984,63306,98.94036009002251,278
A_MTX_Metformin.TPO1_TCB2,68129,67318,98.80961117879316,275
A_MTX_Metformin.HUG1_ADE17,38549,37034,96.06993696334534,274
A_MTX_Metformin.FMP45_MID2,105339,104088,98.81240566172073,304
A_MTX_Metformin.HNM1_TPO2,573765,563513,98.21320575496937,359
A_MTX_Metformin.ERG11_ERG5,123936,122839,99.11486573715466,335
A_MTX_Metformin.SSH1_ORM2,83469,81844,98.05316944015144,322
A_MTX_Metformin.FMP45_MEP1,59567,58761,98.64690180804809,293
A_MTX_Metformin.RET2_EMP70,91867,91076,99.13897264523713,250
A_MTX_Metformin.ERG11_MID2,124133,123200,99.24838681092054,334
A_MTX_Metformin.ERG11_TPO4,289557,286461,98.93078046809437,335
A_MTX_Metformin.ALO1_ADE17,125627,124727,99.28359349502894,311
A_MTX_Metformin.TPO1_TPO2,33873,33402,98.60951200070853,277
A_MTX_Metformin.SNA4_GTR2,74606,73280,98.22266305659062,338
A_MTX_Metformin.SSH1_ERV25,95493,94245,98.693097923408,326
A_MTX_Metformin.HNM1_MID2,80459,79594,98.9249182813607,308
A_MTX_Metformin.PMC1_CTR2,84107,83212,98.93587929661027,298
A_MTX_Metformin.ERG11_ACF2,178642,176572,98.84125793486415,299
A_MTX_Metformin.SRO9_GIS2,75095,73834,98.32079366136227,327
A_MTX_Metformin.HNM1_ERG11,105387,103947,98.63360756070483,304
A_MTX_Metformin.PLM2_SNA3,61047,57744,94.58941471325373,304
A_MTX_Metformin.HNM1_TPO4,110993,109809,98.93326606182372,328
A_MTX_Metformin.ERG11_HYR1,80423,79666,99.0587269810875,320
A_MTX_Metformin.MID2_PIN2,325219,321016,98.707640082529,337
A_MTX_Metformin.noPPI_reference,64756,63898,98.67502625239361,304
A_MTX_Metformin.ERV25_UIP4,182658,178342,97.63711416965039,343
A_MTX_Metformin.ADE17_HYR1,106042,105208,99.21351917164897,292
A_MTX_Metformin.RET2_EMP47,100291,99698,99.40872062298712,265
A_MTX_Metformin.MID2_WSC2,91473,90682,99.13526395767057,299
A_MTX_Metformin.DHH1_LSM3,72174,70744,98.01867708593123,337
A_MTX_Metformin.SRO9_DHH1,89591,88119,98.35697782143296,330
A_MTX_Metformin.SSH1_ERG11,79561,78569,98.75315795427409,317
A_MTX_Metformin.ERV25_PIS1,169939,168244,99.00258327988278,347
A_MTX_Metformin.ERV25_ORM2,151197,149642,98.97154044061722,344
A_MTX_Metformin.HNM1_MAM33,96087,94555,98.40561158117123,334
A_MTX_Metformin.MID2_MAM33,127840,126658,99.07540675844805,318
A_MTX_Metformin.SNA4_VAC8,68056,66628,97.90172798871517,293
A_MTX_Metformin.MID2_TPO2,78576,77123,98.15083486051721,324
A_MTX_Metformin.ERG11_PIS1,73762,72962,98.91543070957945,323
A_MTX_Metformin.ALO1_HYR1,316937,311657,98.3340537709387,350
A_MTX_Metformin.ERV25_RBD2,64260,62511,97.2782446311858,279
A_MTX_Metformin.HUG1_ALO1,106213,104863,98.72896914690293,302
A_MTX_Metformin.PLM2_HNM1,102464,101528,99.08650843222986,281
A_MTX_Metformin.ADE17_GIS2,126521,124890,98.7108859398835,317
A_MTX_Metformin.SRO9_SGN1,817412,805725,98.57024364702256,361
A_MTX_Metformin.MID2_TPO4,65703,64638,98.37906944888361,316
A_MTX_Metformin.TPO1_MID2,75573,74581,98.68736188850515,290
A_MTX_Metformin.HNM1_TPO1,80836,78467,97.06937503092682,343
A_MTX_Metformin.ERG27_ACF2,101230,100200,98.98251506470413,272
A_MTX_Metformin.MID2_RSN1,345397,340726,98.64764314687157,341
A_MTX_Metformin.ALO1_UIP4,99914,98334,98.41864003042616,322
A_MTX_Metformin.PMC1_GTR2,111676,110437,98.89054049213797,307
A_MTX_Metformin.ERV25_EMP47,67494,66550,98.60135715767328,338
A_MTX_Metformin.HUG1_PGM2,91979,90624,98.52683764772394,314
A_MTX_Metformin.ERG11_ERV25,192404,188754,98.10295004261866,349
