Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
B_noMTX_noDrug.MID2_MAM33,137046,134887,98.42461655210658,353
B_noMTX_noDrug.ERV25_RBD2,82260,80439,97.78628738147339,344
B_noMTX_noDrug.ERV25_ERG5,137375,135617,98.72029117379437,344
B_noMTX_noDrug.MID2_TPO2,84762,83325,98.3046648262193,347
B_noMTX_noDrug.TPO1_MID2,29269,28680,97.98763196556082,321
B_noMTX_noDrug.TPO1_TCB2,4397,4225,96.08824198317035,293
B_noMTX_noDrug.RET2_EMP47,307851,305152,99.12327716979968,331
B_noMTX_noDrug.RET2_EMP70,238250,235569,98.8747114375656,337
B_noMTX_noDrug.PMC1_GTR2,178749,175698,98.29313730426465,355
B_noMTX_noDrug.FMP45_HNM1,180713,178436,98.73999103550935,352
B_noMTX_noDrug.ERG11_ORM2,192374,189086,98.29082932204976,358
B_noMTX_noDrug.ALO1_UIP4,92303,90374,97.91014376564142,352
B_noMTX_noDrug.SRO9_SGN1,30243,29461,97.41427768409218,342
B_noMTX_noDrug.HUG1_ADE17,123187,120207,97.58091357042545,359
B_noMTX_noDrug.ALO1_HYR1,142373,140193,98.46881079980052,342
B_noMTX_noDrug.FMP45_MID2,262189,257915,98.36987821762165,359
B_noMTX_noDrug.SNA4_VAC8,67369,65716,97.54634921106147,344
B_noMTX_noDrug.SSH1_ORM2,63665,62509,98.18424566088117,349
B_noMTX_noDrug.ERG11_ERV25,272719,268584,98.48378734154936,359
B_noMTX_noDrug.ERG11_ACF2,20964,20503,97.80099217706545,329
B_noMTX_noDrug.ADE17_PGM2,70734,69423,98.14657731783866,333
B_noMTX_noDrug.HUG1_PGM2,228465,223586,97.86444313133302,360
B_noMTX_noDrug.SRO9_GIS2,207539,203847,98.22105724707163,358
B_noMTX_noDrug.ERG11_TPO4,112331,110971,98.78929235918848,352
B_noMTX_noDrug.MID2_PIN2,76443,75063,98.19473333071701,350
B_noMTX_noDrug.HNM1_TPO2,140880,137498,97.59937535491197,326
B_noMTX_noDrug.MID2_RSN1,77205,75845,98.23845605854544,346
B_noMTX_noDrug.SSH1_PIS1,144784,142522,98.43767267101337,353
B_noMTX_noDrug.HUG1_ALO1,169262,165988,98.06572059883494,360
B_noMTX_noDrug.MID2_WSC2,19306,18938,98.09385683207293,308
B_noMTX_noDrug.PMC1_CTR2,98871,97169,98.27856499883687,351
B_noMTX_noDrug.PLM2_HNM1,187802,185190,98.60917349123012,351
B_noMTX_noDrug.RET2_SNA3,15612,15261,97.75172943889316,326
B_noMTX_noDrug.GTR1_SLM4,126352,124749,98.73132202102065,356
B_noMTX_noDrug.ERG27_ACF2,53043,52115,98.25047602888223,320
B_noMTX_noDrug.ERV25_UIP4,106817,104920,98.2240654577455,345
B_noMTX_noDrug.ERG11_PIS1,129272,127517,98.64239742558325,347
B_noMTX_noDrug.noPPI_reference,49938,48768,97.65709479754896,351
B_noMTX_noDrug.SSH1_ERV25,245555,242177,98.62434077905154,360
B_noMTX_noDrug.HNM1_ERG11,13528,13011,96.1782968657599,342
B_noMTX_noDrug.HNM1_MAM33,18057,17472,96.76025917926566,333
B_noMTX_noDrug.HNM1_TPO4,99116,97376,98.24448121393115,339
B_noMTX_noDrug.HNM1_MID2,55795,54851,98.30809212295009,348
B_noMTX_noDrug.ERG11_ERG5,116688,115198,98.72309063485534,336
B_noMTX_noDrug.HNM1_TPO1,56999,55609,97.56136072562677,344
B_noMTX_noDrug.ADE17_GIS2,33950,33008,97.22533136966128,346
B_noMTX_noDrug.SSH1_ERG11,33001,32273,97.79400624223508,337
B_noMTX_noDrug.ERV25_EMP47,54468,53554,98.32195050304766,345
B_noMTX_noDrug.PLM2_SNA3,11379,10831,95.18411108181738,319
B_noMTX_noDrug.MID2_TPO4,116758,115181,98.64934308569863,351
B_noMTX_noDrug.HNM1_RBD2,22938,22415,97.71994070973929,322
B_noMTX_noDrug.ERV25_ORM2,164417,162198,98.65038286795162,351
B_noMTX_noDrug.SNA4_GTR2,151311,148373,98.05830375848417,348
B_noMTX_noDrug.TPO1_TPO2,193144,190319,98.53736072567618,351
B_noMTX_noDrug.ADE17_HYR1,91662,89987,98.17263424319783,348
B_noMTX_noDrug.DHH1_LSM3,220651,216702,98.21029589714072,357
B_noMTX_noDrug.FMP45_MEP1,90492,88897,98.23741325200017,348
B_noMTX_noDrug.SRO9_DHH1,124261,122405,98.50636965741464,343
B_noMTX_noDrug.ERG11_MID2,175548,173387,98.76899765306355,356
B_noMTX_noDrug.ALO1_ADE17,87971,86982,98.8757658773914,331
B_noMTX_noDrug.ERV25_PIS1,98415,96498,98.05212620027434,355
B_noMTX_noDrug.ERG11_HYR1,180396,178025,98.6856693053061,355
