Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
A_noMTX_Fluconazole.SNA4_VAC8,179526,165716,92.30752091619041,347
A_noMTX_Fluconazole.HNM1_ERG11,225722,221373,98.07329369755718,354
A_noMTX_Fluconazole.HUG1_ADE17,195980,191973,97.95540361261354,354
A_noMTX_Fluconazole.HUG1_ALO1,83623,81945,97.99337502840127,340
A_noMTX_Fluconazole.TPO1_TPO2,121369,119984,98.85885193088845,345
A_noMTX_Fluconazole.HNM1_MAM33,94213,92839,98.54160253892775,342
A_noMTX_Fluconazole.SRO9_GIS2,77025,75918,98.56280428432326,331
A_noMTX_Fluconazole.MID2_RSN1,90490,89668,99.09161233285447,332
A_noMTX_Fluconazole.ERG27_ACF2,81919,80161,97.85397770968885,344
A_noMTX_Fluconazole.HNM1_RBD2,63231,62339,98.58929955243472,335
A_noMTX_Fluconazole.SSH1_ERV25,94224,92477,98.14590762438445,347
A_noMTX_Fluconazole.MID2_WSC2,101288,100283,99.00777979622463,341
A_noMTX_Fluconazole.PMC1_CTR2,63674,62696,98.46405126111128,332
A_noMTX_Fluconazole.PLM2_SNA3,67431,66670,98.87143895241061,335
A_noMTX_Fluconazole.MID2_PIN2,163082,160058,98.14571810500239,355
A_noMTX_Fluconazole.ERG11_TPO4,97614,96658,99.02063228635237,338
A_noMTX_Fluconazole.ERV25_UIP4,92952,80365,86.45860228935365,343
A_noMTX_Fluconazole.ALO1_UIP4,82449,81271,98.57123797741633,343
A_noMTX_Fluconazole.ERG11_ERV25,94289,92965,98.59580650977314,339
A_noMTX_Fluconazole.MID2_TPO2,148956,146193,98.14508982518328,343
A_noMTX_Fluconazole.SSH1_ORM2,228878,225948,98.71984201190153,334
A_noMTX_Fluconazole.RET2_EMP70,69752,68998,98.91902741140039,325
A_noMTX_Fluconazole.RET2_EMP47,82815,82171,99.2223630984725,307
A_noMTX_Fluconazole.ERG11_PIS1,87123,85230,97.82720980682484,343
A_noMTX_Fluconazole.noPPI_reference,87648,85572,97.63143483023,342
A_noMTX_Fluconazole.FMP45_MEP1,64559,63032,97.63472172741213,345
A_noMTX_Fluconazole.ALO1_HYR1,97824,96067,98.20391723912333,338
A_noMTX_Fluconazole.ERV25_EMP47,96513,95277,98.71934350812845,352
A_noMTX_Fluconazole.MID2_MAM33,107743,106509,98.85468197469905,354
A_noMTX_Fluconazole.PLM2_HNM1,80576,79531,98.70308776806989,345
A_noMTX_Fluconazole.HUG1_PGM2,61530,60469,98.27563790021128,348
A_noMTX_Fluconazole.ERG11_ACF2,130270,129016,99.03738389498733,337
A_noMTX_Fluconazole.ALO1_ADE17,138574,136371,98.41023568634809,348
A_noMTX_Fluconazole.ERV25_ERG5,97673,95997,98.28407031625936,349
A_noMTX_Fluconazole.ADE17_GIS2,83129,82007,98.65029051233624,332
A_noMTX_Fluconazole.SNA4_GTR2,71904,70064,97.44103248776146,349
A_noMTX_Fluconazole.ERV25_ORM2,142818,140639,98.4742819532552,348
A_noMTX_Fluconazole.SRO9_SGN1,92919,91637,98.6203037053778,344
A_noMTX_Fluconazole.HNM1_TPO4,100728,98037,97.32844889206577,344
A_noMTX_Fluconazole.HNM1_MID2,78450,77361,98.61185468451242,337
A_noMTX_Fluconazole.DHH1_LSM3,218078,213569,97.93239116279496,350
A_noMTX_Fluconazole.MID2_TPO4,81184,79908,98.42826172644857,340
A_noMTX_Fluconazole.SRO9_DHH1,99924,98621,98.69600896681477,350
A_noMTX_Fluconazole.ADE17_PGM2,61137,60275,98.59005185076141,339
A_noMTX_Fluconazole.ADE17_HYR1,76328,75047,98.32171680117389,347
A_noMTX_Fluconazole.RET2_SNA3,241099,238575,98.95312713864429,313
A_noMTX_Fluconazole.ERG11_ORM2,248299,245740,98.9693877140061,349
A_noMTX_Fluconazole.ERG11_HYR1,164352,160267,97.51448111370716,341
A_noMTX_Fluconazole.SSH1_ERG11,70764,69260,97.874625515799,347
A_noMTX_Fluconazole.TPO1_MID2,97227,94775,97.47806679214621,333
A_noMTX_Fluconazole.ERG11_MID2,77655,76904,99.03290193805937,334
A_noMTX_Fluconazole.SSH1_PIS1,102241,101238,99.01898455609785,338
A_noMTX_Fluconazole.TPO1_TCB2,96262,95066,98.75755749932476,335
A_noMTX_Fluconazole.ERV25_PIS1,73570,72368,98.36618186760909,331
A_noMTX_Fluconazole.ERG11_ERG5,90471,89369,98.78193012125432,346
A_noMTX_Fluconazole.GTR1_SLM4,63209,62358,98.6536727364774,347
A_noMTX_Fluconazole.PMC1_GTR2,90337,89065,98.59193907258377,354
A_noMTX_Fluconazole.FMP45_MID2,85946,84409,98.2116677914039,347
A_noMTX_Fluconazole.FMP45_HNM1,86118,84538,98.16530806567732,338
A_noMTX_Fluconazole.HNM1_TPO1,84998,83611,98.36819689875055,351
A_noMTX_Fluconazole.HNM1_TPO2,331645,325351,98.10218758009317,354
A_noMTX_Fluconazole.ERV25_RBD2,113089,111572,98.65857864160085,344
